CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
莱茵半岛,3室2厅, 125,65600,820,61,26
市京一村,2室0厅, 44.06,59011,260,32,25
三门路24弄,2室0厅, 49.96,57847,289,55,24
民星路600弄,2室1厅, 58.02,60325,350,74,50
星云苑,3室2厅, 105.15,67048,705,105,34
市光一村,2室1厅, 59.2,59967,355,26,27
国和苑,1室1厅, 39.56,55612,220,9,4
开鲁一村,1室1厅, 41.2,53399,220,20,10
民星二村,2室1厅, 59.7,56784,339,22,16
工农三村,2室1厅, 56.31,58605,330,21,17
中原路99弄,2室1厅, 62.13,59392,369,3,1
殷行路310弄,2室1厅, 49,52041,255,13,4
国和二村,1室1厅, 45.97,55471,255,31,17
民星路600弄,2室1厅, 57.99,62080,360,14,1
民庆家园,2室1厅, 78.24,70936,555,23,10
开鲁四村,1室1厅, 39.45,53232,210,25,15
市光四村,2室1厅, 62.68,55521,348,47,8
民星路600弄,2室1厅, 56.67,54703,310,12,11
梅林小区,1室0厅, 38.23,53623,205,6,10
长海一村,3室1厅, 76.92,52653,405,45,5
市光二村,1室1厅, 41.4,45894,190,73,8
民庆家园,2室2厅, 72.95,65799,480,51,5
市光四村,2室1厅, 57.07,53444,305,28,7
国和苑,2室1厅, 55.83,61795,345,12,6
市光四村,2室1厅, 55.43,57731,320,15,9
国和苑,2室1厅, 56.22,56920,320,14,4
莱茵半岛,2室2厅, 132.73,64040,850,5,7
兴浦新村,2室1厅, 70.73,46657,330,41,5
民庆家园,3室1厅, 95.93,67758,650,22,7
国和二村,2室1厅, 53,52831,280,82,9
开鲁一村,1室1厅, 41.58,51708,215,38,11
工农四村星源佳苑,2室2厅, 93.73,71269,668,20,9
开鲁二村,2室1厅, 58.19,54993,320,12,9
莱茵半岛,2室2厅, 132.73,64040,850,5,7
兴浦新村,2室1厅, 70.73,46657,330,41,5
中原纪联小区,2室1厅, 63.68,52607,335,43,9
市京一村,2室1厅, 77.78,53356,415,15,8
开鲁路286弄,3室1厅, 92.45,45430,420,36,5
工农四村联银公寓,2室1厅, 94.98,57381,545,86,4
民庆家园,3室1厅, 95.93,67758,650,22,7
工农四村星源绿苑,2室1厅, 65.95,60653,400,1,7
民星住宅小区,2室1厅, 75.17,54544,410,47,8
长海一村,1室1厅, 41.52,57322,238,6,4
工农三村,2室1厅, 69.42,57333,398,18,6
殷行路451弄,2室1厅, 59.8,53512,320,7,3
开鲁一村,2室1厅, 61.25,57143,350,8,6
翔殷大楼,2室1厅, 57.19,52457,300,225,5
国和一村,2室1厅, 59.38,61469,365,9,4
长海一村,2室1厅, 59.96,60874,365,4,9
开鲁路382弄,1室1厅, 42.08,56797,239,7,1
新翔公寓,2室1厅, 84.5,50888,430,66,6
市光三村,1室1厅, 43,53489,230,40,3
民京路837弄,2室1厅, 65.07,53789,350,18,5
长海三村,2室0厅, 45.7,63458,290,28,7
