CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
茗苑,2室1厅, 80.32,59139,475,129,35
东方家园,2室2厅, 122.04,67192,820,110,34
文化名园,2室2厅, 79.46,69218,550,52,27
文化花园香榭丽苑,2室2厅, 106.95,70127,750,100,29
四平路2065弄,1室1厅, 41.09,69360,285,54,9
南茶园,2室1厅, 94.83,64326,610,15,12
四季绿园,2室2厅, 87.38,71985,629,74,21
财大小区,4室2厅, 76.28,62927,480,93,19
新江湾佳苑,3室2厅, 86.55,86656,750,27,15
怡福苑,3室2厅, 98.42,74680,735,89,14
政通新苑,2室2厅, 100.44,61729,620,33,12
三湘世纪花城三期,2室2厅, 101.89,67721,690,46,14
三门路358弄,2室1厅, 43.68,59524,260,84,12
建新小区,1室1厅, 39,70000,273,76,9
铁路新村(杨浦),2室0厅, 53.16,69602,370,8,4
三门路510弄,1室1厅, 40.42,51955,210,22,10
文化花园香榭丽苑,2室2厅, 98.38,70137,690,55,9
国定路600弄,1室1厅, 33.12,64010,212,13,5
益华小区,2室2厅, 81.06,61683,500,26,5
新江湾佳苑,3室1厅, 86.49,90184,780,43,12
政民路511弄,2室1厅, 54.73,61210,335,46,8
市益大楼,2室2厅, 105.77,62873,665,9,8
三门路358弄,2室1厅, 68.01,54404,370,65,6
国权路333弄,2室1厅, 54.26,70955,385,190,11
仁德路152弄,3室0厅, 73.88,56173,415,15,7
国定路555弄,2室0厅, 45.53,59961,273,48,9
林绿家园,2室1厅, 60.14,67842,408,64,7
明和苑,3室2厅, 131.83,67891,895,24,7
仁和苑,3室2厅, 148.65,76018,1130,40,1
东方锦园,2室2厅, 92.7,73140,678,33,3
协友公寓,2室2厅, 100.09,68938,690,2,2
政通路118弄,3室2厅, 97,77836,755,26,3
国顺路389弄,2室1厅, 53.87,68313,368,39,5
文化名园,1室1厅, 51.3,66277,340,47,6
三湘世纪花城,3室2厅, 119.47,68637,820,41,6
文化花园明珠苑,3室2厅, 132.55,66391,880,2,2
吉浦小区,2室1厅, 73.71,58337,430,138,5
乾阳佳园,3室2厅, 132.53,64137,850,32,3
兰港大楼,3室2厅, 163,46013,750,40,4
财大公寓,1室2厅, 81.95,78097,640,22,3
国定路600弄,3室1厅, 69,61595,425,40,5
建设公寓,3室2厅, 124.68,55743,695,52,5
兰港大楼,2室1厅, 90.78,51223,465,35,2
文化花园明珠苑,3室2厅, 142.44,66695,950,13,5
四平路2100弄,1室0厅, 34.11,65964,225,27,4
政民路511弄,2室1厅, 51.58,63979,330,46,1
创智坊(公寓),2室2厅, 114.46,76883,880,37,1
政立路545弄,1室1厅, 56.51,62821,355,6,2
创智坊(公寓),1室2厅, 71.63,83764,600,20,3
益华小区,2室2厅, 97.98,67974,666,6,3
黄兴雅苑,3室2厅, 116.6,74615,870,20,2
北茶园,1室1厅, 46.02,70622,325,16,1
文化花园明珠苑,3室2厅, 135.09,64402,870,61,1
铁路新村(杨浦),2室1厅, 50.62,67168,340,90,3
北茶园,1室1厅, 42.91,72245,310,2,1
海鸿公寓,2室1厅, 74.42,71218,530,5,3
政民花苑,2室1厅, 60.33,64645,390,7,1
黄兴雅苑,3室2厅, 114.75,73900,848,33,4
四平路2100弄,2室0厅, 48.79,65588,320,8,1
创智坊(公寓),2室2厅, 114.46,76883,880,37,1
政民路511弄,2室1厅, 51.58,63979,330,46,1
林绿家园,5室3厅, 222.18,76515,1700,20,0
铁路新村(杨浦),1室1厅, 36.95,67659,250,13,0
海鹏公寓,2室2厅, 101,67822,685,7,0
铁路新村(杨浦),2室1厅, 57.09,66562,380,11,0
文化花园园中苑,4室2厅, 164.49,72953,1200,21,0
文化名园,3室2厅, 106.02,58008,615,634,35
国年路25弄,2室1厅, 51.61,62004,320,28,9
国年路65弄,1室0厅, 34.86,68847,240,15,6
文化花园明珠苑,3室2厅, 120.33,67315,810,77,56
三湘世纪花城,3室2厅, 133.68,63585,850,105,33
文化花园香榭丽苑,3室2厅, 122.49,67761,830,27,28
三湘世纪花城三期,2室2厅, 105.55,69636,735,21,38
怡福苑,4室1厅, 102.61,61398,630,163,41
铁路新村(杨浦),2室1厅, 50.27,67635,340,70,56
新江湾佳苑,2室2厅, 85.57,82974,710,26,28
文化花园香榭丽苑,3室2厅, 136,69118,940,21,15
海鸿公寓,3室1厅, 97.3,56527,550,40,14
林绿家园,2室2厅, 82.98,77128,640,215,60
三湘世纪花城,3室2厅, 130.98,71004,930,66,26
政通路100弄,3室1厅, 87.49,72580,635,35,21
铁路新村(杨浦),2室1厅, 50.62,70131,355,17,27
茗苑,2室1厅, 80.32,59761,480,55,26
林绿家园,3室2厅, 114.34,76964,880,68,33
三湘世纪花城三期,2室2厅, 117.47,67252,790,27,25
三门路358弄,1室1厅, 40.8,53432,218,20,25
三门路510弄,1室1厅, 49.79,53827,268,0,0
东方家园,3室2厅, 162.99,64974,1059,19,11
吉浦小区,1室1厅, 54.94,50965,280,36,10
协友公寓,2室1厅, 100.09,64942,650,20,6
政通路118弄,1室1厅, 47.98,76074,365,10,9
铁路新村(杨浦),2室1厅, 51.4,68094,350,3,9
文化花园香榭丽苑,3室2厅, 126,61508,775,89,22
黄兴雅苑,2室2厅, 116.17,71448,830,17,3
仁德路67弄10支弄,2室2厅, 78.16,57319,448,152,17
新江湾佳苑,3室2厅, 127.14,70002,890,87,24
林绿家园,3室2厅, 101,74258,750,83,19
林绿家园,1室1厅, 54,75000,405,96,16
黄兴雅苑,3室2厅, 116.17,75752,880,3,16
北茶园,2室1厅, 61.78,65556,405,65,16
新江湾佳苑,3室2厅, 89.1,82268,733,55,11
文化花园清华苑,3室2厅, 124,67742,840,27,16
三湘世纪花城,3室2厅, 135.1,64027,865,72,9
文化花园香榭丽苑,3室2厅, 126.79,67040,850,40,10
建新小区,2室0厅, 42.67,66792,285,45,17
同济欣苑,3室1厅, 72.67,68805,500,74,12
仁德路67弄10支弄,2室1厅, 72.01,62492,450,17,6
政民路150弄,2室2厅, 87.94,64931,571,48,5
北茶园,2室1厅, 56.03,68714,385,63,3
杨浦大厦,5室2厅, 207.46,41358,858,16,0
正文花园(二期),3室2厅, 132.91,71477,950,14,0
文化花园香榭丽苑,3室2厅, 131.07,58748,770,52,9
皇朝新城,3室2厅, 136,56618,770,23,8
文化花园香榭丽苑,4室2厅, 155.92,60929,950,32,12
四季绿园,2室2厅, 86.21,74122,639,103,6
三门路358弄,2室1厅, 66.96,53764,360,19,9
协友公寓,2室2厅, 100.96,61411,620,31,7
汇丰苑,2室1厅, 70.75,69258,490,155,5
仁德苑,3室2厅, 127.02,69281,880,9,6
建设公寓,2室2厅, 96.5,64249,620,18,8
文化花园明珠苑,2室2厅, 110.36,66148,730,47,7
仁德路152弄,1室1厅, 53.44,49776,266,35,10
铁路新村(杨浦),1室0厅, 32,68750,220,48,35
政通路100弄,2室1厅, 75.98,68440,520,26,8
南茶园,2室1厅, 94.83,66435,630,14,14
东方家园,2室2厅, 113.08,68978,780,104,18
北茶园,3室1厅, 90.66,67285,610,32,11
国定路601弄,1室1厅, 36.68,61342,225,5,1
铁路新村(杨浦),1室1厅, 41.05,71864,295,20,9
政通新苑,2室2厅, 91,63737,580,4,3
复光苑,2室2厅, 101.9,68695,700,19,3
政通新苑,1室1厅, 65.1,71429,465,45,3
文化名园,2室1厅, 64.23,68504,440,76,7
铁路新村(杨浦),1室1厅, 45.8,68778,315,18,5
政通路100弄,2室2厅, 75.1,69242,520,22,4
复旦书馨公寓,3室2厅, 151.43,79245,1200,54,6
国定路600弄,2室0厅, 48.31,62099,300,11,6
同济北苑,3室2厅, 137,62628,858,2,4
铁路新村(杨浦),2室2厅, 56.22,69371,390,76,6
复光苑,3室2厅, 116.62,71000,828,19,2
正文花园(一期),3室2厅, 125.45,66162,830,12,4
国定路700弄,3室1厅, 87.12,61525,536,94,5
国定路600弄,2室1厅, 51.56,60125,310,37,3
仁德路67弄10支弄,2室1厅, 78.16,60134,470,10,7
武川路245弄,1室1厅, 40,65000,260,15,6
北茶园,2室2厅, 84.24,64697,545,117,4
大众花苑,1室1厅, 53.13,60230,320,29,4
政立路830弄,1室1厅, 51.15,61584,315,15,7
协友公寓,1室1厅, 66.6,78079,520,14,2
政立路830弄,1室1厅, 51.15,61584,315,15,7
逸仙路773弄,1室0厅, 29.77,64831,193,45,14
新江湾佳苑,2室2厅, 100.85,74368,750,59,8
创智坊(公寓),2室2厅, 95.9,85298,818,75,7
北茶园,3室1厅, 86.62,71578,620,39,6
仁和苑,3室2厅, 103.83,73197,760,32,0
怡福苑,2室2厅, 102.61,68220,700,18,3
北茶园,1室1厅, 45.07,67673,305,19,3
政通路100弄,1室1厅, 51.82,73331,380,6,3
国年路102弄,2室0厅, 40.97,72004,295,22,1
南茶园,3室1厅, 77.96,71832,560,41,2
百旺小区,2室2厅, 99.88,65880,658,57,3
国定路700弄,2室1厅, 68.27,65915,450,26,1
北茶园,3室1厅, 84.89,65968,560,128,1
铁路新村(杨浦),2室1厅, 53.09,63854,339,32,2
政民花苑,1室1厅, 43.4,69125,300,7,1
复光苑,2室2厅, 104.72,71620,750,30,4
财大小区,1室1厅, 48.47,59006,286,29,2
海鸿公寓,2室2厅, 108.59,66305,720,10,1
政通路118弄,3室1厅, 113.28,67091,760,15,3
南茶园,3室1厅, 94.8,67511,640,15,3
同济欣苑,4室2厅, 134.1,63386,850,71,2
黄兴公寓,3室2厅, 126.78,70990,900,31,3
新江湾佳苑,3室3厅, 85.57,116864,1000,113,7
正文花园(二期),3室2厅, 142.07,63350,900,1,4
政通路305弄,2室0厅, 49.37,69881,345,22,7
文化花园清华苑,2室2厅, 88.08,73797,650,64,4
三门路510弄,1室1厅, 43.84,55886,245,3,5
南茶园,3室1厅, 118.16,65166,770,13,0
政民花苑,2室1厅, 60.33,65474,395,3,0
怡福苑,1室2厅, 58.49,82921,485,33,0
国顺路300弄,1室1厅, 48,69792,335,19,0
四平路2100弄,2室1厅, 50.06,70915,355,8,2
协友公寓,3室2厅, 127.96,72679,930,5,1
仁德苑,3室2厅, 166.11,65018,1080,48,4
南茶园,2室1厅, 66.1,70802,468,3,1
林绿家园,4室2厅, 215.11,72057,1550,67,1
茶园坊,2室1厅, 89.07,69609,620,79,2
三门路358弄,2室1厅, 55.98,55377,310,40,46
创智坊(公寓),2室1厅, 89.9,80089,720,24,5
铁路新村(杨浦),2室0厅, 51.66,67751,350,21,8
铁路新村(杨浦),2室1厅, 56.54,62788,355,16,33
国定路600弄,2室1厅, 49.9,64129,320,82,65
国定路600弄,1室0厅, 35.34,63668,225,55,3
建新小区,1室0厅, 34.83,69481,242,18,1
政通新苑,2室2厅, 93.33,71789,670,0,0
国顺路400弄,1室1厅, 32.99,70325,232,10,0
国顺路400弄,1室1厅, 33.58,67005,225,38,24
国顺路310弄,2室1厅, 50.49,71302,360,42,55
皇朝新城,3室2厅, 136.1,51360,699,8,0
文化花园香榭丽苑,3室2厅, 127.82,68065,870,3,3
铁路新村(杨浦),2室0厅, 53.09,63666,338,5,1
北茶园,2室1厅, 64.2,70094,450,11,4
国定路700弄,1室1厅, 46.65,64309,300,18,48
新江湾佳苑,3室2厅, 143,83917,1200,19,28
文化花园香榭丽苑,2室2厅, 104.92,68148,715,102,70
北茶园,2室1厅, 59.2,64190,380,63,44
皇朝新城,4室2厅, 143.98,63898,920,7,0
政通路305弄,2室1厅, 49.54,64595,320,20,9
文化花园清华苑,4室2厅, 170,69412,1180,116,22
文化花园香榭丽苑,3室2厅, 130.12,63788,830,5,1
三门路358弄,2室1厅, 66.8,52396,350,3,1
东方家园,3室2厅, 157.32,69922,1100,9,0
复光苑,2室2厅, 116.08,67196,780,5,0
大众花苑,2室1厅, 66.01,59991,396,6,1
三门路358弄,2室1厅, 66.49,54896,365,6,2
北茶园,1室1厅, 41.18,72851,300,78,23
文化花园明珠苑,3室2厅, 124.21,70848,880,0,19
三门路358弄,1室1厅, 41.05,47504,195,164,35
国定路600弄,2室1厅, 49.73,63343,315,20,33
仁德路67弄10支弄,2室1厅, 78.16,60134,470,17,31
茗苑,2室1厅, 72.6,66805,485,1,0
政熙路68弄,3室2厅, 107.18,65778,705,8,1
