CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
阳明新城,2室2厅, 74.93,70733,530,122,23
幸福公寓,2室1厅, 48.86,69587,340,17,33
金鹏花园,2室1厅, 70.94,69073,490,85,27
申通公寓,2室2厅, 93.01,62897,585,49,33
上海大花园,2室2厅, 111.29,68111,758,57,22
友谊新村,2室0厅, 53.42,65519,350,23,14
阳明新城,2室2厅, 68.18,77736,530,19,9
上海大花园,3室2厅, 139.38,80356,1120,39,25
银河苑,3室1厅, 95.37,54001,515,134,20
张家浜小区,2室0厅, 42.67,70308,300,8,11
华升新苑,3室2厅, 140.97,70938,1000,24,13
张家浜小区,1室1厅, 31.41,69405,218,52,22
时运苑,2室1厅, 64.5,58915,380,8,8
上海大花园,3室2厅, 146.79,70714,1038,27,14
海尚佳园,2室1厅, 79.31,85740,680,18,12
华升新苑,3室2厅, 144.02,76379,1100,16,12
海鹏苑,2室2厅, 89.56,61412,550,17,14
众和金融大厦,2室1厅, 106.77,61816,660,19,12
双辽路155弄,2室1厅, 54.02,62940,340,41,9
广远新村,2室1厅, 53.03,55629,295,6,1
华升新苑,3室2厅, 143.71,86981,1250,11,13
内江路492号,2室0厅, 47.71,58688,280,3,6
明丰苑,1室1厅, 50.86,67834,345,13,6
杨家宅小区,2室1厅, 51.73,65340,338,15,6
时运苑,2室1厅, 65,56616,368,17,5
东田公寓,2室2厅, 93.4,68523,640,6,9
中通大厦,3室2厅, 134.93,31128,420,612,10
杨家宅小区,2室1厅, 73.6,65897,485,46,7
建设新苑,3室2厅, 112.62,72812,820,45,10
幸福公寓,2室1厅, 90.91,62150,565,14,7
长眉小区,1室1厅, 35.69,72850,260,12,5
张家浜小区,1室1厅, 38.34,54774,210,71,3
昆明路1268弄,2室0厅, 43,57442,247,13,3
中王小区,1室1厅, 58.98,72059,425,14,6
安居花苑,2室1厅, 84.95,67099,570,19,5
张家浜小区,2室1厅, 55.69,55666,310,72,8
江升公寓,2室2厅, 109.86,80831,888,23,7
中通大厦,1室1厅, 72.68,68795,500,6,3
内江二村,2室1厅, 55.73,56523,315,21,6
珠江香樟园,2室2厅, 96.87,79798,773,48,3
引翔港小区,2室1厅, 70.66,75715,535,15,3
珠江香樟南园,3室2厅, 123,84553,1040,12,5
张家浜小区,2室1厅, 59.23,65846,390,29,7
安居花苑,2室1厅, 63.17,66488,420,42,5
金鹏花园,3室2厅, 99.86,68597,685,18,7
东银茗苑,3室2厅, 115.5,83983,970,40,7
控江路1197弄,1室0厅, 26.6,65790,175,35,13
富天苑,3室2厅, 141.52,60063,850,111,2
凯阳公寓,2室1厅, 77.98,70531,550,87,2
天马大厦,2室2厅, 111.57,58260,650,19,1
唐山路1380弄,2室1厅, 51.09,59699,305,12,3
泰鸿苑,2室2厅, 94.33,79509,750,18,2
控江路1039弄,1室0厅, 32.64,70466,230,2,2
友谊新村,3室0厅, 66.2,59668,395,82,2
控江路1039弄,1室0厅, 33.18,70826,235,2,2
东田公寓,2室1厅, 83.33,69603,580,27,3
控江路1455弄,4室2厅, 107.41,63123,678,44,2
建设新苑,2室2厅, 91,75935,691,17,3
双阳公寓,2室1厅, 91.52,63375,580,102,3
泰鸿苑,2室2厅, 96.09,79093,760,21,3
友谊新村,3室0厅, 66.2,59668,395,82,2
控江路1039弄,1室0厅, 33.18,70826,235,2,2
国富苑,3室2厅, 146.87,57875,850,29,1
梅林公寓,2室1厅, 59.59,58232,347,20,1
珠江香樟南园,3室2厅, 141.87,76127,1080,9,1
昆明路1268弄,2室1厅, 53,64151,340,12,2
东田公寓,2室1厅, 83.33,69603,580,27,3
宝钢又一村,2室2厅, 107.81,69567,750,10,2
双阳路291弄,2室1厅, 52.08,64901,338,7,1
富天苑,3室2厅, 144.23,71414,1030,11,1
宝钢又一村,2室2厅, 103.8,69846,725,5,2
宝钢又一村,2室2厅, 98.68,72964,720,14,1
阳明新城,2室1厅, 74.93,75004,562,8,2
双辽路200弄,2室1厅, 54.02,68123,368,18,1
众和金融大厦,3室2厅, 127.03,53531,680,6,3
舒兰公寓,3室2厅, 130.8,57722,755,27,4
内江路315弄,2室1厅, 61.63,54844,338,70,1
双辽路200弄,1室1厅, 36.25,68966,250,4,1
益民小区,2室1厅, 67.39,65589,442,10,0
市政家园,2室1厅, 70.76,49463,350,105,0
双阳路293弄,2室0厅, 48,64584,310,3,0
凯兴苑,3室2厅, 125.39,68985,865,7,0
平凉路1850号,2室0厅, 36.2,68509,248,3,0
东田公寓,2室1厅, 95.57,71153,680,2,0
纺平大楼小区,2室0厅, 45.98,55459,255,11,0
华荣公寓,2室1厅, 99.91,63057,630,1,0
东银茗苑,3室2厅, 123.93,84726,1050,9,0
双阳公寓,2室2厅, 134.71,61986,835,6,0
市政家园,2室2厅, 95.98,59388,570,31,0
内江二村,2室1厅, 79.79,58278,465,2,0
时运苑,3室2厅, 125,50400,630,54,0
控江新村,1室1厅, 30.62,62051,190,9,0
张家浜小区,1室1厅, 39.18,64829,254,3,0
幸福公寓,1室1厅, 35.55,64136,228,11,0
眉州坊,2室2厅, 93.62,63021,590,38,28
平凉小区,2室1厅, 73.2,48498,355,288,31
长眉小区,2室0厅, 51.01,62733,320,85,47
汽车公寓小区,2室0厅, 46.04,62989,290,23,30
华升新苑,2室2厅, 96.4,72615,700,81,40
辽阳大楼,2室1厅, 71.22,63887,455,61,52
信通浦皓园,2室2厅, 90.24,94194,850,68,28
水月坊,2室1厅, 86.46,72867,630,2,1
现代星洲城,2室2厅, 99.75,81705,815,33,29
明月坊,2室1厅, 60.39,77828,470,17,8
控江路59弄,2室0厅, 52.09,63352,330,1,15
控江路1455弄,2室1厅, 55.93,62579,350,50,18
华升公寓,3室2厅, 115.35,57738,666,157,19
海尚佳园,2室2厅, 93.45,78117,730,97,25
华升新苑,3室2厅, 113.3,75905,860,29,25
国威大厦,2室1厅, 100.95,59436,600,41,16
国富苑,2室2厅, 125.67,62068,780,7,10
唐山路1380弄,2室0厅, 39.14,66940,262,35,11
华升新苑,2室2厅, 116.22,72105,838,38,13
飞虹路1047弄,2室0厅, 47.49,65909,313,7,14
幸福村小区,1室0厅, 42.74,53814,230,19,6
上海大花园,2室2厅, 109.3,75938,830,71,6
引翔港小区,2室0厅, 48.56,66516,323,3,10
引翔港小区,2室1厅, 53.37,56212,300,7,11
新中源大楼,2室1厅, 67.2,63989,430,58,22
锦丽斯公寓,3室2厅, 120.85,70336,850,35,27
宁武小区,2室1厅, 72.81,59058,430,61,24
宁阳福邸,3室2厅, 101.4,73965,750,13,3
飞虹路1047弄,2室0厅, 37.56,62567,235,94,5
永久公寓,1室1厅, 44,64773,285,18,5
珠江香樟南园,2室2厅, 98.57,74060,730,65,17
益民小区,2室1厅, 91.12,64750,590,2,1
阳明新城,2室1厅, 74.93,69399,520,6,10
水月坊,2室1厅, 70.99,70433,500,25,11
金鹏花园,2室2厅, 78.91,68433,540,27,11
