CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
东方名园,3室2厅, 129.97,71555,930,47,28
控江二村,1室1厅, 44.65,75924,339,22,37
东方名园,2室1厅, 91.23,91856,838,29,20
控江路1200弄,2室2厅, 50,78000,390,90,16
双阳大楼,2室1厅, 92.8,64871,602,24,2
凤城四村,1室1厅, 36.78,66613,245,4,9
延吉东路131弄,2室1厅, 56.28,63611,358,9,12
凤城三村,2室0厅, 45.8,67686,310,11,12
韵都城,4室3厅, 96.43,111999,1080,58,12
凤城五村,1室1厅, 38.28,72623,278,18,6
凤城四村,2室0厅, 53.48,67315,360,6,6
延吉东路131弄,1室1厅, 37.87,60735,230,11,9
延吉东路137弄,2室1厅, 57.78,55729,322,15,7
控江七村,2室0厅, 50.71,65076,330,12,12
韵都城,3室2厅, 108.53,78320,850,8,7
控江路18弄,2室1厅, 71.71,62753,450,22,5
凤城二村,1室0厅, 34.45,66764,230,22,9
凤城二村,2室1厅, 70.1,64195,450,48,5
控江七村,2室1厅, 55.4,64982,360,13,9
凤城二村,3室2厅, 73.12,80416,588,65,10
新凤城,1室1厅, 54.64,96999,530,7,1
控江七村,3室1厅, 64.96,64656,420,23,5
凤城三村,1室1厅, 35.62,63167,225,9,3
双阳大楼,1室1厅, 67.77,51646,350,13,5
凤城三村,2室1厅, 53.78,60432,325,20,7
松花江路40弄,2室0厅, 47.5,56000,266,8,2
凤六新苑,3室2厅, 156.42,69045,1080,23,2
永吉路97弄,2室1厅, 67.79,63432,430,79,1
凤城二村,1室0厅, 32.37,74143,240,1,2
凤城二村,1室1厅, 37.01,59444,220,14,3
凤城六村,1室1厅, 52.24,76570,400,5,2
控江二村,1室1厅, 38.82,59248,230,85,5
紫罗兰家苑,3室2厅, 130.45,99656,1300,3,2
延吉东路315弄,3室1厅, 68.85,58824,405,4,1
凤六新苑,3室2厅, 156.42,69045,1080,23,2
韵都城,3室2厅, 117,78633,920,8,1
延吉东路5弄,1室1厅, 40.84,61705,252,7,1
控江七村,1室1厅, 38.49,61055,235,22,1
延吉东路131弄,2室1厅, 57,57895,330,11,3
控江一村,3室1厅, 98.35,82868,815,14,1
敦化路6弄,2室1厅, 55.84,59098,330,6,3
控江路1200弄,3室2厅, 72,87500,630,38,2
凤城四村,1室1厅, 41.62,66075,275,3,2
控江路1200弄,3室1厅, 98.78,65803,650,32,0
黄兴路1039弄,1室1厅, 40.09,67349,270,0,0
大运盛城,3室2厅, 133.23,66052,880,18,0
泰鸿新苑,4室2厅, 157.02,85977,1350,10,0
凤城路104弄,2室0厅, 50.47,69349,350,40,0
凤城六村,1室1厅, 49.08,71313,350,1,0
凤城三村,1室0厅, 29.72,56865,169,63,9
凤城三村,1室0厅, 34.27,64197,220,4,12
凤城三村,1室1厅, 41.29,62485,258,8,7
控江路888弄,1室1厅, 41.4,56039,232,6,5
松花江路40弄,2室0厅, 47.5,61053,290,4,1
黄兴路1001号,1室1厅, 36.13,60892,220,6,0
凤城路104弄,1室0厅, 39.97,66300,265,5,0
益晖新苑,3室2厅, 116.23,63667,740,85,24
凤城五村,2室1厅, 47.66,65045,310,8,41
韵都城,2室2厅, 97.73,77254,755,10,48
大运盛城,3室2厅, 124.6,64206,800,42,18
凤城五村,2室1厅, 51.09,69486,355,0,2
益晖新苑,3室2厅, 108.3,66390,719,113,35
大运盛城,3室2厅, 113.18,73777,835,73,20
控江七村,1室1厅, 35.66,64499,230,7,8
控江路680弄,1室1厅, 40.81,57584,235,13,14
凤城二村,1室1厅, 36.13,55356,200,151,48
延吉东路557弄,1室1厅, 34.47,56571,195,226,30
控江路874弄,3室1厅, 55,67273,370,140,14
新凤城,2室1厅, 74.06,89117,660,23,12
大运盛城,2室2厅, 89.7,80268,720,71,10
韵都城,3室2厅, 130.83,82550,1080,16,9
凤六新苑,3室2厅, 124.49,70689,880,40,13
延吉东路131弄,2室0厅, 45.78,58978,270,21,12
控江二村,3室3厅, 146.37,58756,860,42,9
泰鸿新苑,1室2厅, 78.23,84367,660,6,6
控江路640弄,1室1厅, 36.53,56940,208,27,6
