CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
新江湾时代花园,3室2厅, 96.5,70467,680,190,37
新江湾时代花园,3室1厅, 91.64,75841,695,61,26
新江湾城雍景苑,2室2厅, 106.42,70476,750,76,24
合生江湾国际公寓,2室2厅, 96.26,73447,707,108,17
加州水郡,3室2厅, 165.84,81404,1350,37,15
建德国际公寓,2室2厅, 100.08,74941,750,66,21
加州水郡,3室2厅, 164.95,86693,1430,19,7
涵碧景苑,2室2厅, 99.7,88265,880,16,6
建德国际公寓,2室2厅, 83.19,80539,670,2,7
新江湾时代花园,2室2厅, 87,71035,618,28,11
新江湾时代花园,2室1厅, 83.01,69872,580,102,3
泰宝华庭(公寓),2室2厅, 89,84832,755,19,2
新江湾时代花园,2室1厅, 83,73494,610,6,7
尚浦名邸,2室2厅, 136,94853,1290,6,2
新江湾时代花园,2室2厅, 82.04,74354,610,17,1
泰宝华庭(公寓),4室2厅, 181,80111,1450,6,0
泰宝华庭(公寓),4室2厅, 180,87778,1580,29,0
合生江湾国际公寓,2室2厅, 96.28,79976,770,57,0
加州水郡,3室2厅, 165.19,82633,1365,24,122
合生江湾国际公寓,3室2厅, 147.94,79763,1180,60,54
新江湾城雍景苑,5室1厅, 174.23,67727,1180,65,30
合生江湾国际公寓,2室2厅, 108.55,78305,850,29,46
华润置地橡树湾,2室2厅, 83.92,96521,810,62,62
九龙仓玺园,3室2厅, 145.36,92873,1350,162,81
华润置地橡树湾,2室1厅, 87.9,100114,880,0,1
华润置地橡树湾,4室2厅, 258,77520,2000,53,24
新江湾城雍景苑,2室2厅, 102.2,73875,755,28,20
合生江湾国际公寓,2室2厅, 107.27,76443,820,33,22
新江湾时代花园,2室2厅, 87.24,65911,575,82,27
中凯城市之光(新江湾),2室2厅, 99.62,91348,910,32,21
保利维拉家园,3室2厅, 87.67,92392,810,66,22
华润置地橡树湾,3室2厅, 166.82,92915,1550,27,21
华润置地橡树湾,3室2厅, 173.55,84126,1460,31,21
九龙仓玺园,3室2厅, 173.99,91960,1600,28,20
加州水郡,2室2厅, 121.44,83169,1010,33,18
九龙仓玺园,3室2厅, 186.04,91379,1700,11,21
新江湾城雍景苑,2室2厅, 102.29,75277,770,52,21
合生江湾国际公寓,2室2厅, 105.93,75050,795,30,15
新江湾城雍景苑,4室2厅, 167.65,78736,1320,118,22
水电新村,2室0厅, 42.26,47327,200,12,2
三湘七星府邸,4室2厅, 212.39,80042,1700,26,10
建德国际公寓,3室2厅, 120.11,76597,920,22,11
新江湾城雍景苑,3室2厅, 123.62,72804,900,77,21
合生江湾国际公寓,2室2厅, 111.46,74467,830,66,12
尚浦名邸,2室2厅, 123.16,89315,1100,42,14
九龙仓玺园,3室2厅, 136.73,89959,1230,40,9
新江湾城雍景苑,3室2厅, 136.52,76180,1040,30,14
嘉誉湾,4室2厅, 218,96331,2100,16,8
新江湾时代花园,1室2厅, 61.14,80144,490,11,9
水电新村,2室1厅, 57.9,46633,270,56,9
合生江湾国际公寓,2室2厅, 99.47,76405,760,44,6
华润置地橡树湾,4室2厅, 256.38,74109,1900,23,7
华润置地橡树湾,3室2厅, 166.82,95912,1600,8,5
合生江湾国际公寓,3室2厅, 147.94,79763,1180,15,5
华润置地橡树湾,5室2厅, 256.38,74109,1900,29,6
加州水郡,3室2厅, 162.12,85123,1380,13,1
