CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
铁岭大楼,2室1厅, 71.5,71329,510,8,23
双辽新村,1室1厅, 45.23,61906,280,21,20
密云小区,2室1厅, 55.61,93509,520,8,12
密云小区,2室1厅, 52.87,94572,500,7,10
鞍山四村第三小区,2室1厅, 39.31,67413,265,33,6
同济新村,2室0厅, 38.11,87904,335,28,25
打虎大楼,2室0厅, 61.82,72792,450,11,23
中通雅苑,2室2厅, 95.8,91859,880,38,21
密云小区,2室1厅, 66.2,72508,480,53,11
打虎山路6弄,2室1厅, 75.62,62153,470,21,3
冶金公寓,2室1厅, 57,84211,480,19,6
辽源一村,2室1厅, 49.87,69180,345,24,1
同济新村,2室1厅, 48.59,87467,425,22,12
辽源三村,1室1厅, 38.37,69065,265,61,13
密云小区,2室0厅, 55.72,89735,500,19,13
银杨大厦,2室1厅, 87.12,63132,550,43,11
建工大楼,2室2厅, 88.66,71961,638,19,9
鞍山六村,2室1厅, 53,76416,405,13,11
鞍山七村,2室0厅, 40.58,78857,320,34,3
鞍山八村,2室0厅, 53.41,78263,418,20,8
鞍山五村,1室1厅, 44.02,72695,320,15,8
辽源一村,3室2厅, 119.98,60011,720,21,8
密云小区,2室1厅, 66.2,72508,480,43,9
恒联新天地花园,3室2厅, 131.86,87973,1160,19,7
双辽支路70弄,1室1厅, 40.25,63355,255,13,6
密云小区,2室1厅, 50.05,105895,530,10,10
阜新路284弄,2室1厅, 57.37,64494,370,16,8
铁岭大楼,2室0厅, 51.57,73687,380,38,8
鞍山四村第三小区,1室0厅, 28.77,67779,195,30,16
和平花苑,2室1厅, 85.66,77049,660,46,4
恒阳花苑,3室2厅, 114.85,78277,899,87,4
益海佳苑,3室2厅, 145.56,72136,1050,38,3
鞍山四村第一小区,1室1厅, 48.37,69258,335,13,6
同济绿园,2室2厅, 108.44,87607,950,9,2
建信大楼,2室1厅, 76.11,66352,505,6,4
双辽支路70弄,2室1厅, 47.97,70044,336,6,3
国中公寓,3室2厅, 197,55838,1100,10,5
双辽新村,1室1厅, 41.01,63400,260,65,0
鞍山一村,1室1厅, 49.08,72331,355,30,1
江浦路1709弄,3室2厅, 132.88,57195,760,48,2
恒阳花苑,3室2厅, 115.31,84989,980,9,1
鞍山五村,2室1厅, 64.04,72143,462,37,2
双辽支路70弄,3室1厅, 59,70339,415,64,4
恒联新天地花园,3室2厅, 131.94,89435,1180,8,0
海上海新城(公寓),3室2厅, 156.98,82814,1300,28,0
辽源一村,2室1厅, 53.49,66368,355,42,0
鞍山三村,1室1厅, 31.85,75354,240,97,16
辽源一村,2室1厅, 49.89,67750,338,6,0
辽源一村,1室0厅, 32.77,71712,235,7,19
双辽新村,1室1厅, 32,65000,208,4,3
鞍山八村,1室1厅, 31.5,88254,278,14,1
辽源三村,1室1厅, 39.92,66383,265,6,5
三峰大厦,1室0厅, 43.69,66377,290,14,4
鞍山六村,1室1厅, 36.37,70113,255,5,1
双辽支路70弄,1室1厅, 41,58537,240,21,1
铁岭路10弄,1室1厅, 47.81,69024,330,10,32
和平花苑,3室2厅, 136.42,70958,968,83,35
铁岭大楼,1室1厅, 42.42,73079,310,1,26
冶金公寓,2室2厅, 72.6,75758,550,55,30
鞍山一村,2室0厅, 52.02,76894,400,12,47
公交新村,1室1厅, 47.72,62867,300,51,34
鞍山三村,1室1厅, 49.21,70718,348,27,28
和平花苑,3室2厅, 131.38,72158,948,41,31
恒阳花苑,2室1厅, 66.15,84657,560,51,22
英达苑,3室2厅, 147.05,73445,1080,56,24
伊东苑,2室1厅, 86,81396,700,17,19
鞍山七村,1室0厅, 27.97,77941,218,32,50
恒阳花苑,2室2厅, 85.27,78574,670,325,24
密云小区,2室1厅, 66.2,72508,480,49,11
公交新村,2室2厅, 58,81897,475,38,20
双辽支路70弄,2室1厅, 56.63,67103,380,23,16
打虎大楼,2室1厅, 53.57,75603,405,10,6
公交新村,2室0厅, 41.64,81653,340,40,4
密云小区,1室1厅, 39,108975,425,25,16
密云小区,2室1厅, 55.78,86053,480,15,14
密云小区,3室1厅, 79.4,76575,608,54,9
双辽支路70弄,1室1厅, 41,65366,268,9,10
和平花苑,2室2厅, 85.66,75882,650,75,138
国中公寓,2室2厅, 165.33,54437,900,1,0
和平花苑,2室2厅, 90.25,73131,660,47,12
和平花苑,4室2厅, 196.31,84561,1660,52,11
双辽新村,2室1厅, 46.98,65986,310,13,7
鞍山四村第一小区,2室1厅, 54.44,73109,398,6,8
密云小区,2室1厅, 90.61,78138,708,11,7
鞍山路63号,2室1厅, 53,83963,445,23,6
密云小区,2室1厅, 37.2,120968,450,35,10
国中公寓,2室2厅, 141.76,56081,795,5,1
控江路2100号,1室0厅, 36.14,65025,235,13,16
哈佛公寓,2室2厅, 96.21,72550,698,22,2
恒阳花苑,2室2厅, 87.32,77302,675,28,5
辽源一村,2室1厅, 82.88,68775,570,9,6
双辽新村,2室0厅, 43.54,68443,298,44,6
哈佛公寓,2室2厅, 96.21,72550,698,22,2
彰武大楼,2室0厅, 66.07,72651,480,6,1
双辽支路70弄,1室1厅, 39.85,59474,237,41,3
海上海新城(公寓),3室2厅, 147.32,93674,1380,32,11
才茂公寓,2室2厅, 99.77,70162,700,2,2
哈佛公寓,2室2厅, 97.16,76987,748,10,1
中通雅苑,3室2厅, 130.02,90756,1180,21,1
鞍山八村,1室0厅, 31.07,74027,230,108,2
贵人大厦,2室2厅, 103.17,65426,675,15,3
大连西路40弄,2室1厅, 67.3,81724,550,17,3
江浦路2009弄,1室0厅, 40.2,63433,255,13,1
辽源公寓,2室2厅, 104.46,65576,685,7,1
密云小区,2室0厅, 52.68,92066,485,15,3
和平花苑,3室2厅, 122.54,75894,930,20,4
辽源一村,2室0厅, 47.07,77545,365,16,4
本溪路165弄,2室1厅, 48.06,88432,425,8,1
海上海新城(公寓),2室2厅, 133.59,97313,1300,8,2
辽源三村,3室1厅, 75.67,68720,520,6,1
恒阳花苑,3室2厅, 115.31,79785,920,23,2
凤凰大楼,2室1厅, 114.19,62178,710,6,1
鞍山四村第三小区,1室0厅, 39.31,64869,255,96,2
锦西路63弄,1室1厅, 32.69,80147,262,5,2
鞍山一村,3室2厅, 109.6,68431,750,44,4
公交新村,2室1厅, 43.84,86679,380,16,3
同济新村,1室1厅, 34,84706,288,26,4
鞍山四村第二小区,2室1厅, 40.95,79366,325,12,4
同济国康公寓,2室1厅, 88.09,85141,750,19,0
飞虹公寓,2室2厅, 94.18,68168,642,11,0
密云小区,2室1厅, 83.83,78851,661,22,0
辽源公寓,2室0厅, 49.7,85514,425,0,0
申安公寓,6室3厅, 176.28,79420,1400,21,4
凤凰大楼,2室1厅, 88.74,70994,630,14,2
国中公寓,3室2厅, 143.01,55801,798,48,1
密云小区,2室1厅, 88.81,73190,650,16,3
通华大楼,2室1厅, 62.03,65775,408,40,0
鞍山三村,2室2厅, 99.88,71586,715,5,0
耀浦苑,3室2厅, 212.76,70032,1490,12,0
鞍山一村,2室1厅, 61.58,68204,420,49,65
和平花苑,2室1厅, 90.25,72577,655,28,50
和平花苑,2室2厅, 90.25,67591,610,48,53
鞍山八村,1室0厅, 26.34,79727,210,24,8
鞍山三村,1室0厅, 31.67,72624,230,84,9
鞍山八村,2室1厅, 56.27,79083,445,10,5
鞍山四村第三小区,1室0厅, 30,71667,215,56,4
双辽支路70弄,1室0厅, 32.29,71230,230,3,2
鞍山三村,1室0厅, 31.85,69702,222,19,42
密云小区,2室1厅, 66.2,78550,520,5,24
鞍山四村第三小区,1室1厅, 39.81,74856,298,8,1
鞍山六村,1室0厅, 32.49,64636,210,20,1
恒阳花苑,2室2厅, 82.47,81848,675,5,8
同济绿园,3室2厅, 128.68,86261,1110,9,1
恒阳花苑,2室1厅, 66.15,78610,520,129,94
同济新村,2室1厅, 48.59,86438,420,33,28
辽源三村,1室0厅, 31.77,69248,220,9,43
铁岭路90弄,2室0厅, 57,73685,420,5,34
鞍山三村,2室0厅, 47.18,80119,378,27,57
申安公寓,3室2厅, 152.25,69754,1062,0,0
鞍山四村第一小区,3室1厅, 55.34,80412,445,9,2
和平花苑,2室2厅, 102.48,88798,910,5,2
和平花苑,3室2厅, 122.54,71814,880,107,39
密云小区,2室1厅, 55.98,93784,525,17,25
彰武路120弄,3室1厅, 80.44,69618,560,54,25
和平花苑,3室2厅, 129.68,72487,940,53,37
和平花苑,3室2厅, 130.13,72082,938,68,36
鞍山三村,2室0厅, 48.94,73969,362,41,24
雪城公寓,2室2厅, 110.95,79316,880,3,0
和平花苑,2室1厅, 84.28,77124,650,3,3
鞍山四村第二小区,1室1厅, 37.8,60847,230,11,1
锦西路61号,2室1厅, 50.46,63417,320,42,22
双辽支路70弄,2室0厅, 39.49,60775,240,47,16
同济新村,1室0厅, 33.95,82475,280,1,3
鞍山四村第一小区,1室1厅, 37.13,75411,280,11,6
和平花苑,3室2厅, 168.43,81934,1380,2,9
和平花苑,3室2厅, 136,86765,1180,34,34
鞍山四村第一小区,1室0厅, 37.13,74065,275,17,22
鞍山四村第一小区,2室1厅, 54.16,70163,380,23,17
密云小区,1室1厅, 45.07,98736,445,15,19
密云小区,2室1厅, 57.31,87245,500,7,3
鞍山四村第三小区,1室0厅, 29.8,75504,225,6,2
鞍山四村第一小区,2室0厅, 49.39,65803,325,29,22
鞍山四村第一小区,2室0厅, 54.5,72478,395,6,0
建信大楼,2室1厅, 67.64,68008,460,26,29
打虎山路6弄,1室1厅, 35.21,71003,250,22,11
恒阳花苑,3室2厅, 106.68,84365,900,10,8
辽源三村,1室0厅, 31.7,63092,200,24,25
许昌路1430号,1室1厅, 30.24,72752,220,5,8
鞍山五村,3室2厅, 91.7,65977,605,45,5
许昌路1471弄,1室1厅, 31,73549,228,19,20
同济绿园,4室3厅, 216.92,82058,1780,28,11
恒阳花苑,2室2厅, 86.85,83478,725,14,11
鞍山四村第三小区,1室0厅, 39.03,73021,285,30,9
鞍山路79号,1室1厅, 37.55,68709,258,2,2
密云小区,1室1厅, 40,105000,420,5,2
鞍山六村,1室0厅, 31.92,73622,235,8,31
双辽支路70弄,3室1厅, 73.9,66983,495,25,17
鞍山八村,1室0厅, 29.45,78099,230,8,10
同济新村,2室1厅, 78.44,81592,640,28,17
和平花苑,2室2厅, 85.66,72380,620,102,15
鞍山八村,2室1厅, 55.65,74574,415,12,9
鞍山八村,2室1厅, 51.18,76202,390,28,6
大连路1188弄,3室0厅, 64.33,61403,395,44,5
鞍山五村,1室1厅, 43.98,68213,300,4,5
公安公寓,3室1厅, 73.59,85610,630,18,15
公交新村,2室1厅, 55.87,79650,445,24,12
公交新村,2室1厅, 60,73334,440,30,11
鞍山四村第二小区,2室1厅, 44,75000,330,66,12
鞍山五村,1室0厅, 35.67,65041,232,16,10
双辽支路70弄,1室0厅, 31,74194,230,17,12
铁岭大楼,2室1厅, 71.49,74137,530,54,11
鞍山五村,2室1厅, 55.08,72622,400,16,12
鞍山七村,3室2厅, 91.65,66558,610,3,4
国中公寓,4室2厅, 195.95,50524,990,10,2
辽源四村,1室0厅, 36.65,62756,230,0,0
密云小区,2室1厅, 52,96154,500,2,0
辽源西路213号,2室0厅, 46.75,59894,280,2,0
公交新村,1室0厅, 32.79,82343,270,6,22
鞍山五村,1室0厅, 40.95,75703,310,13,6
鞍山三村,1室1厅, 48.94,71517,350,17,9
辽源一村,3室1厅, 75.6,64815,490,37,7
中通雅苑,3室2厅, 125,86400,1080,14,15
鞍山五村,1室0厅, 40.95,75703,310,13,6
铁岭大楼,2室1厅, 73.22,74434,545,4,8
鞍山八村,2室1厅, 52,86539,450,9,8
大连西路40弄,2室1厅, 74.33,86372,642,8,6
辽源西路90号,1室1厅, 35.57,70284,250,3,6
辽源三村,1室0厅, 38.85,66925,260,3,6
鞍山三村,2室1厅, 47.23,78341,370,21,8
辽源公寓,2室1厅, 64.52,66647,430,10,10
辽源一村,1室1厅, 42.3,66194,280,4,5
双辽支路70弄,2室1厅, 58.56,68307,400,13,6
密云小区,1室1厅, 52,86539,450,14,9
鞍山三村,1室1厅, 37.33,72328,270,29,10
辽源三村,1室1厅, 42.03,64716,272,10,13
同济新村,2室2厅, 66.9,85950,575,12,11
江浦路2009弄,2室1厅, 55.66,75459,420,23,11
辽源三村,2室1厅, 47.77,64895,310,5,7
打虎大楼,2室1厅, 61.82,79263,490,8,6
公交新村,1室1厅, 31.03,78956,245,27,16
双辽新村,2室0厅, 47.41,64966,308,17,4
鞍山四村第三小区,2室1厅, 49.23,65002,320,46,5
密云小区,2室0厅, 52.84,89895,475,14,7
伊顿公寓,3室2厅, 145.82,72007,1050,81,8
鞍山四村第三小区,1室0厅, 30.92,73739,228,5,10
鞍山四村第三小区,1室0厅, 27.32,80528,220,43,20
恒阳花苑,3室2厅, 115,78261,900,13,0
铁岭大楼,2室1厅, 53.2,65790,350,2,2
三峰大厦,2室1厅, 79.97,65900,527,2,4
大连西路40弄,2室2厅, 101,71288,720,11,5
抚顺路363弄,2室1厅, 61.36,82302,505,9,4
