CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
浣纱五村,2室1厅, 69.84,62286,435,72,33
佳泰花园,3室2厅, 120.09,74112,890,58,35
兰花新村,2室1厅, 47.78,65928,315,15,21
浣纱六村,2室1厅, 76.84,62468,480,23,21
公园3000黄兴花园,2室2厅, 110.98,78393,870,52,20
靖宇东路85弄,2室1厅, 87.93,59138,520,79,17
佳龙花园,3室2厅, 119.47,87889,1050,17,20
汇元坊,3室2厅, 131.53,69794,918,13,20
控江西三村,1室1厅, 34.83,54551,190,40,24
宏翔公寓,2室2厅, 80.46,59657,480,49,30
松苑小区,2室1厅, 64.65,57232,370,32,17
沧州路180弄,2室1厅, 55.1,73503,405,23,36
控江五村,1室1厅, 40.69,61441,250,4,12
文化佳园,4室2厅, 143.59,87054,1250,87,7
怡佳苑,3室1厅, 91.42,59944,548,40,13
公园3000黄兴花园,2室2厅, 85.87,85013,730,60,22
控江东三村,1室1厅, 35.03,67086,235,5,20
黄兴绿园,2室2厅, 96.5,75648,730,21,22
杨浦欣园,2室1厅, 76.69,73674,565,61,19
杨浦欣园,2室2厅, 76.35,74002,565,121,23
延吉中路320弄,2室1厅, 48.05,72841,350,26,23
延吉七村,1室1厅, 43.62,63045,275,14,1
金宇名邸,2室2厅, 118.52,70031,830,96,13
延吉二村,2室1厅, 51.46,68014,350,13,21
长白二村,2室1厅, 63.56,52707,335,8,2
汇元坊,3室2厅, 130.92,71647,938,73,8
杨浦欣园,2室1厅, 74.06,72914,540,15,9
宏翔公寓,3室2厅, 113.55,58125,660,37,14
怡佳苑,2室1厅, 64.76,60532,392,22,15
东上海中心,3室2厅, 100.75,71465,720,80,14
海上硕和城,2室2厅, 108.74,85985,935,21,8
汇元坊,3室2厅, 130.92,71647,938,73,8
杨浦欣园,2室1厅, 74.06,72914,540,15,9
佳龙花园,1室1厅, 63,84921,535,22,10
公园3000黄兴花园,3室2厅, 121.39,87322,1060,22,13
双花公寓,2室1厅, 64.26,51354,330,21,8
控江东三村,1室1厅, 41.02,58265,239,91,10
万佳苑,3室1厅, 85,65295,555,59,11
延吉三村,2室1厅, 49.8,57229,285,143,7
望春都市家园,3室2厅, 129.28,70777,915,22,16
双花公寓,2室1厅, 69.43,60493,420,34,6
浣纱六村,2室2厅, 94.91,72174,685,36,8
东岸新里,2室1厅, 76.09,72283,550,38,7
宏翔公寓,3室2厅, 135,50741,685,49,4
文化佳园,3室2厅, 115.14,81206,935,27,10
文化佳园,3室2厅, 116.14,81798,950,21,8
望春都市家园,6室3厅, 222.62,65134,1450,23,13
文化佳园,3室2厅, 115.12,85129,980,33,8
控江二村107弄小区,1室1厅, 36.41,53557,195,194,16
佳龙花园,2室2厅, 95.84,80343,770,32,7
浣纱三村,2室1厅, 64.1,59907,384,65,4
靖宇东路85弄,2室1厅, 76.36,63515,485,3,4
延吉七村,2室1厅, 65.62,68577,450,5,5
怡佳苑,2室1厅, 65.39,61937,405,15,6
怡佳苑,2室0厅, 52.58,61811,325,49,5
黄兴绿园,3室2厅, 123.58,79301,980,54,5
佳泰花园,3室2厅, 133.52,73398,980,9,2
翔顺公寓,2室1厅, 69.87,62259,435,15,4
延吉六村,1室1厅, 56.85,61566,350,22,8
靖宇家园,2室2厅, 98.72,79012,780,31,3
浣纱六村,3室2厅, 110.1,54496,600,116,2
延吉中路310弄,1室1厅, 45.54,63681,290,9,5
万佳苑,2室2厅, 92.28,66104,610,22,5
兰花新村,2室1厅, 47.3,73996,350,18,4
浣纱六村,2室1厅, 71.29,63123,450,58,5
怡佳苑,2室0厅, 52.58,61811,325,49,5
控江东三村,4室2厅, 81.45,66913,545,40,3
浣纱六村,2室1厅, 78.6,61069,480,11,4
翔顺公寓,2室1厅, 70.51,62261,439,13,4
翔殷路505弄,2室1厅, 87.34,57821,505,31,6
怡佳苑,3室1厅, 77.4,61370,475,102,6
黄兴绿园,3室2厅, 123.58,79301,980,54,5
佳泰花园,3室2厅, 133.52,73398,980,9,2
翔顺公寓,2室1厅, 69.87,62259,435,15,4
延吉六村,1室1厅, 56.85,61566,350,22,8
怡佳苑,1室1厅, 45,62223,280,6,4
怡佳苑,2室2厅, 89.77,60823,546,27,4
控江四村,2室1厅, 65.46,62634,410,13,5
控江五村,1室1厅, 32.46,56994,185,36,12
兰馨雅苑,3室2厅, 111.65,76131,850,22,3
怡佳苑,3室1厅, 91.42,58522,535,12,2
浣纱三村,3室1厅, 80.62,61772,498,34,2
翔殷路505弄,2室2厅, 99.7,59178,590,16,3
佳泰花园,3室2厅, 118.23,74432,880,23,2
翔顺公寓,2室1厅, 70,61143,428,5,1
安波路200弄,2室2厅, 107.91,76916,830,4,1
兰花新村,3室0厅, 55.5,63064,350,3,1
怡佳苑,2室1厅, 59.66,57828,345,61,1
双花公寓,1室1厅, 48,72917,350,13,2
佳泰花园,3室2厅, 118.23,74432,880,23,2
延吉七村,1室1厅, 35.6,63203,225,6,2
双阳路604弄,2室1厅, 63.39,76511,485,5,2
控江四村,2室1厅, 56.71,59955,340,9,1
延吉大楼,2室1厅, 91.51,58464,535,16,1
公园3000黄兴花园,4室2厅, 167.78,92383,1550,35,5
翔殷路505弄,2室2厅, 91.66,58914,540,90,3
翔顺公寓,2室1厅, 70,61143,428,5,1
黄兴绿园,3室2厅, 143.24,68417,980,4,2
控江东三村,2室1厅, 51.9,59731,310,9,1
佳木斯路208弄,2室1厅, 75.82,55395,420,54,1
佳龙花园,3室2厅, 126.11,76759,968,13,1
公园3000黄兴花园,2室2厅, 101.85,78547,800,19,2
双阳路604弄,2室1厅, 63.28,75854,480,12,5
控江四村,1室0厅, 31.38,66922,210,7,8
控江四村,1室0厅, 31.82,58140,185,13,8
控江东三村,1室1厅, 34.94,61535,215,27,0
佳木斯路185弄,2室1厅, 48.09,61344,295,3,0
佳木斯路311号,2室1厅, 65.83,60459,398,2,0
佳木斯路208弄,2室1厅, 75.82,55395,420,17,0
佳泰花园,5室3厅, 216.2,63368,1370,26,0
松苑小区,2室1厅, 59.07,61792,365,5,0
延吉六村,1室1厅, 43.76,61701,270,5,0
东上海中心,2室1厅, 65.32,76241,498,10,0
佳木斯路275号,1室1厅, 44.28,54201,240,8,0
延吉七村,1室1厅, 43.62,63045,275,1,0
延吉七村,1室1厅, 51.62,80977,418,1,0
控江二村107弄小区,2室0厅, 59.16,70149,415,8,0
控江五村,1室0厅, 37.07,53952,200,5,3
控江四村,1室1厅, 34.26,65675,225,9,8
松花一村,1室0厅, 31.57,58600,185,27,4
延吉三村,1室0厅, 27.54,72622,200,1,1
安图新村,1室0厅, 28.2,70213,198,22,4
香阁丽苑,3室2厅, 142.81,80527,1150,85,64
翔顺公寓,2室1厅, 71.5,60280,431,64,2
控江四村,1室0厅, 31.73,56099,178,13,2
控江四村,1室0厅, 27.9,53764,150,25,2
控江五村,1室1厅, 33.95,55965,190,6,3
控江四村,1室1厅, 36.25,53794,195,48,64
控江四村,1室0厅, 31.67,57784,183,5,0
营口路788弄,2室1厅, 67.87,75881,515,34,28
东岸新里,3室1厅, 88.66,73314,650,140,27
延吉七村,1室0厅, 29.34,69871,205,15,41
控江五村,2室1厅, 63.24,64042,405,106,42
控江四村,1室1厅, 37.44,58227,218,14,52
控江西三村,1室1厅, 39.3,59797,235,11,28
控江五村,1室0厅, 31.38,53856,169,691,38
兰馨雅苑,3室2厅, 115.15,76423,880,32,27
杨浦欣园,2室2厅, 76.32,72065,550,76,29
控江四村,1室0厅, 25.68,57633,148,80,1
延吉五村,1室1厅, 36.23,57964,210,37,16
公园3000黄兴花园,2室2厅, 100.63,79500,800,30,34
延吉中路310弄,1室1厅, 45.54,54019,246,15,35
绿景家苑,2室2厅, 96,65625,630,50,19
城浦公寓,2室2厅, 96.73,66681,645,53,30
宏翔公寓,2室2厅, 87.26,58447,510,47,12
靖宇东路85弄,2室1厅, 76.44,62795,480,23,10
安图新村,1室1厅, 38.41,68993,265,22,10
安波路200弄,3室2厅, 104.72,65413,685,33,5
双阳路594弄,1室1厅, 35.94,91820,330,19,18
佳龙花园,2室2厅, 102.93,80638,830,21,22
翔殷路491弄,2室0厅, 53.27,65704,350,17,18
望春都市家园,3室2厅, 133.78,65780,880,67,11
双花公寓,2室1厅, 64.05,67136,430,17,9
远东一村,2室1厅, 58.29,54041,315,36,10
浣纱六村,3室1厅, 109,55964,610,60,9
浣纱六村,3室1厅, 87,66667,580,16,10
公园3000黄兴花园,4室2厅, 138.99,81301,1130,14,14
浣纱五村,2室1厅, 95.71,59555,570,31,13
杨浦欣园,2室1厅, 76.61,64613,495,96,18
远东一村,2室1厅, 61.07,50762,310,17,1
控江东三村,1室0厅, 34.94,57241,200,21,39
控江西三村,1室0厅, 41.12,61285,252,7,6
控江东三村,2室1厅, 51.4,58366,300,17,7
台益公寓,2室1厅, 85.85,61736,530,25,11
佳龙花园,2室1厅, 98.85,79818,789,15,7
延吉五村,1室1厅, 51.78,61800,320,6,8
沧州路180弄,2室1厅, 57.02,72782,415,17,10
文化佳园,3室2厅, 131.72,83511,1100,3,6
佳龙花园,1室2厅, 65.82,82802,545,24,11
佳泰花园,3室2厅, 127.56,75886,968,10,14
杨浦欣园,1室1厅, 53.42,75815,405,49,14
金宇名邸,2室2厅, 86.59,80841,700,46,12
公园3000黄兴花园,7室2厅, 228,98685,2250,45,9
延吉七村,1室1厅, 43.92,60337,265,5,15
杨浦欣园,2室2厅, 77,71429,550,22,5
兰花新村,2室1厅, 49.54,68632,340,11,5
香阁丽苑,2室2厅, 97.59,87612,855,12,4
宏翔公寓,2室2厅, 85.7,56943,488,35,6
兰花教师公寓,4室2厅, 137.97,74654,1030,16,4
双花公寓,2室1厅, 74,58109,430,4,1
靖宇东路85弄,1室2厅, 58.53,66462,389,10,1
公园3000黄兴花园,2室2厅, 100.86,82293,830,25,4
延吉六村,2室1厅, 65.82,57734,380,9,4
延吉七村,1室1厅, 56.67,59997,340,44,4
营口大厦,2室1厅, 71.11,64689,460,25,9
台益公寓,2室2厅, 93.86,59664,560,16,5
营口大厦,2室1厅, 108.02,60175,650,25,1
控江二村107弄小区,1室1厅, 35.69,61082,218,19,3
双花公寓,2室1厅, 64.05,65574,420,2,1
安图新村,1室1厅, 48.59,67916,330,26,4
控江二村107弄小区,1室0厅, 30.62,62051,190,192,5
控江二村107弄小区,1室0厅, 28.38,63425,180,144,4
靖宇东路85弄,2室1厅, 90.43,66350,600,10,4
松苑小区,2室1厅, 78.4,63776,500,4,6
公园3000黄兴花园,2室2厅, 101,85149,860,5,5
安图新村,2室0厅, 50.93,60868,310,13,7
松花一村,1室0厅, 34.49,55089,190,18,24
控江二村107弄小区,1室0厅, 34.48,59455,205,141,6
控江五村,1室1厅, 32.46,60074,195,21,14
控江五村,1室0厅, 33.95,54492,185,5,9
延吉四村,1室1厅, 30.81,69783,215,9,12
安图新村,1室1厅, 33,65152,215,2,1
控江西三村,2室0厅, 51.06,61693,315,17,2
控江二村107弄小区,1室0厅, 34.42,62464,215,17,4
仁缘坊,2室2厅, 89.79,71389,641,14,1
佳木斯路299号,2室1厅, 53.9,60297,325,16,1
佳木斯路311号,2室1厅, 65.83,60611,399,2,1
台益公寓,2室2厅, 114.47,59405,680,15,2
怡佳苑,2室1厅, 59.66,64868,387,8,2
怡佳苑,2室1厅, 59.66,64868,387,8,2
金宇名邸,3室2厅, 146,78768,1150,14,1
怡佳苑,2室1厅, 64.76,58679,380,14,1
延吉大楼,2室1厅, 91.51,59885,548,17,2
佳龙花园,2室2厅, 101.68,82416,838,3,1
兰花新村,2室0厅, 51.39,66161,340,4,1
兰馨雅苑,3室2厅, 123.7,79224,980,6,3
延吉东路130弄,2室1厅, 77.14,59632,460,3,1
兰花教师公寓,4室2厅, 136.24,73988,1008,30,1
东上海中心,2室1厅, 85.46,74304,635,96,5
双花公寓,2室1厅, 88.15,67839,598,5,2
延吉六村,2室1厅, 69.82,54426,380,23,4
东茂家苑,2室2厅, 108.86,72479,789,12,1
东岸新里,2室1厅, 76.09,72283,550,8,2
金宇名邸,3室2厅, 139.94,71460,1000,13,4
长白三村,1室1厅, 34.85,57389,200,264,1
怡佳苑,1室1厅, 53,50000,265,14,1
兰花新村,2室0厅, 49.73,62337,310,14,4
控江四村,2室1厅, 53.87,58475,315,20,2
佳龙花园,2室2厅, 101.08,79146,800,82,2
怡佳苑,1室1厅, 53.03,60344,320,12,1
黄兴绿园,3室2厅, 123.58,75094,928,9,1
延吉五村,1室1厅, 43.76,54845,240,6,4
万佳苑,2室1厅, 65,61847,402,17,4
松花江路95弄,5室2厅, 148.35,47186,700,45,3
翔顺公寓,3室2厅, 100.71,64542,650,38,4
宏翔公寓,4室2厅, 151.3,53537,810,13,2
海上硕和城,3室2厅, 120.26,91469,1100,0,1
佳泰花园,5室2厅, 215.54,68433,1475,39,0
佳木斯路266号,1室1厅, 40,55000,220,4,0
控江五村,1室0厅, 29.29,53602,157,6,0
松苑小区,2室2厅, 96.05,60906,585,13,0
翔顺公寓,1室1厅, 51,56079,286,29,0
松花江路95弄,2室1厅, 66.27,60058,398,7,0
控江四村,2室1厅, 49.03,63227,310,8,0
佳泰花园,5室2厅, 215.54,68433,1475,39,0
佳木斯路266号,1室1厅, 40,55000,220,4,0
黄兴绿园,3室2厅, 122.77,71679,880,22,0
远东一村,2室1厅, 78.34,54889,430,28,0
佳木斯路185弄,1室1厅, 39.92,67636,270,4,0
远东一村,2室0厅, 51.59,63966,330,3,0
营口路788弄,2室1厅, 68.36,71680,490,22,0
控江四村,2室1厅, 52.58,59909,315,12,0
控江五村,1室1厅, 39.7,67507,268,1,0
万佳苑,2室2厅, 84.36,64012,540,16,0
佳龙花园,3室2厅, 127.1,90480,1150,13,3
控江六村,1室1厅, 33.7,79526,268,8,10
延吉六村,1室2厅, 71.42,58808,420,23,0
东茂家苑,5室3厅, 146,65069,950,36,0
控江五村,1室1厅, 35.05,59915,210,48,0
怡佳苑,2室1厅, 56.51,61936,350,24,0
