CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
青春驿站,1室1厅, 40.23,50957,205,141,75
九城湖滨国际,3室2厅, 129.96,48862,635,54,66
九城湖滨国际,3室2厅, 100.4,44821,450,42,56
上海源花城,3室2厅, 125.39,37324,468,36,27
象屿名城,2室2厅, 90.63,49653,450,114,68
三盛颐景园(公寓),3室2厅, 89.16,40938,365,131,40
贝尚湾(公寓),3室2厅, 118.88,49630,590,64,42
贝尚湾(公寓),3室2厅, 117.53,56156,660,10,30
贝尚湾(公寓),2室2厅, 93.52,51861,485,38,45
奥林匹克花园,2室1厅, 83.7,43609,365,248,50
奥林匹克花园,3室2厅, 120.5,48963,590,97,19
奥林匹克花园,2室2厅, 89.48,48615,435,127,19
五洲云景花苑,4室2厅, 155.59,44991,700,36,19
英伦风尚(公寓),3室2厅, 120.79,46196,558,22,13
象屿都城,3室2厅, 126.06,41727,526,67,26
九城湖滨国际,1室2厅, 66.11,50674,335,25,22
英伦风尚(公寓),2室2厅, 86.85,44906,390,8,15
九亭明珠苑(公寓),1室1厅, 58.64,47749,280,19,11
三盛颐景园(公寓),3室2厅, 124.44,40984,510,30,7
象屿都城,3室2厅, 125.54,37837,475,35,14
摩卡小城,2室2厅, 102.71,40892,420,4,10
良隆园,2室2厅, 70.74,44954,318,24,8
奥林匹克花园,2室2厅, 84.52,47090,398,10,8
绿庭尚城,3室2厅, 89.09,46021,410,13,19
奥林匹克花园,2室1厅, 70.56,46061,325,276,15
绿庭尚城,2室2厅, 94.54,40195,380,40,23
金丰蓝庭,2室2厅, 100.57,41762,420,1,2
九城湖滨国际,3室2厅, 122.66,48916,600,7,3
九城湖滨国际,2室2厅, 89.71,47487,426,13,8
九城湖滨国际,2室2厅, 89.71,47487,426,13,8
九城湖滨国际,2室2厅, 88.76,49572,440,22,10
三盛颐景园(公寓),3室2厅, 117.49,38302,450,47,12
象屿都城,3室2厅, 125.54,39430,495,30,19
天宝恬苑,2室2厅, 84.12,37447,315,26,6
九亭苑,2室1厅, 62.78,42211,265,38,8
三元公寓,3室2厅, 147.42,35952,530,1,4
奥林匹克花园,2室2厅, 77.33,53020,410,115,11
复地富顿苑,3室2厅, 92.91,44129,410,46,11
中大九里德(公寓),2室2厅, 95.51,42928,410,13,9
金丰蓝庭,2室2厅, 101.61,42319,430,7,11
九城湖滨国际,1室1厅, 59.96,53369,320,23,10
奥林匹克花园,1室2厅, 65.19,45713,298,76,14
青春驿站,1室1厅, 41.56,51252,213,105,81
九城湖滨国际,3室2厅, 122.42,50646,620,18,9
五洲云景花苑,3室2厅, 128.02,43666,559,20,15
金丰蓝庭,3室2厅, 124.44,44199,550,16,7
颐亭花园(公寓),3室2厅, 138.26,29872,413,50,11
奥林匹克花园,3室2厅, 125.44,43846,550,41,7
九城湖滨国际,1室1厅, 58.22,54964,320,6,5
绿庭尚城,1室2厅, 66.2,47584,315,13,5
绿庭尚城,2室1厅, 70.2,45300,318,29,10
亭汇花苑,2室2厅, 88.7,43405,385,81,12
象屿都城,2室2厅, 91,43407,395,14,8
奥林匹克花园,2室2厅, 83.51,42870,358,109,12
云润家园,2室2厅, 100.74,42685,430,20,7
象屿名城,3室2厅, 89.35,50140,448,48,10
摩卡小城,2室2厅, 92.74,44210,410,21,8
五洲云景花苑,2室2厅, 97,40207,390,10,1
朗庭上郡苑(公寓),2室2厅, 88.03,40896,360,38,3
亭汇花苑,2室2厅, 91.15,41580,379,95,5
五洲云景花苑,2室2厅, 97,40207,390,10,1
朗庭上郡苑(公寓),2室2厅, 88.03,40896,360,38,3
三盛颐景园(公寓),3室2厅, 116.7,40275,470,25,3
中大九里德(公寓),2室2厅, 89.21,44839,400,32,6
中大九里德(公寓),2室2厅, 89.51,49157,440,0,1
朗庭上郡苑(公寓),1室2厅, 75.68,40962,310,41,1
九城湖滨国际,3室2厅, 122.42,51463,630,6,7
良隆园,3室2厅, 112.89,37205,420,14,6
三盛颐景园(公寓),3室2厅, 95.8,41232,395,8,1
奥林匹克花园,1室2厅, 66.85,45625,305,14,3
海德公寓,4室3厅, 128.92,35682,460,34,6
