CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
佘山翠庭,2室2厅, 88.76,26476,235,80,23
上海紫园,独栋别墅, 5室,67329,2850,26,15
世茂佘山庄园,独栋别墅, 5室,65283,5000,13,20
天马高尔夫别墅,独栋别墅, 4室,40892,1200,16,23
天马高尔夫别墅,独栋别墅, 4室,38020,1380,42,9
佘山高尔夫郡,联排别墅, 5室,52216,1500,9,1
天马高尔夫别墅,独栋别墅, 6室,36249,1880,10,6
紫都上海晶园,独栋别墅, 5室,61918,2200,11,1
天马高尔夫别墅,独栋别墅, 5室,30529,1400,23,6
佘山高尔夫郡,联排别墅, 5室,26837,950,128,4
佘山翠庭,2室2厅, 93.96,30865,290,28,0
江秋新苑(公寓),3室2厅, 117,25642,300,21,0
佘山3号,独栋别墅, 4室,40095,1700,16,1
佘山月湖山庄,独栋别墅, 5室,73015,5200,2,1
世茂佘山庄园,独栋别墅, 6室,78503,5680,39,3
上海紫园,独栋别墅, 5室,85047,3600,6,1
佘山3号,独栋别墅, 4室,29268,1238,24,36
天安别墅,独栋别墅, 4室,37936,1200,91,67
佘山家园,2室1厅, 74,28109,208,21,1
翠鑫苑,2室2厅, 81.97,29280,240,117,19
江秋新苑(公寓),2室2厅, 75,28667,215,50,24
天马高尔夫别墅,独栋别墅, 4室,29058,1300,27,14
翠鑫苑,2室2厅, 86.94,29331,255,49,14
天马高尔夫别墅,独栋别墅, 4室,40291,1180,35,14
江秋新苑(公寓),2室2厅, 90.43,28199,255,23,10
天马高尔夫别墅,独栋别墅, 4室,32829,1166,39,11
佘苑园,6室2厅, 329,28572,940,15,8
江秋新苑(公寓),2室2厅, 76,26974,205,50,17
紫都上海晶园,独栋别墅, 4室,53715,2000,20,16
佘山月湖山庄,独栋别墅, 6室,68621,3980,6,8
世茂佘山庄园,独栋别墅, 6室,56119,4300,78,26
佘山3号,独栋别墅, 3室,46026,1100,31,24
世茂佘山里,4室2厅, 247.09,31568,780,70,19
恒大佘山首府,1室1厅, 64.4,38820,250,50,1
佘山月湖山庄,独栋别墅, 6室,83574,4500,33,16
江秋新苑(公寓),1室1厅, 60.17,27755,167,62,8
翠鑫苑,2室2厅, 91.22,27407,250,60,7
天马高尔夫别墅,独栋别墅, 4室,40808,1780,8,1
佘山高尔夫郡,独栋别墅, 5室,89983,9000,36,3
天马高尔夫别墅,独栋别墅, 5室,35795,1600,8,10
佘山月湖山庄,独栋别墅, 4室,111431,6000,20,9
佘山家园,2室2厅, 93.22,26819,250,20,2
翠鑫苑,2室2厅, 87.1,29851,260,14,1
江秋新苑(公寓),3室2厅, 134,23881,320,23,3
世茂佘山里,5室3厅, 284.68,42153,1200,0,0
紫都上海晶园,独栋别墅, 4室,83509,3300,8,5
佘山高尔夫郡,联排别墅, 3室,38370,1600,17,6
中凯曼荼园,独栋别墅, 4室,85342,2950,0,7
紫都上海晶园,独栋别墅, 5室,45842,1800,40,16
佘山翠庭,2室2厅, 88.8,30406,270,18,2
世茂佘山庄园,独栋别墅, 6室,191890,35000,65,6
佘山3号,独栋别墅, 4室,42407,1410,9,3
佘山月湖山庄,独栋别墅, 5室,50421,3000,44,8
佘山家园,2室2厅, 94,27660,260,13,0
绿地海珀佘山,3室2厅, 88,45455,400,5,0
江秋新苑(公寓),3室2厅, 134.32,26058,350,16,0
翠鑫苑,3室2厅, 132,25758,340,17,0
江秋新苑(公寓),4室3厅, 175,25715,450,33,0
江秋新苑(公寓),3室2厅, 133.7,22439,300,22,0
绿地海珀佘山,3室2厅, 88.26,37957,335,6,0
江秋新苑(公寓),3室2厅, 134,26120,350,3,0
恒大佘山首府,4室2厅, 218,38991,850,10,0
绿地海珀佘山,2室1厅, 68,39706,270,1,0
江秋新苑(公寓),3室2厅, 120,27084,325,6,0
天马高尔夫别墅,独栋别墅, 6室,52686,2400,4,3
