CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
华泽新苑,3室2厅, 99.34,29193,290,39,17
华泽新苑,1室1厅, 53.8,34387,185,96,7
长泰西郊,独栋别墅, 4室,34914,1240,35,24
晨星小区,2室1厅, 91.85,23626,217,45,16
合生国际花园,独栋别墅, 4室,27717,1250,14,12
万宇阳光苑,1室1厅, 63.68,33763,215,38,19
华泽新苑,2室2厅, 77.63,32205,250,81,7
晨星东区,3室2厅, 117.85,20535,242,28,9
万宇阳光苑,3室1厅, 88.36,33387,295,27,7
晨星东区,1室1厅, 54.97,30017,165,23,6
万宇阳光苑,2室2厅, 85.05,34098,290,86,5
华泽新苑,2室1厅, 73.7,31208,230,15,4
万宇阳光苑,2室2厅, 86.55,35818,310,0,2
海派青城,1室2厅, 43.7,38902,170,22,5
新桥首府,2室2厅, 103.14,27633,285,22,2
新桥首府,3室2厅, 93.59,28850,270,10,1
欣德花苑,3室2厅, 140.69,27010,380,3,1
协和海琴花园,2室2厅, 93,32044,298,3,2
协和海琴花园,2室2厅, 102,30883,315,7,2
万宇阳光苑,2室1厅, 86,37210,320,0,3
协和海琴花园,2室1厅, 93.24,29816,278,7,1
新桥商苑,3室2厅, 113,28319,320,10,1
华泽新苑,3室2厅, 99.34,29193,290,2,1
华泽新苑,1室1厅, 53.8,39034,210,0,1
万宇阳光苑,2室2厅, 86.59,32106,278,13,0
欣德花苑,3室2厅, 141.49,27564,390,20,0
华泽新苑,2室1厅, 77.63,32205,250,39,0
万宇阳光苑,2室1厅, 75.71,36323,275,9,0
海派青城,1室1厅, 43.7,38902,170,10,1
英郡雷丁小城,联排别墅, 4室,47797,900,20,25
海派青城,2室2厅, 81.93,31735,260,29,20
华泽新苑,2室1厅, 72.13,32581,235,21,16
明月清泉新苑,双拼别墅, 4室,31354,750,27,14
晨星小区,3室1厅, 110.17,21603,238,14,16
英郡雷丁小城,叠拼别墅, 3室,38558,615,83,13
万宇阳光苑,2室1厅, 77.11,32422,250,29,18
万宇阳光苑,2室1厅, 83.19,31855,265,11,13
新桥首府,3室2厅, 103.15,30054,310,12,0
晨星东区,2室1厅, 90.93,25295,230,74,12
晨星小区,2室1厅, 91.81,23963,220,63,7
万宇阳光苑,2室2厅, 86.8,35139,305,1,8
英郡雷丁小城,联排别墅, 6室,42660,990,14,5
华泽新苑,1室1厅, 53.8,35316,190,74,11
英郡雷丁小城,联排别墅, 5室,55140,1200,18,2
欣德花苑,2室2厅, 103.91,29353,305,2,1
欣德花苑,2室2厅, 111.94,27694,310,5,3
晨星东区,3室2厅, 118.36,22812,270,10,1
新桥首府,2室1厅, 52.9,34972,185,55,3
新桥首府,2室1厅, 54.48,33040,180,73,3
新桥首府,1室2厅, 71.98,32648,235,11,3
新乐名苑,1室1厅, 59.42,31976,190,13,1
万宇阳光苑,2室2厅, 85,32942,280,16,1
海派青城,1室1厅, 44.5,37978,169,20,3
润景苑,2室2厅, 85.55,30977,265,16,2
新乐名苑,2室1厅, 78.28,29382,230,32,0
长泰西郊,独栋别墅, 5室,36430,1600,4,0
华泽新苑,2室1厅, 73.7,33650,248,5,0
华泽新苑,1室1厅, 49.65,41290,205,14,0
晨星东区,3室2厅, 118,23306,275,8,0
华泽新苑,1室1厅, 49.65,41290,205,14,0
新乐雅苑,2室2厅, 86.83,31096,270,0,1
华泽新苑,3室2厅, 99.34,30200,300,18,3
海派青城,2室1厅, 91.49,33884,310,30,3
新桥首府,3室2厅, 93.59,29918,280,24,4
明月清泉南园,3室2厅, 143.24,27926,400,7,0
新桥首府,4室2厅, 111.64,26873,300,136,0
新乐名苑,2室1厅, 76.46,29428,225,149,76
新桥首府,2室2厅, 52.9,34027,180,80,38
华泽新苑,2室1厅, 77.63,30015,233,12,37
协和海琴花园,3室2厅, 137.5,24000,330,2,0
海派青城,3室1厅, 90.04,32764,295,98,54
英郡雷丁小城,联排别墅, 4室,50312,808,6,2
晨星小区,3室2厅, 110,21182,233,65,30
雅鹿新苑(别墅),联排别墅, 4室,27982,596,17,4
华泽新苑,2室2厅, 74.02,31073,230,11,12
万宇阳光苑,1室1厅, 63.48,33869,215,1,4
华泽新苑,2室1厅, 72,32917,237,1,2
新乐名苑,2室1厅, 88,27273,240,28,14
新桥首府,3室1厅, 53.4,32772,175,149,21
海派青城,1室1厅, 44.73,37559,168,3,3
晨星小区,2室2厅, 91.13,23922,218,9,4
海派青城,1室1厅, 45.04,38855,175,39,20
华泽新苑,2室1厅, 74.02,29047,215,120,71
海派青城,2室2厅, 81.69,34276,280,12,29
协和海琴花园,2室2厅, 102.01,29998,306,1,0
华泽新苑,2室1厅, 74.02,32424,240,13,2
新乐雅苑,2室2厅, 86.6,31756,275,0,0
海派青城,3室2厅, 90.13,33286,300,13,15
晨星小区,2室1厅, 91,24396,222,86,18
晨星小区,2室1厅, 91,24396,222,86,18
晨星小区,2室1厅, 91.8,22005,202,31,21
晨星东区,3室2厅, 117.85,21214,250,57,16
新桥首府,2室2厅, 52.9,34027,180,22,4
协和海琴花园,2室2厅, 104.25,27626,288,17,5
协和海琴花园,3室2厅, 136.75,24498,335,48,4
海派青城,1室1厅, 44.48,39344,175,1,1
海派青城,1室1厅, 44.53,39974,178,1,4
晨星小区,2室1厅, 91.85,23408,215,15,12
华泽新苑,2室1厅, 74.02,31749,235,8,8
长泰西郊,独栋别墅, 8室,49188,2450,9,16
雅鹿新苑(别墅),联排别墅, 4室,28133,610,10,12
润景苑,3室2厅, 130,28462,370,12,3
协和海琴花园,2室2厅, 104,25481,265,16,4
新乐名苑,3室2厅, 126,26191,330,5,1
华泽新苑,2室1厅, 74.02,31749,235,29,14
万宇阳光苑,1室1厅, 64.57,35621,230,16,12
明月清泉新苑,叠拼别墅, 3室,27605,460,29,10
海派青城,2室2厅, 77,33767,260,21,11
万宇阳光苑,2室2厅, 83.24,31836,265,10,10
海派青城,3室1厅, 90.04,34430,310,1,0
协和海琴花园,2室2厅, 91.04,30756,280,0,0
欣德花苑,3室2厅, 141.49,27564,390,0,0
雅鹿新苑(别墅),双拼别墅, 4室,26154,680,21,5
海派青城,1室1厅, 44.48,38894,173,11,6
华泽新苑,2室1厅, 72.13,30224,218,20,10
润景苑,2室2厅, 85.05,28219,240,40,11
万宇阳光苑,3室2厅, 104.15,32646,340,6,5
海派青城,3室2厅, 101.21,33594,340,22,10
南姚小区,2室2厅, 86,24419,210,49,6
新北街227弄,3室1厅, 87.05,29868,260,12,6
海派青城,3室2厅, 90.04,34430,310,17,6
万宇阳光苑,3室1厅, 64,36719,235,11,7
海派青城,3室2厅, 90.13,32176,290,6,0
万宇阳光苑,1室1厅, 63.32,35534,225,3,10
海派青城,1室1厅, 44.48,38670,172,20,3
新桥首府,2室2厅, 52.9,35917,190,55,3
新乐名苑,1室2厅, 64.46,29166,188,22,2
华泽新苑,1室1厅, 53.8,39034,210,15,6
协和海琴花园,2室2厅, 93.24,31103,290,6,5
晨星东区,1室1厅, 54.51,32105,175,13,6
英郡雷丁小城,联排别墅, 4室,38497,850,51,8
新乐名苑,1室1厅, 64.46,31027,200,32,4
华泽新苑,2室1厅, 74.02,32154,238,13,1
欣德花苑,2室2厅, 111,29280,325,4,1
万宇阳光苑,3室1厅, 86.75,34583,300,12,2
协和海琴花园,2室2厅, 93.24,36037,336,0,1
南姚小区,3室2厅, 121,24794,300,9,1
万宇阳光苑,2室2厅, 85.77,31247,268,47,1
新桥首府,2室1厅, 54,34815,188,65,1
海派青城,1室0厅, 44,39319,173,3,1
新乐名苑,2室2厅, 99.95,28015,280,13,1
绿城兰园,3室2厅, 147,34014,500,9,1
明月清泉南园,3室2厅, 137.39,31662,435,4,3
海欣南区,2室1厅, 72.9,30179,220,9,1
协和海琴花园,3室2厅, 154.8,27778,430,4,3
新桥首府,2室2厅, 71.98,32648,235,25,2
协和海琴花园,2室2厅, 93.36,32134,300,14,1
海派青城,2室2厅, 77.53,33278,258,12,4
润景苑,3室2厅, 139,28634,398,4,3
华泽新苑,1室1厅, 53.8,39034,210,14,1
海派青城,1室1厅, 45.04,39521,178,10,1
协和海琴花园,2室2厅, 93.24,30567,285,20,1
晨星东区,1室1厅, 54.97,31290,172,8,1
万宇阳光苑,2室2厅, 83.19,34259,285,5,3
海茂公寓,2室2厅, 80.64,28522,230,15,2
万宇阳光苑,2室1厅, 77.11,33719,260,13,3
海派青城,3室2厅, 112.48,32451,365,2,10
明月清泉新苑,双拼别墅, 5室,33444,800,3,3
海派青城,3室2厅, 126.48,30045,380,23,2
合生国际花园,联排别墅, 3室,30000,780,21,5
上海家天下花园,联排别墅, 4室,33887,880,29,3
欣德花苑,3室2厅, 128.48,26075,335,7,0
欣德花苑,3室2厅, 141.49,28978,410,1,0
海茂公寓,3室1厅, 80.64,31995,258,6,0
新乐雅苑,3室2厅, 122.05,27858,340,4,0
海派青城,3室2厅, 101.21,33594,340,12,0
海派青城,3室2厅, 102,34314,350,20,0
明月清泉新苑,叠拼别墅, 5室,36935,665,5,0
明月清泉南园,2室2厅, 106.99,27293,292,10,0
万宇阳光苑,3室2厅, 118.95,33628,400,0,0
万宇阳光苑,1室1厅, 63.68,33763,215,1,0
万宇阳光苑,2室2厅, 85.26,35187,300,2,0
欣德花苑,2室2厅, 104,34616,360,0,0
万宇阳光苑,2室2厅, 85.37,35142,300,4,0
万宇阳光苑,1室1厅, 63.44,37043,235,4,0
新乐名苑,2室1厅, 76,30264,230,5,0
九新小区,3室2厅, 89.34,27424,245,7,0
英郡雷丁小城,双拼别墅, 5室,46846,1300,24,1
新南街560弄,1室1厅, 55.46,36063,200,12,2
新南街560弄,1室1厅, 55.46,36063,200,12,2
英郡雷丁小城,双拼别墅, 5室,46846,1300,24,1
合生国际花园,联排别墅, 4室,30000,780,19,1
新乐名苑,1室2厅, 58,30690,178,13,9
明月清泉新苑,叠拼别墅, 3室,42357,650,9,0
明月清泉新苑,叠拼别墅, 4室,44312,680,11,0
欣德花苑,2室2厅, 103.91,31278,325,0,0
海派青城,3室1厅, 91.17,32906,300,4,0
海派青城,2室2厅, 91.3,32859,300,8,0
海派青城,1室1厅, 44.15,38959,172,5,3
海派青城,1室1厅, 43.76,41134,180,1,0
晨星小区,1室1厅, 55,32728,180,0,0
晨星东区,1室1厅, 55,32728,180,0,0
长泰西郊,独栋别墅, 5室,48838,2500,0,0
海派青城,2室1厅, 86.83,34551,300,38,30
雅鹿新苑(别墅),双拼别墅, 4室,28847,750,8,14
海派青城,2室1厅, 78.33,32683,256,7,3
协和海琴花园,3室2厅, 113,28319,320,0,1
合生国际花园,联排别墅, 4室,39788,660,17,4
海派青城,2室1厅, 77.53,33536,260,2,10
长泰西郊,独栋别墅, 3室,34391,1200,13,10
上海家天下花园,联排别墅, 3室,31289,560,26,9
新桥首府,3室2厅, 97.33,30310,295,26,7
合生国际花园,联排别墅, 3室,29616,770,18,7
海派青城,2室1厅, 91.6,33297,305,34,7
上海家天下花园,4室2厅, 343.44,39309,1350,3,4
上海家天下花园,联排别墅, 4室,40034,899,6,1
万宇阳光苑,1室1厅, 63.37,33139,210,22,7
欣德花苑,3室2厅, 140.69,27010,380,4,1
晨星小区,2室1厅, 92,22827,210,7,2
万宇阳光苑,1室1厅, 63.37,33139,210,22,7
晨星小区,2室1厅, 92,22827,210,7,2
合生国际花园,联排别墅, 4室,29044,780,21,4
协和海琴花园,4室2厅, 93,38710,360,13,2
明月清泉新苑,叠拼别墅, 4室,33991,612,2,3
欣德花苑,3室2厅, 141.49,30391,430,7,1
新乐雅苑,2室2厅, 93.3,29475,275,7,1
绿城兰园,4室2厅, 323.53,40182,1300,2,0
绿城兰园,5室2厅, 322.76,40278,1300,1,0
协和海琴花园,3室2厅, 115.47,34209,395,2,0
上海家天下花园,联排别墅, 5室,40079,900,2,0
新乐雅苑,1室1厅, 55,38182,210,0,0
九城家天下,联排别墅, 5室,23641,1000,8,0
上海家天下花园,联排别墅, 2室,38484,685,10,0
新桥首府,2室2厅, 103.38,30954,320,4,0
海派青城,2室2厅, 82.43,31542,260,4,0
华泽新苑,1室1厅, 49.65,37866,188,6,2
晨星小区,3室2厅, 110,20455,225,10,7
晨星小区,3室2厅, 110.22,24043,265,0,0
新桥首府,2室2厅, 52.9,36863,195,4,0
新桥首府,2室2厅, 103.14,26179,270,1,0
万宇阳光苑,2室2厅, 75.71,32757,248,0,0
晨星小区,3室1厅, 109.95,22738,250,1,0
晨星小区,2室2厅, 91.13,23922,218,11,17
英郡雷丁小城,联排别墅, 4室,45760,900,9,9
晨星小区,2室1厅, 91.85,21775,200,41,9
明月清泉南园,3室2厅, 137.43,31289,430,1,2
晨星东区,1室1厅, 54.51,29353,160,7,6
晨星东区,2室2厅, 90.93,23645,215,16,5
雅鹿新苑(别墅),联排别墅, 4室,25000,650,3,2
上海家天下花园,双拼别墅, 4室,37319,1050,0,1
雅鹿新苑(别墅),联排别墅, 4室,25000,650,3,2
晨星东区,3室2厅, 117.85,20365,240,29,3
协和海琴花园,3室2厅, 137.05,26633,365,1,1
雅鹿新苑(别墅),双拼别墅, 5室,26418,730,2,3
明月清泉南园,4室2厅, 181.62,30724,558,0,1
新桥首府,3室2厅, 93.59,27781,260,22,1
新桥商苑,3室2厅, 123.8,29080,360,0,0
协和海琴花园,3室2厅, 118,27967,330,0,0
