CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
松云水苑(公寓),3室2厅, 138.91,29876,415,17,48
松云水苑(公寓),3室2厅, 133.3,30008,400,34,36
星辰园(公寓),2室2厅, 92.99,44091,410,25,61
保利西子湾,2室2厅, 104.11,42263,440,62,59
三湘四季花城,3室1厅, 113.23,44158,500,10,27
保利西子湾,2室2厅, 89.03,43806,390,13,20
保利西子湾,1室1厅, 59.7,43552,260,166,32
保利西子湾,1室1厅, 59.7,46567,278,41,26
保利西子湾,1室1厅, 59.7,41877,250,75,26
三湘四季花城,3室2厅, 139.16,45631,635,34,30
御上海,2室2厅, 99.5,43217,430,41,26
三湘四季花城,2室2厅, 101.02,45536,460,17,28
三湘四季花城,2室1厅, 76.73,50828,390,56,34
保利西子湾,2室2厅, 89.89,41718,375,46,28
御上海,1室1厅, 65.77,43333,285,40,16
保利西子湾,2室2厅, 90.42,38930,352,133,16
莱顿小城,3室2厅, 120.75,35611,430,23,18
御上海,1室1厅, 63.99,44539,285,31,24
保利西子湾,2室2厅, 104.11,42071,438,61,16
保利西子湾,2室1厅, 78.93,41556,328,70,16
绿地蔷薇九里(公寓),3室2厅, 109.68,43308,475,14,12
上尚缘,4室2厅, 182.63,41067,750,21,17
保利西子湾,2室2厅, 89.94,43140,388,15,11
三湘四季花城,3室2厅, 106.23,45185,480,33,9
御上海,1室1厅, 63.84,43860,280,28,9
星辰园(公寓),2室2厅, 98.5,41117,405,6,9
三湘四季花城,3室2厅, 117.69,52256,615,4,6
三湘四季花城,2室2厅, 89.64,50201,450,3,3
新城家园,1室1厅, 52.49,43818,230,14,3
绿地诺丁山(公寓),1室1厅, 55.2,46196,255,10,5
恒杰丁香花园,1室1厅, 65,41385,269,4,3
三湘四季花城,3室2厅, 107.86,46171,498,25,2
莱顿小城,3室2厅, 125.88,31777,400,4,4
三湘四季花城,2室2厅, 101.02,44546,450,15,6
文翔名苑(公寓),3室2厅, 123,39513,486,5,3
保利西子湾,2室2厅, 90.14,46595,420,10,1
保利西子湾,1室1厅, 59.7,45227,270,8,1
保利西子湾,2室2厅, 89.03,43244,385,20,2
绿地蔷薇九里(公寓),3室2厅, 93.17,44006,410,27,2
松云水苑(公寓),2室2厅, 112.3,32948,370,12,3
文翔名苑(公寓),3室2厅, 103.2,37791,390,15,1
新城家园,2室2厅, 68.86,39937,275,5,2
新城家园,3室2厅, 125.81,35769,450,11,2
绿地蔷薇九里(公寓),3室2厅, 91.92,44061,405,17,3
文翔名苑(公寓),2室2厅, 88.41,36196,320,7,1
松云水苑(公寓),2室2厅, 121.6,35362,430,0,0
星辰园(公寓),3室2厅, 127.85,35980,460,26,24
恒杰丁香花园,2室2厅, 104.1,40346,420,4,0
保利西子湾,1室2厅, 59.7,44389,265,28,33
誉品谷水湾,4室2厅, 187.05,48116,900,64,80
莱顿小城,3室2厅, 86.84,37426,325,57,54
龙湖好望山(公寓),4室2厅, 196,38266,750,18,35
星辰园(公寓),3室2厅, 107.64,39019,420,15,9
莱顿小城,2室2厅, 85.59,38556,330,35,55
松云水苑(公寓),2室2厅, 114.27,32818,375,12,34
绿地蔷薇九里(公寓),2室2厅, 87.58,43960,385,33,41
莱顿小城,3室2厅, 129.08,34863,450,9,16
御上海,1室1厅, 65.58,48033,315,6,34
三湘四季花城,1室2厅, 69.75,48029,335,1,1
保利西子湾,1室1厅, 56.33,40831,230,183,34
绿地蔷薇九里(别墅),3室2厅, 131,52672,690,36,49
松云银座,2室1厅, 92.69,29669,275,20,9
松云水苑(公寓),2室2厅, 125.89,30980,390,3,18
保利西子湾,1室1厅, 59.7,48577,290,12,18
三湘四季花城,2室2厅, 101.02,43061,435,9,17
松云水苑(公寓),2室2厅, 102.14,33288,340,20,15
绿地诺丁山(公寓),1室1厅, 48.6,46914,228,32,16
保利西子湾,2室2厅, 89,46068,410,23,45
御上海,2室2厅, 64,44532,285,150,42
龙湖好望山(公寓),2室2厅, 92.11,41038,378,50,44
文翔名苑(公寓),2室2厅, 88.38,36774,325,23,17
保利西子湾,2室2厅, 90.14,42712,385,23,24
三湘四季花城,2室2厅, 89.64,49086,440,17,21
保利西子湾,1室1厅, 59.72,45211,270,24,24
绿地蔷薇九里(公寓),2室2厅, 87.45,44026,385,6,10
新城家园,3室2厅, 99.49,33672,335,11,9
绿地蔷薇九里(公寓),4室2厅, 127.4,43957,560,67,18
绿地蔷薇九里(公寓),1室1厅, 63.94,46138,295,26,16
绿地诺丁山(公寓),2室2厅, 82.64,41385,342,29,22
绿地蔷薇九里(别墅),4室2厅, 128.03,55847,715,44,14
松云水苑(公寓),3室2厅, 153.95,31179,480,3,2
保利西子湾,2室2厅, 90.14,46595,420,10,17
绿地蔷薇九里(公寓),3室2厅, 112.56,42644,480,50,15
星辰园(公寓),3室2厅, 152.26,39407,600,84,20
恒杰丁香花园,3室2厅, 104,35577,370,12,2
御上海,4室2厅, 152.91,49703,760,24,16
龙湖好望山(公寓),2室2厅, 90.64,41704,378,87,11
三湘四季花城,3室2厅, 135.56,44851,608,20,13
松云水苑(公寓),3室2厅, 137.87,30464,420,6,14
山水景苑,3室2厅, 180.18,40238,725,25,3
龙湖好望山(公寓),3室2厅, 118.7,41955,498,15,1
绿地蔷薇九里(公寓),3室2厅, 91.39,43769,400,48,6
文翔名苑(公寓),2室2厅, 88.13,36310,320,9,9
星辰园(公寓),2室2厅, 92.99,43554,405,25,5
莱顿小城,2室2厅, 85.99,39889,343,3,8
御上海,1室2厅, 64,46094,295,10,6
莱顿小城,3室2厅, 124.01,35078,435,10,6
文翔名苑(公寓),2室2厅, 68.03,39689,270,15,6
松云水苑(公寓),3室2厅, 130.56,32170,420,20,5
龙湖好望山(公寓),2室2厅, 92.11,40170,370,29,3
保利西子湾,1室1厅, 59.72,46886,280,2,1
莱顿小城,3室2厅, 129.6,30865,400,38,3
中山文化苑(一期),2室2厅, 94.8,30591,290,17,4
文翔名苑(公寓),2室2厅, 88.57,36695,325,6,2
绿地蔷薇九里(公寓),2室2厅, 90.21,42124,380,26,6
保利西子湾,2室2厅, 90,42223,380,13,3
绿地诺丁山(公寓),2室2厅, 88.58,36013,319,12,3
松云银座,2室2厅, 121,30166,365,50,6
文翔名苑(公寓),2室1厅, 67.89,39771,270,38,1
绿地蔷薇九里(公寓),3室2厅, 91.35,43241,395,10,0
恒杰丁香花园,2室1厅, 79.85,39825,318,8,2
绿地诺丁山(公寓),1室1厅, 53.59,45905,246,4,3
莱顿小城,2室2厅, 79.09,37932,300,51,8
三湘四季花城,3室2厅, 136.3,46222,630,6,2
三湘四季花城,2室2厅, 89.64,47970,430,13,4
文翔名苑(别墅),5室2厅, 204.39,44034,900,10,8
保利西子湾,3室2厅, 137.54,44351,610,3,1
绿地蔷薇九里(公寓),3室2厅, 131.54,45614,600,7,2
莱顿小城,3室2厅, 140.66,34125,480,7,2
松云水苑(公寓),3室2厅, 138.91,34915,485,10,2
莱顿小城,3室2厅, 120.11,34968,420,14,1
三湘四季花城,1室1厅, 58.21,49820,290,17,3
中山文化苑(二期),2室2厅, 83.86,36371,305,3,1
保利西子湾,2室2厅, 89.79,45663,410,3,1
恒杰丁香花园,2室2厅, 104.1,36504,380,6,1
御上海,1室2厅, 62.84,46149,290,26,1
松云水苑(公寓),2室2厅, 124.05,31036,385,2,3
保利西子湾,1室1厅, 59.83,45128,270,23,1
星辰园(公寓),2室2厅, 93.13,41877,390,21,2
绿地蔷薇九里(公寓),4室2厅, 154.62,43979,680,0,1
龙湖好望山(公寓),3室2厅, 119.75,41754,500,46,4
绿地蔷薇九里(公寓),3室2厅, 90.79,44939,408,7,3
莱顿小城,3室2厅, 144.4,32549,470,16,1
山水景苑,2室2厅, 99.8,37075,370,3,1
复地翠堤苑(别墅),联排别墅, 5室,37669,840,9,0
恒杰丁香花园,3室2厅, 138.03,42020,580,1,0
恒杰丁香花园,2室2厅, 115.49,41563,480,5,0
莱顿小城,2室2厅, 85.97,38968,335,17,0
保利西子湾,1室1厅, 59.7,46902,280,18,0
保利西子湾,2室2厅, 89.88,46729,420,4,0
莱顿小城,3室2厅, 123.93,36311,450,1,0
保利西子湾,2室2厅, 89.03,46052,410,6,0
中山文化苑(一期),2室2厅, 78.8,35533,280,9,0
莱顿小城,3室2厅, 122.62,34253,420,6,0
莱顿小城,3室2厅, 124,34678,430,1,0
绿地蔷薇九里(公寓),1室2厅, 63.31,45017,285,19,0
