CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
阳光翠庭,3室2厅, 150.22,35282,530,38,22
紫东新苑,4室2厅, 175.24,37092,650,4,0
红墅1858(公寓),2室2厅, 89,41012,365,6,6
东鼎名人府邸,3室2厅, 186.53,44390,828,19,14
天虹二村,3室1厅, 80.71,30976,250,19,3
兰桥公寓,3室2厅, 124.61,34508,430,10,3
天虹四村,2室2厅, 83.61,32293,270,27,8
久阳文华府邸(公寓),3室1厅, 68.38,34367,235,80,9
阳光翠庭,2室1厅, 77.92,39528,308,24,9
珠江新城,3室2厅, 137.17,33536,460,64,13
原野花园,4室2厅, 195.2,55841,1090,11,9
久阳文华府邸(公寓),4室2厅, 152.21,34492,525,60,13
世纪新城,2室2厅, 89.28,35843,320,49,11
天虹四村,3室1厅, 80.7,32962,266,33,5
兰桥公寓,3室2厅, 135.65,33911,460,7,4
上泰绅苑(公寓),3室2厅, 125.72,42874,539,6,8
文景苑,2室2厅, 101,42080,425,10,6
月亮河碧园(公寓),3室2厅, 133.57,39680,530,31,8
世纪新城,2室2厅, 88.84,38272,340,8,5
公捷苑,3室2厅, 100.23,35918,360,47,4
昌鑫花园(公寓),2室2厅, 82,41464,340,15,4
天乐新村,2室1厅, 76.78,34515,265,9,7
天虹一村,2室2厅, 82.96,30136,250,20,1
华亭新苑,2室1厅, 68.41,39468,270,39,5
久阳文华府邸(公寓),2室2厅, 108.45,35962,390,11,4
江中公寓,2室2厅, 87,36782,320,11,8
东明花苑,3室2厅, 136.23,34134,465,21,2
阳光翠庭,1室2厅, 77.92,42352,330,14,4
江中公寓,3室2厅, 103.34,35805,370,40,3
东明花苑,3室2厅, 136.23,34134,465,21,2
天乐新村,2室1厅, 76.78,34515,265,9,7
公捷苑,3室2厅, 100.23,35918,360,47,4
昌鑫花园(公寓),2室2厅, 82,41464,340,15,4
绿洲华庭苑(公寓),3室2厅, 143.06,37048,530,22,5
江中公寓,2室2厅, 94.44,33884,320,2,7
月亮河碧园(公寓),3室2厅, 134,39180,525,6,5
名庭花苑,5室2厅, 220,35455,780,25,3
天虹四村,2室1厅, 65.19,35282,230,18,5
江虹花园,3室2厅, 106.71,37017,395,13,2
昌鑫花园(公寓),2室2厅, 91,36814,335,8,2
天虹六村,2室2厅, 81,33334,270,6,1
上泰绅苑(公寓),2室2厅, 103.06,34932,360,25,1
紫东新苑,2室2厅, 85,37648,320,17,1
檀香花苑(公寓),3室2厅, 150,34667,520,13,4
华亭新苑,2室2厅, 104.39,38318,400,21,4
东明花苑,2室2厅, 110.8,35921,398,23,1
红墅1858(公寓),3室2厅, 89.6,42411,380,10,1
大江苑,2室2厅, 90.63,34206,310,10,1
安信湖畔天地坊,5室2厅, 229.53,36815,845,13,2
鼎信公寓,3室2厅, 120,37500,450,31,3
昌鑫花园(公寓),2室2厅, 89,39326,350,18,1
名庭花苑,2室2厅, 116.97,36335,425,5,2
德邑小城(公寓),2室2厅, 90.16,39930,360,13,4
海立华亭(公寓),3室2厅, 159.35,47694,760,7,4
阳光翠庭,3室2厅, 117.22,36513,428,8,1
世纪新城,2室2厅, 90,35000,315,22,3
珠江新城,3室2厅, 144,31598,455,23,2
珠江新城,2室2厅, 106.71,33268,355,18,3
开元新都,3室2厅, 117.74,42467,500,6,1
昌鑫花园(公寓),2室2厅, 89,39326,350,18,1
开元新都,3室2厅, 117.74,42467,500,6,1
珠江新城,2室2厅, 106.71,33268,355,18,3
珠江新城,3室2厅, 144,31598,455,23,2
世纪新城,2室2厅, 90,35000,315,22,3
名仕豪庭(公寓),2室2厅, 85.38,41696,356,5,0
春峰苑(公寓),2室2厅, 101.46,37454,380,3,0
茸平苑,3室2厅, 135.99,35297,480,11,0
久阳文华府邸(公寓),2室2厅, 94.69,38019,360,5,0
世纪新城,2室2厅, 89.06,38177,340,29,0
海立华亭(公寓),3室2厅, 129.39,40189,520,2,0
久阳文华府邸(公寓),5室3厅, 224.93,40235,905,15,0
华亭公寓,2室2厅, 103.75,39519,410,0,0
阳光翠庭,2室2厅, 115.48,37756,436,13,0
