CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
白云新村,2室1厅, 51.26,32775,168,112,36
蓝天新村,2室1厅, 74.83,29400,220,95,19
白洋苑,3室2厅, 99.98,33007,330,17,2
九峰小区,2室2厅, 72.09,35373,255,72,9
三星苑,3室2厅, 117.04,32468,380,22,3
玉乐小区,1室1厅, 61.25,38858,238,15,8
人乐二村,2室1厅, 51.3,37038,190,17,11
三星苑,2室1厅, 74.73,33454,250,59,12
蓝天新村,2室1厅, 67,32836,220,28,10
新理想花园,2室2厅, 84.26,37978,320,18,10
三星苑,2室2厅, 87.08,33877,295,26,14
新理想花园,3室1厅, 100.29,38389,385,7,10
北九峰小区,3室1厅, 86.74,38045,330,13,4
凤凰小区,2室1厅, 52.6,37643,198,50,8
民乐一村,3室2厅, 150.46,27583,415,24,5
云间名门,3室1厅, 91,41759,380,13,7
同济城市雅筑,2室2厅, 82.13,39572,325,7,1
人乐二村,3室1厅, 56.66,38829,220,11,4
三星苑,4室3厅, 94,35107,330,18,3
玉树南苑,2室2厅, 74.34,40356,300,6,3
荣乐中路115弄,3室1厅, 88.24,29919,264,43,1
荣景苑(A区),2室2厅, 92.32,35746,330,11,6
民乐四村,3室2厅, 97.75,34783,340,5,4
新理想花园,2室2厅, 97.32,32882,320,29,6
平安小区,3室2厅, 94,29256,275,13,1
玉乐小区,3室2厅, 134.34,33498,450,3,1
玉乐小区,3室2厅, 129.9,33103,430,2,1
民乐四村,2室1厅, 79,37342,295,12,1
荣乐小区,2室1厅, 66,36364,240,92,3
云间名门,2室2厅, 90.01,44440,400,1,2
人乐二村,3室1厅, 73.08,34210,250,10,3
同济城市雅筑,2室2厅, 82.13,42372,348,3,2
九峰小区,2室2厅, 72.09,37454,270,40,3
谷水苑,2室2厅, 88.86,43890,390,5,1
玉树南苑,2室2厅, 102,29412,300,32,2
茸联苑,2室2厅, 91.07,31844,290,6,1
白洋苑,2室2厅, 83.33,34202,285,11,2
松乐苑,3室2厅, 137.86,32280,445,20,1
海尚名都,2室2厅, 70.95,39465,280,22,3
玉乐小区,3室2厅, 134.34,33498,450,3,1
玉乐小区,3室2厅, 129.9,33103,430,2,1
民乐四村,2室1厅, 79,37342,295,12,1
荣乐小区,2室1厅, 66,36364,240,92,3
花园浜小区,2室2厅, 106.72,31860,340,6,2
茸南苑,2室2厅, 80.86,30423,246,7,2
平安小区,3室2厅, 94,29256,275,13,1
北九峰小区,4室2厅, 136.43,33717,460,18,2
西林南路67号,2室1厅, 74,34865,258,3,1
通波小区,3室2厅, 93,35484,330,7,2
玉树南苑,2室2厅, 75,40667,305,10,1
金沙滩131号,2室1厅, 70.2,30627,215,53,2
环城新村,2室1厅, 66,32576,215,22,5
蓝天新村,2室2厅, 93.43,37462,350,1,1
荣乐水岸,2室2厅, 82.68,37494,310,10,4
华亭新家银杏苑,2室2厅, 101.27,36536,370,1,1
森林公馆乐莫苑,2室1厅, 46.82,46989,220,28,2
新理想花园,2室2厅, 117.21,36687,430,6,1
人乐三村,2室1厅, 60.6,33829,205,62,1
茸南苑,2室2厅, 92,27718,255,8,1
