CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
新凯家园,2室1厅, 79.33,34666,275,185,104
新凯家园,3室2厅, 93.12,34902,325,300,40
新凯家园,2室1厅, 78.49,35674,280,220,34
金港花园(公寓),2室2厅, 90.66,37172,337,57,29
润和苑,2室2厅, 94.43,32300,305,6,13
金港花园(公寓),2室2厅, 101.39,36986,375,16,20
同润菲诗艾伦,3室2厅, 83.93,38128,320,44,6
塘和家园桂花锦苑,1室1厅, 52.92,34392,182,55,15
祥和公寓(松江),3室2厅, 106.23,38596,410,28,15
润和欣苑,2室2厅, 83.75,37015,310,164,8
金港花园(公寓),3室2厅, 135.08,34425,465,23,14
新凯城锦昌苑,2室1厅, 69.87,34779,243,71,221
鼓浪路259弄,4室2厅, 170.93,26912,460,29,0
绿波景园,4室2厅, 135.77,31672,430,27,7
金港花园(公寓),3室2厅, 127.79,34432,440,27,8
丽水豪庭,2室2厅, 77.79,33424,260,29,4
绿波景园,2室2厅, 92,34783,320,23,6
新凯家园,2室1厅, 77.59,38021,295,95,6
泗泾颐景园,联排别墅, 4室,29849,900,56,5
祥和公寓(松江),3室2厅, 105.33,39400,415,50,5
金港花园(公寓),3室2厅, 127.45,35308,450,56,4
润和欣苑,3室2厅, 91.25,44932,410,6,4
润和苑,2室2厅, 91,39561,360,1,1
江川一村,2室1厅, 79.54,32688,260,36,2
新凯家园,3室2厅, 94.14,37710,355,13,1
祥和公寓(松江),3室2厅, 129.16,37938,490,10,1
润和苑,3室2厅, 130.72,34425,450,5,3
丽水豪庭,2室2厅, 83.9,30990,260,115,0
金港花园(公寓),2室2厅, 91.5,49181,450,22,0
绿叶小区(松江),3室2厅, 118.04,31346,370,8,0
新凯家园,2室1厅, 77.83,34691,270,0,0
祥和公寓(松江),3室2厅, 127.72,37426,478,16,0
新凯家园,2室1厅, 78.13,38398,300,13,12
米兰诺贵都,2室2厅, 89.53,44678,400,30,63
牡丹逸庭,1室1厅, 60.25,34523,208,70,71
新凯城紫竹苑,2室1厅, 69.35,33166,230,148,74
新凯城丹桂苑,1室1厅, 50.45,41626,210,51,70
同润菲诗艾伦,3室2厅, 88.74,38315,340,1,1
新凯家园,1室1厅, 54.88,42821,235,32,33
新凯城玉兰苑,3室1厅, 89.22,31944,285,165,65
米兰诺贵都,2室2厅, 89.53,43115,386,12,45
同润菲诗艾伦,3室2厅, 90.35,37079,335,16,24
新凯城银杏苑,2室1厅, 72.56,33766,245,59,89
同润菲诗艾伦,2室2厅, 87.56,35176,308,54,79
牡丹逸庭,2室1厅, 72.3,33887,245,64,58
新凯城银杏苑,2室1厅, 70.74,33221,235,50,71
茉莉雅苑,3室1厅, 92.3,34128,315,2,0
新凯家园,2室1厅, 77.62,38650,300,6,0
润和苑,2室2厅, 96.75,33075,320,28,53
茉莉雅苑,2室1厅, 75.35,33179,250,4,9
祥和公寓(松江),3室2厅, 130.72,35573,465,40,23
新凯城香樟苑,2室1厅, 67.19,39441,265,141,24
新凯城香樟苑,2室1厅, 69.5,33094,230,124,113
新凯城钟秀苑,2室2厅, 72.87,34720,253,8,33
同润菲诗艾伦,1室1厅, 55.19,38051,210,10,32
新凯家园,2室1厅, 77.71,36032,280,516,63
新凯城锦昌苑,2室1厅, 68.39,36263,248,20,19
新凯城香樟苑,2室1厅, 68.08,34519,235,324,166
新凯家园,2室1厅, 77.78,39857,310,33,72
新凯家园,3室2厅, 92.95,35503,330,11,0
新凯城玉兰苑,2室1厅, 73.17,34851,255,5,1
绿波景园,3室2厅, 92,31522,290,104,21
丽水豪庭,3室2厅, 104.15,31686,330,13,16
江川二村,2室1厅, 70.5,31206,220,167,11
新凯城钟秀苑,2室1厅, 70.67,33820,239,38,39
新凯家园,1室1厅, 53.88,42688,230,66,23
新凯城香樟苑,2室1厅, 67.89,36825,250,198,114
新凯家园,2室2厅, 76.89,37717,290,98,52
同润菲诗艾伦,3室2厅, 85.1,36428,310,66,28
新凯家园,2室1厅, 79.53,33321,265,192,28
新凯家园,2室2厅, 78,37180,290,69,29
新凯家园,1室2厅, 58.97,37647,222,38,28
新凯城紫竹苑,2室1厅, 70.79,34327,243,82,45
新凯家园,2室1厅, 77.99,38339,299,261,34
茉莉雅苑,2室1厅, 76.97,32481,250,24,45
西南名苑,3室2厅, 128.43,36207,465,47,28
泗泾颐景园,独栋别墅, 5室,47870,1500,40,21
佘山东郡,独栋别墅, 4室,37952,1250,25,19
新凯城银杏苑,2室1厅, 70.67,37499,265,1,0
茉莉雅苑,3室1厅, 94.45,32293,305,10,10
茉莉雅苑,2室1厅, 74.38,31595,235,36,14
同润菲诗艾伦,1室2厅, 55.08,36130,199,17,6
牡丹逸庭,1室1厅, 53.12,37651,200,68,12
新凯城银杏苑,2室1厅, 72.56,34455,250,37,28
米兰诺贵都,2室2厅, 90.76,40767,370,15,16
