CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
晶苑,独栋别墅, 4室,48661,1420,73,40
沿海丽水馨庭(别墅),叠拼别墅, 4室,41382,690,38,22
绿洲香岛花园,3室2厅, 162.64,36892,600,30,11
绿洲香岛花园,3室2厅, 149,41611,620,34,17
绿洲长岛花园,4室2厅, 172.61,38816,670,26,15
沿海丽水馨庭(公寓),2室2厅, 58.78,40831,240,7,12
荣盛名邸(公寓),2室2厅, 90,36667,330,57,7
沿海丽水馨庭(公寓),3室2厅, 84.5,39645,335,13,7
丽水华庭,叠拼别墅, 5室,36224,650,54,7
伊莎士花园,独栋别墅, 4室,58939,1270,25,10
万科白马花园(别墅),联排别墅, 4室,49505,1000,22,6
绿洲香岛花园,2室2厅, 129.99,38850,505,19,4
沿海丽水馨庭(公寓),5室3厅, 186.35,33271,620,4,4
绿洲香岛花园,3室2厅, 164,39025,640,33,6
新弘国际城(公寓),2室2厅, 88.41,36196,320,30,5
绿洲香岛花园,3室2厅, 153.29,42078,645,3,0
万科白马花园(公寓),2室2厅, 72.47,44847,325,19,2
新水桥公寓,2室2厅, 82.11,38973,320,11,1
龙祥公寓,3室2厅, 120.65,41443,500,5,1
荣盛名邸(公寓),2室2厅, 91.53,39878,365,14,1
同润加州(公寓),2室2厅, 94.83,43236,410,20,1
万科白马花园(公寓),3室2厅, 127.77,43829,560,7,2
绿洲香岛花园,2室2厅, 131.29,43035,565,15,1
同润加州(公寓),2室2厅, 89.69,40696,365,30,2
万科白马花园(公寓),3室2厅, 148.55,38371,570,38,1
达安圣芭芭花园,联排别墅, 4室,43396,820,38,2
万科白马花园(公寓),3室2厅, 88.25,39094,345,73,1
荣盛名邸(公寓),2室2厅, 85.4,37471,320,10,3
万科白马花园(公寓),3室1厅, 85.89,41332,355,6,0
新弘国际城(公寓),2室2厅, 89.11,37033,330,67,0
万科白马花园(公寓),2室2厅, 76.29,39980,305,97,0
绿洲香岛花园,2室2厅, 121,41323,500,4,0
桃花源田庄,独栋别墅, 4室,60828,2500,4,0
绿洲香岛花园,3室2厅, 171.08,40917,700,24,0
万科白马花园(公寓),3室1厅, 85.89,41332,355,6,0
同润加州(公寓),2室2厅, 99,38889,385,28,0
新弘国际城(公寓),3室2厅, 89.27,30806,275,76,65
沿海丽水馨庭(别墅),双拼别墅, 4室,36438,900,108,59
沿海丽水馨庭(别墅),叠拼别墅, 4室,38063,650,130,100
新弘国际城(公寓),1室1厅, 60.24,42331,255,34,27
万科白马花园(公寓),3室2厅, 89.88,38941,350,102,28
河谷3号,联排别墅, 3室,62394,550,45,39
同润加州(别墅),联排别墅, 4室,40749,760,101,22
沿海丽水馨庭(公寓),2室1厅, 58.36,41125,240,32,51
荣盛名邸(公寓),3室2厅, 100.82,35212,355,32,29
荣盛名邸(公寓),2室2厅, 85.24,36955,315,22,27
新弘国际城(公寓),1室1厅, 60.25,43984,265,13,18
荣盛名邸(公寓),2室2厅, 86.94,35657,310,46,17
荣盛名邸(公寓),2室2厅, 87.46,34874,305,31,11
荣盛名邸(公寓),3室2厅, 107.86,34768,375,10,18
新弘国际城(公寓),3室2厅, 89.07,37050,330,39,62
沿海丽水馨庭(公寓),3室2厅, 86.2,35383,305,34,22
伊莎士花园,独栋别墅, 5室,45604,1250,29,30
绿洲香岛花园,4室2厅, 234.74,36211,850,64,15
雅阁花园,联排别墅, 4室,40013,790,32,25
雅鹿新苑(公寓),2室2厅, 112.06,27218,305,8,6
河谷3号,联排别墅, 3室,66293,590,19,13
达安圣芭芭花园,联排别墅, 3室,51229,980,15,21
新南路壹号(公寓),3室2厅, 105.4,43644,460,14,12
同润加州(公寓),2室2厅, 94.58,37006,350,35,6
明中龙祥家园(公寓),2室2厅, 89.74,35659,320,4,5
明中龙祥家园(公寓),2室2厅, 89.1,34793,310,26,12
新弘国际城(公寓),3室2厅, 88.21,37411,330,33,16
荣盛名邸(公寓),3室2厅, 100.33,35882,360,14,8
雅阁花园,联排别墅, 5室,41412,675,35,14
伊莎士花园,独栋别墅, 5室,48544,1300,24,18
万科白马花园(公寓),3室2厅, 131.46,34231,450,9,0
同润加州(别墅),联排别墅, 3室,41842,830,55,8
新弘国际城(公寓),2室2厅, 88.65,34405,305,7,7
沿海丽水馨庭(公寓),2室2厅, 58.07,43052,250,34,5
