CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
好莱坞小区,3室1厅, 83.37,26989,225,20,6
同润玫瑰芳苑,3室2厅, 89.15,29165,260,55,13
同润玫瑰芳苑,3室2厅, 88.66,32597,289,23,6
同润玫瑰芳苑,3室1厅, 88.73,29866,265,37,8
同润玫瑰芳苑,3室1厅, 89,32023,285,16,7
祥东小区(松江),3室2厅, 129.02,23253,300,30,6
同润玫瑰芳苑,3室1厅, 88.61,33292,295,62,3
好莱坞小区,2室1厅, 69.26,30321,210,30,1
祥东小区(松江),4室2厅, 101.47,26609,270,82,2
同润玫瑰芳苑,3室2厅, 85,37648,320,3,0
雅居乐星徽,3室2厅, 128,33594,430,1,2
同润玫瑰芳苑,3室2厅, 89.12,37029,330,9,1
同润玫瑰芳苑,3室1厅, 88.74,33807,300,1,0
好莱坞小区,1室0厅, 33.27,39075,130,28,4
好莱坞小区,1室1厅, 31.29,31960,100,4,3
好莱坞小区,2室1厅, 46.03,27157,125,43,20
旭辉安贝尔花园,3室2厅, 89.59,29022,260,49,20
好莱坞小区,2室1厅, 69.41,27374,190,91,23
祥峰家园,3室2厅, 123.68,24257,300,43,4
同润玫瑰芳苑,3室1厅, 84,33096,278,26,22
好莱坞小区,2室0厅, 46.03,33674,155,23,6
同润玫瑰芳苑,3室1厅, 89.9,30034,270,19,4
旭辉安贝尔花园,独栋别墅, 3室,40865,480,52,4
同润玫瑰芳苑,3室2厅, 88.93,31486,280,27,15
祥东小区(松江),2室1厅, 76.62,27408,210,39,9
祥东小区(松江),2室2厅, 101.27,22712,230,21,10
雅居乐星徽,3室2厅, 90,32556,293,0,1
同润玫瑰芳苑,3室2厅, 89.26,31370,280,30,7
好莱坞小区,3室1厅, 83.37,27588,230,18,6
好莱坞小区,2室1厅, 69.31,28135,195,93,7
同润玫瑰芳苑,4室2厅, 89.14,32534,290,23,6
雅居乐星徽,3室2厅, 111,27928,310,38,8
好莱坞小区,2室2厅, 86.21,26100,225,12,6
同润玫瑰芳苑,6室3厅, 88.91,35767,318,97,9
好莱坞小区,2室0厅, 46.3,31318,145,73,4
旭辉安贝尔花园,3室2厅, 89,32585,290,27,4
旭辉安贝尔花园,2室2厅, 74.29,29883,222,28,3
好莱坞小区,2室1厅, 69.3,31025,215,3,0
同润玫瑰芳苑,2室2厅, 88.8,32658,290,1,0
同润玫瑰芳苑,2室1厅, 88.84,33206,295,10,0
雅居乐星徽,3室2厅, 108,29630,320,21,1
旭辉安贝尔花园,独栋别墅, 4室,40678,480,11,1
好莱坞小区,2室1厅, 69.31,28856,200,6,2
祥东小区(松江),4室2厅, 100.94,26749,270,21,4
同润玫瑰芳苑,3室2厅, 89.18,31958,285,27,0
同润玫瑰芳苑,3室2厅, 88.96,32824,292,6,0
同润玫瑰芳苑,3室2厅, 83.92,36940,310,1,0
好莱坞小区,2室1厅, 46.03,33674,155,95,0
祥峰家园,1室1厅, 62,29033,180,20,0
好莱坞小区,1室0厅, 33,37576,124,10,0
同润玫瑰芳苑,3室2厅, 89.31,33032,295,11,0
同润玫瑰芳苑,3室2厅, 89,35394,315,0,0
雅居乐星徽,独栋别墅, 3室,38203,680,12,2
好莱坞小区,1室0厅, 33.27,34566,115,42,12
好莱坞小区,1室0厅, 33.27,30058,100,89,9
同润玫瑰芳苑,2室2厅, 89.01,32581,290,1,0
好莱坞小区,2室0厅, 46.5,31398,146,15,3
雅居乐星徽,独栋别墅, 3室,27871,590,36,8
祥东小区(松江),3室2厅, 130.23,21501,280,5,2
雅居乐星徽,独栋别墅, 3室,36517,650,7,4
旭辉安贝尔花园,3室2厅, 89.53,30158,270,8,1
好莱坞小区,1室1厅, 33.27,40578,135,4,0
同润玫瑰芳苑,2室2厅, 88.96,34848,310,0,0
雅居乐星徽,3室2厅, 126.57,28443,360,7,0
好莱坞小区,3室2厅, 105,36191,380,1,0
雅居乐星徽,独栋别墅, 3室,33708,600,1,0
祥东小区(松江),3室2厅, 131.7,19363,255,11,4
