CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
祥安菊苑,1室1厅, 63,26350,166,7,5
万祥馨苑,3室2厅, 120,18750,225,48,15
凯德新视界(一期),1室1厅, 59,25424,150,72,16
万祥馨苑,3室2厅, 121,18596,225,10,2
祥安竹苑,2室2厅, 108.5,19816,215,31,13
凯德新视界(一期),2室2厅, 83.7,25090,210,34,5
祥安竹苑,2室2厅, 102.82,19452,200,37,3
万祥馨苑,3室2厅, 121.14,21051,255,14,6
祥安竹苑,2室2厅, 108.25,18753,203,6,4
祥安路35弄,2室2厅, 93,20431,190,10,1
祥安兰苑,2室2厅, 93.6,22436,210,15,3
祥安兰苑,2室2厅, 102.83,20423,210,3,2
万祥馨苑,3室2厅, 121.14,22289,270,0,1
凯德新视界(一期),2室1厅, 84,25596,215,5,0
凯德新视界(一期),2室2厅, 88,26137,230,3,0
凯德新视界(一期),2室2厅, 81,24075,195,9,0
凯德新视界(一期),2室1厅, 83.7,24493,205,1,0
紫丁香花园,4室2厅, 213,26761,570,22,2
祥安竹苑,2室2厅, 92.61,19221,178,6,1
祥安菊苑,2室2厅, 90.83,22020,200,4,1
凯德新视界(一期),2室1厅, 79.91,26280,210,1,0
凯德新视界(一期),2室2厅, 83.3,23410,195,12,0
