CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
未来域,3室2厅, 133.76,64295,860,137,51
浦发绿城,3室2厅, 93.76,49595,465,183,33
新里城和合苑,2室2厅, 66.72,88130,588,13,44
杉林新月环林东路875弄,3室2厅, 119.36,46917,560,80,26
恒大华城天地苑,3室2厅, 115.67,70892,820,112,46
翠竹苑,2室1厅, 63,55556,350,102,69
翰锦苑,3室2厅, 114.86,70521,810,10,3
新里城和合苑,3室2厅, 100.71,69507,700,98,27
金地湾流域(公寓),2室1厅, 97.24,66845,650,111,29
品华苑,1室2厅, 67.86,53051,360,26,39
纯翠苑,2室2厅, 94.57,67147,635,17,27
凌云公寓,2室1厅, 75.96,53976,410,43,23
凌兆新村(凌兆路711弄),1室1厅, 50.86,56037,285,115,28
东旺名苑,3室2厅, 104.65,65457,685,181,43
岭南苑(凌兆路127弄),3室2厅, 132.95,60550,805,4,1
杉林新月环林东路875弄,2室2厅, 83.48,63489,530,57,21
三林安居苑,2室1厅, 63.9,54774,350,33,34
未来域,3室2厅, 130,60770,790,105,47
新里城和合苑,2室2厅, 75.6,77117,583,31,32
万科新里程,2室2厅, 90.51,85958,778,17,12
金谊河畔,2室2厅, 107.85,64442,695,83,73
金橘新苑,1室1厅, 58,62932,365,12,10
思浦小区,2室1厅, 69.42,54020,375,66,24
三林世博家园(东书房路390弄),3室2厅, 97.82,51626,505,49,23
杉林新月环林东路799弄,2室1厅, 71,57043,405,45,26
凌兆新村(凌兆路256弄),2室1厅, 58.72,57051,335,63,34
万科新里程,3室2厅, 115.1,80800,930,59,24
金谊河畔,2室2厅, 102.17,67535,690,24,28
浦发绿城,2室1厅, 57.82,53615,310,445,51
思浦小区,2室1厅, 69.42,54020,375,66,24
新里城和合苑,2室2厅, 69.8,84528,590,19,20
永泰花苑,1室1厅, 54.78,60059,329,24,18
尚东国际名园,3室2厅, 113.17,83061,940,106,41
名嘉新苑,3室2厅, 123.02,61779,760,64,20
未来域,3室2厅, 138.5,61011,845,103,23
凌兆新村(凌兆路586弄),2室1厅, 55.36,54733,303,38,18
品新苑,2室2厅, 92.4,47511,439,37,4
尚东国际名园,3室2厅, 151.84,98789,1500,16,25
新里城和合苑,2室2厅, 66.49,86480,575,10,13
思浦小区,2室1厅, 64.27,56014,360,36,12
品珍苑,4室2厅, 125.29,43899,550,132,11
海阳新村,2室2厅, 89.95,58366,525,10,10
杉林新月环林东路799弄,1室1厅, 61.64,47859,295,116,11
三林世博家园(板泉路2101弄),2室1厅, 73.32,58375,428,26,6
金谊河畔,2室2厅, 107.85,68614,740,39,19
杉林新月环林东路799弄,1室1厅, 52.01,57489,299,16,8
纯翠苑,3室2厅, 135.61,55306,750,101,7
南杨小区(长清路),2室1厅, 58.24,54602,318,17,12
品珍苑,2室1厅, 92.61,53450,495,14,5
上南玲珑苑,2室2厅, 82.01,62798,515,66,22
三林世博家园(大道站路94弄),2室2厅, 87.65,53623,470,50,17
金禾新苑,2室2厅, 72,61806,445,58,16
浦发绿城,2室1厅, 82.3,50426,415,42,18
金禾新苑,2室2厅, 74.69,62927,470,78,17
品珍苑,3室1厅, 73.12,55389,405,60,13
华城秀庭,2室2厅, 88.66,69931,620,66,18
海阳新村,3室1厅, 75.13,57900,435,38,19
万科金色雅筑,3室2厅, 137,70073,960,63,13
品新苑,2室2厅, 74.29,56536,420,16,5
杉林新月环林东路875弄,1室1厅, 62.26,57823,360,24,9
金橘新苑,2室1厅, 84.23,62923,530,50,5
凌兆新村(上浦路201弄),1室1厅, 60.76,41311,251,124,2
安临小区,2室0厅, 56.62,53868,305,31,5
浦发绿城,2室1厅, 79.13,53078,420,19,4
凌兆新村(凌兆路285弄),2室1厅, 70.45,53939,380,70,15
名嘉新苑,4室2厅, 147,59864,880,80,16
上南玲珑苑,2室1厅, 81.93,64080,525,66,13
浦发绿城,1室1厅, 56.15,50757,285,45,8
永泰花苑,2室1厅, 72.28,58108,420,133,209
万科金色雅筑,3室2厅, 77,81169,625,142,11
品华苑,2室1厅, 68,55148,375,38,7
岭南苑(凌兆路99弄),3室2厅, 133.83,56789,760,32,1
凌兆新村(上浦路565弄),2室1厅, 70.29,53351,375,54,15
未来域,2室2厅, 90.17,66541,600,92,10
康花新村,3室2厅, 91.4,45952,420,221,10
金禾新苑,2室1厅, 74.69,63597,475,72,10
新里城和合苑,2室2厅, 75,78000,585,16,10
凌兆新村(上浦路202弄),3室2厅, 93.84,54348,510,31,10
日月豪庭(公寓),4室3厅, 162.01,55553,900,66,14
三林世博家园(东书房路560弄),2室1厅, 73.2,54645,400,36,15
金禾新苑,2室2厅, 74.84,63469,475,24,10
凌兆新村,2室1厅, 63.45,55950,355,18,11
桃李家园,2室1厅, 65.86,61495,405,31,15
恒大华城天地苑,3室2厅, 115.34,70661,815,43,12
浦发绿城,2室2厅, 72.02,52764,380,67,14
盛源公寓,3室2厅, 115.7,55316,640,70,7
世华锦城,3室1厅, 100.96,71316,720,44,9
南江苑,3室1厅, 84.06,58887,495,85,9
恒大华城梅山苑,1室1厅, 48.11,61318,295,18,12
世华锦城,3室1厅, 100.96,71316,720,44,9
金光小区,1室1厅, 44,60910,268,17,31
