CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
新昌里公寓,3室2厅, 94.7,78142,740,158,98
上南十村,2室1厅, 49.23,63986,315,47,38
德州六村,2室1厅, 54.69,57232,313,42,27
雪野二村,2室0厅, 61.51,59340,365,58,31
新世纪花苑(二期)(浦东),2室1厅, 69,62319,430,26,21
上钢八九村,2室1厅, 52.76,56862,300,76,17
上南二村,2室1厅, 64.77,64073,415,88,32
新世纪花苑(二期)(浦东),2室1厅, 64.25,64592,415,34,18
昌里花园,3室2厅, 112.14,74015,830,47,33
上南花苑(三期),3室2厅, 134.85,66741,900,40,5
新世纪花苑(三期)(浦东),2室2厅, 89,67192,598,75,18
济阳三村,1室1厅, 41.2,55826,230,38,14
上南五村,2室1厅, 57.38,62740,360,17,12
昌里花园,2室2厅, 90.59,67337,610,48,16
济阳三村,3室1厅, 70.3,60456,425,45,12
上南一村,2室1厅, 50.86,59969,305,84,19
洪高小区,2室1厅, 63.9,62598,400,39,26
上南十二村,1室1厅, 37.8,55556,210,34,4
上南大厦,2室1厅, 80.84,59377,480,316,16
上南花苑(三期),2室2厅, 104.89,74364,780,27,7
上南六村,2室1厅, 50,58000,290,7,8
上钢四村,1室1厅, 42.53,55256,235,15,3
上南二村,2室1厅, 63.62,66803,425,68,9
爵仕悦,3室2厅, 127.08,82626,1050,56,9
上钢一村,2室1厅, 56.8,61620,350,62,9
昌五小区,1室1厅, 37.22,55078,205,32,7
明珠花苑(浦东),3室2厅, 143.27,51302,735,38,9
上南七村,2室1厅, 54.81,57472,315,103,15
新世纪花苑(二期)(浦东),2室1厅, 57,59650,340,65,12
德州大楼,3室1厅, 81.49,62830,512,22,10
上南花苑(三期),3室2厅, 113.06,71644,810,53,11
上南二村,2室1厅, 46.44,62231,289,169,8
齐二小区,1室1厅, 42.91,61758,265,43,14
昌四小区,2室1厅, 60.86,49294,300,134,14
德州七村,2室1厅, 56.19,54281,305,38,10
新世纪花苑(一期)(浦东),1室1厅, 50.85,51131,260,77,4
上南十二村,2室1厅, 58.11,56445,328,20,3
上钢五村,2室0厅, 51,60785,310,8,0
齐八小区,2室1厅, 55.11,64417,355,17,9
昌五小区,1室1厅, 42.12,55793,235,14,5
齐二小区,2室1厅, 57.31,61072,350,22,8
上南八村,1室1厅, 47.33,60216,285,15,12
上南五村,2室1厅, 47.97,63582,305,6,5
上南七村,2室1厅, 55.72,58328,325,22,5
上南大厦,2室1厅, 80.84,57522,465,82,12
上南八村,2室0厅, 52.31,59263,310,7,8
洪高小区,3室1厅, 109,56881,620,21,6
昌七小区,2室1厅, 74.69,58777,439,15,10
恒大小区,2室1厅, 68.32,58549,400,63,7
上南花苑一期,2室1厅, 72.26,65043,470,82,14
昌七小区,2室1厅, 69.89,56518,395,54,6
上南一村,2室1厅, 48.57,63826,310,13,8
德州七村,2室1厅, 62.5,58400,365,22,4
昌五小区,2室1厅, 54.23,56242,305,66,4
济阳一村,2室1厅, 56,57143,320,4,1
东盛公寓,4室2厅, 144.19,47160,680,77,4
东盛公寓,2室1厅, 53.5,60748,325,23,1
恒大小区,2室1厅, 65.78,62329,410,11,7
万科金色城品,3室2厅, 118.82,82478,980,19,1
上南二村,3室1厅, 64.41,66760,430,9,5
六里二村,2室1厅, 71.58,57279,410,9,4
上南十二村,1室1厅, 44.35,55243,245,27,3
中星云庭,3室2厅, 125.58,63705,800,14,2
德州七村,2室1厅, 62.5,58400,365,22,4
恒大小区,2室1厅, 65.78,62329,410,11,7
万科金色城品,3室2厅, 118.82,82478,980,19,1
博爱家园,3室2厅, 120.4,68937,830,51,4
历城路21号,2室1厅, 47.81,77390,370,18,2
云台苑,3室2厅, 139,46763,650,67,5
昌四小区,2室1厅, 65.64,51798,340,31,4
上南五村,2室0厅, 48.95,63330,310,15,4
东盛公寓,2室1厅, 53.5,60748,325,23,1
上南十村,2室1厅, 57,60527,345,12,4
齐二小区,2室1厅, 60.5,62810,380,23,5
云莲苑,1室1厅, 66.01,65142,430,12,2
上南花苑一期,4室2厅, 143.98,54175,780,127,5
博文家园,3室2厅, 137.58,72685,1000,53,5
上南十村,1室1厅, 44.66,61577,275,24,8
上南一村,1室0厅, 28.5,76492,218,13,2
上南八村,1室1厅, 36.98,59492,220,63,4
昌五小区,2室1厅, 54.23,56242,305,66,4
德州一村,2室1厅, 53,56604,300,77,6
上南五村,2室0厅, 51.62,57149,295,6,4
新世纪花苑(一期)(浦东),2室1厅, 67.3,57207,385,47,1
济阳一村,2室1厅, 56,57143,320,4,1
东盛公寓,4室2厅, 144.19,47160,680,77,4
上南十村,2室1厅, 59.73,54914,328,19,2
恒大星级公寓,4室2厅, 140,65715,920,16,2
上南八村,2室1厅, 51.64,60031,310,7,1
上钢一村,1室1厅, 41.87,57321,240,9,2
新昌里公寓,3室2厅, 123.69,76805,950,18,2
六里二村,3室1厅, 73.04,56819,415,18,1
洪山花苑,5室3厅, 130.88,70294,920,26,2
上南十村,2室1厅, 52.09,59513,310,15,2
昌里花园,3室2厅, 166,72290,1200,4,4
都市庭院,1室1厅, 58.06,65450,380,32,2
博爱家园,3室2厅, 130.68,70401,920,86,4
六里二村,2室1厅, 56,53572,300,42,4
德州二村,1室0厅, 38.14,59780,228,10,1
昌七小区,2室1厅, 65.01,58453,380,20,3
雪野二村,1室1厅, 46.1,60738,280,67,2
上钢八九村,2室0厅, 46.06,61876,285,35,2
恒大小区,2室1厅, 64.38,57472,370,11,3
昌四小区,1室1厅, 46.87,53126,249,22,2
逸翠公馆,2室1厅, 93.11,73569,685,65,4
德州七村,1室1厅, 41.2,53399,220,35,3
云莲苑,3室1厅, 92.88,64600,600,16,1
红莲小区,2室1厅, 66.53,56366,375,7,1
上南五村,2室1厅, 57.44,60934,350,24,2
耀华高层,2室1厅, 60.84,62459,380,11,1
洪山花苑,3室2厅, 131.56,70691,930,6,3
昌七小区,2室1厅, 64.64,55694,360,32,1
齐七小区,1室1厅, 41.6,61299,255,81,3
齐锦苑,2室2厅, 83,71085,590,103,1
德馨公寓,3室2厅, 186.33,64402,1200,12,2
恒大星级公寓,4室2厅, 140,65715,920,16,2
新世纪花苑(二期)(浦东),2室1厅, 66.38,67039,445,31,1
上南八村,2室1厅, 51.64,60031,310,7,1
上钢三村,1室1厅, 42.8,53739,230,20,1
上南五村,1室0厅, 35.5,63381,225,6,6
德州一村,2室1厅, 77.8,58484,455,10,0
博文园,4室2厅, 158,63292,1000,8,0
云台一小区,2室1厅, 52.55,62798,330,9,0
上南十一村,1室1厅, 42.3,60284,255,13,0
新世纪花苑(二期)(浦东),2室1厅, 68.83,63200,435,46,0
齐二小区,2室1厅, 59.97,59697,358,4,0
新世纪花苑(二期)(浦东),1室1厅, 50.93,54978,280,10,0
云台二小区,2室1厅, 71.9,63978,460,12,0
昌七小区,2室1厅, 60.51,56190,340,50,0
耀华大楼,2室1厅, 69,76812,530,4,0
德州二村,2室1厅, 53.3,55348,295,8,0
东盛公寓,2室2厅, 82,59757,490,26,0
昌七小区,3室1厅, 94,62766,590,24,0
上钢二村,1室1厅, 33.11,64936,215,27,0
上钢四村,2室1厅, 54.51,59623,325,131,0
