CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
临港海滨国际花园,2室2厅, 88.06,21577,190,14,1
海尚明月苑,2室2厅, 73.46,21100,155,45,1
绿地东岸涟城,2室2厅, 90.47,26529,240,4,0
宜浩佳园,2室2厅, 82.44,31539,260,94,22
绿地东岸涟城,2室2厅, 80.95,27178,220,4,5
绿地东岸涟城,2室2厅, 82,26586,218,34,7
滴水湖馨苑,2室2厅, 88.73,29979,266,8,1
宜浩佳园,2室2厅, 88,28410,250,21,10
临港海滨国际花园,2室1厅, 84.99,23533,200,29,5
滴水湖馨苑,3室2厅, 166,17169,285,95,6
临港海滨国际花园,3室2厅, 122.32,25344,310,54,4
海汇长风苑,2室2厅, 83.83,21473,180,1,1
宜浩佳园,1室2厅, 77.06,29588,228,12,1
宜浩佳园,2室2厅, 110,26819,295,9,2
海汇长风苑,3室2厅, 124.71,17240,215,26,1
滴水湖馨苑,2室1厅, 63,35239,222,16,2
临港海滨国际花园,2室2厅, 88.06,24529,216,22,2
海尚明月苑,2室2厅, 94.55,21153,200,5,0
海尚明月苑,2室2厅, 94.51,23278,220,1,0
渔港路213弄,2室2厅, 107,20561,220,13,0
宜浩佳园,1室2厅, 78.08,30738,240,10,0
宜浩佳园,2室2厅, 76.18,30192,230,3,1
滴水湖馨苑,2室2厅, 88.73,30430,270,1,0
宜浩佳园,1室2厅, 78,30513,238,6,22
临港海滨国际花园,2室2厅, 88.06,21009,185,234,44
宜浩佳园,1室2厅, 75.03,30388,228,90,36
宜浩佳园,2室2厅, 82.96,30738,255,20,22
海芦镜湖苑,1室1厅, 64.27,22562,145,43,34
海汇清波苑,1室1厅, 64.18,22593,145,65,32
滴水湖馨苑,3室1厅, 200,19000,380,96,14
新芦苑,1室1厅, 63,20635,130,30,13
海芦镜湖苑,2室2厅, 82.54,19991,165,11,0
海汇清波苑,1室1厅, 64.81,20985,136,45,20
绿地东岸涟城,2室2厅, 78.5,28026,220,32,39
绿地东岸涟城,2室2厅, 83.24,27031,225,46,10
宜浩佳园,2室1厅, 88,28410,250,12,8
滴水湖馨苑,2室1厅, 81,32099,260,5,12
宜浩佳园,2室2厅, 82.92,30150,250,1,3
滴水湖馨苑,3室2厅, 140,32143,450,2,1
海芦月华苑,1室1厅, 64.81,21294,138,15,13
滴水湖馨苑,3室2厅, 88.48,39557,350,0,1
新芦苑,1室1厅, 65,21847,142,9,4
宜浩佳园,2室1厅, 88,28978,255,27,16
新芦苑,3室1厅, 110,19091,210,46,9
滴水湖馨苑,2室1厅, 81.52,32140,262,86,8
海汇清波苑,2室1厅, 83,19278,160,37,13
海芦镜湖苑,2室2厅, 82.54,18174,150,52,10
海尚明徕苑,2室2厅, 80.37,21402,172,34,7
芦潮港农场西区新村,2室1厅, 52.89,18908,100,19,3
海芦月华苑,5室2厅, 181.47,16532,300,45,1
海尚明月苑,2室2厅, 98.79,21865,216,111,4
新芦苑,3室2厅, 116,18104,210,3,3
滴水湖馨苑,2室2厅, 86.9,32221,280,0,5
宜浩佳园,1室2厅, 76,29606,225,5,5
临港海滨国际花园,3室2厅, 87.69,23378,205,19,3
绿地蓝海庭,1室0厅, 44.93,28934,130,25,6
临港海滨国际花园,2室1厅, 86.3,21785,188,7,5
新芦苑,2室2厅, 85,20589,175,19,4
临港海滨国际花园,1室2厅, 66.32,24126,160,8,8
临港海滨国际花园,1室2厅, 66.32,24126,160,8,8
绿地蓝海庭,1室0厅, 44.93,28934,130,25,6
新芦苑,3室2厅, 116,18104,210,3,3
滴水湖馨苑,2室2厅, 86.9,32221,280,0,5
海芦月华苑,5室2厅, 181.47,16532,300,45,1
海尚明月苑,2室2厅, 98.79,21865,216,111,4
宜浩佳园,1室2厅, 76,29606,225,5,5
新芦苑,3室2厅, 115.65,17294,200,19,1
宜浩佳园,1室2厅, 78,30129,235,4,1
滴水湖馨苑,3室2厅, 89,29776,265,14,3
滴水湖馨苑,3室2厅, 88,33523,295,22,1
海尚明徕苑,2室2厅, 87.82,20041,176,16,3
海尚明徕苑,3室2厅, 128.58,19366,249,6,1
紫菁庭,3室1厅, 93.55,21379,200,18,1
东区新村,1室1厅, 43.62,18341,80,61,1
龙超八村,2室2厅, 70,19286,135,93,2
龙超八村,2室2厅, 70,20000,140,38,2
滴水湖馨苑,2室2厅, 88.3,33409,295,3,1
宜浩佳园,2室2厅, 88.11,30644,270,7,1
紫菁庭,3室2厅, 127.1,20299,258,4,1
紫菁庭,2室1厅, 68,23530,160,12,0
紫菁庭,3室2厅, 97,22681,220,15,0
龙超八村,1室1厅, 53.67,20496,110,36,0
海芦汇鸣苑,3室2厅, 125,18800,235,8,0
朗诗里程,3室2厅, 100,24000,240,13,0
临港海滨国际花园,2室1厅, 85.39,23422,200,1,0
渔港路213弄,2室2厅, 105.16,16927,178,50,0
临港家园,3室2厅, 129.73,20042,260,23,0
新芦苑,3室2厅, 126,18254,230,8,0
滴水湖馨苑,2室2厅, 193.18,16979,328,24,0
渔港路213弄,2室2厅, 105.16,16927,178,50,0
绿地东岸涟城,4室2厅, 194.14,24725,480,48,0
绿地东岸涟城,2室2厅, 86,27326,235,6,0
滴水湖馨苑,2室2厅, 82.01,39020,320,3,0
东区新村,1室1厅, 42.3,28369,120,3,0
绿地东岸涟城,2室2厅, 84,26786,225,4,3
紫菁庭,1室2厅, 65.6,24391,160,8,0
宜浩佳园,3室2厅, 109.54,34691,380,0,0
宜浩佳园,2室2厅, 82.56,34521,285,1,0
宜浩佳园,3室2厅, 130.59,29865,390,0,0
海芦汇鸣苑,2室2厅, 82.18,20687,170,0,0
绿地蓝海庭,1室0厅, 55.04,26890,148,86,18
宜浩佳园,1室2厅, 77.07,30492,235,1,1
新芦苑,4室2厅, 164,12805,210,47,8
海尚明月苑,3室2厅, 123.43,18635,230,55,3
新芦苑,3室2厅, 143,18182,260,17,4
绿地东岸涟城,1室1厅, 52.07,34569,180,16,9
绿地东岸涟城,2室2厅, 86,28489,245,27,2
海芦镜湖苑,3室2厅, 103.12,18232,188,153,1
