CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
丽泽兰馨苑,3室2厅, 82.04,22672,186,72,10
书院一号公寓,2室1厅, 93.7,20812,195,38,11
新舒苑,3室2厅, 103.08,21634,223,29,2
丽泽荷亭苑,1室1厅, 62,22581,140,75,74
书院一号公寓,1室1厅, 57.95,25022,145,264,102
丽泽荷亭苑,1室1厅, 60.19,25420,153,19,31
丽泽荷亭苑,2室2厅, 60.11,26618,160,297,81
新舒苑,2室1厅, 82,22318,183,59,34
丽泽菊清苑,2室1厅, 60.4,25497,154,61,23
新舒苑,2室1厅, 81.88,22595,185,34,34
丽泽梅傲苑,1室1厅, 52.14,25892,135,12,10
丽泽荷亭苑,3室2厅, 122.74,18739,230,81,14
丽泽兰馨苑,3室2厅, 82,22440,184,48,18
新舒苑,3室2厅, 103.4,20987,217,34,9
丽泽菊清苑,1室1厅, 61,24591,150,27,8
丽泽梅傲苑,2室1厅, 67,24926,167,29,6
丽泽荷亭苑,3室1厅, 102.93,18945,195,32,4
丽泽梅傲苑,2室2厅, 82,21342,175,36,3
丽泽菊清苑,3室2厅, 100.43,19915,200,18,2
新舒苑,3室2厅, 124.57,20471,255,14,1
丽泽菊清苑,1室1厅, 61,24591,150,10,2
新舒苑,4室2厅, 163.45,20190,330,2,0
新舒苑,3室2厅, 123.19,19483,240,12,2
新舒苑,2室1厅, 66,24697,163,49,54
丽泽兰馨苑,1室1厅, 50,24600,123,154,51
新舒苑,2室1厅, 66,24243,160,144,84
丽泽兰馨苑,1室1厅, 62.5,24800,155,18,1
丽泽荷亭苑,1室1厅, 60.19,25420,153,7,26
新舒苑,3室2厅, 102.9,19923,205,30,39
丽泽荷亭苑,2室1厅, 80.02,21870,175,4,15
东海二村,2室0厅, 45.37,20939,95,113,26
新舒苑,2室1厅, 65.9,24280,160,68,17
丽泽菊清苑,2室2厅, 81,22840,185,93,53
新舒苑,2室1厅, 65,23847,155,84,49
丽泽荷亭苑,2室1厅, 82.28,21634,178,122,17
丽泽荷亭苑,2室1厅, 60.33,26853,162,72,37
丽泽兰馨苑,2室1厅, 61.49,26021,160,7,10
新舒苑,2室1厅, 65.73,24343,160,39,18
丽泽菊清苑,1室1厅, 61.3,26102,160,6,13
丽泽荷亭苑,3室1厅, 103,16991,175,68,13
书院一号公寓,1室1厅, 65.82,24309,160,47,18
东海二村,1室1厅, 44.73,21239,95,5,1
新舒苑,3室2厅, 103,20583,212,6,4
丽泽荷亭苑,2室2厅, 80,23750,190,11,15
新舒苑,2室1厅, 66.11,24959,165,21,14
丽泽荷亭苑,2室1厅, 80.2,21821,175,10,17
书院一号公寓,2室1厅, 93,21291,198,17,7
新舒苑,2室1厅, 66,25455,168,7,2
丽泽荷亭苑,3室2厅, 102.7,20059,206,21,5
新舒苑,3室2厅, 103,19903,205,21,6
新舒苑,2室1厅, 82.03,22553,185,6,6
丽泽兰馨苑,3室2厅, 101,20793,210,35,9
丽泽菊清苑,1室1厅, 60.32,25697,155,25,10
东海二村,1室1厅, 44,20910,92,92,16
新舒苑,2室2厅, 81.6,22059,180,8,7
新舒苑,3室2厅, 123.24,18663,230,24,3
新舒苑,3室2厅, 122.99,18701,230,17,2
丽泽梅傲苑,3室2厅, 102,19608,200,54,4
新舒苑,2室1厅, 82,21952,180,2,2
丽泽梅傲苑,2室2厅, 90,18889,170,49,5
新舒苑,3室2厅, 122.99,18701,230,17,2
书院一号公寓,1室1厅, 71.18,25289,180,28,2
东海三村,1室1厅, 48,20834,100,3,1
丽泽梅傲苑,3室2厅, 101,20793,210,33,1
新舒苑,3室2厅, 103,19903,205,12,1
新舒苑,2室1厅, 65.94,24265,160,10,12
丽泽梅傲苑,1室1厅, 51.95,25987,135,12,9
书院一号公寓,1室1厅, 71.18,25289,180,31,0
新舒苑,3室2厅, 124.52,19114,238,3,0
丽泽梅傲苑,2室2厅, 82,21342,175,21,0
丽泽兰馨苑,3室2厅, 121.85,20518,250,0,0
丽泽荷亭苑,2室2厅, 104.75,18807,197,20,0
丽泽梅傲苑,3室2厅, 103,19903,205,31,0
东海二村,3室1厅, 87.43,17729,155,31,0
书院一号公寓,1室1厅, 67,25374,170,0,0
丽泽兰馨苑,1室1厅, 62.51,25596,160,4,0
丽泽菊清苑,1室1厅, 60,25000,150,2,2
丽泽兰馨苑,1室1厅, 59.99,25005,150,0,0
新舒苑,2室1厅, 81.94,23798,195,5,0
新舒苑,2室1厅, 82.57,23011,190,26,3
丽泽荷亭苑,3室2厅, 124.25,18512,230,1,3
东海三村,3室2厅, 101,19802,200,3,0
东海二村,2室1厅, 87.9,21047,185,4,0
新舒苑,5室2厅, 163.5,19267,315,10,0
新舒苑,4室2厅, 163,18405,300,37,0
丽泽梅傲苑,3室2厅, 101,20793,210,5,2
新舒苑,3室2厅, 103.08,20373,210,0,0
丽泽菊清苑,2室1厅, 81,22223,180,9,6
书院一号公寓,1室1厅, 65.94,25023,165,1,1
东海二村,1室1厅, 42.7,22951,98,1,1
丽泽荷亭苑,2室1厅, 60.11,27450,165,3,0
丽泽梅傲苑,1室1厅, 51.95,28874,150,3,2
东海二村,2室1厅, 45.51,20875,95,13,6
丽泽荷亭苑,3室1厅, 102.93,18945,195,14,0
丽泽梅傲苑,3室2厅, 100.75,20844,210,7,0
书院一号公寓,1室1厅, 65.81,24313,160,11,0
