CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
万邦都市花园,3室2厅, 97.69,80357,785,165,69
培花七村,1室1厅, 56.65,55605,315,49,47
芳华路253弄,2室2厅, 72.65,57812,420,181,32
花木公寓,2室1厅, 91.53,41517,380,256,30
绿川小区,1室1厅, 48.17,51900,250,40,42
莲文苑,1室2厅, 53.2,71429,380,78,22
绿川新苑,2室2厅, 72.77,51120,372,108,41
海东公寓,2室2厅, 83.44,56328,470,61,19
芳芯苑,2室1厅, 70.53,57423,405,69,19
紫叶花园,2室1厅, 66.7,56972,380,17,16
海东公寓,2室2厅, 87.6,51941,455,96,25
海东公寓,2室2厅, 88.38,56348,498,13,27
莲文苑,2室2厅, 94.44,70945,670,110,26
万邦都市花园,3室2厅, 125.81,75511,950,117,49
鹏海小区,2室1厅, 72.44,53838,390,34,19
紫叶花园东园,2室1厅, 68.65,56810,390,22,24
大华锦绣华城(十九街区)(公寓),3室2厅, 113.36,73219,830,124,30
大华锦绣华城(十六街区)(公寓),2室2厅, 100.42,81658,820,61,41
莲中二村,2室1厅, 69.95,48607,340,82,30
南新三村,2室1厅, 75.02,43989,330,33,12
加东花园,1室2厅, 58.6,57850,339,39,12
绿川新苑,3室1厅, 99.04,51495,510,21,9
大华锦绣华城(二街区),1室1厅, 55.86,73398,410,43,9
莲溪六村,2室1厅, 54.83,58363,320,28,17
海上国际花园(一期),4室2厅, 139.63,82361,1150,37,19
芳草苑(浦东),1室1厅, 54.6,54946,300,52,16
紫叶花园,1室1厅, 48.84,60607,296,15,17
绿川新苑,2室2厅, 82.61,52052,430,48,21
莲泰苑,2室2厅, 83.6,56221,470,137,25
芳雅苑,2室1厅, 54.17,58151,315,29,17
莲溪六村,2室1厅, 54.83,58363,320,28,17
芳草苑(浦东),1室1厅, 54.6,54946,300,52,16
莲泰苑,2室2厅, 83.6,56221,470,137,25
大华锦绣华城(四街区),2室2厅, 83.2,78125,650,49,11
大华锦绣华城(十九街区)(公寓),3室2厅, 139.25,68223,950,47,18
虞泽苑,3室2厅, 116,61207,710,12,6
博安苑,1室1厅, 50.77,70515,358,28,13
海东公寓,3室1厅, 85.29,57217,488,14,6
