CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
临沂七村,2室1厅, 55.29,58781,325,29,24
港机新村,2室1厅, 50.07,55922,280,39,9
东三街15弄,1室1厅, 38.42,54660,210,16,7
临沂六村,2室0厅, 46,65218,300,22,20
东三街30号,2室1厅, 74,64865,480,17,2
沂南路54弄,1室0厅, 30.7,62541,192,60,2
光鸿苑,3室2厅, 131.56,76011,1000,14,4
光鸿苑,2室2厅, 98,71429,700,29,13
临沂六村,2室1厅, 53.8,57621,310,57,12
临沂七村,2室0厅, 46.77,65855,308,37,9
汇众公寓(浦东),2室2厅, 90.67,54043,490,84,11
东方明珠国际公寓,2室2厅, 84.02,78553,660,60,11
沈家宅,1室1厅, 43.32,54710,237,41,8
港机新村,2室1厅, 57.45,61793,355,8,5
塘南路159弄,1室1厅, 35.7,56023,200,15,7
临沂六村,2室1厅, 58.43,54767,320,30,5
建业新村,4室3厅, 162.3,49169,798,56,5
锦南浦三小区,2室1厅, 56.53,59261,335,11,5
金田公寓,3室2厅, 98.57,60668,598,119,8
临沂一村,2室0厅, 49.14,57998,285,15,6
华南名苑,2室2厅, 104.68,74991,785,34,7
临沂六村,1室1厅, 40.2,59702,240,13,1
银河小区,1室1厅, 50.73,61108,310,46,2
海关大楼,2室1厅, 71.66,58611,420,1,4
光鸿苑,3室2厅, 137.23,68134,935,39,2
胶南小区,2室1厅, 50.96,56908,290,28,2
临沂大楼,2室1厅, 83.38,63565,530,9,1
东三小区,2室0厅, 47.56,57822,275,5,2
临沂七村,1室1厅, 36.67,57813,212,48,13
龙阳花苑,3室2厅, 99,74546,738,14,0
锦南浦三小区,1室1厅, 43.3,54273,235,13,0
临沂三村,1室0厅, 35.75,54546,195,28,4
临沂大楼,1室2厅, 55.34,61439,340,31,0
海关大楼,2室1厅, 78.14,49911,390,85,31
临沂六村,1室1厅, 39.65,51955,206,42,16
临沂一村,1室1厅, 39.38,55866,220,15,16
临沂二村,1室1厅, 37.28,57672,215,22,24
金缘坊,3室2厅, 104,67981,707,92,28
华丰新苑,1室1厅, 56.38,76269,430,47,12
临沂六村,2室2厅, 57,57895,330,29,9
龙阳花苑,3室2厅, 157.35,74357,1170,22,8
临沂五村,1室1厅, 36.58,57956,212,25,16
沂南路58号,1室0厅, 35.75,52868,189,28,3
西三里桥路8弄,2室0厅, 51.67,65803,340,5,5
临沂六村,2室0厅, 45.75,53552,245,43,20
南码头路144弄,1室1厅, 35.64,63132,225,165,2
东三小区,1室0厅, 30.7,58632,180,32,10
建业新村,2室1厅, 74.44,60183,448,25,12
天意洲,3室2厅, 118.18,76156,900,73,13
临沂八村,1室1厅, 36.48,61678,225,10,14
临沂七村,1室1厅, 36.62,69908,256,42,12
临沂六村,1室1厅, 37.7,57030,215,16,11
锦南浦三小区,2室1厅, 65.77,50175,330,311,8
凯德莲公馆,2室2厅, 87.25,87680,765,34,16
临沂七村,2室1厅, 57.71,58049,335,33,11
临沂二村,1室1厅, 39,56411,220,10,11
临沂三村,2室2厅, 54.7,66911,366,22,10
临沂三村,1室0厅, 37.58,55083,207,23,13
建业新村,2室1厅, 61.82,61469,380,48,8
欣宇小区,2室2厅, 84.68,64951,550,33,9
东三小区,1室0厅, 35.3,53825,190,19,4
海关大楼,2室1厅, 74.62,60306,450,5,6
临沂三村,2室1厅, 45.82,63292,290,20,7
临沂三村,2室1厅, 67.98,62960,428,31,12
光鸿苑,2室2厅, 97,77320,750,25,6
临沂八村,3室1厅, 55.98,64309,360,127,6
港机新村,2室0厅, 54.16,55392,300,59,4
金国大厦,2室1厅, 61.55,55240,340,9,5
临沂三村,1室1厅, 38,62632,238,1,4
东三街112号,2室0厅, 47.65,58762,280,14,7
临沂五村,2室1厅, 52.5,60953,320,34,4
临沂七村,3室1厅, 78.11,56075,438,76,6
天意洲,3室2厅, 138,80435,1110,18,1
建业新村,3室2厅, 122.9,51262,630,77,4
光鸿苑,2室1厅, 79.45,80554,640,57,4
汇众公寓(浦东),2室1厅, 90.67,59557,540,12,5
塘南路159弄,2室0厅, 45.51,59328,270,27,9
临沂一村,3室0厅, 72.95,57574,420,8,3
建业新村,5室2厅, 106,65095,690,37,4
华南名苑,2室2厅, 120.76,66082,798,48,7
临沂六村,2室1厅, 57.45,58312,335,52,7
临沂三村,1室1厅, 31.37,58974,185,4,3
