CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
荣华苑,3室2厅, 132,28031,370,26,12
前哨路198弄,3室1厅, 88,29546,260,4,2
前哨路288弄,3室2厅, 101.27,27649,280,31,2
环庆新苑,1室1厅, 49.08,40343,198,11,7
胜利小区(浦东),2室1厅, 66.31,34686,230,13,2
海馨苑,2室2厅, 86.23,31892,275,16,3
金盛佳苑,2室2厅, 71.98,43068,310,6,1
前哨路288弄,2室2厅, 91.44,30075,275,12,1
环庆新苑,2室1厅, 66.07,40109,265,57,0
远东小区,3室1厅, 98,29082,285,5,0
海湾新城,2室2厅, 83,34820,289,23,36
远东小区,2室1厅, 76.03,32619,248,7,2
环庆新苑,1室1厅, 49.71,46269,230,15,0
永旭家苑,1室1厅, 58.01,39649,230,2,1
海湾新城,2室2厅, 89.86,31160,280,27,16
海馨苑,1室1厅, 58.7,36627,215,13,13
海馨苑,3室1厅, 88.26,34557,305,4,8
永旭家苑,1室1厅, 57.99,37076,215,16,18
地纬家苑,1室1厅, 57.81,39440,228,13,14
金盛佳苑,1室2厅, 52.67,42719,225,4,5
海馨苑,1室1厅, 59.5,37816,225,13,14
海馨苑,2室2厅, 89,34270,305,21,6
远东小区,2室1厅, 76.03,30252,230,17,6
海馨苑,1室1厅, 59,37289,220,5,3
远东小区,1室1厅, 51.1,36204,185,29,3
农房唐镇壹号,3室2厅, 113,50443,570,11,2
地纬家苑,3室2厅, 118,30509,360,16,5
海湾新城,2室2厅, 80,35000,280,14,2
金盛佳苑,1室1厅, 51,55883,285,4,1
远东小区,3室1厅, 98.34,30507,300,3,1
金盛佳苑,1室1厅, 57.81,44975,260,1,0
前哨路288弄,2室1厅, 74.68,32138,240,23,33
地纬家苑,2室2厅, 78.58,34997,275,24,21
前哨路198弄,2室1厅, 71.99,31255,225,8,4
前哨路231弄,3室2厅, 130.45,26064,340,2,0
农房唐镇壹号,2室2厅, 84,53572,450,16,24
大湾名苑,2室2厅, 80.27,42358,340,2,0
环庆新苑,1室1厅, 49.08,42788,210,1,0
农房唐镇壹号,3室2厅, 125,52000,650,12,12
华夏东路2895弄,3室1厅, 102.71,25801,265,61,16
前哨路198弄,3室1厅, 88.02,28971,255,19,9
海馨苑,1室1厅, 59.5,36639,218,28,16
农房唐镇壹号,3室2厅, 126,55556,700,14,1
农房唐镇壹号,3室2厅, 126.32,56207,710,4,4
前哨路288弄,3室1厅, 99.89,28532,285,24,9
海湾新城,1室1厅, 57.12,36765,210,30,9
前哨路198弄,2室1厅, 71.99,31949,230,33,9
前哨路231弄,4室2厅, 130.45,26064,340,30,8
环庆新苑,2室1厅, 66.05,37094,245,24,3
农房唐镇壹号,3室2厅, 126.5,53755,680,8,2
远东小区,2室1厅, 76.03,31567,240,29,4
海湾新城,2室2厅, 90,34445,310,17,3
海湾新城,2室1厅, 78.85,35511,280,23,2
远东小区,1室1厅, 51.1,35617,182,23,2
前哨路288弄,2室2厅, 96.69,26891,260,5,1
前哨路198弄,2室1厅, 84.68,30704,260,32,2
环庆新苑,2室2厅, 63.64,39284,250,6,1
金盛佳苑,2室2厅, 75.09,43948,330,2,2
金盛佳苑,2室1厅, 60.48,46297,280,5,1
环庆新苑,2室2厅, 65.4,38991,255,16,0
金盛佳苑,2室1厅, 79.6,40202,320,5,0
大湾名苑,3室2厅, 127.14,36181,460,8,0
环庆新苑,2室1厅, 65.42,36687,240,23,4
前哨路198弄,2室1厅, 71.99,33338,240,4,0
金盛佳苑,1室1厅, 52.82,50171,265,0,0
大湾名苑,1室1厅, 58.1,39587,230,13,12
海馨苑,1室1厅, 59.5,35295,210,12,15
大湾名苑,1室1厅, 58.1,43030,250,0,0
海湾新城,3室2厅, 114.55,31428,360,16,6
前哨路198弄,2室1厅, 71.44,30796,220,7,0
环庆新苑,2室2厅, 66.01,39388,260,2,0
环庆新苑,2室2厅, 66.01,34844,230,3,0
海湾新城,1室1厅, 58.4,42809,250,1,0
环庆新苑,1室1厅, 47.1,42463,200,8,0
大湾名苑,1室1厅, 58.1,39587,230,6,2
大湾名苑,2室1厅, 80,43125,345,0,1
大湾名苑,2室1厅, 88,36932,325,11,0
