CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
川周公路4485号,3室2厅, 139.08,37389,520,21,39
汇丽苑,2室2厅, 77,45455,350,35,49
繁荣安居,1室1厅, 55.98,46446,260,13,16
印象春城,2室2厅, 72.98,49329,360,187,46
沈默花苑,2室2厅, 103.66,48042,498,43,16
龙泽家园,2室2厅, 68.14,53567,365,31,22
桃园新城中虹佳园,1室1厅, 51.68,41603,215,55,11
小上海新城,1室1厅, 57.06,47319,270,8,11
汇丽苑,3室2厅, 109.37,43431,475,9,11
明天华城,2室2厅, 88.29,52102,460,22,22
汇丽苑,2室2厅, 98.13,39744,390,42,8
瑞和苑,2室1厅, 76.6,35901,275,53,20
印象春城,3室2厅, 131.06,49596,650,31,15
汇丽苑,2室2厅, 75.41,43761,330,38,18
瑞和苑,2室1厅, 75.4,36871,278,46,18
菱翔苑,2室2厅, 94.96,49495,470,21,19
百花新村,2室2厅, 77,38312,295,3,1
梓潼新村,2室2厅, 78.86,38677,305,28,2
东方晶华园,1室1厅, 55.56,57596,320,19,9
瑞阳苑,2室2厅, 78.21,38614,302,66,11
菱翔苑,3室2厅, 136.15,41132,560,53,13
创欣公寓,2室2厅, 86.94,41178,358,20,8
瑞和苑,1室1厅, 55,40910,225,51,9
龙泽家园,2室1厅, 68.25,52748,360,50,12
明天华城,2室2厅, 88.89,50625,450,5,6
欧风家园,2室1厅, 82.63,39332,325,58,7
绿地东上海,2室2厅, 92.85,56005,520,9,5
粤亮湾景苑,2室2厅, 86.58,41581,360,27,6
欧风家园,1室1厅, 53.81,45159,243,33,6
桃园新城中城苑,2室1厅, 76.55,41150,315,82,12
印象春城,2室2厅, 88.37,46396,410,41,9
梓潼新村,2室1厅, 56.61,40629,230,22,8
菱翔苑,2室2厅, 100.7,44489,448,82,7
印象春城,2室2厅, 87.85,51224,450,7,2
安康新村,3室2厅, 130.98,39701,520,16,5
桃园新城中虹佳园,3室2厅, 94,40958,385,8,2
圣鑫苑,3室1厅, 99.24,43128,428,37,3
文馨园,2室2厅, 99.63,39045,389,3,1
瑞阳苑,2室1厅, 75,40667,305,13,3
粤亮湾景苑,2室1厅, 81.82,45833,375,20,5
印象春城,1室1厅, 64.28,49783,320,7,1
圣鑫苑,2室2厅, 105.6,41194,435,10,6
绿地东上海,2室2厅, 100.48,52250,525,17,4
菱翔苑,2室2厅, 95.24,50399,480,25,5
澧溪公寓,2室1厅, 87.64,43930,385,16,1
加盟圣蓝,3室1厅, 97.46,44121,430,3,1
粤亮湾景苑,3室2厅, 145,44828,650,4,2
圣鑫苑,2室1厅, 76.47,45116,345,39,4
粤亮湾景苑,2室1厅, 81,45062,365,9,1
汇康公寓,3室2厅, 131.47,42444,558,9,2
安阁苑,3室2厅, 96.6,38820,375,23,3
欧风家园,2室2厅, 82.42,38219,315,24,1
东方晶华园,1室1厅, 48.91,62973,308,5,1
印象春城,2室2厅, 87.9,48920,430,13,2
沈默花苑,4室2厅, 131.15,48418,635,11,2
绿地东上海,2室2厅, 100.95,53492,540,35,1
小上海新城,2室2厅, 75,50000,375,6,5
加盟圣蓝,3室2厅, 125.29,38152,478,5,1
汇康公寓,3室2厅, 114.24,45519,520,0,2
安阁苑,3室2厅, 96.6,38820,375,23,3
汇康公寓,3室2厅, 131.47,42444,558,9,2
澧溪公寓,2室1厅, 87.64,43930,385,16,1
绿地东上海,2室2厅, 100.95,53492,540,35,1
瑞和苑,1室2厅, 55,39091,215,73,3
公元三村,2室1厅, 98,39796,390,2,1
周东一村,2室1厅, 55.46,39669,220,9,1
汇华花园,2室1厅, 67,45523,305,28,2
沈默花苑,2室2厅, 103.23,49405,510,11,1
小上海新城,2室2厅, 75,50000,375,6,5
印象春城,2室2厅, 88,51137,450,4,0
瑞阳苑,1室1厅, 54.8,45621,250,5,0
梓潼新村,3室1厅, 78.86,39311,310,6,0
东方晶华园,3室2厅, 124,54436,675,11,0
汇丽苑,3室2厅, 126.61,44231,560,1,0
文馨园,3室2厅, 118,42373,500,2,0
龙威茗庭,2室2厅, 99.16,48407,480,37,0
永恒公寓,3室2厅, 91.65,39280,360,16,0
公元三村,3室1厅, 101.25,37531,380,5,0
海通新村,2室2厅, 96.83,36146,350,35,0
东南一村,2室1厅, 74.7,36814,275,24,0
文馨园,3室2厅, 125.07,40698,509,6,0
沈默花苑,6室3厅, 216.91,34577,750,23,0
赵沟浜小区,2室0厅, 52.08,38403,200,29,0
东八公寓中区,3室2厅, 107,36449,390,5,0
东八公寓中区,3室1厅, 103,36894,380,5,0
圣鑫苑,1室1厅, 58.43,43642,255,43,29
明天华城,2室2厅, 89.55,46902,420,43,43
明天华城,2室2厅, 90.68,51280,465,5,0
明天华城,2室2厅, 88,51705,455,34,30
桃园新城中城苑,2室1厅, 71.85,41058,295,34,69
绿地东上海,2室2厅, 98.02,51521,505,14,38
安阁苑,1室1厅, 54.67,40608,222,23,32
瑞和苑,1室1厅, 54.45,44078,240,16,39
欧风家园,3室2厅, 94.89,37939,360,58,49
汇枫公寓,2室1厅, 74.5,40940,305,19,27
绿地东上海,3室2厅, 128,58594,750,19,51
瑞和苑,1室1厅, 55.25,41629,230,20,19
明天华城,2室2厅, 88.89,49500,440,17,28
安阁苑,2室2厅, 75.13,35938,270,98,24
瑞阳苑,2室1厅, 75.13,35938,270,129,18
印象春城,1室1厅, 63.77,54101,345,7,20
御沁园(公寓),3室2厅, 161,47205,760,29,83
桃园新城中城苑,2室1厅, 71.85,40362,290,14,19
绿地东上海,2室2厅, 91.36,54729,500,20,20
明天华城,2室2厅, 90.57,51342,465,34,38
欧风家园,2室1厅, 72,41389,298,55,31
公元新村,1室1厅, 40.03,47465,190,18,10
瑞和苑,2室2厅, 75.49,37754,285,18,11
南郊花园(公寓),3室2厅, 120.78,41398,500,66,7
小上海新城,2室2厅, 86.02,47083,405,27,16
绿地景汇佳苑,4室2厅, 180.04,47490,855,38,17
印象春城,1室1厅, 65,49693,323,11,10
小上海新城,5室2厅, 165.52,42291,700,34,10
繁荣安居,1室1厅, 58.16,43845,255,4,5
安阁苑,3室2厅, 94.48,40221,380,24,9
中金海棠湾(公寓),3室2厅, 140.83,45445,640,14,7
粤亮湾景苑,2室2厅, 83,39760,330,38,22
绿地东上海,3室2厅, 144.07,50670,730,15,19
绿地东上海,3室2厅, 144.07,49976,720,40,16
粤亮湾景苑,2室2厅, 83,39760,330,38,22
绿地东上海,3室2厅, 117.52,50885,598,22,27
印象春城,2室2厅, 89.23,52113,465,53,21
印象春城,2室2厅, 88.23,43636,385,82,20
