CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
绿波城,1室1厅, 60,55834,335,63,27
东唐苑,3室2厅, 122.09,37678,460,53,7
金利公寓,1室1厅, 57,54737,312,36,6
同馨苑,2室1厅, 80,44375,355,49,15
金爵别墅,独栋别墅, 6室,54280,3000,9,13
同馨苑,2室2厅, 87,41955,365,44,9
绿波城,2室2厅, 86.7,51904,450,15,12
保利御樽苑(公寓),3室2厅, 100.14,74896,750,104,15
同景苑,2室2厅, 87,39656,345,56,4
毕加索小镇(一期)(公寓),3室2厅, 160,40000,640,53,8
绿波城,2室2厅, 86.57,49671,430,61,8
华昌小区,3室2厅, 94.21,31738,299,139,8
齐爱佳苑,2室2厅, 81.46,48491,395,91,9
保利金爵公寓,2室2厅, 89.71,59080,530,21,5
保利金爵公寓,2室2厅, 90.2,62085,560,25,5
鑫唐佳苑,2室2厅, 92,47827,440,12,2
金唐公寓,2室2厅, 80.45,52207,420,17,3
绿波城,2室1厅, 59.66,56990,340,35,5
鑫港苑,2室2厅, 96.83,43375,420,4,1
同景苑,2室2厅, 80,45625,365,17,1
保利金爵公寓,2室1厅, 71,60564,430,15,1
保利金爵公寓,2室2厅, 90.04,61084,550,12,4
齐爱佳苑,2室2厅, 82,51220,420,26,3
毕加索小镇(一期)(公寓),1室1厅, 59.87,66812,400,6,0
同馨苑,2室2厅, 91.54,42605,390,11,0
绿波城,1室2厅, 59,58475,345,1,0
绿波城,3室2厅, 123.67,48517,600,8,0
保利金爵公寓,2室2厅, 89.59,60275,540,23,47
龙东大道5401弄,1室1厅, 45.74,34981,160,52,4
毕加索小镇(二期)(公寓),2室2厅, 89.54,64776,580,31,96
保利御樽苑(公寓),3室2厅, 137.26,60470,830,26,55
同馨苑,2室2厅, 81,43210,350,2,0
金唐公寓,2室2厅, 77.08,49300,380,20,53
金利公寓,3室2厅, 119.26,41842,499,181,30
唐人苑,2室2厅, 90.91,46200,420,94,30
金利公寓,3室2厅, 119.26,39410,470,97,32
毕加索小镇(一期)(公寓),2室2厅, 93.08,58552,545,74,21
虹盛小区,3室1厅, 93.78,36256,340,3,0
绿城玉兰花园(二期),3室2厅, 106.73,103064,1100,6,22
绿波城,1室2厅, 59,57628,340,21,17
金唐公寓,2室2厅, 88.96,42716,380,14,14
保利金爵公寓,3室1厅, 84.98,64133,545,2,17
绿城玉兰花园(一期),4室2厅, 357.97,68442,2450,19,27
保利御樽苑(公寓),3室2厅, 137.26,59741,820,38,30
保利金爵公寓,2室2厅, 83.36,62381,520,0,9
保利金爵公寓,3室2厅, 106.47,64807,690,37,20
东唐苑,3室2厅, 138.68,37497,520,42,15
金唐公寓,2室2厅, 88.39,48649,430,11,11
鑫港苑,2室2厅, 96.33,40486,390,18,7
金利公寓,3室2厅, 126.34,43534,550,1,6
绿波城,3室2厅, 123.05,40634,500,19,6
齐爱佳苑,1室2厅, 50.59,61277,310,58,18
齐爱佳苑,1室1厅, 48.93,62948,308,28,16
唐人苑,1室1厅, 57.19,51583,295,76,16
保利御樽苑(公寓),2室1厅, 67.57,62158,420,11,0
保利御樽苑(公寓),3室2厅, 141.7,56458,800,22,20
毕加索小镇(一期)(公寓),2室2厅, 93.09,57794,538,12,11
金枫公寓,5室4厅, 197.8,34379,680,11,2
东唐苑,1室1厅, 54,49075,265,60,9
绿波城,3室2厅, 123.67,44474,550,16,17
绿城玉兰花园(二期),3室2厅, 90.74,89818,815,50,15
毕加索小镇(一期)(公寓),2室2厅, 166,39157,650,44,16
金唐公寓,1室1厅, 60.59,47863,290,24,11
保利金爵公寓,2室1厅, 74,60136,445,58,16
齐爱佳苑,1室1厅, 48.87,63434,310,20,2
保利金色唐城,1室2厅, 59.78,57712,345,41,13
保利金爵公寓,4室2厅, 125.63,72276,908,5,6
保利金爵公寓,3室2厅, 86.38,75249,650,7,7
绿波城,2室2厅, 86.78,54160,470,7,8
鑫唐佳苑,1室1厅, 56.74,50758,288,45,16
绿波城,2室2厅, 86.88,49494,430,7,8
毕加索小镇(一期)(公寓),2室2厅, 93,58065,540,16,6
毕加索小镇(一期)(公寓),1室1厅, 66,62122,410,20,8
金融家,2室2厅, 92.36,50347,465,37,8
保利金爵公寓,2室2厅, 87,63219,550,5,11
保利御樽苑(公寓),3室2厅, 140.14,58513,820,8,6
保利金爵公寓,3室2厅, 108.27,60959,660,38,16
白金瀚宫,独栋别墅, 5室,98662,4200,2,15
金利公寓,1室2厅, 54.34,55208,300,130,15
保利金色唐城,2室2厅, 76.16,63682,485,34,9
华昌小区,2室1厅, 63.3,37125,235,11,1
绿波城,2室2厅, 86.78,51856,450,2,4
绿城玉兰花园(一期),4室2厅, 327.94,70135,2300,17,6
毕加索小镇(一期)(公寓),6室2厅, 166,39760,660,37,3
保利御樽苑(公寓),3室2厅, 135.07,56268,760,9,1
保利金色唐城,1室2厅, 63.37,56021,355,39,6
保利金色唐城,2室2厅, 83,60241,500,10,5
虹盛小区,2室1厅, 59.02,39818,235,45,4
东唐苑,4室2厅, 161.91,41999,680,20,2
保利金爵公寓,1室2厅, 61,59017,360,14,6
同馨苑,3室2厅, 118.18,38924,460,34,7
瀚盛家园,1室1厅, 57.71,58916,340,9,4
保利金爵公寓,2室2厅, 90,63112,568,3,3
保利金色唐城,3室3厅, 81.02,67885,550,12,7
同馨苑,1室1厅, 54,44445,240,51,7
毕加索小镇(一期)(公寓),3室2厅, 143.94,58358,840,54,7
毕加索小镇(一期)(公寓),2室2厅, 93.11,62292,580,25,10
龙东大道5401弄,2室1厅, 65.57,41178,270,38,1
保利御樽苑(公寓),5室2厅, 191.2,75053,1435,6,1
绿城玉兰花园(一期),4室2厅, 246.25,75127,1850,36,3
毕加索小镇(一期)(公寓),3室2厅, 232.15,42215,980,16,1
东唐苑,3室2厅, 129,50388,650,10,3
保利金色唐城,2室2厅, 82.94,57874,480,11,2
毕加索小镇(一期)(公寓),2室2厅, 93.11,58533,545,34,2
保利御樽苑(公寓),2室2厅, 116.75,59958,700,12,1
鑫唐佳苑,3室2厅, 125.55,49781,625,13,1
毕加索小镇(一期)(公寓),2室2厅, 89.23,61639,550,15,2
金唐公寓,3室2厅, 111.8,46512,520,119,1
毕加索小镇(一期)(公寓),2室2厅, 185,31298,579,109,7
毕加索小镇(一期)(别墅),联排别墅, 6室,52648,1790,31,6
