CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
东方城市花园(二期),3室2厅, 152.74,69399,1060,280,115
文兰小区,1室1厅, 40.82,68594,280,27,27
新塘桥生活广场,4室2厅, 191.63,67840,1300,56,41
东方城市花园(二期),2室2厅, 118,78645,928,58,29
澳丽花园,2室2厅, 99.18,85703,850,65,28
新都花园,3室2厅, 162.4,57267,930,128,11
微山二村,2室0厅, 50.82,66903,340,55,19
盛族家园-悉尼阳光·悉尼星光,3室2厅, 151.91,75703,1150,36,18
乔顿花园,2室2厅, 102.89,74838,770,71,14
东方城市花园(二期),3室2厅, 151.71,72507,1100,160,19
中远行家,2室2厅, 100.68,72507,730,54,5
中远行家,1室1厅, 50.89,70348,358,72,26
贵龙园,3室2厅, 153.52,77841,1195,13,6
康乐花园(浦东),2室2厅, 99,66667,660,26,9
微山二村,2室1厅, 50.53,65308,330,26,17
金浦小区(塘桥),2室1厅, 58.3,64323,375,144,12
塘桥小区,2室1厅, 55.62,61130,340,24,10
东方城市花园(一期),3室2厅, 144.99,88282,1280,47,13
贵龙园,1室1厅, 49.99,83217,416,22,15
东南华庭,4室2厅, 80.8,115100,930,77,7
东方城市花园(二期),2室2厅, 122.51,77545,950,14,7
龙阳小区,2室1厅, 66.06,66607,440,36,8
东方城市花园(二期),3室2厅, 152.74,77780,1188,8,8
东方城市花园(二期),3室2厅, 151.71,75803,1150,12,1
东方城市花园(二期),3室2厅, 151.71,75803,1150,68,1
东方城市花园(二期),2室2厅, 122.44,73506,900,31,3
东方城市花园(二期),2室2厅, 108.41,78407,850,134,3
中远行家,1室1厅, 65.01,66144,430,81,6
浦建小区,1室1厅, 39.58,69480,275,15,2
康乐花园(浦东),2室2厅, 101.33,70069,710,33,3
浦建小区,1室1厅, 39.58,69480,275,15,2
东方城市花园(二期),2室2厅, 121.34,75821,920,13,6
盛族家园-悉尼阳光·悉尼星光,3室2厅, 149,75168,1120,45,40
茂兴大厦,3室1厅, 89.39,77190,690,1,1
龙阳小区,2室1厅, 61.2,70262,430,39,4
中远行家,1室1厅, 77.12,71318,550,14,1
久事大桥公寓,2室1厅, 99,70203,695,24,3
峨山小区,2室1厅, 46.43,67845,315,18,3
浦江映象,3室2厅, 131.83,92544,1220,27,3
龙阳小区,2室1厅, 64.27,74685,480,16,0
东南华庭,3室2厅, 158.87,67981,1080,15,0
东方城市花园(二期),2室2厅, 118.23,76123,900,15,0
金浦小区(塘桥),2室1厅, 50.77,69924,355,23,0
金龙东苑,3室2厅, 155.62,89963,1400,0,0
康乐花园(浦东),1室1厅, 69.64,73952,515,12,0
文兰小区,1室1厅, 40.82,71044,290,1,3
浦建小区,1室1厅, 39.69,69287,275,10,3
家化滨江苑,2室2厅, 107.9,80631,870,6,41
东方城市花园(二期),2室2厅, 108.41,77023,835,86,44
南泉小区,1室0厅, 32.69,74947,245,8,2
盛族家园-悉尼阳光·悉尼星光,3室2厅, 123,78049,960,109,38
贵龙园,3室2厅, 147.24,78104,1150,25,29
微山新村,1室0厅, 31.32,81418,255,4,2
南泉小区,1室1厅, 34.5,72464,250,9,0
峨山小区,1室0厅, 37.14,74045,275,0,0
锦南花苑,3室2厅, 136.17,54197,738,205,43
贵龙园,2室2厅, 101.51,84721,860,45,64
港驳小区,1室1厅, 37.6,63830,240,43,39
中远行家,2室2厅, 89.17,69867,623,52,31
文兰小区,2室1厅, 65.49,64132,420,110,35
东方城市花园(一期),2室2厅, 104.07,84559,880,61,35
东方城市花园(一期),4室2厅, 226.18,75162,1700,131,25
东方城市花园(一期),2室1厅, 75.55,90007,680,62,11
金浦小区(塘桥),1室1厅, 48.29,60054,290,44,14
海运新村,2室1厅, 80.54,57736,465,20,3
蓝村小区,1室1厅, 31.68,78915,250,19,14
澳丽花园,2室2厅, 99.18,85703,850,12,15
雍江星座香园,2室2厅, 92.91,77495,720,188,13
东方金座,2室2厅, 107.72,59414,640,52,9
