CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
爱家新城,2室2厅, 85.27,19937,170,39,4
三墩花苑,3室2厅, 121.06,15695,190,77,6
同润蓝美俊庭,2室2厅, 92.46,24660,228,63,54
同润蓝美俊庭,2室1厅, 87.76,22790,200,36,24
南湾新村,2室1厅, 60.56,21137,128,70,11
同润蓝美俊庭,2室2厅, 92,24783,228,11,12
爱家新城,2室2厅, 85.43,20485,175,15,12
同润蓝美俊庭,4室2厅, 151,31126,470,2,2
三墩花苑,2室2厅, 83.79,20289,170,35,11
三墩花苑,2室2厅, 83.79,20289,170,38,8
爱家新城,3室2厅, 101.89,22083,225,10,1
爱家新城,3室2厅, 101.89,24340,248,26,1
爱家新城,2室1厅, 85.45,22587,193,3,2
芦洋花园,3室2厅, 123.6,16182,200,47,2
南湾新村,3室1厅, 125,18800,235,10,1
吉园坊,3室2厅, 116.44,31777,370,0,1
同润蓝美俊庭,2室2厅, 87.25,24069,210,2,1
同润蓝美俊庭,2室2厅, 87.76,23929,210,56,2
同润蓝美俊庭,3室2厅, 121,24794,300,9,3
同润蓝美俊庭,2室2厅, 88.89,24188,215,12,1
同润蓝美俊庭,2室2厅, 88,25000,220,29,2
同润蓝美俊庭,2室1厅, 88,29546,260,5,1
同润蓝美俊庭,2室2厅, 87.82,27329,240,2,0
吉园坊,3室2厅, 113.15,26337,298,2,0
爱家新城,2室2厅, 74.77,24074,180,3,0
同润蓝美俊庭,2室2厅, 88,26137,230,18,31
同润蓝美俊庭,3室2厅, 151,31126,470,16,7
金团花苑,2室1厅, 89.47,25149,225,29,0
同润蓝美俊庭,2室2厅, 92.6,28078,260,1,0
爱家新城,3室2厅, 101.89,19630,200,8,1
同润蓝美俊庭,2室2厅, 88,26705,235,1,0
吉园坊,3室2厅, 113.56,26418,300,0,0
