CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
艺泰安邦,2室2厅, 99.8,32065,320,6,0
艺泰安邦,2室2厅, 91.27,30131,275,23,6
欣秋苑,3室2厅, 128.94,23267,300,21,15
艺泰安邦,2室2厅, 110.36,26731,295,33,7
艺泰安邦,1室1厅, 59.56,34420,205,36,42
艺泰安邦,2室2厅, 91.13,29848,272,56,102
艺泰安邦,2室2厅, 74.46,34247,255,28,22
欣梅苑,2室2厅, 94,28192,265,69,21
艺泰安邦,1室1厅, 59.56,36099,215,12,9
艺泰安邦,2室2厅, 92.39,34095,315,5,7
欣兰苑,2室1厅, 77.8,28921,225,28,8
欣梅苑,2室2厅, 94.16,27082,255,20,10
艺泰安邦,2室1厅, 92.12,28225,260,8,12
艺泰安邦,2室2厅, 93.09,32227,300,11,4
艺泰安邦,3室2厅, 130.54,28727,375,15,1
艺泰安邦,3室2厅, 125.66,31037,390,7,2
艺泰安邦,2室2厅, 110.36,30356,335,7,1
艺泰安邦,2室2厅, 100.37,30388,305,4,1
艺泰安邦,2室2厅, 89.63,30682,275,8,2
欣春苑,1室2厅, 67.23,31237,210,9,2
艺泰安邦,3室1厅, 116,30000,348,6,4
艺泰安邦,3室2厅, 139,29497,410,3,0
艺泰安邦,2室1厅, 99.8,30562,305,2,0
艺泰安邦,4室2厅, 160.63,30505,490,29,0
艺泰安邦,3室2厅, 137.63,30517,420,11,0
艺泰安邦,3室2厅, 129.99,34619,450,4,0
艺泰安邦,3室2厅, 130.34,30689,400,1,0
艺泰安邦,3室2厅, 126.61,30409,385,5,0
艺泰安邦,3室2厅, 91.11,29855,272,45,2
艺泰安邦,1室2厅, 70.46,31934,225,32,55
欣兰苑,2室1厅, 77.08,28542,220,52,31
艺泰安邦,1室2厅, 77.69,28962,225,21,68
欣菊苑,2室2厅, 93,25807,240,17,36
艺泰安邦,3室2厅, 145.63,28841,420,10,32
艺泰安邦,2室2厅, 91.26,28491,260,44,32
艺泰安邦,2室2厅, 116.78,24834,290,11,23
艺泰安邦,2室1厅, 90.56,31471,285,24,34
欣梅苑,2室2厅, 93.97,25328,238,41,22
欣秋苑,2室2厅, 104.86,25272,265,1,21
欣兰苑,1室1厅, 54.45,32140,175,28,25
欣松苑,2室1厅, 77,29351,226,60,35
艺泰安邦,2室2厅, 91.92,29156,268,20,30
艺泰安邦,3室2厅, 127,30709,390,2,23
艺泰安邦,2室2厅, 92,29348,270,8,9
艺泰安邦,3室2厅, 126.7,29045,368,12,15
海志花苑,3室1厅, 99.35,25667,255,107,9
欣秋苑,3室2厅, 125,23200,290,13,11
欣松苑,2室2厅, 77,28312,218,27,15
欣梅苑,2室2厅, 92.29,28173,260,0,0
艺泰安邦,2室2厅, 88.75,30198,268,3,3
艺泰安邦,3室2厅, 120,32500,390,1,8
艺泰安邦,2室2厅, 91.38,29547,270,6,14
欣松苑,3室2厅, 105,25715,270,39,9
欣梅苑,2室1厅, 77.08,27894,215,39,13
欣梅苑,2室2厅, 94,25000,235,44,16
艺泰安邦,2室2厅, 91.3,29026,265,53,9
欣菊苑,1室1厅, 54.29,31314,170,24,15
欣松苑,2室2厅, 93.97,26605,250,3,0
艺泰安邦,2室2厅, 95.59,29815,285,3,0
艺泰安邦,1室1厅, 60,35000,210,4,0
艺泰安邦,2室2厅, 108.84,26186,285,7,0
艺泰安邦,3室2厅, 133.36,27595,368,16,6
艺泰安邦,2室2厅, 108.84,29401,320,2,7
欣菊苑,1室1厅, 54,31482,170,21,10
欣梅苑,2室1厅, 94.32,27036,255,11,9
艺泰安邦,1室2厅, 74.61,32168,240,22,8
艺泰安邦,2室2厅, 91.65,28915,265,28,6
艺泰安邦,2室2厅, 86.43,31240,270,31,9
欣梅苑,2室2厅, 103.85,22918,238,17,5
艺泰安邦,2室2厅, 108.84,28299,308,6,4
艺泰安邦,2室2厅, 95,28422,270,10,1
欣梅苑,3室2厅, 116.9,24808,290,27,8
欣梅苑,3室2厅, 117,25214,295,12,5
艺泰安邦,2室2厅, 91.27,31774,290,18,5
艺泰安邦,3室2厅, 144.14,29139,420,3,6
艺泰安邦,4室3厅, 140.3,36351,510,7,5
艺泰安邦,2室1厅, 95.05,29774,283,27,5
艺泰安邦,2室2厅, 92,32066,295,9,4
艺泰安邦,2室2厅, 99.8,30061,300,4,5
欣松苑,2室2厅, 103.85,23592,245,11,3
艺泰安邦,2室2厅, 92,29348,270,4,1
艺泰安邦,3室2厅, 126.38,30069,380,4,3
艺泰安邦,1室2厅, 70.46,33353,235,9,3
艺泰安邦,2室1厅, 92,32174,296,5,4
艺泰安邦,3室2厅, 133.3,28958,386,5,4
艺泰安邦,2室1厅, 88.31,28876,255,106,7
艺泰安邦,2室1厅, 71.11,33470,238,53,8
艺泰安邦,2室2厅, 103.96,30301,315,7,3
艺泰安邦,2室2厅, 100.38,29887,300,4,1
艺泰安邦,2室1厅, 85,33530,285,8,1
景瑞法兰云廷,4室3厅, 185,38919,720,16,4
艺泰安邦,3室2厅, 133.85,33546,449,2,2
艺泰安邦,2室2厅, 116.78,30828,360,3,1
艺泰安邦,4室2厅, 160,30625,490,0,1
艺泰安邦,2室2厅, 100.38,29887,300,4,1
艺泰安邦,2室2厅, 91.27,31774,290,0,1
艺泰安邦,5室2厅, 200,30000,600,2,1
明祥苑,1室1厅, 66,30304,200,4,1
欣春苑,2室2厅, 95.29,28335,270,8,2
艺泰安邦,3室2厅, 125.66,31435,395,0,1
艺泰安邦,2室1厅, 95.34,29684,283,4,3
艺泰安邦,2室2厅, 91.72,33581,308,2,0
艺泰安邦,3室2厅, 147.04,27884,410,24,4
欣春苑,3室2厅, 129.07,24793,320,3,0
艺泰安邦,2室1厅, 94.02,31909,300,5,0
欣梅苑,3室2厅, 117,26496,310,2,0
艺泰安邦,2室2厅, 94.16,30268,285,5,0
莱茵美墅,双拼别墅, 4室,49391,1200,6,0
明祥苑,3室2厅, 109.08,27962,305,0,0
欣松苑,3室2厅, 136.09,23147,315,14,0
艺泰安邦,2室2厅, 94.16,36109,340,3,0
欣松苑,3室2厅, 121.79,27096,330,0,0
艺泰安邦,3室2厅, 130.54,29110,380,1,0
欣梅苑,3室2厅, 121.99,24593,300,21,0
海志花苑,2室2厅, 91,27473,250,2,0
艺泰安邦,2室2厅, 100.39,31378,315,5,0
艺泰安邦,2室2厅, 100.34,32889,330,1,0
欣荷苑,3室2厅, 117,25471,298,13,0
艺泰安邦,2室2厅, 91,32968,300,9,1
欣梅苑,2室2厅, 92.29,29256,270,22,1
艺泰安邦,2室1厅, 77.43,33579,260,32,1
艺泰安邦,5室2厅, 213.97,32715,700,3,2
艺泰安邦,1室2厅, 74.61,31498,235,2,0
艺泰安邦,2室2厅, 92,30435,280,2,0
欣松苑,1室1厅, 55.4,31047,172,15,8
艺泰安邦,1室1厅, 59.56,33580,200,6,3
艺泰安邦,1室2厅, 77.43,31642,245,5,3
艺泰安邦,2室2厅, 109,30276,330,1,0
欣秋苑,1室1厅, 57.5,29566,170,13,0
艺泰安邦,2室2厅, 91.92,28939,266,89,82
艺泰安邦,2室2厅, 92.53,29721,275,55,61
艺泰安邦,2室2厅, 91.59,30572,280,32,35
艺泰安邦,2室1厅, 96.07,29666,285,5,21
艺泰安邦,2室2厅, 94.16,29206,275,3,1
欣梅苑,2室2厅, 77.08,29840,230,5,1
艺泰安邦,2室1厅, 91.14,30722,280,0,0
莱茵美墅,叠拼别墅, 4室,32705,650,141,17
