CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
绿海家园,2室2厅, 66.94,38841,260,80,24
佳洲欣苑,3室2厅, 120.55,43966,530,5,6
王桥苑,2室2厅, 87.82,37577,330,79,42
贝越水岸名邸,2室2厅, 101.22,52362,530,56,69
天和湖滨家园(公寓),3室2厅, 111.13,38694,430,32,31
盛世联弈苑,2室1厅, 82,32318,265,216,27
晨光公寓,2室1厅, 70.19,38468,270,165,42
和憬家园,2室2厅, 85,55059,468,9,7
新德佳苑,2室2厅, 83,40964,340,39,21
鼎鑫名流世家,4室2厅, 157.76,47541,750,10,6
妙龙小区,2室1厅, 71.16,42159,300,35,8
妙境路338弄,2室2厅, 87.93,38099,335,22,9
新德公寓(浦东),2室1厅, 64.39,41156,265,103,24
绿海家园,3室2厅, 128.51,35017,450,53,20
贝越水岸名邸,2室2厅, 105.23,50366,530,27,21
舒馨北苑,2室1厅, 73.81,45387,335,52,17
临丰小区,2室1厅, 67.56,39225,265,55,4
鼎鑫名流世家,3室2厅, 138.76,44682,620,17,5
鸿基公寓,3室2厅, 112.46,31123,350,37,2
新川路300弄,3室1厅, 85.72,36165,310,311,4
天和湖滨家园(公寓),3室2厅, 129.12,37562,485,2,2
曙光南桥小区,2室1厅, 68.81,37786,260,16,9
妙境路338弄,2室2厅, 87.93,35824,315,15,1
新德三村,2室1厅, 60.78,41462,252,21,11
月亮湾园,3室2厅, 99.5,44222,440,31,10
瀚龙苑,2室2厅, 76,44737,340,8,10
桃园新村(川沙),2室1厅, 58.92,44977,265,24,15
晨阳小区,2室1厅, 74.24,30712,228,49,16
贝越水岸名邸,2室2厅, 105.32,53172,560,8,11
妙境一村,2室1厅, 71.52,46841,335,29,9
界龙新世纪公寓,2室2厅, 108.88,42708,465,62,5
月亮湾园,3室2厅, 130.29,43596,568,20,6
合欢公寓,2室2厅, 89.4,44743,400,14,7
桃园公寓(川沙),2室2厅, 73.07,39688,290,51,7
顺馨佳园,1室1厅, 60.15,49876,300,31,9
南桥小区,1室1厅, 44.33,45117,200,30,8
鼎鑫名流世家,2室1厅, 92.72,49612,460,6,6
水景豪园,2室2厅, 107.5,45582,490,19,9
川南奉公路3424弄,2室2厅, 87.46,28585,250,37,11
万馨佳园,2室1厅, 63.97,48148,308,79,11
东方城市绿洲,2室2厅, 89.37,51472,460,25,8
