CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
美林小城,3室2厅, 101.8,49116,500,35,36
康桥月苑,2室1厅, 71.94,44482,320,126,46
海尚乐苑,1室1厅, 59.42,44598,265,6,1
康桥半岛(沪南路2731弄),3室2厅, 179.76,63975,1150,53,25
城中花园,2室2厅, 103.87,43324,450,42,33
中邦城市,3室2厅, 139.15,46713,650,86,55
周康一村,2室2厅, 82.6,39710,328,39,10
双秀北园,2室1厅, 86.46,43951,380,17,7
周康三村,2室1厅, 71,48592,345,18,14
中邦城市,3室2厅, 139,50360,700,42,19
美林小城,3室2厅, 97.45,50283,490,17,17
昱龙家园,2室2厅, 73.69,42069,310,12,9
绿地康桥新苑,2室2厅, 77.77,48863,380,80,73
双秀北园,5室3厅, 100,55000,550,7,1
汤巷馨村(一期),3室2厅, 103,48544,500,69,11
天台星城,2室2厅, 101.42,42891,435,35,9
美林小城,2室2厅, 92.49,45951,425,29,14
康桥宝邸,2室2厅, 83.2,38462,320,171,10
康桥月苑,2室1厅, 74.64,41801,312,40,14
绿地康桥新苑,2室2厅, 87.5,46858,410,29,15
绿地康桥新苑,3室2厅, 117.83,48375,570,20,15
周康二村,3室2厅, 93.94,43645,410,16,13
绿地康桥新苑,3室2厅, 99.86,52073,520,67,9
中邦城市,2室2厅, 104.26,51794,540,24,9
康桥宝邸,2室2厅, 77.05,44128,340,12,7
城中花园,3室2厅, 134.11,43249,580,7,7
美林小城,1室1厅, 55.83,54631,305,27,9
天台星城,2室1厅, 92.23,46623,430,16,7
达城锦园,2室2厅, 76.91,45508,350,22,13
川周公路2809-2837号(单),3室2厅, 110,29546,325,131,10
天台星城,2室1厅, 92.23,46623,430,16,7
绿地康桥新苑,3室2厅, 99.86,52073,520,67,9
中邦城市,2室2厅, 104.26,51794,540,24,9
绿地康桥新苑,2室2厅, 77.18,53123,410,85,5
海尚康庭,1室2厅, 58.62,39919,234,104,9
双秀北园,3室2厅, 134.14,38020,510,7,5
绿地康桥新苑,3室2厅, 116.54,49769,580,8,4
绿地康桥新苑,2室2厅, 88,50569,445,36,6
周康一村,3室1厅, 89.25,39104,349,11,3
康桥宝邸,2室2厅, 75.37,46438,350,46,4
海尚康庭,4室2厅, 73,49316,360,1,4
康桥宝邸,3室2厅, 101,51486,520,53,5
绿地康桥新苑,2室2厅, 77.4,51680,400,20,1
海尚康庭,2室1厅, 72.49,39316,285,65,2
康桥月苑,2室2厅, 78.56,40734,320,10,6
达城家园,2室2厅, 72,40973,295,54,4
海尚康庭,2室2厅, 81.61,39089,319,68,4
城中花园,2室2厅, 106.02,42257,448,16,3
绿地康桥新苑,2室2厅, 87.55,45689,400,89,4
昱龙家园,3室2厅, 104.58,41117,430,34,4
海尚康庭,2室2厅, 73,40822,298,58,3
达城家园,3室2厅, 96.01,44788,430,28,2
汇业公寓,3室2厅, 132.75,36912,490,20,1
城中花园,2室2厅, 105.43,45528,480,4,2
绿地康桥新苑,2室2厅, 95.51,42928,410,115,3
海尚康庭,2室2厅, 74.12,41150,305,15,4
绿地康桥新苑,2室2厅, 87.57,50246,440,16,2
中邦城市,3室2厅, 133.97,54490,730,15,2
美林小城,2室2厅, 80.96,50643,410,9,2
康桥月苑,2室2厅, 72.07,45789,330,5,1
周康五村,3室2厅, 126.32,49874,630,4,2
城中花园,2室2厅, 104.44,44045,460,25,2
康桥宝邸,2室1厅, 74.68,43520,325,6,35
海尚康庭,2室2厅, 74.6,40215,300,17,0
达城家园,2室2厅, 78.72,40651,320,38,0
康庭苑,2室2厅, 115.6,41523,480,5,0
绿地康桥新苑,3室2厅, 111.65,49262,550,16,0
绿地康桥新苑,2室2厅, 95,48422,460,8,0
康桥干部村,2室1厅, 71,40846,290,29,0
海尚康庭,2室1厅, 76,40790,310,24,0
美林小城,2室2厅, 95.58,46558,445,21,0
天台星城,2室2厅, 104.99,47148,495,3,0
康桥月苑,2室1厅, 73,43151,315,9,0
天台星城,2室2厅, 103.89,44278,460,7,0
周康四村,3室2厅, 101,49505,500,0,0
梓康路327-455(单),4室2厅, 110.5,54299,600,16,0
中邦城市,2室2厅, 98.2,52954,520,17,47
城中花园,2室2厅, 103.57,42484,440,86,47
城中花园,3室2厅, 122.2,45009,550,34,74
达城家园,2室1厅, 77.19,42493,328,66,70
海尚乐苑,2室2厅, 78.27,44079,345,63,35
城中花园,3室2厅, 91.62,48243,442,54,57
美林小城,3室2厅, 101.49,51237,520,1,3
海尚康庭,1室2厅, 58.62,38554,226,32,4
绿地康桥新苑,2室2厅, 77,49351,380,37,4
美林小城,2室2厅, 94.5,45397,429,7,8
海尚康庭,2室2厅, 72.49,40696,295,27,20
美林小城,3室2厅, 101.45,47314,480,29,46
城中花园,2室2厅, 96.14,44207,425,42,19
海尚康庭,2室2厅, 72.49,40696,295,27,20
达城家园,2室2厅, 76.13,43347,330,46,32
达城锦园,2室2厅, 76.92,41992,323,31,66
达城家园,2室2厅, 76,42106,320,44,38
昱龙家园,3室2厅, 104.18,38204,398,60,49
昱龙家园,3室2厅, 93.65,42713,400,4,0
城中花园,3室2厅, 142.44,41421,590,141,48
海尚乐苑,1室1厅, 58.4,44007,257,112,57
文怡苑,1室1厅, 55,43637,240,90,44
双秀西园,2室1厅, 79.84,46343,370,13,20
