CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
张江汤臣豪园(三期),2室2厅, 89.35,81702,730,415,232
贝越流明新苑,3室2厅, 126.62,54889,695,213,32
香楠小区,2室1厅, 62.75,60558,380,71,47
张江汤臣豪园(二期),3室2厅, 92.26,84544,780,147,40
紫晶苑,3室2厅, 101.67,47212,480,3,0
阳光花城,2室2厅, 115.38,62663,723,77,30
玉兰香苑(四期),3室2厅, 114.1,50833,580,85,33
黄浦花园,2室2厅, 76.51,48622,372,44,24
阳光花城,2室2厅, 101.03,67307,680,96,23
阳光花城,3室2厅, 139.3,63174,880,89,24
张江汤臣豪园(三期),2室2厅, 84,90477,760,23,0
春港丽园(公寓),2室2厅, 88.14,45950,405,59,21
汤臣豪庭,4室2厅, 158.51,67252,1066,45,13
张江汤臣豪园(三期),2室2厅, 88.52,81903,725,198,9
交江大楼,2室1厅, 102.96,41570,428,22,2
益丰新村,2室1厅, 76.02,48672,370,6,6
中芯花园(公寓),3室2厅, 121.43,59294,720,37,13
益丰新村,2室1厅, 75.79,47500,360,29,12
阳光花城,2室2厅, 112.79,68269,770,60,15
黄浦花园,2室1厅, 69.85,49392,345,26,14
东郊花园,独栋别墅, 7室,124024,9000,25,14
香楠小区,2室1厅, 68,58824,400,48,14
黄浦花园,2室2厅, 82.11,52369,430,18,11
益丰新村,3室2厅, 101.04,48991,495,94,15
春港丽园(公寓),3室1厅, 77.3,53041,410,2,5
益丰新村,2室1厅, 70.99,50712,360,16,7
春港丽园(公寓),2室1厅, 58.09,56809,330,47,8
古桐公寓,2室1厅, 63.39,59947,380,6,5
春港丽园(公寓),2室2厅, 88.29,47571,420,8,8
古桐公寓,2室1厅, 63.39,59947,380,6,5
香楠小区,1室1厅, 54.37,62535,340,84,10
古桐公寓,2室1厅, 81.63,52065,425,61,3
城市经典二期(公寓),2室2厅, 95.55,69074,660,30,4
贝越佳园,5室3厅, 99,72728,720,19,2
春港丽园(公寓),3室1厅, 86.27,48685,420,50,5
华陇建中小区,2室1厅, 57.77,61451,355,6,5
张江汤臣豪园(二期),3室2厅, 136.45,80543,1099,28,5
张江汤臣豪园(二期),3室2厅, 91.88,104485,960,130,7
胡姬花园,3室2厅, 133.08,77398,1030,9,5
春港丽园(公寓),3室2厅, 116.17,49927,580,53,5
城市经典二期(公寓),2室2厅, 105.1,73264,770,18,3
华陇建中小区,2室1厅, 64.17,52985,340,29,2
玉兰香苑(四期),3室2厅, 124.59,47356,590,32,3
古桐路小区,3室1厅, 74.56,56331,420,4,1
中芯花园(公寓),1室2厅, 67.05,56675,380,62,2
杨镇新村,3室1厅, 91.99,46745,430,37,2
城市经典(四期),3室2厅, 154,68182,1050,12,2
香楠小区,3室1厅, 85.79,58282,500,2,1
汤臣豪园(二期),4室2厅, 226,73363,1658,19,4
阳光花城,2室2厅, 97.62,70683,690,141,0
阳光花城,4室2厅, 166.38,78135,1300,27,0
黄浦花园,4室2厅, 141,46100,650,51,0
张江汤臣豪园(二期),3室2厅, 139.82,78673,1100,33,0
香楠小区,2室2厅, 75,63334,475,13,0
益丰新村,2室1厅, 75.93,53998,410,19,0
汤臣豪庭,5室2厅, 177.95,67435,1200,137,49
张江汤臣豪园(四期),3室2厅, 130.4,99694,1300,5,2
玉兰香苑(三期),2室2厅, 93.74,49606,465,6,35
川杨新苑(三期),2室2厅, 87.48,44011,385,48,58
川杨新苑(三期),3室2厅, 112.43,44473,500,45,63
古桐公寓,2室1厅, 65.6,54116,355,59,43
古桐四村,2室2厅, 88.14,53892,475,27,30
杨镇新村,2室1厅, 74.93,46043,345,27,81
紫晶苑,2室2厅, 82,45122,370,30,30
汤臣豪庭,6室2厅, 191.19,73226,1400,113,72
汇智湖畔家园,2室2厅, 87.69,91231,800,43,34
中芯花园(公寓),1室2厅, 66.47,57169,380,50,39
杨镇新村,2室1厅, 72.04,44143,318,110,59
城市经典二期(公寓),2室2厅, 105.7,71429,755,32,34
中芯花园(公寓),3室2厅, 129.43,58719,760,77,31
春港丽园(公寓),3室1厅, 86.12,44706,385,176,33
益丰新村,2室1厅, 76.57,50281,385,5,18
兰沁苑,2室2厅, 91.68,57810,530,172,41
张江汤臣豪园(三期),2室2厅, 111.49,82519,920,38,18
玉兰香苑(二期),1室1厅, 57.86,57899,335,108,26
玉兰香苑(二期),1室1厅, 57.97,57962,336,22,24
益丰新村,1室2厅, 56.54,54829,310,24,52
张江汤臣豪园(二期),2室2厅, 94.15,80723,760,87,35
紫晶苑,2室1厅, 60.89,50912,310,120,34
阳光花城,3室2厅, 134.83,70089,945,126,63
张江汤臣豪园(二期),2室2厅, 92.23,80777,745,89,26
东方别墅,双拼别墅, 4室,102242,2500,37,31
阳光花城,联排别墅, 4室,68397,1750,93,28
玉兰香苑(四期),2室2厅, 117.95,51717,610,1,0
杨镇新村,1室1厅, 52.09,51450,268,22,18
春港丽园(公寓),3室2厅, 123.08,47937,590,72,14
虹御公寓,3室2厅, 114.85,47889,550,18,12
交江大楼,3室1厅, 102.96,42347,436,97,13
张江汤臣豪园(三期),2室2厅, 84,89286,750,10,7
汤臣豪园(二期),4室2厅, 278.49,57453,1600,131,24
春港丽园(公寓),3室2厅, 113.23,49457,560,91,20
紫晶苑,2室2厅, 80.24,51097,410,26,23
紫晶苑,3室2厅, 99.49,47040,468,73,20
春港丽园(公寓),2室2厅, 77.3,49160,380,50,17
张江汤臣豪园(二期),2室2厅, 76.87,87161,670,143,24
张江汤臣豪园(三期),2室2厅, 88.93,86361,768,54,18
玉兰香苑(一期),2室2厅, 86.87,50651,440,15,16
古桐公寓,1室1厅, 54.52,58695,320,33,2
张江汤臣豪园(一期)(公寓),3室2厅, 123.05,69078,850,111,21
东方别墅,独栋别墅, 5室,116939,2990,22,24
汤臣高尔夫(别墅),独栋别墅, 6室,88288,3680,25,25
古桐六村,2室2厅, 94.17,55220,520,79,15
玉兰香苑(一期),3室2厅, 114,52632,600,9,15
汤臣高尔夫(公寓),3室2厅, 140.19,82032,1150,6,13
中芯花园(公寓),1室2厅, 66.29,55816,370,32,10
益丰新村,1室2厅, 56.54,53945,305,19,15
香楠小区,2室1厅, 67.97,58850,400,10,10
张江汤臣豪园(四期),3室2厅, 109.26,87864,960,75,15
川杨新苑(二期),1室1厅, 58.83,53545,315,83,13
贝越流明新苑,2室2厅, 92.34,67144,620,19,12
胡姬花园,3室2厅, 148,69595,1030,13,17
古桐公寓,2室2厅, 75.22,55172,415,18,15
贝越流明新苑,3室2厅, 129.32,54130,700,49,12
古桐五村,1室1厅, 62.38,61719,385,56,11
玉兰香苑(二期),2室2厅, 89.32,52061,465,29,12
中芯花园(公寓),2室2厅, 101.86,61850,630,20,10
兰沁苑,3室2厅, 132.66,47490,630,30,1
汤臣豪庭,4室2厅, 161.64,68053,1100,31,10
玉兰香苑(四期),1室1厅, 61.87,56571,350,7,0
玉兰香苑(四期),1室1厅, 61.87,56571,350,3,0
玉兰香苑(二期),1室1厅, 58,60345,350,48,12
中芯花园(公寓),3室2厅, 125,66240,828,12,9
春港丽园(公寓),2室2厅, 76.91,49409,380,61,7
古桐公寓,2室1厅, 56.37,58542,330,19,7
紫晶苑,2室2厅, 82.02,42673,350,60,9
玉兰香苑(四期),2室2厅, 90.23,51535,465,45,6
春港丽园(公寓),3室1厅, 86.27,47526,410,59,6
春港丽园(公寓),1室2厅, 55.69,54768,305,30,11
广兰名苑,3室2厅, 126.99,59060,750,78,9
玉兰香苑(二期),3室1厅, 112,50893,570,11,7
张江汤臣豪园(四期),3室2厅, 90.89,80317,730,152,7
古桐四村,1室1厅, 62,56452,350,26,9
玉兰香苑(四期),3室2厅, 120,49167,590,23,11
中芯花园(公寓),2室2厅, 94.72,61234,580,31,9
黄浦花园,5室2厅, 188.81,39193,740,22,2
城市经典(三期),4室2厅, 419.93,54295,2280,32,11
汤臣豪庭,5室2厅, 191.73,66761,1280,31,13
交江大楼,2室1厅, 82.12,42621,350,108,2
中芯花园(公寓),3室2厅, 129,62016,800,8,4
中芯花园(公寓),1室2厅, 66.29,53553,355,53,8
玉兰香苑(二期),2室2厅, 95,50527,480,37,6
川杨新苑(二期),1室2厅, 59.75,52720,315,9,4
春港丽园(公寓),1室1厅, 57,56141,320,9,2
春港丽园(公寓),2室1厅, 77.09,51239,395,39,3
张江汤臣豪园(二期),3室2厅, 140.08,80669,1130,15,4
建中路171弄,3室2厅, 92.98,56464,525,42,3
阳光花城,3室2厅, 112.48,64901,730,64,9
中芯花园(公寓),3室2厅, 129.43,61810,800,4,1
玉兰香苑(三期),1室2厅, 61.6,58442,360,11,2
交江大楼,2室1厅, 82.12,42621,350,108,2
中芯花园(公寓),3室2厅, 129,62016,800,8,4
黄浦花园,2室2厅, 69.85,53257,372,13,6
城市经典二期(公寓),1室2厅, 93.47,69542,650,8,8
川杨新苑(四期),1室1厅, 57.16,54234,310,11,4
益丰新村,3室2厅, 101.04,47012,475,21,9
汤臣豪园(二期),4室2厅, 160.63,79687,1280,17,6
长城中环墅,联排别墅, 4室,72949,1200,24,9
川杨新苑(二期),2室1厅, 90.6,45254,410,9,6
