CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
锦绣华都,2室2厅, 90.05,54415,490,20,35
地杰国际城F欧香四季,2室2厅, 109,66973,730,26,46
锦绣华都,1室2厅, 68.1,55507,378,73,39
御桥花园,2室1厅, 64,54688,350,86,30
万科金色城市,2室2厅, 76.26,78679,600,89,32
绿洲康城亲水湾(中央区),2室2厅, 106.03,47157,500,81,18
地杰国际城E欧泊时光,1室2厅, 79.06,56919,450,63,22
锦绣华都,2室2厅, 90.46,53063,480,38,12
京浦小区,2室1厅, 52.59,57046,300,5,7
康桥花园,2室2厅, 83.72,42404,355,115,17
万科金色城市,2室2厅, 78.31,72150,565,103,11
绿洲康城亲水湾(东区),2室1厅, 67.91,67001,455,52,19
绿地御桥苑,2室1厅, 67.66,59120,400,90,18
绿洲康城亲水湾(东区),2室2厅, 101.46,53223,540,25,19
锦绣华都,2室2厅, 90.34,55568,502,26,1
锦绣华都,3室2厅, 135.08,49971,675,75,15
百舸馨苑,2室2厅, 93,54839,510,11,2
康桥花园,3室2厅, 88.34,41884,370,74,11
康桥花园,2室1厅, 83,43374,360,31,12
万科金色城市,2室2厅, 76.26,77367,590,107,9
地杰国际城D街坊,2室2厅, 84.8,51887,440,54,11
御桥馨华苑,1室1厅, 57,61229,349,11,7
绿洲康城亲水湾(东区),3室2厅, 130.08,49970,650,198,12
绿洲康城亲水湾(东区),2室2厅, 88,54546,480,17,4
康桥花园,3室2厅, 82.04,48148,395,119,6
万科金色城市,3室2厅, 89.25,71709,640,201,13
康桥花园,3室2厅, 110.64,47000,520,8,4
御桥花园,3室2厅, 111.18,50369,560,44,8
康桥花园,3室2厅, 109.35,44811,490,33,5
康馨花园,2室1厅, 64.79,44760,290,66,6
地杰国际城F欧香四季,3室2厅, 139.42,64912,905,5,5
康桥花园,3室2厅, 88.34,41884,370,41,7
百舸馨苑,2室2厅, 75.14,51904,390,105,10
绿洲康城亲水湾(西区),2室2厅, 102.95,51967,535,142,10
康桥花园,2室2厅, 96.91,44372,430,3,3
地杰国际城D街坊,3室2厅, 110.22,48086,530,234,5
百舸馨苑,3室2厅, 126.27,49894,630,20,6
绿洲康城亲水湾(中央区),2室2厅, 106.03,50929,540,13,5
万科金色城市,2室2厅, 76.26,77367,590,102,37
百舸馨苑,2室2厅, 94,53192,500,4,1
人和新村,3室1厅, 81.09,46862,380,30,1
康桥花园,2室2厅, 96.91,44888,435,4,1
百舸馨苑,2室2厅, 94,53192,500,11,1
百舸馨苑,2室2厅, 94.02,56903,535,8,1
保康大厦,3室1厅, 136.63,32936,450,17,1
绿洲康城亲水湾(东区),3室2厅, 124.79,52889,660,21,1
百舸馨苑,2室2厅, 75.49,49014,370,28,2
康桥花园,3室2厅, 122.43,44924,550,1,1
康桥花园,3室2厅, 103.43,43508,450,12,0
绿洲康城亲水湾(东区),1室2厅, 68,55148,375,31,0
康桥花园,2室2厅, 95.91,44834,430,10,0
万科金色城市,3室2厅, 89.74,69702,625.5,116,80
地杰国际城D街坊,2室2厅, 84.8,51298,435,66,46
地杰国际城D街坊,1室1厅, 56,62500,350,47,3
锦绣华都,2室2厅, 90.02,53322,480,40,85
地杰国际城D街坊,2室2厅, 80.96,51260,415,82,44
地杰国际城E欧泊时光,2室2厅, 84.42,67520,570,9,28
地杰国际城D街坊,2室2厅, 84.8,50708,430,363,35
绿洲康城亲水湾(中央区),2室2厅, 92.55,53809,498,165,64
东方御水湾,4室2厅, 127.86,66479,850,16,24
御桥花园,2室1厅, 64,53125,340,66,33
万科金色城市,3室2厅, 89.74,70760,635,54,40
锦绣华都,3室2厅, 135.37,51711,700,30,68
锦绣华都,2室2厅, 90.05,55303,498,98,66
地杰国际城D街坊,2室2厅, 84,52381,440,4,2
绿洲康城亲水湾(东区),2室2厅, 94,51064,480,43,21
绿洲康城亲水湾(东区),2室2厅, 89.19,55948,499,125,29
地杰国际城D街坊,1室1厅, 55,59091,325,64,36
御桥花园,1室1厅, 59,58984,348,8,18
地杰国际城D街坊,3室2厅, 110.22,48993,540,276,19
锦绣华都,2室2厅, 90.05,55303,498,26,22
绿洲康城亲水湾(西区),2室2厅, 110.13,50395,555,34,14
绿洲康城亲水湾(东区),2室2厅, 100.04,56978,570,12,9
锦绣华都,2室2厅, 85.62,56646,485,26,9
明纶园,1室2厅, 59.76,47691,285,138,7
地杰国际城D街坊,2室2厅, 84.8,49529,420,346,15
御桥花园,2室1厅, 62.27,60222,375,26,20
和合新村,3室2厅, 93.84,50619,475,60,16
绿洲康城亲水湾(中央区),2室2厅, 90.64,57370,520,32,21
地杰国际城F欧香四季,3室2厅, 118.42,65868,780,28,13
绿洲康城亲水湾(中央区),1室2厅, 66.51,54128,360,62,13
万科金色城市,4室2厅, 119,79832,950,17,9
地杰国际城E欧泊时光,2室2厅, 98.79,63772,630,3,6
地杰国际城E欧泊时光,2室2厅, 112.95,56663,640,57,9
明纶园,1室1厅, 59.08,47394,280,36,2
康桥花园,3室2厅, 85,45295,385,54,14
地杰国际城E欧泊时光,2室2厅, 99.36,61192,608,58,14
绿洲康城亲水湾(中央区),1室1厅, 61.92,59755,370,15,11
东方御水湾,2室1厅, 65,60000,390,104,12
东方御水湾,2室1厅, 65,60000,390,104,12
地杰国际城D街坊,2室2厅, 84.8,50708,430,80,3
绿洲康城亲水湾(中央区),2室2厅, 108.22,49437,535,43,53
绿地御桥苑,3室2厅, 87.9,59159,520,65,14
绿洲康城亲水湾(中央区),3室2厅, 129.67,55140,715,38,6
万科海上传奇,3室2厅, 106.95,68724,735,296,6
康馨花园,2室2厅, 83.27,42032,350,61,8
绿洲康城亲水湾(东区),3室2厅, 130.23,52216,680,18,10
民康苑,2室2厅, 87.96,57981,510,18,6
绿洲康城亲水湾(东区),2室2厅, 89.77,51243,460,101,12
绿洲康城亲水湾(中央区),2室2厅, 102.66,45783,470,55,12
万科金色城市,2室2厅, 76.26,74745,570,63,4
民星苑,3室1厅, 94.95,45287,430,25,2
锦绣华都,3室2厅, 135.08,52562,710,12,5
锦绣华都,1室1厅, 68.1,51396,350,77,2
锦绣华都,2室2厅, 94.61,52003,492,19,4
京浦小区,2室2厅, 52.59,53243,280,3,1
绿洲康城亲水湾(东区),2室2厅, 100.98,55457,560,30,5
康桥花园,2室2厅, 97,44846,435,3,2
锦绣华都,3室2厅, 135.08,50341,680,7,3
康桥花园,1室1厅, 56.99,50887,290,29,1
御桥馨华苑,3室3厅, 107.88,57472,620,43,8
地杰国际城D街坊,3室2厅, 110.22,49901,550,28,0
和合新村,2室2厅, 72.73,54998,400,26,0
万科金色城市,3室2厅, 88.78,73215,650,17,0
绿洲康城亲水湾(中央区),3室2厅, 133.77,48591,650,40,1
明纶园,2室2厅, 85,52942,450,5,1
京浦小区,2室1厅, 52.59,57046,300,30,1
康桥花园,2室2厅, 88,46023,405,3,3
地杰国际城F欧香四季,4室2厅, 150.31,64201,965,33,3
康桥花园,2室2厅, 88,46023,405,3,3
康桥花园,2室1厅, 73,43836,320,79,2
地杰国际城F欧香四季,4室2厅, 150.31,64201,965,33,3
锦绣华都,2室2厅, 90.22,55421,500,8,1
京浦小区,2室1厅, 52.59,57046,300,30,1
明纶园,2室2厅, 89.53,53614,480,2,1
绿洲康城亲水湾(中央区),2室2厅, 105.79,54353,575,27,2
康桥花园,2室2厅, 88.34,45280,400,8,1
绿洲康城亲水湾(中央区),2室2厅, 105.61,53026,560,24,2
绿洲康城亲水湾(中央区),2室2厅, 90,60000,540,4,1
锦绣华都,2室2厅, 90.46,53063,480,12,15
明纶园,2室2厅, 84,47620,400,5,0
康桥花园,2室2厅, 93.49,43321,405,7,0
康桥花园,2室2厅, 88.34,46412,410,6,0
明纶园,2室2厅, 89.53,48029,430,6,0
康桥花园,2室2厅, 84.08,46385,390,11,0
民星苑,2室1厅, 63.39,56792,360,3,2
康桥花园,3室2厅, 110.8,46932,520,9,0
绿洲康城亲水湾(中央区),2室2厅, 103.3,52275,540,68,151
绿洲康城亲水湾(中央区),1室2厅, 68.79,57858,398,9,6
地杰国际城E欧泊时光,2室2厅, 114.1,59597,680,6,2
地杰国际城E欧泊时光,2室2厅, 119.89,60056,720,5,5
万科海上传奇,3室2厅, 102.56,75079,770,10,10
和合新村,3室2厅, 94.61,50524,478,119,44
御桥花园,2室2厅, 75.77,51340,389,31,27
锦绣华都,3室2厅, 91.84,60976,560,26,50
绿洲康城亲水湾(中央区),1室1厅, 67.31,56159,378,6,1
地杰国际城E欧泊时光,4室2厅, 99.04,79766,790,54,39
万科海上传奇,3室2厅, 126.1,76924,970,18,0
和合新村,1室1厅, 52.86,54862,290,43,36
绿洲康城亲水湾(中央区),2室2厅, 107.73,49198,530,43,33
民康苑,3室2厅, 111.56,57369,640,11,3
民康苑,2室2厅, 80.59,55839,450,54,24
万科金色城市,3室1厅, 89.5,70392,630,8,3
御桥馨华苑,2室2厅, 77.8,62983,490,2,2
绿地御桥苑,2室2厅, 67.66,59120,400,7,2
锦绣华都,3室2厅, 113.13,51269,580,40,34
万科海上传奇,3室2厅, 103,76700,790,78,42
万科海上传奇,3室2厅, 103.73,74714,775,41,14
地杰国际城F欧香四季,2室2厅, 92.38,73610,680,6,15
地杰国际城F欧香四季,2室2厅, 94.9,68494,650,8,6
地杰国际城F欧香四季,2室2厅, 109,66973,730,13,24
万科海上传奇,3室2厅, 127.73,74376,950,50,19
御桥花园,2室1厅, 62.37,59324,370,28,12
康桥华庭,6室4厅, 294.51,59421,1750,58,31
绿洲康城亲水湾(中央区),2室2厅, 88.77,61958,550,4,0
万科金色城市,2室2厅, 77,71429,550,7,0
御桥花园,2室1厅, 62,60484,375,4,0
京浦小区,2室1厅, 62.7,51835,325,49,17
绿洲康城亲水湾(中央区),3室2厅, 99,63435,628,72,14
地杰国际城E欧泊时光,2室2厅, 100.61,58543,589,13,3
绿洲康城亲水湾(西区),1室2厅, 70.08,52084,365,8,1
锦绣华都,2室2厅, 90.22,52982,478,85,83
京浦小区,2室1厅, 62,50000,310,20,7
御桥花园,2室2厅, 92.87,52224,485,98,8
绿地御桥苑,2室2厅, 67.66,59120,400,54,16
民康苑,2室2厅, 92.46,57323,530,49,20
和合新村,3室2厅, 93.81,49569,465,56,19
京浦小区,2室1厅, 62.7,52632,330,43,14
地杰国际城E欧泊时光,2室2厅, 96,64584,620,16,18
万科金色城市,3室2厅, 78.1,80666,630,36,19
康桥花园,2室2厅, 81,41976,340,16,18
京浦小区,2室1厅, 52.74,54987,290,17,5
京浦小区,2室1厅, 62.7,51037,320,5,1
御桥花园,1室2厅, 81.78,51725,423,23,7
御桥花园,2室2厅, 94.79,48951,464,22,5
地杰国际城E欧泊时光,2室2厅, 99.67,61202,610,32,20
绿洲康城亲水湾(中央区),4室2厅, 191.65,50092,960,14,23
民康苑,2室2厅, 87.96,57981,510,7,1
御桥花园,2室1厅, 62.6,59106,370,12,12
和合新村,1室1厅, 52.91,56701,300,23,11
御桥馨华苑,2室2厅, 80,61250,490,23,13
万科金色城市,3室2厅, 89.25,69468,620,90,16
御桥花园,3室2厅, 87.43,52614,460,48,13
京浦小区,2室1厅, 52,57693,300,6,11
绿洲康城亲水湾(东区),2室1厅, 89.77,54473,489,10,10
地杰国际城D街坊,3室2厅, 110,54546,600,18,2
御桥花园,2室2厅, 65.5,58016,380,25,4
地杰国际城E欧泊时光,2室2厅, 114.28,64754,740,4,4
仁和都市花园,2室2厅, 90,75556,680,75,5
仁和都市花园,3室2厅, 100,67000,670,38,4
绿洲康城亲水湾(东区),2室2厅, 100.16,55911,560,2,0
明纶园,2室2厅, 87.24,45851,400,3,0
地杰国际城D街坊,3室2厅, 110.22,52623,580,73,7
御桥馨华苑,2室2厅, 82.75,60423,500,80,8
东方御水湾,3室2厅, 89,61798,550,39,9
地杰国际城F欧香四季,3室2厅, 123.08,69061,850,8,9
御桥花园,2室2厅, 76.18,51195,390,50,9
康桥花园,3室2厅, 95.01,42101,400,62,8
仁和都市花园,3室2厅, 100,70000,700,11,6
和合新村,2室1厅, 72.76,56350,410,21,12
御桥馨华苑,2室2厅, 82.75,60423,500,80,8
地杰国际城D街坊,3室2厅, 110.22,52623,580,73,7
地杰国际城D街坊,3室2厅, 106.82,51021,545,41,6
绿洲康城亲水湾(东区),2室2厅, 100.16,55412,555,13,8
康桥南园,4室2厅, 173.43,50165,870,29,15
康桥花园,2室2厅, 72.84,45992,335,11,4
御桥花园,2室2厅, 64.28,60673,390,11,1
京浦小区,2室1厅, 52.74,54418,287,17,4
康馨花园,2室1厅, 65,46154,300,19,3
御桥花园,2室1厅, 64,56250,360,33,4
御桥花园,2室2厅, 65.26,58995,385,1,2
康桥花园,3室2厅, 109,43578,475,24,3
御桥花园,2室2厅, 65.52,56472,370,17,5
人和新村,2室1厅, 74.98,46680,350,18,2
和合新村,1室1厅, 52,51924,270,39,8
御桥花园,3室2厅, 87.51,53709,470,36,7
御桥花园,1室2厅, 53.46,63599,340,0,3
康桥花园,3室2厅, 112,45983,515,0,3
绿洲康城亲水湾(东区),2室2厅, 68,70589,480,17,3
民星苑,2室1厅, 63.69,56524,360,17,6
御桥馨华苑,4室2厅, 110.75,57788,640,29,4
明纶园,2室2厅, 84,46429,390,41,9
