CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
丹桂佳苑,2室2厅, 54.5,36698,200,136,39
惠南小城,1室1厅, 59.55,34929,208,12,18
布鲁斯小镇(公寓),2室2厅, 153,18563,284,63,12
听潮五村,3室1厅, 96,28021,269,6,6
听潮二村,3室1厅, 79.4,30857,245,11,13
惠南小城,2室1厅, 89.16,27479,245,74,17
听潮五村,2室1厅, 58.7,33220,195,38,7
人生港湾南欧城,2室2厅, 102.82,34041,350,10,9
西门锦绣苑,1室1厅, 55,37273,205,3,6
东城华都,2室2厅, 110.22,29941,330,48,7
华钜御庭(一期),2室2厅, 88.64,37230,330,15,10
听潮民乐苑,3室2厅, 97,30928,300,7,1
华汇公寓,3室2厅, 142.68,29437,420,25,5
水岸家园,3室2厅, 136.19,27903,380,6,7
听潮六村,3室1厅, 65.7,34704,228,21,3
惠南一方新城,3室2厅, 134.1,35795,480,9,2
枫丹白露别墅,联排别墅, 4室,41112,780,21,4
人生港湾南欧城,2室2厅, 89.72,37896,340,1,0
惠南小城,3室2厅, 116.29,26658,310,44,3
兴东佳苑(一期),3室2厅, 132.24,32517,430,5,1
惠南小城,3室2厅, 130,23847,310,43,2
三八新村,2室1厅, 62,34678,215,23,1
听潮五村,2室1厅, 64.64,32179,208,10,2
东方听潮豪园,3室2厅, 135.44,33226,450,3,1
听潮四村,2室2厅, 72.93,32635,238,3,1
莎海惠晨苑,3室2厅, 131.83,28826,380,16,3
惠南小城,3室2厅, 130.36,24164,315,16,1
兴东佳苑(一期),3室2厅, 132,31061,410,2,1
博佳花园,3室2厅, 128.57,27223,350,8,2
康敏苑,3室2厅, 133.42,29231,390,10,1
听潮五村,2室1厅, 64.64,32179,208,10,2
锦园坊,2室2厅, 98.32,31022,305,4,1
听潮民乐苑,3室2厅, 97,31959,310,8,0
听潮民乐苑,3室2厅, 114.25,33699,385,5,0
惠东路300弄,2室2厅, 99.7,26981,269,8,0
南园坊,2室2厅, 86.14,30184,260,11,0
东城花苑一村,2室2厅, 100.96,29715,300,6,0
华盛新村,2室2厅, 97.08,30903,300,2,0
东城华都,3室2厅, 120.61,35653,430,3,0
水岸家园,2室2厅, 105.77,30728,325,2,0
听潮四村,2室1厅, 82.33,30973,255,0,0
惠南小城,3室2厅, 130.36,27616,360,9,0
爱盛家园,2室2厅, 114.03,32887,375,18,0
华盛新村,3室1厅, 123.51,27367,338,2,0
莎海惠晨苑,3室2厅, 147,29252,430,4,0
泰燕华庭,2室2厅, 97.17,32932,320,4,0
金汇广场,2室1厅, 96,32292,310,7,0
布鲁斯小镇(公寓),3室2厅, 124.66,34093,425,6,0
鹏润伊顿公馆,2室2厅, 87.22,32676,285,20,29
民乐城惠益绿苑,2室1厅, 78,31411,245,33,51
锦绣汇丽苑,2室1厅, 54.53,31176,170,71,25
荡湾新村,2室1厅, 50.89,31441,160,24,22
鹏润伊顿公馆,2室2厅, 87.04,34467,300,15,60
布鲁斯小镇(公寓),2室2厅, 91.99,31526,290,21,24
锦绣汇丽苑,1室2厅, 61.41,32568,200,21,27
鹏润伊顿公馆,3室2厅, 88,35228,310,31,64
金地城三期御领,3室2厅, 138,28986,400,39,26
听潮一村,2室1厅, 55.23,34402,190,13,18
彩虹雅苑,1室1厅, 55.43,36984,205,10,49
金地城三期御领,3室2厅, 138,28986,400,39,26
听潮一村,2室1厅, 55.23,34402,190,13,18
彩虹雅苑,2室2厅, 81.47,36824,300,10,25
鹏润伊顿公馆,1室1厅, 61,39345,240,16,30
人生港湾南欧城,2室1厅, 86.7,35179,305,10,22
布鲁斯小镇(公寓),3室2厅, 97,29691,288,69,35
中洲珑悦,3室2厅, 118.37,36327,430,9,24
桃源艺筑,2室2厅, 78.16,38383,300,23,19
东城花苑一村,2室2厅, 85.57,29216,250,37,18
民乐城惠益绿苑,1室1厅, 58,35173,204,13,13
江南清漪园,3室2厅, 112,32590,365,29,17
惠南小城,2室2厅, 83,27470,228,37,18
汇通新村,3室1厅, 88.01,30452,268,5,5
东方听潮豪园,2室2厅, 89.22,36988,330,0,8
听潮六村,2室1厅, 61.7,31119,192,37,15
锦绣汇丽苑,2室2厅, 97.5,31795,310,6,4
布鲁斯小镇(公寓),2室2厅, 90.99,38466,350,15,15
鑫通公寓,3室1厅, 96.09,31013,298,30,12
民乐城惠益绿苑,3室1厅, 100.15,29756,298,22,14
鹏润伊顿公馆,1室1厅, 60.75,36214,220,29,14
惠南一方新城,3室2厅, 137.33,33496,460,23,16
布鲁斯小镇(公寓),2室2厅, 96.23,35852,345,10,3
东城花苑一村,2室2厅, 106.29,33870,360,0,0
惠南小城,3室2厅, 130.36,26082,340,28,8
惠南一方新城,2室2厅, 93.84,35167,330,9,12
人民新村,2室1厅, 50.37,35140,177,44,9
莎海惠晨苑,2室2厅, 101.56,31509,320,3,8
惠南小城,2室2厅, 91.97,27509,253,40,12
鹏润伊顿公馆,2室2厅, 87,34483,300,20,10
甬申金地城,2室2厅, 89.3,35835,320,46,14
民乐城丽园(北园),2室2厅, 93.43,30612,286,7,1
乐源城C区,3室2厅, 124.22,27774,345,12,5
文化新村(惠南),2室2厅, 89.15,30287,270,6,1
人生港湾南欧城,3室2厅, 127.32,30632,390,12,5
东城花苑一村,2室2厅, 91.39,31733,290,3,4
听潮一村,2室1厅, 63.21,30850,195,13,2
鹏润伊顿公馆,2室2厅, 60.75,39013,237,8,5
鼎城丽景苑,3室2厅, 127.55,34340,438,17,4
布鲁斯小镇(公寓),3室2厅, 101.26,33084,335,24,7
鑫通公寓,2室1厅, 86.42,30086,260,14,4
人生港湾南欧城,2室2厅, 87.57,35972,315,3,9
民乐城惠益绿苑,2室1厅, 78,35257,275,21,7
桃源艺筑,2室1厅, 90.24,38232,345,2,3
听潮一村,2室1厅, 50.68,33544,170,27,6
东城时代华庭(公寓),3室2厅, 137.72,27593,380,47,8
枫丹白露别墅,双拼别墅, 4室,44991,1080,6,7
人生港湾南欧城,3室2厅, 126.96,33082,420,8,3
鹏润伊顿公馆,2室2厅, 88.18,34929,308,21,2
人生港湾南欧城,3室2厅, 131.85,34130,450,7,2
东城花苑一村,2室2厅, 96,32917,316,7,2
康敏苑,3室2厅, 103.84,32743,340,7,1
布鲁斯小镇(公寓),3室2厅, 135.21,31655,428,2,1
百乐公寓(惠南),3室2厅, 122.57,29371,360,28,3
百乐公寓(惠南),3室2厅, 127.87,30500,390,8,2
城东路789弄,2室2厅, 80.71,34693,280,28,1
听潮二村,2室1厅, 72.64,30287,220,20,4
兴东佳苑(一期),2室2厅, 92.85,35003,325,8,2
彩虹雅苑,1室1厅, 64,36719,235,5,2
布鲁斯小镇(公寓),2室2厅, 96.7,35678,345,7,4
泰燕华庭,2室2厅, 98.05,32127,315,3,3
听潮一村,3室1厅, 75.58,28447,215,28,2
百乐公寓(惠南),3室2厅, 127.87,30500,390,8,2
江南清漪园,3室2厅, 133.57,32118,429,5,1
东城时代华庭(公寓),2室1厅, 83,37591,312,21,3
福汇二村,2室2厅, 117.43,25548,300,1,2
龙源星城,3室2厅, 171.16,20449,350,29,3
西北新村,2室1厅, 63.54,34310,218,5,1
民乐城惠益绿苑,2室1厅, 78.74,34291,270,11,3
西南新村,2室2厅, 68.58,27705,190,22,1
听潮一村,2室1厅, 50.9,34971,178,14,4
听潮六村,2室1厅, 91.3,27383,250,19,4
东城花苑二村,3室2厅, 206.35,28108,580,29,3
布鲁斯小镇(别墅),联排别墅, 3室,35916,510,61,1
华观商住楼,3室2厅, 136.07,33072,450,0,0
荡湾新村,2室1厅, 64.28,27847,179,32,0
