CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
汇锦城二期,2室2厅, 84.23,33836,285,46,12
汇锦城二期,2室2厅, 85,34118,290,36,5
东方冠郡,2室2厅, 106,27359,290,29,8
古馨苑,1室2厅, 65.08,33498,218,32,10
汇锦城二期,2室2厅, 84.63,30722,260,53,4
汇锦城二期,3室1厅, 123.07,32502,400,9,1
东方冠郡,3室2厅, 133,30376,404,12,1
东方冠郡,2室2厅, 106.86,29946,320,9,1
东方冠郡,4室2厅, 250,28000,700,13,1
汇锦城二期,3室2厅, 91.92,33182,305,14,0
东方冠郡,2室2厅, 108,29260,316,7,0
东方冠郡,2室2厅, 178,22472,400,14,0
新环西路546弄,2室2厅, 119.91,26103,313,3,0
汇锦城二期,2室1厅, 84.17,30059,253,67,55
丝庐雅苑(公寓),1室2厅, 73,33288,243,29,29
丝庐雅苑(公寓),2室2厅, 88.78,32102,285,30,52
丝庐雅苑(公寓),2室2厅, 89.7,33780,303,30,30
丝庐雅苑(公寓),2室2厅, 88.78,31539,280,14,23
丝庐雅苑(公寓),2室2厅, 88.26,35124,310,34,68
万科清林径,3室2厅, 96.11,36937,355,42,23
丝庐雅苑(公寓),2室2厅, 88.9,32059,285,18,15
汇锦城二期,3室2厅, 89.87,33938,305,33,33
汇锦城二期,3室1厅, 91,29121,265,52,19
丝庐雅苑(公寓),2室2厅, 88.78,29624,263,16,6
石笋一村,2室1厅, 75.39,29182,220,37,9
丝庐雅苑(公寓),2室2厅, 88.78,29850,265,43,16
万科清林径,3室2厅, 119.6,37626,450,20,6
万科清林径,3室2厅, 120.08,38308,460,10,7
丝庐雅苑(公寓),2室2厅, 88.77,34922,310,12,8
东方冠郡,2室2厅, 99.18,32769,325,7,13
汇锦城三期,4室2厅, 140.7,31273,440,18,18
汇锦城三期,4室2厅, 140.15,31039,435,19,17
汇锦城(一期),4室2厅, 169.18,30737,520,4,12
东方冠郡,2室2厅, 99.12,32789,325,9,3
汇锦城三期,3室1厅, 91.01,33843,308,55,19
安广苑,2室2厅, 96.81,27167,263,20,3
东方冠郡,2室2厅, 99.07,35834,355,5,2
汇锦城二期,4室2厅, 140,30715,430,28,11
东方冠郡,2室2厅, 99.45,31976,318,26,13
丝庐雅苑(公寓),2室2厅, 88.43,30533,270,52,10
汇锦城三期,3室2厅, 123.16,32479,400,26,16
东方冠郡,4室2厅, 142.38,35820,510,10,6
万科清林径,2室2厅, 84,39286,330,30,6
汇锦城二期,3室1厅, 89.98,35008,315,18,6
丝庐雅苑(公寓),2室2厅, 89.74,34545,310,72,6
汇锦城(一期),4室2厅, 169.18,30146,510,19,6
兴欣花苑,2室2厅, 94,29256,275,44,6
汇锦城三期,3室2厅, 90.7,30872,280,43,2
万科清林径,3室2厅, 119.6,35954,430,11,4
万科清林径,3室2厅, 94,36915,347,14,2
丝庐雅苑(公寓),1室1厅, 73,33699,246,31,2
东方冠郡,2室2厅, 99.45,32680,325,6,3
万科清林径,3室2厅, 94,37235,350,22,2
汇锦城三期,3室2厅, 123.16,32479,400,16,6
万科清林径,2室2厅, 84.5,37870,320,27,2
汇善嘉苑,2室1厅, 74.99,37072,278,56,3
万科清林径,3室2厅, 121.17,37551,455,10,0
丝庐雅苑(公寓),2室2厅, 88.78,33792,300,7,2
汇锦城三期,3室2厅, 123,31301,385,5,1
丝庐雅苑(公寓),2室2厅, 88.78,33792,300,7,2
绿地花园别墅,4室3厅, 271.91,25560,695,36,4
汇锦城(一期),4室2厅, 182.83,27895,510,17,1
新环西路546弄,2室2厅, 123,23984,295,22,1
汇锦城二期,2室1厅, 84.23,35617,300,2,0
汇锦城二期,2室2厅, 89.14,35338,315,4,0
丝庐雅苑(公寓),2室2厅, 88.76,31997,284,12,0
东方冠郡,3室2厅, 122.7,32193,395,11,0
汇锦城二期,2室2厅, 89.6,34041,305,6,0
丝庐雅苑(公寓),2室2厅, 88.78,33792,300,4,0
丝庐雅苑(公寓),2室2厅, 89.7,34337,308,20,0
东方冠郡,2室2厅, 108.38,30449,330,7,0
东方冠郡,2室2厅, 99.28,34751,345,1,0
万科清林径,3室2厅, 155.38,34432,535,0,0
丝庐雅苑(公寓),1室1厅, 73,35617,260,4,0
东方冠郡,2室2厅, 99.25,33754,335,2,0
东方冠郡,2室1厅, 99.04,27262,270,34,0
汇锦城二期,2室2厅, 84.28,34410,290,5,0
汇锦城二期,2室2厅, 84,32381,272,78,45
汇锦城二期,4室2厅, 140.59,30586,430,42,49
丝庐雅苑(公寓),2室2厅, 89.63,35703,320,19,31
万科清林径,3室2厅, 96.03,36447,350,39,24
丝庐雅苑(公寓),2室1厅, 89.7,39019,350,0,0
汇善嘉苑,2室1厅, 78.25,37828,296,0,0
汇锦城三期,3室2厅, 90.97,34627,315,11,17
汇锦城二期,2室2厅, 89.41,35231,315,14,13
丝庐雅苑(公寓),2室2厅, 88.24,33999,300,12,15
汇锦城三期,3室1厅, 89.52,35188,315,8,3
丝庐雅苑(公寓),2室1厅, 88.74,33807,300,5,0
丝庐雅苑(公寓),2室2厅, 88.76,34025,302,31,15
东方冠郡,2室2厅, 106,26416,280,67,10
东方冠郡,2室2厅, 99,33839,335,13,20
汇锦城(一期),4室2厅, 182.83,27348,500,21,14
汇锦城三期,2室2厅, 89,34270,305,2,1
汇锦城二期,3室2厅, 89.97,35012,315,5,2
中洲里程,3室1厅, 87,32414,282,4,2
中洲里程,3室1厅, 87,33564,292,23,3
古馨苑,1室1厅, 58.7,33902,199,7,7
丝庐雅苑(公寓),2室2厅, 88.77,35485,315,5,3
万科清林径,3室2厅, 118,36441,430,10,4
丝庐雅苑(公寓),2室1厅, 88.76,31321,278,28,8
汇锦城二期,2室1厅, 84.17,36831,310,18,23
古馨苑,1室2厅, 59.87,33573,201,11,3
中洲里程,3室2厅, 89,34270,305,10,1
汇善嘉苑,1室1厅, 55.01,40902,225,30,12
汇锦城二期,3室2厅, 122.74,30960,380,48,8
石笋一村,2室1厅, 84.77,25953,220,34,10
东方冠郡,2室2厅, 106.38,32901,350,4,0
古馨苑,2室2厅, 95,29474,280,5,0
汇锦城二期,4室2厅, 140.59,28452,400,19,7
汇锦城三期,3室2厅, 123.58,30750,380,22,8
汇锦城(一期),4室2厅, 175.16,29688,520,4,5
汇锦城二期,3室2厅, 122.76,30955,380,14,10
古佳苑,1室2厅, 56.92,33908,193,84,10
汇锦城(一期),4室2厅, 182.83,27348,500,20,13
汇善嘉苑,2室1厅, 76.15,36770,280,39,5
石笋一村,2室1厅, 69.16,31088,215,27,4
万科清林径,3室2厅, 98.16,36981,363,9,1
东方冠郡,3室2厅, 118,36441,430,3,3
丝庐雅苑(公寓),1室2厅, 71,34226,243,14,2
万科清林径,3室2厅, 97,35052,340,26,2
万科清林径,3室2厅, 98.16,36981,363,9,1
汇锦城二期,4室2厅, 140.02,30353,425,7,5
东方冠郡,2室2厅, 99,36364,360,2,0
东方冠郡,2室2厅, 99,34950,346,5,2
万科清林径,3室2厅, 98,37041,363,15,4
