CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金钻苑,2室2厅, 90.86,47326,430,11,35
海尚东苑,2室2厅, 79.34,46005,365,8,6
河滨城市花园,2室2厅, 92.96,48408,450,23,13
阳光苑,2室1厅, 72.41,39360,285,116,24
阳光苑,2室2厅, 70.33,39813,280,101,21
金领国际(公寓),3室2厅, 132.51,44525,590,18,18
阳光苑,3室1厅, 85.8,37996,326,22,10
阳光苑,2室1厅, 74,38514,285,21,8
民春苑,2室2厅, 75.24,43196,325,20,9
金领国际(公寓),2室2厅, 86,44187,380,25,17
民风小区,3室1厅, 87.88,34138,300,30,10
金钻苑,1室1厅, 53.73,48391,260,15,13
民春苑,2室2厅, 75.24,43329,326,43,13
曹路家苑,2室2厅, 91,49451,450,12,14
曹路家苑,2室2厅, 89.66,47959,430,21,10
曹路家苑,2室2厅, 89.56,51363,460,5,7
阳光苑,2室2厅, 82.39,40054,330,49,7
阳光苑,2室1厅, 78.7,38120,300,56,7
盛世春晓苑,2室1厅, 71.83,44550,320,66,6
阳光苑,2室1厅, 74.27,39047,290,59,5
阳光苑,2室1厅, 61.78,42895,265,41,9
阳光苑,2室1厅, 57.57,41689,240,14,6
星颂家园,1室1厅, 56.29,43525,245,15,2
民春苑,2室1厅, 75.26,43583,328,16,1
丰舍西苑,1室1厅, 49.66,50746,252,7,8
阳光苑,2室2厅, 89.53,40210,360,51,3
丰舍东苑,1室2厅, 64.12,49907,320,3,2
丰舍西苑,1室1厅, 49.66,50947,253,23,6
民春苑,3室1厅, 85,37648,320,28,5
极景易家,2室1厅, 92.02,45099,415,18,3
民风小区,2室1厅, 79.7,35132,280,48,2
民春苑,2室1厅, 75.24,43594,328,28,1
金领国际(公寓),3室2厅, 116.36,42971,500,21,2
爱法花园(一期),3室2厅, 89.24,59951,535,8,1
丰舍东苑,2室1厅, 72.23,51226,370,22,3
民风小区,2室2厅, 85.64,39118,335,10,2
金领国际(公寓),2室2厅, 88.9,45557,405,21,3
金领国际(公寓),1室2厅, 71,42958,305,15,2
金钻苑,1室1厅, 50.7,52269,265,14,3
龚路新城,2室2厅, 86,41861,360,8,1
河滨城市花园,3室2厅, 123.1,52803,650,9,4
银丰苑,2室2厅, 95.6,41842,400,4,1
金领国际(公寓),2室2厅, 89.95,44470,400,6,2
中虹家园,1室1厅, 52.36,45837,240,10,3
民风小区,2室2厅, 88.07,35200,310,11,0
金钻苑,3室2厅, 127.73,44626,570,10,0
丰舍东苑,1室1厅, 49.12,54561,268,7,0
金领国际(公寓),2室2厅, 89.65,41272,370,13,0
极景易家,1室2厅, 64.75,50966,330,5,0
金领国际(公寓),2室2厅, 88.11,43128,380,11,0
金领国际(公寓),2室2厅, 92.74,49602,460,4,1
金领国际(公寓),1室2厅, 71,43662,310,8,4
丰怡苑,2室2厅, 91.33,36133,330,5,0
爱法花园(一期),3室2厅, 119.78,51762,620,0,0
河滨城市花园,2室1厅, 74.8,49466,370,57,36
舜峰家苑,1室1厅, 56.62,44155,250,44,37
海尚东苑,2室2厅, 80.81,44549,360,25,40
中虹家园,2室1厅, 70.4,44461,313,10,69
星颂家园,3室2厅, 100.75,44666,450,34,25
中虹家园,2室1厅, 70.4,44461,313,10,69
星颂家园,3室2厅, 100.75,44666,450,34,25
中虹家园,2室1厅, 69.55,44573,310,8,53
星颂家园,2室2厅, 69.27,46197,320,4,1
丰舍东苑,2室2厅, 72.23,53302,385,6,22
金领国际(公寓),1室2厅, 71,45071,320,19,22
金钻苑,1室1厅, 50.94,48096,245,22,22
星纳家园,2室1厅, 78.06,42276,330,7,34
