CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
涵合园(公寓),3室2厅, 148.79,82667,1230,24,27
香梅花园,3室2厅, 190.43,64591,1230,111,109
上海绿城,2室2厅, 112,86608,970,75,125
上海绿城,3室2厅, 120.83,78210,945,142,66
上海绿城,1室1厅, 64.78,111146,720,36,48
万源杰座,3室2厅, 139.61,85954,1200,45,41
上海绿城,3室2厅, 136.51,109883,1500,17,27
香梅花园,3室2厅, 159.61,88967,1420,89,66
涵合园(公寓),3室2厅, 135.72,72945,990,26,37
爱家亚洲花园,3室2厅, 112.64,73687,830,95,28
上海绿城,2室2厅, 101.57,103377,1050,22,52
香梅花园(三-五期),3室2厅, 159.56,89622,1430,17,28
志豪公寓,3室2厅, 143.9,61849,890,6,1
东城新村,3室1厅, 90.26,79770,720,23,20
锦绣满堂花园,3室2厅, 162.09,95626,1550,25,12
志豪公寓,4室2厅, 143.9,61849,890,91,21
爱家亚洲花园,4室2厅, 144.24,77649,1120,34,8
香梅花园,2室2厅, 113,85841,970,68,10
东城新村,2室1厅, 63.1,83994,530,42,10
锦绣花木公寓,2室2厅, 104.27,74806,780,21,12
中福公寓,3室2厅, 132.67,61054,810,42,6
香梅花园(三-五期),3室2厅, 200.53,79789,1600,59,5
陆家嘴中央公寓,3室2厅, 153.24,95928,1470,54,15
上海绿城,3室2厅, 126.21,91118,1150,66,15
上海绿城,1室1厅, 64.78,106515,690,54,10
锦绣花木公寓,2室2厅, 104.37,71860,750,165,7
香梅花园,3室2厅, 159.95,81276,1300,45,37
上海绿城,4室2厅, 167.72,89435,1500,7,10
锦绣苑,2室2厅, 102.58,74089,760,22,6
锦绣苑,2室2厅, 102.58,74089,760,22,6
锦绣天第花园,3室2厅, 120.17,89873,1080,13,7
东城新村,3室1厅, 86.43,67685,585,144,9
东城新村,3室1厅, 78.48,71356,560,29,3
上海绿城,2室2厅, 97.61,99376,970,27,6
锦绣苑,3室2厅, 135.88,73595,1000,24,5
锦绣苑,3室2厅, 135.48,66431,900,12,4
锦绣天第花园,2室2厅, 106.83,84246,900,6,3
锦绣华庭,4室2厅, 141.26,88490,1250,9,2
锦绣一方名苑,3室2厅, 137.91,68161,940,17,3
香梅花园,3室2厅, 197,81219,1600,18,3
香梅花园,4室2厅, 188.57,95456,1800,14,2
香梅花园(三-五期),3室2厅, 170.1,102881,1750,9,4
爱家亚洲花园,2室2厅, 98.67,77025,760,11,0
上海绿城,2室2厅, 106.91,96343,1030,48,0
上海绿城,1室2厅, 64.73,111232,720,27,0
锦绣满堂花园,3室2厅, 102.71,81784,840,87,65
锦绣满堂花园,3室2厅, 123.23,84233,1038,92,122
涵合园(公寓),2室2厅, 81.26,88605,720,44,38
上海绿城,3室2厅, 145.27,92931,1350,32,35
上海绿城,2室2厅, 102.33,102610,1050,20,60
锦绣华庭,3室2厅, 127.11,86540,1100,117,115
涵合园(公寓),2室2厅, 78.81,90725,715,29,51
涵合园(公寓),3室2厅, 112.35,78327,880,96,63
爱家亚洲花园,3室2厅, 112.2,73084,820,45,37
上海绿城,3室2厅, 153.34,91301,1400,18,128
中福公寓,3室2厅, 150,53334,800,34,55
锦绣天第花园,2室2厅, 106.83,83310,890,21,12
凤凰家园,3室2厅, 144.61,63620,920,37,39
香梅花园,2室2厅, 113.3,97088,1100,10,36
东方龙苑,2室2厅, 96.52,76669,740,52,17
陆家嘴中央公寓,3室2厅, 143.66,97453,1400,20,18
东方龙苑,2室2厅, 96.57,72487,700,49,37
涵合园(公寓),2室2厅, 82.16,82766,680,159,75
涵合园(公寓),3室2厅, 164.96,81839,1350,10,18
爱家亚洲花园,2室2厅, 115.98,72427,840,11,12
涵合园(公寓),2室2厅, 79.8,91479,730,5,5
锦绣一方名苑,3室2厅, 136.28,68242,930,3,8
上海绿城,5室2厅, 258.4,84753,2190,62,20
东方龙苑,5室3厅, 187.81,77206,1450,15,2
陆家嘴中央公寓,3室2厅, 143.14,97807,1400,91,16
东方龙苑,3室2厅, 127.39,76930,980,35,9
锦绣一方名苑,3室2厅, 136.28,68242,930,35,15
涵合园(公寓),3室2厅, 116.52,94405,1100,39,17
龙昌苑,2室2厅, 95.31,73445,700,31,6
锦绣苑,3室2厅, 129.82,73179,950,30,7
东城新村,3室1厅, 97.49,63597,620,29,12
东城新村,3室2厅, 53.44,99177,530,16,7
爱家亚洲花园,3室2厅, 121.06,63605,770,285,13
涵合园(公寓),3室2厅, 158.86,79945,1270,10,9
锦绣苑,2室2厅, 102.58,73894,758,30,11
香梅花园,2室2厅, 113.3,97088,1100,8,6
锦绣满堂花园,3室2厅, 162.09,91925,1490,10,3
涵合园(公寓),2室2厅, 112.72,82506,930,4,3
香梅花园(三-五期),1室2厅, 82.11,93777,770,18,5
中福公寓,3室2厅, 150.63,57094,860,91,1
上海绿城,4室2厅, 175.6,93964,1650,23,1
香梅花园,4室2厅, 188.57,92804,1750,4,4
上海绿城,3室2厅, 136,102942,1400,2,3
涵合园(公寓),2室2厅, 112.35,80107,900,34,4
爱家亚洲花园,3室2厅, 123.49,76930,950,43,3
香梅花园(三-五期),3室2厅, 182.81,92446,1690,28,1
香梅花园(三-五期),3室2厅, 184.94,81108,1500,6,1
涵合园(公寓),5室2厅, 241.51,70391,1700,22,4
香梅花园(三-五期),2室2厅, 131.5,83651,1100,17,7
涵合园(公寓),2室2厅, 114.86,74004,850,64,2
杨东小区,5室2厅, 164.83,60548,998,53,3
东城新村,3室2厅, 80.86,69256,560,51,47
香梅花园,3室2厅, 161.7,83488,1350,12,9
香梅花园(三-五期),1室1厅, 63.71,105949,675,106,14
东城新村,2室1厅, 63.08,79265,500,10,11
涵合园(公寓),2室2厅, 78.81,91106,718,9,5
锦绣满堂花园,3室2厅, 130.57,76588,1000,124,115
香梅花园(三-五期),3室2厅, 170.1,87008,1480,7,5
上海绿城,3室2厅, 124.37,96487,1200,9,0
东城新村,3室1厅, 104.25,67147,700,7,7
东城新村,2室1厅, 64.22,80972,520,23,60
涵合园(公寓),3室2厅, 129,81396,1050,50,62
香梅花园(二期),3室2厅, 156.72,86141,1350,51,28
东城新村,1室1厅, 50.08,80871,405,18,7
爱家亚洲花园,3室2厅, 124.41,77969,970,32,25
锦绣满堂花园,3室2厅, 131,86260,1130,37,34
香梅花园(三-五期),3室2厅, 160,92500,1480,20,36
涵合园(公寓),2室2厅, 80.24,95963,770,28,39
东城新村,2室2厅, 74.13,79590,590,10,4
锦绣满堂花园,2室2厅, 103,85437,880,7,0
锦绣满堂花园,3室2厅, 130,84616,1100,61,50
东城新村,2室1厅, 76.12,68314,520,14,27
涵合园(别墅),4室2厅, 148.04,93894,1390,12,1
上海绿城,3室2厅, 125.43,95671,1200,20,22
香梅花园,2室2厅, 120.96,82672,1000,79,31
东城新村,3室2厅, 80.86,71729,580,24,38
涵合园(公寓),2室2厅, 112.72,78957,890,43,18
香梅花园(三-五期),3室2厅, 160.94,89475,1440,10,29
爱家亚洲花园,2室2厅, 98.67,77025,760,95,21
上海绿城,2室2厅, 121.16,86663,1050,3,0
香梅花园(二期),1室2厅, 72.86,90585,660,31,8
锦绣天第花园,3室2厅, 141.45,84836,1200,23,16
锦绣满堂花园,1室2厅, 63.07,88791,560,45,18
锦绣满堂花园,3室2厅, 102.71,89378,918,22,15
爱家亚洲花园,2室2厅, 120.24,70692,850,18,8
东城新村,2室2厅, 72.11,79740,575,7,3
东城新村,2室1厅, 67.31,84683,570,6,4
涵合园(公寓),2室2厅, 102,85785,875,28,24
香梅花园,3室2厅, 159.95,84402,1350,18,8
上海绿城,4室2厅, 147,102041,1500,7,19
涵合园(别墅),4室2厅, 148.04,84437,1250,116,20
锦绣天第花园,3室2厅, 141.45,88371,1250,58,18
志豪公寓,3室2厅, 125.98,65884,830,3,10
锦绣苑,5室2厅, 171.51,69967,1200,3,1
锦绣一方名苑,2室2厅, 88.68,73298,650,59,13
陆家嘴中央公寓,3室2厅, 155.2,95361,1480,70,18
东城新村,3室1厅, 101.56,67941,690,45,16
东城新村,3室2厅, 93.74,70408,660,20,10
涵合园(公寓),2室2厅, 107.29,79225,850,28,13
爱家亚洲花园,4室2厅, 145.22,79191,1150,28,2
爱家亚洲花园,2室2厅, 111.07,76529,850,6,4
龙昌苑,3室2厅, 134.98,68900,930,31,11
东城新村,2室1厅, 76,75000,570,12,7
爱家亚洲花园,3室2厅, 136,77206,1050,6,10
东城新村,2室1厅, 76,75000,570,12,7
爱家亚洲花园,3室2厅, 112.7,78084,880,12,10
东方龙苑,2室2厅, 97.03,78327,760,5,9
涵合园(公寓),1室2厅, 70.9,86742,615,38,10
涵合园(公寓),2室2厅, 80.59,92444,745,19,11
东城新村,3室1厅, 89.63,72521,650,35,13
锦绣花木公寓,2室2厅, 96,85938,825,12,5
陆家嘴中央公寓,2室2厅, 93.99,95223,895,41,4
香梅花园(三-五期),1室2厅, 63.71,108304,690,3,1
上海绿城,3室2厅, 124.63,90669,1130,40,11
万源杰座,3室2厅, 139.61,89536,1250,0,9
凤凰家园,3室2厅, 125.7,66031,830,38,0
中福公寓,2室2厅, 115.89,61265,710,0,0
爱家亚洲花园,3室2厅, 112.11,71359,800,78,5
上海绿城,4室2厅, 175.93,85262,1500,130,1
锦绣满堂花园,3室2厅, 130.97,91625,1200,10,1
锦绣天第花园,2室2厅, 89,87641,780,64,5
东方龙苑,2室2厅, 108,78704,850,3,1
涵合园(别墅),4室2厅, 151.64,98919,1500,37,5
锦绣满堂花园,3室2厅, 130.57,86544,1130,0,1
香梅花园(三-五期),3室2厅, 272.88,95280,2600,13,5
万源杰座,3室2厅, 143.96,83357,1200,15,9
中福公寓,3室2厅, 130.53,60523,790,1,0
香梅花园,3室2厅, 161.7,82252,1330,19,0
锦绣华庭,3室2厅, 143.61,82167,1180,0,0
上海绿城,3室2厅, 199.44,115323,2300,21,1
香梅花园,3室2厅, 159.01,81756,1300,53,1
东方龙苑,5室3厅, 183.61,89865,1650,16,1
锦绣华庭,4室2厅, 141.2,84986,1200,26,1
锦绣满堂花园,3室2厅, 233.45,89956,2100,22,1
东方龙苑,5室3厅, 319.3,75165,2400,6,0
锦绣苑,5室3厅, 174.42,71667,1250,0,0
香梅花园(二期),3室2厅, 159.75,90767,1450,14,0
香梅花园(三-五期),2室2厅, 138.5,81589,1130,7,0
东城新村,2室1厅, 80,74750,598,1,2
上海绿城,3室2厅, 128.38,89578,1150,83,95
上海绿城,3室2厅, 127.49,94126,1200,9,0
