CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
蓝色城邦(公寓),1室1厅, 53.35,24743,132,96,5
蓝色城邦(公寓),2室2厅, 88.41,23753,210,19,3
云帆雅苑,2室1厅, 84.6,19859,168,92,3
云帆雅苑,3室1厅, 75.78,22170,168,31,1
清风雅苑,3室2厅, 104.38,21556,225,11,2
蓝色城邦(公寓),2室2厅, 87.99,26140,230,4,0
蓝色城邦(公寓),2室1厅, 87.56,24555,215,11,0
蓝色城邦(公寓),2室2厅, 87.48,24578,215,12,0
荷风翠庭,1室1厅, 60.37,22860,138,22,33
乾耀东港,2室2厅, 89.56,22332,200,22,27
丽都华庭,2室2厅, 86.02,26273,226,17,48
蓝色城邦(公寓),2室1厅, 173.06,12424,215,231,32
清风雅苑,1室1厅, 64.5,23256,150,34,35
丽都华庭,2室2厅, 88.82,24432,217,82,37
乾耀东港,3室2厅, 88.41,23753,210,23,23
乾耀东港,2室2厅, 87.95,23878,210,8,35
蓝色城邦(公寓),1室1厅, 53.34,25497,136,20,15
乾耀东港,3室2厅, 136.33,24940,340,13,14
乾耀东港,2室2厅, 84.69,24797,210,14,22
云树仁居,3室2厅, 104,17308,180,33,6
云树雅居,2室2厅, 81.74,21410,175,23,12
荷风翠庭,2室2厅, 81.63,22051,180,56,46
云帆雅苑,2室2厅, 83.1,20458,170,117,13
泥城苑,2室1厅, 95.26,22045,210,4,0
蓝色城邦(公寓),2室1厅, 87.86,22764,200,10,10
云松华庭,3室1厅, 102.86,18958,195,27,0
乾耀东港,3室2厅, 87.85,26751,235,5,5
丽都华庭,1室1厅, 69.24,27441,190,11,2
丽都华庭,2室2厅, 91.84,27766,255,14,3
云帆名苑,1室1厅, 76,21053,160,3,2
云锦雅苑,3室2厅, 104.44,19150,200,11,3
蓝色城邦(公寓),2室2厅, 87.69,24291,213,10,12
云锦佳苑,2室2厅, 82.78,22107,183,29,4
云锦丽苑,2室2厅, 82.89,19303,160,30,3
乾耀东港,2室2厅, 88.42,24316,215,5,8
云帆佳苑,2室2厅, 83.67,20916,175,7,4
荷风华庭,2室2厅, 82.11,21313,175,33,6
云帆花苑,1室1厅, 49,26123,128,14,7
云锦名苑,3室2厅, 104.4,20594,215,14,2
云锦佳苑,2室1厅, 83.42,20379,170,11,1
清风丽苑,2室1厅, 81.1,22195,180,17,3
云锦丽苑,2室2厅, 83.77,21488,180,25,2
云树仁居,3室2厅, 101.49,21678,220,12,1
云锦雅苑,3室2厅, 104.88,18593,195,45,2
荷风翠庭,1室1厅, 60.37,24516,148,49,3
荷风翠庭,3室2厅, 100.9,20615,208,5,3
荷风翠庭,1室1厅, 49.92,26042,130,20,3
云松景庭,1室1厅, 64.22,24915,160,7,2
农具新村,2室1厅, 94,17873,168,11,1
云锦名苑,4室2厅, 130.86,18341,240,45,1
云帆花苑,2室2厅, 82.88,22563,187,20,1
乾耀东港,1室1厅, 67.15,23828,160,27,1
云锦新苑,2室2厅, 82.68,20562,170,25,2
云树欣居,1室1厅, 61,25410,155,14,4
乾耀东港,2室2厅, 88.97,24728,220,7,2
云帆花苑,2室2厅, 82.99,22895,190,2,3
清风丽苑,1室1厅, 62.21,24112,150,26,1
丽都华庭,3室2厅, 111.3,27853,310,7,1
清风丽苑,1室1厅, 62.21,23469,146,19,3
乾耀东港,3室2厅, 88.74,24792,220,19,0
云锦雅苑,3室2厅, 111.8,17442,195,52,0
云松华庭,3室1厅, 101.79,19158,195,24,0
清风名苑,2室2厅, 81.9,21979,180,33,0
蓝色城邦(公寓),2室2厅, 87.32,24623,215,8,0
乾耀东港,2室2厅, 88.41,26581,235,7,0
云帆雅苑,2室1厅, 92.22,21688,200,10,0
云树仁居,3室2厅, 101.49,20692,210,3,0
荷风华庭,2室2厅, 81.1,20962,170,3,0
乾耀东港,2室2厅, 87,26437,230,0,0
云帆雅苑,2室2厅, 83.1,21541,179,18,0
云帆佳苑,2室2厅, 82.66,20567,170,29,0
云帆名苑,2室1厅, 93.14,20937,195,2,0
丽都华庭,3室2厅, 116.86,31234,365,12,0
云帆雅苑,1室1厅, 76.06,22351,170,7,0
乾耀东港,3室2厅, 89.04,23136,206,4,0
丽都华庭,2室2厅, 85.36,27531,235,11,0
荷风华庭,2室2厅, 81.1,21579,175,10,0
云松景庭,1室1厅, 61.83,23452,145,13,11
云锦名苑,4室2厅, 132.26,17239,228,46,1
云锦丽苑,1室1厅, 53.99,25376,137,84,33
蓝色城邦(公寓),2室2厅, 87.48,21720,190,34,28
云帆名苑,1室2厅, 48.3,25880,125,18,3
