CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
广洋华景苑,2室2厅, 99.29,93666,930,30,50
中星海上景庭,4室2厅, 160.31,79846,1280,33,30
阳二小区,1室1厅, 49.05,59124,290,40,19
凌四小区,1室1厅, 37.8,76720,290,9,19
中星恬园,2室2厅, 102.33,84042,860,184,60
维多利华庭,3室2厅, 136.7,84126,1150,65,25
崮山小区四街坊,3室1厅, 80.57,84399,680,52,33
申立苑,3室2厅, 125.44,78923,990,52,48
中星海上景庭,3室2厅, 141,77305,1090,54,25
金羽名庭,2室2厅, 93.51,87692,820,66,16
中新家园,1室1厅, 52.77,102331,540,20,15
崮山小区一街坊,3室2厅, 85.87,79190,680,85,22
羽北小区,2室1厅, 61.57,92578,570,7,11
永安新村,2室1厅, 67.96,58859,400,10,5
洋泾花园城,3室2厅, 128.49,66154,850,14,2
新城海上名园,2室2厅, 99.68,94302,940,12,7
永安新村,3室0厅, 68.81,62491,430,5,4
张杨花苑,3室2厅, 140.14,67790,950,29,5
羽北小区,2室1厅, 61.57,92578,570,6,12
博山小区,2室1厅, 61.8,64078,396,12,7
博山小区,2室2厅, 61.63,56791,350,17,13
弘扬沁园,3室2厅, 116.01,83614,970,25,9
泾东小区,2室1厅, 65.4,73395,480,43,10
崮山小区二街坊,2室1厅, 69.08,86856,600,40,18
阳光三村,2室1厅, 51.97,61574,320,26,13
东方城市公寓,2室2厅, 115.82,82024,950,5,6
绿地泾南公寓,3室2厅, 128.39,77888,1000,3,9
双城苑(西苑),3室2厅, 131.94,79582,1050,13,9
阳二小区,2室1厅, 45.8,59389,272,24,6
绿地泾南公寓,3室2厅, 128.39,77888,1000,3,9
中新家园,2室2厅, 70.64,93432,660,9,9
泾东小区,1室1厅, 40.6,89902,365,0,6
羽北小区,2室1厅, 79.28,78835,625,28,8
崮山小区二街坊,1室1厅, 47.56,101977,485,10,7
张杨南苑,3室2厅, 105.5,76304,805,22,9
金羽名庭,2室1厅, 75.95,81106,616,99,13
张杨南苑,2室2厅, 74.79,78888,590,22,6
永安新村,1室0厅, 53.26,58206,310,19,1
泾东小区,2室1厅, 87.03,57452,500,93,5
森林湾公寓,2室2厅, 97.64,88079,860,37,7
博山小区,2室1厅, 61.45,61026,375,6,2
泾东小区,2室2厅, 87.03,63197,550,34,7
泾东小区,2室2厅, 53.59,79306,425,36,5
申立苑,2室2厅, 109,82569,900,16,9
海苑大厦,2室2厅, 95,82632,785,9,6
凌三小区,1室1厅, 39.7,80605,320,2,1
旭辉新构想,3室2厅, 123.02,91043,1120,9,1
名门河滨花园,1室1厅, 64.64,80446,520,9,1
栖山小区,2室1厅, 53.21,69536,370,5,3
巨东小区,3室1厅, 71.48,81142,580,10,2
名门世家(浦东),3室3厅, 134.74,61601,830,67,3
张杨花苑,2室2厅, 116.51,75530,880,6,1
申立苑,2室2厅, 97,87114,845,7,4
羽山路1000弄,3室1厅, 75.84,85707,650,40,0
凌四小区,1室1厅, 39.3,76336,300,3,0
海苑大厦,3室2厅, 134.62,77998,1050,1,0
鼎隆大厦,3室2厅, 181.08,54949,995,36,0
海防新村,2室1厅, 58.34,60851,355,14,0
巨东小区,3室1厅, 71.48,80443,575,23,40
明珠苑(浦东),3室2厅, 128.98,69391,895,72,71
名门河滨花园,1室2厅, 64.64,79673,515,62,42
绿地泾南公寓,4室2厅, 158.22,77108,1220,35,41
中星怡景花园,2室2厅, 113.19,85697,970,86,101
凌高小区,2室2厅, 91.39,58650,536,49,29
中新家园,2室1厅, 73.5,87756,645,57,38
羽北小区,2室2厅, 67.22,86136,579,50,72
维多利华庭,3室2厅, 117,82906,970,76,32
金羽名庭,3室2厅, 125.08,87145,1090,25,27
名门河滨花园,1室2厅, 64.64,80446,520,11,20
崮山小区二街坊,2室0厅, 50.1,99801,500,7,13
博山小区,2室1厅, 66.49,61664,410,11,16
泾东小区,1室1厅, 53.73,71655,385,12,16
名门世家(浦东),2室1厅, 77.46,67132,520,141,22
崮山小区二街坊,2室1厅, 70.81,86147,610,30,32
中新家园,2室1厅, 90.74,89046,808,24,27
崮山小区四街坊,2室1厅, 68.82,84278,580,41,32
名门河滨花园,2室2厅, 109.72,76559,840,107,51
华阳苑,3室2厅, 137.89,73973,1020,31,34
凌四小区,1室1厅, 35.89,78017,280,3,0
巨野小区,1室1厅, 42.31,69724,295,14,14
龙威名邸,3室2厅, 119.6,91974,1100,17,13
阳二小区,2室1厅, 47.34,59570,282,22,17
明珠苑(浦东),2室2厅, 70.61,88515,625,87,16
绿地泾南公寓,4室2厅, 158.22,74580,1180,12,20
博山小区,1室1厅, 54.87,59414,326,84,21
申舟明阳苑,3室2厅, 87.74,94598,830,42,14
海防新村,1室1厅, 34.2,64328,220,7,6
博山小区,1室1厅, 54.87,60143,330,1,2
博山小区,1室1厅, 38.88,69445,270,10,11
第五大道,3室2厅, 150.79,96161,1450,17,13
新城海上名园,4室2厅, 156.87,88609,1390,90,27
阳二小区,1室1厅, 51.86,60741,315,8,7
张杨花苑,2室2厅, 119.51,75308,900,14,5
张杨花苑,3室2厅, 130.09,69952,910,47,14
中星海上景庭,3室2厅, 155,77420,1200,24,11
金淙苑,3室2厅, 118.82,67329,800,56,11
巨西小区,2室1厅, 54.05,79556,430,8,9
巨东小区,2室1厅, 66.81,86065,575,8,14
泾栖小区,2室2厅, 79.97,72278,578,29,9
中星巨野公寓,3室2厅, 108,76852,830,50,10
金羽名庭,3室2厅, 128.95,85305,1100,60,15
绿地泾南公寓,2室2厅, 104.36,80012,835,11,10
崮山小区一街坊,2室1厅, 70.46,84446,595,13,11
张杨花苑,3室2厅, 140.14,74926,1050,37,15
罗山怡景苑,3室2厅, 102.58,84812,870,45,18
洋泾花园城,2室2厅, 92.54,70781,655,22,8
绿地泾南公寓,3室2厅, 124.73,80174,1000,8,8
中新家园,2室2厅, 81.16,92411,750,13,5
罗山怡景苑,2室2厅, 99.54,86900,865,38,7
旭辉新构想,3室2厅, 126.15,91162,1150,58,6
广洋华景苑,3室2厅, 136.17,97673,1330,15,7
弘扬沁园,1室2厅, 69.34,83646,580,67,9
泾东小区,1室1厅, 41.63,87678,365,4,8
洋泾花园城,2室2厅, 74.45,65816,490,111,10
