CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
梅园三村,2室1厅, 61.68,83982,518,22,22
竹园高层,2室1厅, 70.04,67105,470,298,42
竹园高层,2室1厅, 65.72,69994,460,50,53
桃林公寓,2室2厅, 95.59,67999,650,19,22
桃林小区,3室2厅, 114.42,82067,939,17,34
陆家嘴花园(一期),3室2厅, 114.56,104749,1200,35,29
惠扬大厦,3室2厅, 155.38,53418,830,85,36
生安花苑,3室2厅, 205.07,73146,1500,29,20
盛世年华,3室2厅, 135.73,108304,1470,42,39
竹园高层,2室1厅, 68.51,76632,525,44,89
桃林小区,3室2厅, 125.26,69456,870,39,42
梅园四街坊,2室1厅, 50.33,106498,536,15,20
竹园新村(浦东),2室1厅, 54.11,77620,420,16,15
桃林公寓,2室2厅, 108.15,66575,720,36,17
盛世年华,3室2厅, 102.52,124854,1280,11,23
盛世年华,3室2厅, 138.67,108171,1500,82,14
陆家嘴花园(二期),2室2厅, 114,112281,1280,16,8
桃林小区,2室2厅, 107.33,81991,880,33,16
竹园新村(浦东),2室1厅, 58.21,70435,410,60,18
竹园新村(浦东),2室1厅, 57.86,83824,485,21,15
竹园高层,3室2厅, 137.71,64629,890,59,9
盛世年华,4室2厅, 174.05,109739,1910,35,15
竹园新村(浦东),2室1厅, 58.21,71809,418,19,6
盛世年华,4室2厅, 174.05,109165,1900,14,8
梅园四街坊,2室1厅, 55.08,103486,570,27,5
市政大楼,2室1厅, 71.02,90116,640,16,8
雅景公寓,2室2厅, 107.34,105273,1130,59,7
桃林一小区,3室1厅, 80.15,89832,720,38,5
陆家嘴国际华城,2室2厅, 121.73,86257,1050,60,5
市政大楼,2室1厅, 71.02,90116,640,16,8
桃林一小区,3室1厅, 80.15,89832,720,38,5
竹园高层,1室1厅, 53.01,77344,410,57,7
梅园三街坊,2室1厅, 48.04,114488,550,5,4
巨洋豪园,3室2厅, 145.85,82277,1200,34,1
证大宽域,2室2厅, 96.55,95081,918,20,2
竹园高层,2室1厅, 65.73,64659,425,190,3
梅园四街坊,2室1厅, 56.66,100601,570,25,2
桃林小区,2室2厅, 81.88,101368,830,7,1
梅园七街坊,3室2厅, 127.7,97886,1250,9,4
珠江玫瑰花园(公寓),3室2厅, 166.85,68925,1150,18,1
福山小区,2室1厅, 72.26,85802,620,26,4
梅园四街坊,2室1厅, 49.46,107158,530,30,76
福竹小区,2室1厅, 50.77,82727,420,21,0
梅园四街坊,2室1厅, 56.66,107660,610,5,0
