CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
潍坊四村,1室1厅, 40.63,72607,295,46,55
潍坊十村,1室0厅, 36.29,114357,415,25,58
开发浦东,2室1厅, 67.07,89459,600,14,39
潍坊五村,2室1厅, 52.91,65206,345,43,18
潍坊十村,1室1厅, 36.06,115086,415,9,23
开发浦东,2室1厅, 67.07,87968,590,27,43
浦潍大楼,2室0厅, 60.5,72728,440,10,12
潍坊一村,1室1厅, 30.5,90164,275,25,28
潍坊五村,2室0厅, 48.78,69701,340,18,14
潍坊三村,2室1厅, 47.44,67454,320,188,12
泉东(二)小区,2室0厅, 42.03,120153,505,11,20
泉东小区,1室1厅, 42.62,112624,480,14,14
潍坊五村,1室0厅, 31.35,86125,270,7,13
潍坊一村,2室1厅, 47.67,81393,388,6,12
潍坊五村,1室1厅, 41.07,75481,310,21,6
潍坊五村,1室0厅, 35.62,80012,285,19,7
朱家滩小区,2室1厅, 52.11,104587,545,8,14
开发浦东,2室1厅, 67.07,92441,620,5,5
泉东小区,2室0厅, 55.63,107856,600,4,3
潍坊九村,2室1厅, 59.97,96716,580,6,4
新光大楼,2室1厅, 72.35,91224,660,7,3
新明大楼,2室1厅, 71.4,99440,710,21,1
爵士大厦,2室2厅, 100.4,77690,780,17,2
潍坊八村,1室1厅, 40.2,79602,320,6,3
潍坊八村,2室0厅, 49.79,82346,410,1,1
王家宅小区,1室1厅, 44.33,83465,370,1,0
竹南小区,1室1厅, 39.98,88795,355,6,7
潍坊十村,1室0厅, 33.08,120919,400,55,6
潍坊五村,2室1厅, 49.29,73038,360,18,3
潍坊五村,2室1厅, 49.29,73038,360,18,3
繁荣昌盛,2室1厅, 82.62,88962,735,38,26
潍坊九村,2室1厅, 51.54,95072,490,22,43
潍坊四村,1室1厅, 33.81,85774,290,12,0
东建新村,2室0厅, 41.05,75031,308,4,0
新明大楼,2室1厅, 69.83,98525,688,1,0
潍坊十村,1室1厅, 37.88,108237,410,18,43
潍坊四村,1室1厅, 41.36,70117,290,15,27
潍坊八村,1室1厅, 40.72,69991,285,56,28
潍坊九村,1室0厅, 34.68,122550,425,8,48
潍坊四村,2室1厅, 48.16,68522,330,16,18
泉东(二)小区,1室0厅, 38.75,118710,460,17,26
华飞公寓,3室2厅, 157.29,78200,1230,25,42
朱家滩小区,2室1厅, 58.06,100758,585,13,26
潍坊四村,1室1厅, 38.89,75855,295,5,21
泉东小区,2室1厅, 59.3,95279,565,30,19
潍坊九村,1室1厅, 34.72,119528,415,34,21
潍坊九村,2室0厅, 51.5,115534,595,7,20
王家宅小区,2室1厅, 53.07,72546,385,28,23
南泉大楼,2室1厅, 80.87,79758,645,0,2
潍坊二村,2室1厅, 50.3,66601,335,128,24
潍坊九村,2室1厅, 49.48,98020,485,81,77
潍坊二村,2室1厅, 54.69,67655,370,29,18
潍坊九村,3室1厅, 74.08,86394,640,28,18
潍坊二村,1室1厅, 37.8,74075,280,10,14
潍坊七村,3室0厅, 68.93,84144,580,15,10
