CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金桥爱建园,3室2厅, 134.95,85217,1150,99,184
金桥酒店公寓,1室0厅, 47.18,91141,430,8,80
信和花园,2室2厅, 101.69,77491,788,22,27
凤凰大厦,3室2厅, 142.6,73633,1050,17,19
晓园,4室2厅, 188.16,98321,1850,19,38
罗山花苑,2室2厅, 69.09,95528,660,2,106
中天碧云,2室2厅, 97.09,88578,860,30,36
金色碧云,3室2厅, 97,111341,1080,27,34
中天碧云,3室2厅, 139.39,88242,1230,23,20
金色碧云,2室2厅, 107.64,88258,950,27,18
晓园,3室2厅, 211.35,94630,2000,10,23
碧云东方公寓,2室1厅, 79.07,101177,800,22,15
罗山花苑,2室2厅, 82.61,90789,750,36,12
罗山花苑,2室2厅, 69.43,102262,710,4,10
碧云东方公寓,3室2厅, 143,87413,1250,12,12
罗山花苑,2室2厅, 69.28,99596,690,33,6
中天碧云,3室2厅, 148.31,74169,1100,41,16
金桥酒店公寓,2室1厅, 66.98,62706,420,46,6
碧云东方公寓,2室1厅, 79.07,107500,850,8,6
晓园,4室2厅, 209.92,90511,1900,21,4
世茂湖滨花园(公寓),4室2厅, 369.6,79817,2950,10,4
金桥爱建园,3室2厅, 110.12,88086,970,37,8
品赏碧云,3室2厅, 130.3,84421,1100,2,5
晓园,3室2厅, 177.84,84346,1500,92,3
金浦小区(金桥),2室1厅, 69.15,65076,450,17,1
金桥爱建园,3室2厅, 139.5,78854,1100,18,4
中天碧云,3室2厅, 126.41,87019,1100,120,3
晓园,6室3厅, 298,93960,2800,4,2
金桥爱建园,3室2厅, 137.03,91221,1250,33,3
银泰花园(公寓),3室2厅, 126.9,94563,1200,2,1
金桥爱建园,3室2厅, 143.72,89063,1280,18,0
金桥路2346弄,2室1厅, 71,63381,450,0,0
金桥爱建园,4室2厅, 154.77,87227,1350,75,142
信和花园,2室1厅, 92.3,76924,710,26,97
世茂湖滨花园(公寓),2室2厅, 142.7,87597,1250,45,94
晓园,3室2厅, 180.59,85830,1550,26,1
罗山花苑,3室2厅, 76.11,102484,780,15,0
信和花园,2室2厅, 96.04,83299,800,24,58
世茂湖滨花园(公寓),3室2厅, 195.47,83389,1630,27,169
维诗凯亚,独栋别墅, 3室,95129,4050,32,107
金色碧云,3室2厅, 96.91,111444,1080,51,51
世茂湖滨花园(公寓),3室2厅, 207.97,79339,1650,42,63
金桥酒店公寓,1室1厅, 47.18,83722,395,1,20
世茂湖滨花园(公寓),3室2厅, 207.94,76946,1600,22,22
金桥爱建园,3室2厅, 134.95,85217,1150,14,22
金色碧云,2室2厅, 107.64,91788,988,45,16
碧云东方公寓,3室2厅, 124.65,77016,960,141,21
金桥酒店公寓,1室1厅, 63.09,72912,460,2,3
云间绿大地,独栋别墅, 4室,194801,9599,7,20
碧云东方公寓,3室2厅, 96.35,84069,810,162,20
罗山花苑,3室2厅, 69.09,106818,738,13,13
罗山花苑,3室2厅, 115.55,80485,930,101,17
云间绿大地,联排别墅, 4室,137524,2350,60,22
金浦小区(金桥),3室2厅, 86.12,65026,560,3,1
金桥酒店公寓,1室1厅, 68.13,60913,415,10,7
世茂湖滨花园(公寓),3室2厅, 206.34,81904,1690,21,8
金色碧云,2室2厅, 96.91,95966,930,24,14
品赏碧云,3室2厅, 122.95,93534,1150,81,8
云间绿大地,独栋别墅, 4室,146976,6000,33,19
金桥爱建园,3室2厅, 118.34,97178,1150,20,6
世茂湖滨花园(公寓),2室2厅, 134.89,92669,1250,9,4
金桥酒店公寓,1室1厅, 59.13,73567,435,10,4
云间绿大地,叠拼别墅, 3室,118610,2000,32,13
云间绿大地,联排别墅, 3室,149323,2600,15,16
金浦小区(金桥),3室1厅, 86.12,57827,498,4,6
世茂湖滨花园(公寓),2室2厅, 135.76,92075,1250,67,1
金桥爱建园,3室2厅, 109.11,87069,950,26,4
信和花园,2室2厅, 97.06,73151,710,14,1
金桥酒店公寓,1室1厅, 58.45,73568,430,17,1
信和花园,2室2厅, 96.1,79917,768,20,2
世茂湖滨花园(公寓),3室2厅, 218.53,77793,1700,37,1
中天碧云,3室2厅, 146.65,92056,1350,10,4
金桥酒店公寓,2室1厅, 66.98,64199,430,15,4
云间绿大地,独栋别墅, 6室,188172,13000,5,9
金桥爱建园,3室2厅, 134.95,88922,1200,4,0
晓园,3室2厅, 177.84,98404,1750,17,0
凤凰大厦,2室2厅, 147.58,88088,1300,0,0
金桥爱建园,4室2厅, 145.73,85776,1250,54,0
罗山花苑,2室2厅, 69.28,95266,660,6,6
凤凰大厦,2室2厅, 142.6,77139,1100,2,3
金桥爱建园,2室2厅, 106.1,94251,1000,10,3
金桥路2346弄,2室1厅, 71.53,55921,400,15,1
银泰花园(别墅),联排别墅, 6室,92103,2000,10,2
