CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
千汇苑二村,1室1厅, 53,37736,200,8,0
千汇苑一村,1室1厅, 53,41510,220,17,2
朗诗未来树,1室1厅, 60.46,45485,275,85,59
朗诗未来树,3室2厅, 116.68,36425,425,38,15
千汇苑一村,2室1厅, 63.94,35972,230,40,17
祝和苑,2室2厅, 82.17,35293,290,6,5
东方鸿璟,3室2厅, 142.08,37303,530,24,12
祝安苑,2室2厅, 95.86,34426,330,6,9
朗诗未来树,3室2厅, 89.16,41050,366,8,2
千汇苑一村,2室2厅, 80.81,35887,290,16,6
千汇苑四村,2室2厅, 81,34568,280,16,4
朗诗未来树,3室2厅, 117.46,36609,430,21,2
祝安苑,3室2厅, 109.51,34701,380,22,8
东方鸿璟,1室1厅, 39.71,45329,180,28,5
朗诗未来树,3室2厅, 78.74,40641,320,23,3
朗诗未来树,3室2厅, 78.74,39371,310,5,4
朗诗未来树,3室2厅, 85.12,40532,345,11,1
朗诗未来树,3室2厅, 78.66,40682,320,13,3
朗诗未来树,3室2厅, 78.82,40599,320,9,3
朗诗未来树,3室2厅, 89.16,41050,366,18,0
朗诗未来树,3室2厅, 89.75,40223,361,4,0
千汇苑四村,1室1厅, 53,34906,185,14,0
东方鸿璟,3室2厅, 144,43056,620,12,0
朗诗未来树,1室1厅, 60.37,47209,285,3,0
祝和苑,2室2厅, 80.31,36111,290,8,3
千汇苑二村,3室2厅, 103.74,27955,290,32,50
朗诗未来树,3室1厅, 89.39,40945,366,34,31
千汇苑一村,1室1厅, 53,34906,185,14,13
朗诗未来树,2室1厅, 69.1,45587,315,5,13
千汇苑二村,2室1厅, 63.45,35461,225,14,12
千汇苑四村,2室1厅, 63.45,37038,235,16,11
千汇苑四村,1室1厅, 52.63,40852,215,3,1
千汇苑一村,1室1厅, 52.61,38016,200,28,9
朗诗未来树,1室1厅, 60.37,47209,285,56,13
千汇苑,3室2厅, 104.66,32964,345,16,10
千汇苑二村,2室2厅, 81,34568,280,12,9
朗诗未来树,2室2厅, 69.02,43466,300,105,13
桃李园小区,2室1厅, 80.47,29825,240,108,14
朝农新村,2室1厅, 54.69,30171,165,66,0
千汇苑二村,3室2厅, 105,30953,325,22,8
祝安苑,2室1厅, 65.84,35693,235,13,6
东方鸿璟,3室3厅, 173.42,50744,880,0,1
东港花苑三村,2室2厅, 82.5,29091,240,1,0
祝安苑,3室2厅, 125.16,32119,402,4,4
祝和苑,3室2厅, 105.36,32081,338,0,4
朗诗未来树,3室2厅, 78.75,38096,300,24,1
千汇苑一村,2室2厅, 80.81,35887,290,1,1
东港花苑三村,2室2厅, 100.26,28726,288,28,4
祝和苑,3室2厅, 139.68,28637,400,4,5
祝和苑,3室2厅, 128.78,33391,430,15,6
祝城路86幢,3室2厅, 141.1,25869,365,7,1
千汇苑一村,2室1厅, 62,38710,240,12,5
祝安苑,1室1厅, 53.01,37729,200,28,7
朗诗未来树,3室1厅, 89.7,39019,350,19,5
朗诗未来树,3室2厅, 122.01,37702,460,16,3
千汇苑一村,3室2厅, 105,32858,345,38,5
千汇苑二村,1室1厅, 53,36793,195,18,2
东港花苑三村,2室1厅, 56,33929,190,22,5
祝和苑,2室2厅, 65,35385,230,24,11
朗诗未来树,3室2厅, 78.66,40682,320,11,3
东方鸿璟,1室1厅, 39.7,50378,200,2,2
祝安苑,2室1厅, 65.61,35818,235,7,3
东方鸿璟,3室2厅, 124,42742,530,1,1
千汇苑一村,2室2厅, 80.81,34650,280,0,2
朗诗未来树,3室1厅, 79.19,39778,315,11,2
朗诗未来树,3室2厅, 81.81,39116,320,3,2
祝安苑,1室1厅, 53,37736,200,2,1
千汇苑二村,2室1厅, 62,40323,250,3,1
祝安苑,2室1厅, 65,36154,235,53,1
朗诗未来树,2室2厅, 69.02,44915,310,1,0
祝安苑,2室2厅, 84.03,37487,315,1,0
千汇苑一村,2室1厅, 63.92,37547,240,22,0
祝安苑,3室2厅, 108.85,32614,355,4,0
千汇苑,3室2厅, 128,35157,450,4,0
祝和苑,2室2厅, 82.17,35293,290,1,0
东港花苑三村,3室2厅, 141.83,26441,375,11,0
千汇苑一村,1室1厅, 52.66,37980,200,1,0
朗诗未来树,3室2厅, 81.48,41729,340,0,0
祝和苑,2室2厅, 80.31,34865,280,4,0
千汇苑二村,1室1厅, 52.81,36925,195,2,0
千汇苑,3室2厅, 127.27,31037,395,77,0
祝安苑,2室2厅, 96.48,33168,320,4,5
东方鸿璟,3室2厅, 135,42963,580,1,0
朝农新村,2室1厅, 50.28,21878,110,4,0
东方鸿璟,2室1厅, 60.25,43154,260,2,0
朝农新村,2室1厅, 50,28000,140,3,1
祝和苑,2室2厅, 80.31,36111,290,2,0
朝农新村,2室1厅, 44.29,21450,95,25,0
东方鸿璟,3室2厅, 142,42254,600,2,0
祝和苑,3室2厅, 139.68,28637,400,1,1
千汇苑二村,1室1厅, 52.49,36198,190,19,0
