CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
仁恒河滨城,3室2厅, 171.48,97971,1680,21,38
水清木华,3室2厅, 135.91,95652,1300,15,75
联洋花园(一期),3室2厅, 108.42,99613,1080,50,42
华丽家族花园,2室2厅, 106.23,103549,1100,41,50
联洋花园(二期),2室2厅, 128.65,85504,1100,11,6
水清木华,3室2厅, 164.85,90992,1500,68,38
仁恒河滨城,3室2厅, 153.33,101090,1550,12,19
仁恒河滨城,3室2厅, 152.78,109963,1680,30,118
联洋花园(二期),3室2厅, 149.22,83769,1250,41,31
仁恒河滨城,3室2厅, 131.08,97651,1280,118,14
御景园,3室2厅, 155.69,83500,1300,45,13
仁恒河滨城,3室2厅, 151.16,112398,1699,9,7
华丽家族花园,3室2厅, 138.94,93566,1300,68,11
联洋花园(二期),2室2厅, 128.65,89390,1150,14,14
仁恒河滨城,3室2厅, 179.36,103145,1850,9,3
御景园,4室2厅, 197.73,88505,1750,43,7
仁恒河滨城,3室2厅, 128.62,101073,1300,29,5
天安花园,6室2厅, 320,93750,3000,13,1
仁恒河滨城,2室2厅, 112.46,111151,1250,43,2
御景园,4室2厅, 174.07,89045,1550,28,2
仁恒河滨城,4室2厅, 199.56,120265,2400,10,1
联洋新苑,2室2厅, 115.38,86497,998,68,4
联洋花园(二期),3室2厅, 149.22,87120,1300,142,0
水清木华,3室2厅, 143.18,101970,1460,29,48
第九城市(一期),3室2厅, 178.74,89516,1600,17,29
仁恒河滨城,3室2厅, 166.3,96813,1610,11,42
联洋花园(二期),2室2厅, 128.65,85504,1100,12,14
联洋年华,3室2厅, 166,84940,1410,34,35
御景园,3室2厅, 157.75,95088,1500,66,44
中邦晶座,联排别墅, 4室,60487,2400,49,26
联洋花园(二期),4室2厅, 180,86112,1550,21,40
仁恒河滨城,3室2厅, 150.83,99450,1500,11,29
御景园,3室2厅, 131.57,98807,1300,56,25
仁恒河滨城,4室2厅, 218.55,105240,2300,20,20
第九城市(二期),3室2厅, 147.83,91322,1350,22,45
水清木华,3室2厅, 155.56,102855,1600,11,13
水清木华,3室2厅, 139.55,100323,1400,10,12
当代清水园,2室2厅, 113.83,99271,1130,23,10
仁恒河滨城,3室2厅, 150.83,94146,1420,87,11
吉云公寓,2室1厅, 77.62,72147,560,11,10
仁恒河滨城,3室2厅, 151.16,107833,1630,10,61
仁恒河滨城,3室2厅, 165.86,99482,1650,82,12
联洋年华,1室2厅, 75.69,96447,730,64,7
