CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
海洲桃花园(一期),1室1厅, 59.74,37496,224,62,21
海洲桃花园(一期),2室2厅, 86.55,36396,315,46,25
海洲桃花园(一期),3室2厅, 111.82,33537,375,48,14
东升家园(三期),3室2厅, 99.83,33057,330,44,2
长达佳苑宜居尚城,2室1厅, 84.17,34455,290,45,5
海洲桃花园(一期),2室2厅, 77.1,44748,345,12,13
长泰东郊御园(别墅),4室2厅, 188.67,50883,960,39,12
长达佳苑宜居尚城,2室1厅, 55,34546,190,77,11
长达佳苑宜居尚城,2室1厅, 70,32143,225,154,11
海洲桃花园(一期),2室2厅, 88,39546,348,25,9
东升家园(三期),1室1厅, 54.11,36962,200,75,9
海洲桃花园(一期),3室2厅, 88,40910,360,7,4
池鑫苑,2室2厅, 96,34896,335,15,1
东升家园(三期),2室2厅, 84,31548,265,35,4
鹤鸣新苑二村,2室2厅, 87.43,32026,280,23,3
池鑫苑,2室2厅, 70,40000,280,16,3
鹤沙航城东茗苑,1室1厅, 62,36291,225,14,1
金地艺华年(公寓),4室2厅, 184.42,45006,830,9,3
池鑫苑,4室2厅, 131,35497,465,58,4
长达佳苑宜居尚城,1室1厅, 61.13,35989,220,5,0
长达佳苑宜居尚城,3室2厅, 121.65,30416,370,6,0
东升家园(三期),2室2厅, 82.54,30289,250,46,0
聚航苑,3室2厅, 109,29175,318,7,0
立地东方苑,2室2厅, 91.21,36181,330,33,0
东升家园(三期),2室2厅, 93.27,34309,320,15,0
海洲桃花园(一期),2室2厅, 78,35257,275,67,82
鹤沙航城东茗苑,2室1厅, 74.57,34867,260,50,100
海鑫苑,2室2厅, 81,29630,240,196,55
昱丽家园,2室2厅, 76,34474,262,15,26
昱丽家园,2室2厅, 76,34474,262,15,26
海鑫苑,2室2厅, 81,29630,240,196,55
昱丽家园,2室2厅, 77,34806,268,13,26
金沁苑,2室1厅, 79.2,33460,265,29,26
海鑫苑,2室2厅, 76.4,34686,265,221,30
海洲桃花园(一期),2室2厅, 77.9,35045,273,42,26
长泰东郊御园(公寓),3室2厅, 117,36753,430,30,21
东升家园(三期),3室2厅, 102.27,29335,300,20,2
金地艺华年(公寓),4室2厅, 181.1,41414,750,22,12
金沁苑,3室1厅, 97.38,34402,335,9,10
东升家园(三期),2室2厅, 93.11,27924,260,11,7
鹤鸣新苑一村,3室2厅, 116.8,30394,355,31,4
鹤沙航城东茗苑,2室1厅, 79.83,35701,285,36,13
富鑫苑,2室2厅, 88.84,34895,310,37,7
东升家园(三期),2室2厅, 93.11,30072,280,70,9
长达佳苑宜居尚城,2室2厅, 92.16,29297,270,25,6
长达佳苑宜居尚城,3室2厅, 86,31396,270,20,7
生茂养园,4室3厅, 460.56,43426,2000,6,9
金地艺华年(公寓),3室2厅, 89.42,41155,368,21,7
昱丽家园,2室1厅, 75.72,34998,265,4,1
鹤沙航城东茗苑,2室1厅, 79.99,35880,287,35,6
两河流域,4室2厅, 193,46374,895,32,2
长达佳苑宜居尚城,1室1厅, 53.6,38247,205,35,5
金地艺华年(公寓),3室2厅, 89.4,44520,398,15,1
东升家园(三期),1室1厅, 53.55,36415,195,13,2
长达佳苑宜居尚城,3室2厅, 112,30804,345,6,1
金地艺华年(公寓),3室2厅, 89,43259,385,16,1
航欣苑,3室2厅, 125.04,35989,450,28,1
东升家园(三期),3室2厅, 99.96,29012,290,9,2
金地艺华年(公寓),3室2厅, 89.5,43576,390,14,4
长达佳苑宜居尚城,3室2厅, 112,30804,345,6,1
航欣苑,3室2厅, 125.04,35989,450,28,1
两河流域,4室3厅, 244.59,51515,1260,10,3
桃园新村(航头)(公寓),3室1厅, 88,27273,240,60,4
昱丽家园,2室1厅, 74.73,36131,270,15,0
池鑫苑,2室2厅, 93.4,38759,362,6,0
金地艺华年(公寓),3室2厅, 89.5,39107,350,10,0
长达佳苑宜居尚城,2室1厅, 84,33929,285,8,0
东升家园(三期),2室2厅, 94,28192,265,5,0
航欣苑,2室2厅, 97.73,38372,375,5,0
东方夏威夷,5室2厅, 333,60061,2000,3,1
海洲桃花园(一期),2室2厅, 88.36,38479,340,10,5
海洲桃花园(一期),1室1厅, 60,37667,226,6,1
生茂养园,5室3厅, 457.12,40471,1850,1,0
鹤沙航城航武嘉园,2室2厅, 80.71,31967,258,43,38
海洲桃花园(一期),2室2厅, 74.11,43854,325,0,0
鹤沙航城昱星家园,2室1厅, 67.32,35354,238,33,86
鹤沙航城东茗苑,1室1厅, 58,37069,215,9,28
鹤沙航城东茗苑,2室1厅, 79.92,33784,270,36,44
长泰东郊御园(公寓),2室2厅, 86,35814,308,68,47
鹤沙航城东茗苑,2室1厅, 74.7,32129,240,39,42
鹤沙航城东茗苑,2室1厅, 76.22,36736,280,14,24
鹤沙航城昱星家园,2室2厅, 67.43,35296,238,40,75
昱丽家园,2室1厅, 76.66,34569,265,19,53
鹤沙航城东茗苑,2室1厅, 76.22,37392,285,12,29
鹤沙航城东茗苑,2室1厅, 79.98,35009,280,21,28
鹤沙航城昱星家园,2室1厅, 66.8,36677,245,34,33
鹤沙航城昱星家园,2室2厅, 68.3,38068,260,11,33
两河流域,5室2厅, 244.59,44156,1080,21,21
东升家园(三期),1室1厅, 53.55,34548,185,88,20
鹤沙航城东茗苑,2室1厅, 74.7,36145,270,2,25
鹤沙航城航武嘉园,2室1厅, 80,35250,282,11,22
东升家园(三期),1室1厅, 53.55,34548,185,88,20
鹤沙航城航武嘉园,2室2厅, 80,33125,265,11,10
鹤沙航城东茗苑,2室1厅, 72,36112,260,33,29
鹤沙航城昱星家园,2室1厅, 66.8,37426,250,22,35
鹤沙航城东茗苑,2室1厅, 76.22,34768,265,33,38
鹤沙航城东茗苑,2室1厅, 78.41,35710,280,16,21
东升家园(三期),2室2厅, 93.24,27886,260,48,37
鹤沙航城东茗苑,2室1厅, 73,39042,285,9,23
鹤沙航城东茗苑,2室1厅, 74.72,31451,235,90,38
