CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
广洋新景苑(公寓),3室2厅, 149.3,95446,1425,5,39
大唐盛世花园,3室2厅, 153.42,97445,1495,45,71
新领地,1室1厅, 67.39,60840,410,89,33
大唐盛世花园,4室2厅, 181.51,88150,1600,26,65
牡丹路186弄,2室1厅, 68.34,72432,495,58,34
广洋新景苑(公寓),2室2厅, 112.37,96112,1080,0,0
金桂小区,3室2厅, 97.24,77129,750,11,25
浦东世纪花园(公寓),3室2厅, 147.38,100421,1480,27,28
牡丹小区(浦东),2室1厅, 73.34,76357,560,32,44
浦东世纪花园(公寓),4室2厅, 189.6,86498,1640,119,91
花木苑,2室1厅, 74.81,77530,580,104,40
牡丹小区(浦东),1室1厅, 50.76,79985,406,18,1
金桂家园,3室2厅, 107.64,65032,700,21,20
大唐盛世花园,2室2厅, 98.73,100274,990,57,16
玉兰路46弄,2室1厅, 66.05,74187,490,55,15
新领地,1室1厅, 62.7,48645,305,48,12
花木苑,3室2厅, 93.53,78692,736,83,11
梅花新村(花木),2室2厅, 72.77,76955,560,27,11
浦东世纪花园(公寓),4室2厅, 189.6,104431,1980,29,17
玉兰路46弄,2室1厅, 66.06,77203,510,24,12
环龙新纪园,5室3厅, 200.8,62251,1250,173,13
浦东世纪花园(公寓),3室2厅, 181.7,85856,1560,123,8
花木苑,2室2厅, 74.12,82299,610,27,7
牡丹小区(浦东),2室1厅, 67.22,74383,500,42,8
花木苑,1室1厅, 50.61,88718,449,14,5
锦绣前程阳光苑,2室2厅, 123.45,77765,960,35,7
牡丹小区(浦东),2室1厅, 71.89,77897,560,71,5
樱花坊,2室1厅, 77.49,81947,635,28,7
牡丹小区(浦东),2室2厅, 70.4,75285,530,20,4
牡丹小区(浦东),2室1厅, 73.34,74312,545,22,5
瑞达苑,4室2厅, 127,85040,1080,22,3
新领地,2室2厅, 94.4,52967,500,169,5
花木苑,3室2厅, 140.31,65570,920,25,2
花木苑,3室2厅, 95.31,75334,718,84,4
四季雅苑(公寓),3室2厅, 153.89,94224,1450,11,4
六街坊小区,3室2厅, 107.64,83613,900,7,1
樱花坊,2室2厅, 74.97,83367,625,45,1
海桐苑,3室2厅, 86.75,109511,950,29,2
牡丹小区(浦东),2室1厅, 64.57,85179,550,8,1
花木苑,2室1厅, 74.14,89831,666,27,3
金桂家园,2室2厅, 105.79,77513,820,2,4
锦绣小区,3室1厅, 82.31,88690,730,0,2
锦绣前程阳光苑,2室2厅, 106.99,86925,930,21,1
绿缘公寓,2室2厅, 114,78948,900,38,1
新领地,3室2厅, 138.5,49098,680,90,0
兰花小区,2室1厅, 73.51,78901,580,2,0
樱花路309弄,3室1厅, 99.66,90308,900,10,0
浦东世纪花园(公寓),2室2厅, 108.8,102942,1120,8,0
花木苑,3室2厅, 93.6,74787,700,63,62
广洋新景苑(公寓),2室2厅, 116.52,90114,1050,13,34
浦东世纪花园(公寓),4室2厅, 192.67,87196,1680,89,60
杏花新苑,2室1厅, 58.12,73985,430,21,0
新领地,1室1厅, 71.76,50168,360,17,0
建华公寓,3室2厅, 95.66,78403,750,24,28
玉兰路71弄,1室1厅, 38.94,78326,305,14,30
花木苑,2室2厅, 74.45,79248,590,69,51
牡丹路186弄,2室1厅, 66.02,65132,430,61,37
四季全景台,4室2厅, 212.65,93487,1988,156,63
金桂小区,3室1厅, 88.24,81596,720,16,1
新领地,1室1厅, 46.87,53766,252,46,31
牡丹小区(浦东),1室1厅, 51.3,81872,420,2,3
瑞达新苑,3室2厅, 123.17,90932,1120,40,33
金桂小区,3室1厅, 89.41,76055,680,61,64
牡丹小区(浦东),2室1厅, 67.1,73026,490,38,56
浦东世纪花园(公寓),3室2厅, 180.56,96921,1750,19,58
浦东世纪花园(公寓),3室2厅, 179.5,80780,1450,29,29
大唐盛世花园,3室2厅, 114.43,111859,1280,66,24
兰花小区,3室1厅, 76,77632,590,12,9
环龙新纪园,5室3厅, 191.39,70537,1350,36,10
牡丹小区(浦东),2室2厅, 66.3,72399,480,59,19
瑞达苑,2室2厅, 80.96,79669,645,22,22
牡丹小区(浦东),2室1厅, 73.34,73903,542,13,23
瑞达苑,4室2厅, 112.7,79859,900,19,17
海桐苑,3室2厅, 101.52,83728,850,16,10
四季全景台,3室2厅, 161.1,96835,1560,47,10
浦东世纪花园(公寓),5室3厅, 248.39,95818,2380,46,13
花木苑,2室2厅, 73.84,86674,640,34,8
梅花苑,2室1厅, 79.19,71979,570,45,15
大唐盛世花园,4室2厅, 181.57,87019,1580,34,21
大唐盛世花园,4室2厅, 167.01,98078,1638,25,13
四季雅苑(公寓),3室2厅, 153.03,98020,1500,1,11
牡丹路186弄,2室1厅, 66.25,81359,539,18,12
牡丹路399弄,2室1厅, 73.38,91306,670,10,10
金桂小区,3室1厅, 88.24,83863,740,18,7
新领地,1室1厅, 62.28,48973,305,88,22
银良公寓,2室1厅, 77.59,65731,510,26,5
花木苑,2室1厅, 76.11,77520,590,26,11
建华新苑,3室2厅, 130.91,87847,1150,12,10
牡丹路186弄,2室2厅, 68.34,67311,460,37,7
银良公寓,2室1厅, 77.74,57886,450,79,11
牡丹路186弄,2室2厅, 68.34,67311,460,37,7
花木苑,1室1厅, 50.61,92868,470,27,7
花木鑫丰苑,3室2厅, 78.44,95615,750,28,6
锦绣小区,2室1厅, 65.31,91870,600,3,10
大唐盛世花园,6室2厅, 196.63,76286,1500,117,15
樱花坊,3室2厅, 96.56,84922,820,25,10
新领地,2室2厅, 121.34,53569,650,38,0
浦东世纪花园(公寓),3室2厅, 181.23,85527,1550,42,4
