CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
黄山始信苑,2室1厅, 75.48,76842,580,17,31
金杨新村三街坊,1室1厅, 43.13,62138,268,5,28
黄山始信苑,2室2厅, 83.19,75731,630,17,28
桥畔小区,2室1厅, 71.07,59097,420,59,37
罗山三村,2室1厅, 71.25,55439,395,17,32
香山新村西北街坊,2室1厅, 67.4,56380,380,40,21
金杨七街坊,2室1厅, 69.01,55065,380,20,20
罗山四村,2室1厅, 60.39,56301,340,14,24
金杨一街坊,2室2厅, 79.44,53500,425,78,16
金台三居,2室1厅, 60.87,50107,305,52,26
黄山始信苑,2室1厅, 70.99,81702,580,31,35
金杨二街坊,2室1厅, 61.75,55709,344,148,33
弘扬雅苑,2室2厅, 98.29,85462,840,25,25
黄山始信苑,3室1厅, 83.19,78135,650,97,45
上泰花苑,2室1厅, 82.63,55670,460,108,26
金杨新村三街坊,1室1厅, 42.71,60876,260,5,14
金芙苑,4室3厅, 190.91,45048,860,77,8
金杨七街坊,1室1厅, 48.67,55476,270,25,16
黄山始信苑,2室1厅, 67.53,85888,580,11,17
黄山始信苑,2室1厅, 66.72,77938,520,34,18
金杨新村五街坊,2室1厅, 60,56667,340,56,11
香山新村西北街坊,2室1厅, 62.87,57262,360,29,16
罗山五村,2室1厅, 64.54,56710,366,44,5
罗山一村,1室1厅, 47.67,61884,295,1,5
弘扬雅苑,2室2厅, 106.83,80128,856,10,9
沪东大楼,2室1厅, 74.99,44673,335,67,5
罗山七村,2室1厅, 62.97,55583,350,116,10
金杨二街坊,2室1厅, 58,62414,362,32,14
香山新村东南街坊,2室1厅, 51.66,58073,300,41,12
弘扬雅苑,2室2厅, 102.25,82152,840,5,10
香山新村东南街坊,2室1厅, 51.66,58073,300,41,12
罗山六村,2室1厅, 60.41,57607,348,50,9
罗山七村,2室1厅, 62.97,55583,350,116,10
金杨二街坊,2室1厅, 58,62414,362,32,14
金杨新村三街坊,2室1厅, 58.83,62554,368,16,16
金杨二街坊,2室1厅, 61,59837,365,5,8
黄山新村,2室1厅, 57.7,86656,500,3,12
香山新村东南街坊,1室1厅, 39.76,57848,230,20,15
广洋苑,3室2厅, 85,84706,720,12,11
罗山六村,1室1厅, 46.42,58165,270,14,12
金杨七街坊,2室1厅, 52.83,60572,320,3,16
香山新村东北街坊,2室1厅, 56.58,60976,345,30,9
金杨新村三街坊,2室2厅, 59.5,60169,358,43,12
金杨新村五街坊,1室1厅, 46.39,57772,268,17,8
金杨七街坊,1室1厅, 49.59,59488,295,13,8
金杨新村五街坊,1室1厅, 48.83,54270,265,54,7
金台三居,2室1厅, 59.21,54045,320,27,14
仁和花苑,3室2厅, 94.24,61545,580,54,6
金杨新村十一街坊,2室1厅, 66.17,52895,350,12,13
金杨新村三街坊,2室1厅, 58.84,59484,350,15,5
黄山始信苑,2室1厅, 70,83572,585,7,4
黄山新村,1室1厅, 39.54,103693,410,14,9
广洋苑,3室2厅, 85.79,89988,772,20,11
香山新村东北街坊,2室1厅, 80.4,63433,510,12,7
金杨七街坊,2室1厅, 58.29,61761,360,36,11
上海未来,3室2厅, 136.37,85063,1160,27,5
黄山新村,2室1厅, 62.16,78829,490,27,10
金杨新村九街坊,2室1厅, 60.61,60057,364,1,8
弘扬公寓,2室2厅, 99.56,72319,720,14,4
黄山新村,2室1厅, 62.16,78829,490,27,10
罗山四村,2室1厅, 62.44,54453,340,20,7
弘扬公寓,2室2厅, 99.56,72319,720,14,4
罗山三村,1室1厅, 52.09,57593,300,26,1
罗山七村,2室1厅, 60.1,60733,365,6,1
罗山八村,2室2厅, 79.41,66743,530,8,1
陆家嘴新景园,2室2厅, 92.6,73219,678,72,7
金杨新村五街坊,2室1厅, 59.43,58893,350,14,4
黄山新村,2室1厅, 66,75758,500,2,4
罗山三村,2室1厅, 73.04,52027,380,25,6
罗山四村,2室1厅, 57.27,55003,315,8,2
弘扬公寓,3室2厅, 126.03,69825,880,8,2
罗山七村,2室2厅, 75.18,55866,420,18,4
锦绣河山,2室1厅, 73.84,60943,450,9,1
金杨一街坊,2室1厅, 67.65,58833,398,10,4
金台三居,2室1厅, 67.46,51883,350,57,4
香山新村东南街坊,3室1厅, 95.91,56303,540,11,6
锦绣河山,2室1厅, 70.17,58430,410,28,5
金台三居,2室1厅, 63.03,50770,320,80,2
金杨七街坊,1室1厅, 47.27,56696,268,26,6
金桥瑞仕花园,1室2厅, 83.06,108356,900,12,3
金杨二街坊,3室1厅, 74.55,63045,470,3,6
金杨六街坊,2室1厅, 52.96,69865,370,6,5
住友名人花园,2室2厅, 96.55,80788,780,41,2
金杨新村十街坊,2室2厅, 74,56757,420,2,1
桥畔小区,2室1厅, 65.46,58815,385,161,3
居家桥路520弄,1室1厅, 43.6,57340,250,55,2
蝶恋园,3室2厅, 118.47,67528,800,22,3
金杨新村十街坊,1室1厅, 41.71,62336,260,12,1
金台三居,3室1厅, 84.74,53694,455,46,3
住友名人花园,2室2厅, 96.55,80788,780,41,2
金杨新村十街坊,2室2厅, 74,56757,420,2,1
龙居花苑,2室2厅, 86,77907,670,4,2
罗山一村,3室1厅, 89.56,60072,538,4,2
金杨公寓,3室1厅, 93.48,62046,580,11,2
陆家嘴新景园,3室2厅, 112.94,66407,750,188,2
黄山始信苑,2室1厅, 76.22,82656,630,8,4
居家桥路520弄,1室1厅, 43.6,57340,250,55,2
桥畔小区,2室1厅, 65.46,58815,385,161,3
艾山新村,1室1厅, 54.26,54368,295,2,1
金台三居,3室1厅, 86.74,51303,445,23,3
金杨七街坊,2室1厅, 68.03,57328,390,12,1
香山新村东南街坊,2室1厅, 62.27,62631,390,19,2
罗山七村,2室1厅, 75.18,62251,468,4,4
栖山家园,3室2厅, 121,67769,820,8,1
银山小区,2室1厅, 64.26,65360,420,6,1
罗山三村,2室1厅, 68.3,54905,375,15,1
金台三居,1室1厅, 43.92,54645,240,13,2
罗山一村,1室1厅, 52.83,57733,305,2,2
黄山新村,2室2厅, 96.43,69481,670,7,2
新世纪名苑,3室2厅, 148.35,85002,1261,0,3
通昌苑,3室2厅, 136,77206,1050,2,3
罗山一村,1室1厅, 52.52,55218,290,8,2
金杨六街坊,2室1厅, 52.96,69865,370,8,2
金杨六街坊,3室1厅, 83.3,58824,490,1,1
黄山始信苑,3室1厅, 86.26,82310,710,11,4
陆家嘴新景园,3室2厅, 122.1,77806,950,28,0
艾山新村,1室1厅, 54.19,53516,290,57,0
罗山一村,1室1厅, 46.15,58505,270,12,0
金杨公寓,2室2厅, 100.88,58288,588,22,0
罗山四村,2室1厅, 70,51429,360,28,0
金杨七街坊,2室0厅, 51.57,55847,288,1,0
罗山四村,1室1厅, 47.94,57572,276,5,0
罗山八村,1室1厅, 51.7,61896,320,2,0
金台三居,3室1厅, 91.46,49202,450,42,0
金台三居,4室2厅, 155.44,57901,900,3,0
栖山路1861弄,1室1厅, 45,66667,300,0,0
广洋苑,3室2厅, 140.39,80491,1130,6,0
金杨新村八街坊,2室1厅, 81,51852,420,5,0
陆家嘴新景园,3室2厅, 122.1,77806,950,28,0
黄山新村,2室1厅, 66.3,78432,520,14,0
罗山五村,2室1厅, 63.49,55127,350,1,0
黄山始信苑,2室1厅, 56.39,82462,465,55,45
栖山路1861弄,1室1厅, 45.69,59094,270,10,0
金杨新村五街坊,3室1厅, 74.5,54363,405,110,59
天元公寓,1室1厅, 59.49,57657,343,18,3
香山新村东北街坊,1室0厅, 37.32,61630,230,21,4
金杨新村三街坊,1室1厅, 43.13,60283,260,1,1
金杨新村八街坊,2室1厅, 82.06,52401,430,5,27
黄山始信苑,2室1厅, 67.85,82536,560,20,26
通联苑,2室2厅, 89.9,72303,650,14,35
金杨新村九街坊,2室1厅, 63.35,56828,360,36,41
金杨新村十街坊,2室1厅, 55.09,55909,308,26,31
广洋苑,3室2厅, 88.98,84289,750,17,28
罗山一村,1室1厅, 44.18,56587,250,5,1
金杨新村五街坊,2室2厅, 74.43,53742,400,58,15
金杨二街坊,2室2厅, 76.45,61479,470,56,32
金杨新村三街坊,2室1厅, 58.84,59314,349,25,40
金杨新村八街坊,2室1厅, 72.08,47170,340,39,28
天虹苑,3室2厅, 130.02,64606,840,79,22
罗山三村,1室1厅, 47.8,50210,240,19,5
东方知音苑,3室2厅, 113.61,77458,880,110,25
金桥路530弄,1室1厅, 44.2,88236,390,6,22
香山新村西南街坊,2室1厅, 65.16,59853,390,27,24
金杨七街坊,2室1厅, 59,54238,320,30,23
金樟花苑,2室1厅, 76.04,62862,478,41,19
仙都绿苑,1室2厅, 73.08,56788,415,9,7
罗山三村,3室1厅, 75.17,51883,390,22,13
蝶恋园,2室2厅, 93.88,69238,650,42,14
金杨二街坊,2室1厅, 60.06,64103,385,18,14
金杨新村十一街坊,1室0厅, 32.43,63214,205,22,14
金杨六街坊,3室1厅, 83.08,55369,460,33,14
天元公寓,1室1厅, 61,59017,360,9,7
天元公寓,1室1厅, 59.49,65558,390,3,6
金杨新村十街坊,2室1厅, 55.09,59902,330,14,13
罗山二村,2室1厅, 57.47,57422,330,5,9
罗山四村,2室0厅, 48.24,51203,247,24,17
黄山始信苑,2室0厅, 56.46,82360,465,19,15
通联苑,2室2厅, 89.9,72303,650,57,22
香山新村东北街坊,2室1厅, 57.45,58312,335,32,14
艾山新村,1室1厅, 54.26,51604,280,28,1
广洋苑,3室2厅, 138,75000,1035,8,5
香山新村西北街坊,2室1厅, 67.4,54897,370,34,5
罗山五村,1室1厅, 52.44,54920,288,7,4
金芝苑,1室2厅, 68.15,60896,415,7,8
香山新村东北街坊,2室1厅, 59.7,56952,340,17,6
金杨新村八街坊,3室1厅, 101.02,53455,540,19,20
香山新村西南街坊,2室1厅, 80.25,60437,485,11,4
栖山家园,3室2厅, 84.58,84536,715,12,8
金杨六街坊,3室1厅, 69.9,62948,440,5,1
金杨新村九街坊,1室1厅, 38.75,56000,217,31,12
黄山新村,2室1厅, 64.56,78997,510,15,15
新世纪名苑,3室2厅, 147.5,84746,1250,24,10
金杨新村八街坊,2室1厅, 75.13,55238,415,15,13
栖山路1689弄,2室1厅, 67.56,57727,390,34,14
东方知音苑,2室2厅, 87.73,86630,760,51,12
香山新村东南街坊,2室1厅, 51.8,63707,330,52,19
金杨七街坊,2室1厅, 68.7,54586,375,126,14
香山新村西南街坊,2室1厅, 62.05,58018,360,89,14
黄山新村,3室1厅, 95.3,69255,660,14,14
黄山新村,3室2厅, 114.03,59634,680,65,11
香山新村西北街坊,2室1厅, 67.53,55531,375,33,13
金杨七街坊,2室1厅, 60.74,57623,350,17,13
博山公寓,2室1厅, 90.88,56118,510,41,0
香山新村西北街坊,4室2厅, 125.68,65246,820,14,0
黄山新村,2室1厅, 62.16,78508,488,16,12
黄山始信苑,2室1厅, 70.58,81893,578,11,4
香山新村东北街坊,1室1厅, 46.38,53041,246,20,9
金杨新村九街坊,2室2厅, 77.62,54110,420,30,7
新世纪名苑,2室2厅, 104.63,84106,880,9,7
罗山四村,1室1厅, 41.43,55516,230,71,18
罗山七村,1室1厅, 44.13,53252,235,65,6
广洋苑,1室1厅, 53.34,91677,489,15,9
金杨七街坊,2室1厅, 55.25,55204,305,107,12
金杨二街坊,2室1厅, 61.62,58423,360,7,6
天元公寓,2室1厅, 84.28,64666,545,20,7
金杨新村五街坊,3室1厅, 74.25,59260,440,27,10
金杨新村三街坊,2室1厅, 59.51,52933,315,46,6
金杨新村十街坊,2室1厅, 72.98,54125,395,8,6
罗山三村,1室1厅, 53.35,56233,300,18,8
广洋苑,1室1厅, 53.34,91677,489,15,9
金杨新村五街坊,3室1厅, 74.25,59260,440,27,10
金杨新村十街坊,2室1厅, 72.98,54125,395,8,6
金杨二街坊,2室1厅, 61.62,58423,360,7,6
金杨新村八街坊,3室1厅, 102,54902,560,6,9
香山新村西南街坊,2室1厅, 75.46,63610,480,17,9
金杨路750弄,2室1厅, 84.53,63647,538,8,6
罗山三村,2室1厅, 59,59323,350,13,8
黄山新村,2室1厅, 62.16,78508,488,16,12
黄山始信苑,2室1厅, 70.58,81893,578,11,4
金杨新村三街坊,2室2厅, 72.21,56087,405,25,7
上海未来,3室2厅, 99.75,90226,900,15,13
广洋苑,3室1厅, 88.98,84289,750,13,3
仙都绿苑,1室2厅, 63.24,53764,340,27,1
金杨一街坊,2室1厅, 69.81,60164,420,12,4
锦绣河山,2室1厅, 75.56,60879,460,0,1
金杨公寓,2室1厅, 87.11,60499,527,13,6
始信北苑,3室2厅, 92.44,73562,680,114,6
香山新村西北街坊,3室1厅, 97.8,61350,600,8,3
仙都绿苑,1室1厅, 44.48,56206,250,27,2
金杨路750弄,2室2厅, 83.5,62875,525,24,5
黄山始信苑,2室1厅, 71.5,82518,590,26,4
金杨新村五街坊,1室1厅, 46.57,57978,270,17,5
金杨七街坊,1室1厅, 47.7,58701,280,12,6
金桥瑞仕花园,4室2厅, 179.49,95828,1720,17,3
金杨新村八街坊,2室1厅, 80.03,53730,430,8,4
香山新村东北街坊,2室1厅, 63.28,56891,360,20,2
香山新村东北街坊,2室2厅, 75.88,65235,495,1,4
金杨新村四街坊,1室1厅, 36.94,79860,295,2,2
弘扬雅苑,3室2厅, 149.16,80451,1200,4,5
罗山三村,1室1厅, 50.79,57098,290,20,7
金杨七街坊,2室1厅, 65.13,55275,360,10,7
金杨二街坊,1室1厅, 44.84,61330,275,13,6
金杨路750弄,2室2厅, 83.5,62875,525,24,5
黄山始信苑,2室1厅, 71.5,82518,590,26,4
金杨新村五街坊,1室1厅, 46.57,57978,270,17,5
金杨七街坊,1室1厅, 47.7,58701,280,12,6
金桥瑞仕花园,4室2厅, 179.49,95828,1720,17,3
