CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金桥湾清水苑,2室1厅, 68,63236,430,13,20
金桥湾清水苑,2室1厅, 68.47,56230,385,324,29
证大家园(公寓),3室2厅, 105.84,75586,800,46,21
浦江东旭公寓,2室2厅, 71,56057,398,72,39
双桥小区,2室1厅, 72.67,72933,530,17,12
双桥小区,2室1厅, 78.03,66642,520,101,19
金桥新村四街坊(长岛路1201弄),2室1厅, 65.28,56679,370,23,21
中冶尚城,3室2厅, 130.52,65891,860,83,24
浦江东旭公寓,2室1厅, 79.56,50151,399,108,22
连城新苑,2室2厅, 93.48,58302,545,43,26
中冶尚城,2室2厅, 88.12,66387,585,91,28
爱法新城,3室2厅, 126.11,61851,780,48,12
浦三小区,2室1厅, 64.5,54264,350,61,14
金东名苑,2室2厅, 86,72675,625,113,17
碧云新天地(一期),2室2厅, 94.22,72172,680,15,16
利津小区,2室1厅, 69.2,49856,345,43,8
上泰雅苑,2室2厅, 101,59406,600,17,8
佳虹小区,2室1厅, 71.84,45240,325,16,11
东方丽景,2室2厅, 96.25,64416,620,65,16
双桥小区,2室1厅, 78.69,67353,530,21,19
证大家园(公寓),2室2厅, 96.16,76748,738,56,17
佳虹小区,2室1厅, 65.37,49717,325,25,21
金地未未来,2室2厅, 65.64,71603,470,41,20
东靖苑,2室2厅, 86.62,48488,420,40,15
中冶尚城,3室2厅, 128.38,66210,850,17,12
荷三小区,2室1厅, 53.98,51872,280,37,10
银桥花苑,2室1厅, 65.57,64817,425,43,13
长岛公寓,2室1厅, 77,50000,385,17,11
博一小区,2室1厅, 60,54167,325,19,10
东二小区,2室1厅, 66.62,48034,320,17,2
浦江东旭公寓,1室1厅, 60.35,53025,320,98,15
丽都成品,2室1厅, 68.13,68693,468,31,6
荷三小区,2室2厅, 67.39,50453,340,16,6
连城新苑,2室2厅, 96.63,53297,515,123,10
东陆新村二街坊,2室2厅, 72.7,52958,385,14,12
双桥小区,3室1厅, 91.85,68591,630,9,11
正旺苑,2室2厅, 79.54,58839,468,22,8
中冶尚城,2室2厅, 87.48,64015,560,152,11
东靖苑,2室2厅, 86.62,49527,429,161,10
爱法新城,2室1厅, 78.18,63316,495,127,8
金鹏苑,2室2厅, 70.23,62652,440,28,14
金桥湾清水苑,2室1厅, 65.33,63524,415,27,9
丽都成品,3室2厅, 115,63479,730,29,10
金桥湾清水苑,2室1厅, 68.5,62482,428,17,8
六荷苑小区,2室1厅, 54.44,54189,295,94,15
连城新苑,2室2厅, 96.63,58988,570,86,15
碧云新天地(一期),2室2厅, 96.04,68722,660,25,14
莱阳北小区,2室1厅, 60.07,52439,315,136,10
双桥小区,3室2厅, 100.32,64793,650,78,8
金地未未来,1室2厅, 65.64,73888,485,17,12
蓝城小区,2室1厅, 59.87,55955,335,15,11
正旺苑,2室1厅, 79.54,58462,465,5,10
金桥都市花园,2室2厅, 107,68692,735,34,16
金桥湾清水苑,2室1厅, 68.59,64879,445,18,17
阳光城市家园,2室1厅, 56.94,57605,328,164,10
连城新苑,2室2厅, 92.08,70591,650,46,13
东方城市华庭,2室2厅, 94.44,68827,650,18,8
博三小区,2室1厅, 61.88,62218,385,72,8
巨峰家苑(公寓),2室2厅, 99.45,62343,620,62,11
金桥新村四街坊(长岛路1201弄),1室1厅, 50.9,64834,330,9,4
伟业金锦苑三村,2室1厅, 78.5,60510,475,8,9
金桥湾清水苑,2室1厅, 69.19,64316,445,47,7
荷三小区,2室1厅, 67.39,50008,337,17,9
东波苑二街坊,1室1厅, 51.35,52581,270,32,16
金鹏苑,2室2厅, 79.39,63736,506,22,8
东方城市华庭,2室2厅, 94.44,68827,650,18,8
金桥名都,3室2厅, 133.53,59912,800,26,6
博三小区,2室1厅, 61.88,62218,385,72,8
东荷小区,2室1厅, 69.72,52353,365,17,13
佳虹小区,2室1厅, 69.32,46163,320,13,10
佳虹小区,2室1厅, 71.81,45259,325,35,12
荷一小区,2室1厅, 61.54,53624,330,8,8
金桥新城,3室2厅, 126.07,65044,820,4,5
巨峰家苑(公寓),2室2厅, 99.45,62343,620,62,11
东陆新村四街坊,2室1厅, 66,51516,340,21,4
金藤苑,1室1厅, 54.3,55249,300,15,4
沪东新村,1室1厅, 35.91,50126,180,57,6
沪新小区,2室1厅, 54.53,50431,275,35,9
锦河苑,2室2厅, 99.43,59339,590,51,8
东荷小区,2室2厅, 77.43,47656,369,25,7
中星长岛苑,3室2厅, 126.29,65722,830,14,3
上泰雅苑,2室2厅, 93.72,67756,635,3,2
东方城市华庭,2室2厅, 94.44,61415,580,98,1
金桥一方,2室2厅, 95,70527,670,3,1
长岛公寓,2室2厅, 95.04,45771,435,37,3
伟业金锦苑三村,2室2厅, 78,62821,490,2,3
证大家园(公寓),2室2厅, 88.69,78363,695,42,6
金桥湾清水苑,1室1厅, 54.67,63106,345,3,3
晶波坊,3室1厅, 78.77,49512,390,17,2
朱家门小区,2室1厅, 69.12,47744,330,41,6
沪东新村,2室0厅, 45.74,50285,230,37,7
东方城市华庭,2室1厅, 72.38,68390,495,27,5
东陆新村六街坊,2室1厅, 64.17,57660,370,4,2
证大家园(公寓),5室3厅, 175.21,62782,1100,26,3
金桥新村一街坊,2室1厅, 69.38,52609,365,6,5
利津小区,2室2厅, 89.71,47933,430,44,1
碧云新天地(二期),3室2厅, 123.21,75481,930,164,8
汇佳苑,3室2厅, 121,64463,780,0,1
利津小区,2室1厅, 57.92,50070,290,40,2
沪东新村,2室0厅, 51,55883,285,3,5
金藤苑,1室1厅, 50.92,52043,265,61,1
永业小区,3室1厅, 86.21,48139,415,15,4
金桥湾清水苑,2室1厅, 68.75,62546,430,8,4
证大家园(公寓),2室2厅, 88.69,78363,695,42,6
金桥湾清水苑,1室1厅, 54.67,63106,345,3,3
晶波坊,3室1厅, 78.77,49512,390,17,2
金桥新家园,2室2厅, 92.06,66262,610,46,5
金桥都市花园,3室2厅, 134.52,71737,965,20,3
长岛公寓,2室1厅, 81.15,51757,420,16,4
东陆新村五街坊,2室2厅, 76.31,69454,530,10,2
爱法新城,3室2厅, 115.24,65082,750,0,1
沪东新村,2室1厅, 53.05,49953,265,45,2
伟业金锦苑三村,2室2厅, 78,62821,490,2,3
锦欣苑,2室2厅, 92,61957,570,19,3
晶波坊,2室1厅, 63.56,50347,320,44,6
沪南船舶小区,2室1厅, 69.62,52859,368,12,6
伟业金锦苑三村,2室1厅, 78.68,62278,490,59,6
金桥新家园,2室2厅, 79.88,62594,500,244,7
浦江东旭公寓,2室1厅, 80.85,53928,436,41,4
东方城市华庭,2室1厅, 72.38,68390,495,27,5
东陆新村六街坊,2室1厅, 64.17,57660,370,4,2
沪东新村,2室1厅, 53.05,49953,265,45,2
爱法新城,3室2厅, 115.24,65082,750,0,1
金桥新村四街坊(长岛路1203弄),2室1厅, 63.76,61167,390,4,5
伟业金锦苑二村,2室1厅, 77.99,58726,458,10,4
浦江东旭公寓,2室1厅, 80.85,53928,436,41,4
东波苑二街坊,2室2厅, 103.58,51169,530,13,2
银桥花苑,2室1厅, 67.17,62231,418,20,5
东陆新村六街坊,2室1厅, 64.31,54424,350,5,3
金泰小区,2室1厅, 67.86,60419,410,0,4
金桥新村四街坊(长岛路1267弄),3室1厅, 86.61,55999,485,27,0
博一小区,2室1厅, 66.18,55909,370,2,0
蓝城小区,2室1厅, 63.37,59177,375,19,3
东波苑二街坊,3室2厅, 117,53847,630,21,1
新沪东公寓,2室2厅, 92.07,73857,680,14,3
东陆新村六街坊,3室1厅, 80.19,59858,480,19,1
