CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
汇豪天下,3室2厅, 129.86,92408,1200,93,154
世茂滨江花园,3室2厅, 232.56,83850,1950,43,22
江临天下,4室2厅, 210,85620,1798,30,54
仁恒滨江园,4室2厅, 232.68,100998,2350,92,65
财富海景花园,2室2厅, 166.9,116837,1950,33,45
菊园,2室2厅, 91.5,92897,850,119,20
陈家宅小区,2室0厅, 58,75863,440,43,21
财富海景花园,3室2厅, 355,129578,4600,61,125
仁恒滨江园,2室2厅, 83.78,125329,1050,135,81
荣城花苑,4室2厅, 166.98,95221,1590,41,9
东园四村,4室2厅, 166.64,54909,915,40,12
上船大楼,2室1厅, 68.6,65598,450,150,14
世茂滨江花园,2室2厅, 166.16,99302,1650,38,16
汇豪天下,4室2厅, 170.87,98321,1680,33,20
菊园,4室2厅, 156.29,84459,1320,109,14
仁恒滨江园,4室2厅, 187.45,109363,2050,43,16
财富海景花园,3室2厅, 210.56,118732,2500,23,19
仁恒滨江园,3室2厅, 122.1,126946,1550,38,147
仁恒滨江园,3室2厅, 130.41,111188,1450,92,64
财富海景花园,2室2厅, 166.69,107985,1800,105,19
世茂滨江花园,4室2厅, 285.81,104965,3000,20,8
东南新村(浦东),1室1厅, 39.06,79366,310,7,5
汇豪天下,2室2厅, 107.94,107468,1160,33,6
崂山二村,2室1厅, 50.06,75909,380,19,4
滨江大楼,2室2厅, 70.76,66422,470,143,2
东明新村,2室1厅, 45.81,68763,315,22,2
浦东南路1780弄,2室1厅, 47.6,64076,305,16,1
荣成大厦,2室1厅, 81.42,82290,670,49,2
集成大厦,2室2厅, 98.32,76282,750,1,1
世茂滨江花园,2室2厅, 126.39,106022,1340,22,3
滨江兰庭,2室2厅, 138.91,86387,1200,7,2
集成大厦,2室2厅, 98.32,76282,750,1,1
荣成大厦,2室1厅, 81.42,82290,670,49,2
世茂滨江花园,4室2厅, 314.84,90523,2850,51,1
世茂滨江花园,3室2厅, 228.68,81337,1860,43,2
谢家宅小区,1室1厅, 37.14,86161,320,7,0
