CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
盛世东苑,2室1厅, 75.66,40709,308,55,26
高东新村,1室1厅, 42.85,40141,172,31,14
金纬东苑,2室2厅, 87.91,40383,355,15,4
杨园一村,3室1厅, 97.74,32229,315,33,6
欣连佳苑,3室2厅, 122.52,39994,490,51,3
高东馨苑,2室2厅, 81.47,39279,320,24,4
千秋嘉苑,3室2厅, 115.91,38824,450,5,4
杨园二村,2室1厅, 69,37682,260,18,0
逸墅新苑,叠拼别墅, 4室,40195,800,1,0
高行绿洲(二期),2室2厅, 78.82,46943,370,6,0
杨园四村,3室2厅, 135.44,32487,440,0,0
盛世东苑,2室1厅, 76.97,38327,295,8,9
杨园二村,1室1厅, 45.3,38632,175,32,11
盛世东苑,2室1厅, 75.66,40709,308,1,4
森兰名佳,4室2厅, 158.29,62544,990,22,15
扬盛佳苑,1室1厅, 55.11,40828,225,70,16
高行绿洲(三期),1室2厅, 66.7,37782,252,37,4
金纬东苑,3室2厅, 120.9,37221,450,62,3
杨园二村,2室2厅, 93.55,34207,320,3,1
杨园二村,3室1厅, 84.17,35643,300,21,1
欣连苑,2室2厅, 96.56,38836,375,9,2
杨园二村,2室1厅, 66.15,36282,240,67,4
杨园新苑,3室2厅, 129,39535,510,8,3
高东馨苑,1室1厅, 57.18,41973,240,9,1
杨园四村,3室1厅, 95.64,36596,350,0,0
逸墅新苑,叠拼别墅, 4室,43378,900,23,0
逸墅新苑,3室3厅, 208.35,40797,850,14,0
高行绿洲(四期),2室1厅, 74.69,47530,355,6,43
高行绿洲(五期),2室1厅, 74.09,41167,305,144,41
高行绿洲(五期),1室1厅, 54.1,44363,240,46,34
杨园二村,2室1厅, 68.07,35699,243,2,7
千秋嘉苑,3室2厅, 115.46,36030,416,3,2
扬盛佳苑,1室1厅, 55.05,39964,220,10,20
杨园三村,2室1厅, 54.63,38441,210,22,23
高东馨苑,2室2厅, 86.6,38107,330,15,27
