CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
幸福小镇(公寓),2室2厅, 77.54,57390,445,31,36
绿地崴廉公寓,2室2厅, 87,60920,530,34,27
华高一村,3室1厅, 85.1,47004,400,34,8
紫翠苑,3室2厅, 95.73,47843,458,34,16
华高新苑,2室2厅, 103.51,50720,525,22,21
高行银杏苑,2室2厅, 72.55,51000,370,58,18
迎亭公寓,3室2厅, 93.29,52525,490,36,10
华高一村,2室1厅, 74.94,49774,373,21,6
幸福小镇(公寓),3室2厅, 117.83,54316,640,6,6
绿地崴廉公寓,2室2厅, 96.07,59853,575,13,11
新高苑(一至三期),1室1厅, 51,52942,270,45,6
华高一村,2室1厅, 70,50000,350,16,9
紫翠苑,2室2厅, 78.52,47122,370,83,10
绿地崴廉公寓,3室2厅, 134.68,60886,820,19,8
华高二村,2室1厅, 78.17,47333,370,24,3
东力新村,2室2厅, 84.32,45067,380,21,2
华高二村,2室1厅, 77.36,47183,365,8,1
幸福小镇(公寓),3室2厅, 137.96,47116,650,26,4
华高一村,2室1厅, 77.27,51767,400,9,2
绿地崴廉公寓,1室2厅, 63.66,62049,395,27,2
迎亭公寓,3室2厅, 89.81,50106,450,20,3
东力新村,1室1厅, 43.93,54633,240,50,4
华高二村,2室1厅, 75.79,47500,360,19,1
东源名都,3室2厅, 140.83,58937,830,12,2
宜嘉苑,2室2厅, 94.51,66660,630,11,5
高行馨苑,2室2厅, 99.01,52318,518,7,1
东源名都,2室2厅, 101.42,57188,580,16,3
宜嘉苑,2室2厅, 104.08,59090,615,6,2
幸福小镇(公寓),2室2厅, 97.71,56290,550,12,0
东力新村,3室1厅, 82.19,46235,380,1,0
华高二村,3室1厅, 87.75,47864,420,15,0
幸福小镇(公寓),2室2厅, 96.7,55843,540,12,0
华高一村,1室1厅, 50.93,49087,250,43,7
东源名都,3室2厅, 106.64,54389,580,83,38
东源名都,3室2厅, 109,60551,660,90,26
幸福小镇(公寓),2室2厅, 98.77,52648,520,33,46
绿地崴廉公寓,2室2厅, 97.35,59579,580,99,56
紫翠苑,2室2厅, 76.28,49817,380,28,24
幸福小镇(公寓),2室2厅, 77.09,54871,423,36,28
东源名都,2室1厅, 72.09,60342,435,38,13
幸福小镇(公寓),2室2厅, 89.76,51248,460,39,31
东源名都,1室1厅, 55.81,60921,340,60,27
迎亭公寓,2室1厅, 63.8,57994,370,3,0
幸福小镇(公寓),1室1厅, 54.53,56850,310,9,14
绿地崴廉公寓,4室2厅, 163.88,61021,1000,33,9
华高二村,2室1厅, 78.17,47077,368,43,25
绿地崴廉公寓,3室2厅, 112.92,60220,680,52,16
春江花悦园,2室2厅, 93.6,58761,550,62,21
新高苑(一至三期),2室2厅, 77.71,50187,390,45,16
东力新村,2室1厅, 70.14,48475,340,38,7
高行银杏苑,1室1厅, 52.4,51527,270,16,3
新高苑(一至三期),1室1厅, 53.7,51770,278,21,12
春江花悦园,3室2厅, 154,51949,800,0,4
绿地崴廉公寓,2室2厅, 90.14,57689,520,35,14
新高苑(一至三期),2室2厅, 85.95,50030,430,11,17
春江花悦园,3室2厅, 116.22,61522,715,14,11
绿地崴廉公寓,3室2厅, 122.93,59384,730,51,11
华高苑,2室2厅, 106.45,48850,520,35,14
新高苑(一至三期),3室2厅, 109.75,47928,526,23,13
迎亭公寓,2室1厅, 63.8,62383,398,53,16
高行馨苑,2室2厅, 99.01,50500,500,17,0
华高苑,3室2厅, 121.09,47899,580,28,9
绿地崴廉公寓,4室2厅, 151.03,56943,860,39,13
东源名都,2室2厅, 101.42,59160,600,5,6
幸福小镇(公寓),3室2厅, 124.02,52411,650,21,12
新高苑(一至三期),2室2厅, 85.95,47121,405,31,8
紫翠苑,3室2厅, 101.5,50247,510,30,6
华高一村,2室1厅, 80.95,45708,370,54,10
东力新村,2室1厅, 66.05,45421,300,106,6
紫翠苑,1室1厅, 53.45,54257,290,2,1
东源名都,4室2厅, 159.68,56363,900,75,5
华高新苑,6室2厅, 221.42,44260,980,11,4
东源名都,2室2厅, 111.12,60296,670,16,3
铂庭俱进家园,2室2厅, 87.68,57026,500,15,3
华高苑,2室2厅, 106.78,50104,535,20,5
幸福小镇(公寓),2室2厅, 90.59,56298,510,10,1
凯鑫苑,2室2厅, 109.24,62249,680,11,3
绿地崴廉公寓,4室2厅, 163.88,60411,990,14,7
高行家园,2室2厅, 81.91,53108,435,24,4
高行家园,2室2厅, 97.9,55159,540,21,5
幸福小镇(公寓),2室2厅, 101.36,49823,505,12,1
凯鑫苑,2室2厅, 97.58,63538,620,10,2
绿地崴廉公寓,2室2厅, 96.83,58867,570,20,4
东源名都,3室2厅, 138.57,61341,850,8,3
春江花悦园,3室2厅, 115.35,61379,708,47,5
紫翠苑,1室1厅, 56,51786,290,5,2
高行馨苑,3室2厅, 124.83,48066,600,21,8
绿地崴廉公寓,1室1厅, 64.47,60494,390,23,2
宜嘉苑,4室2厅, 90.29,69776,630,23,10
幸福小镇(别墅),4室3厅, 253,50593,1280,40,5
华高一村,2室2厅, 75.68,50212,380,52,1
高行馨苑,3室2厅, 116.59,49319,575,27,1
绿地崴廉公寓,2室2厅, 97.25,62725,610,15,4
华高二村,2室1厅, 78.64,45779,360,15,3
迎亭公寓,2室1厅, 64,57813,370,6,3
绿地崴廉公寓,1室1厅, 63.2,62975,398,6,1
绿地崴廉公寓,2室2厅, 99,60405,598,4,1
东源丽晶,独栋别墅, 4室,86847,1650,18,1
凯鑫苑,2室2厅, 97.58,65588,640,1,1
高行馨苑,3室2厅, 116.59,49747,580,13,2
幸福小镇(公寓),1室1厅, 54.52,60529,330,6,1
高行馨苑,1室1厅, 56.42,54059,305,20,1
幸福小镇(公寓),3室2厅, 124.02,52411,650,12,4
宜嘉苑,2室2厅, 93.84,57545,540,4,4
铂庭俱进家园,2室2厅, 89.94,62264,560,3,1
宜嘉苑,2室2厅, 93.42,59945,560,24,6
绿地崴廉公寓,3室2厅, 130.48,45985,600,120,4
华高二村,1室1厅, 41.84,59752,250,45,8
华高庭园,3室2厅, 122.16,49935,610,26,7
新高苑(一至三期),1室1厅, 53.7,51211,275,41,0
紫翠苑,3室2厅, 126.3,45923,580,4,0
东源名都,2室2厅, 103.87,60172,625,7,0
凯鑫苑,2室2厅, 110,61819,680,12,0
春江花悦园,2室2厅, 81.85,61088,500,12,0
东源名都,3室2厅, 122,65574,800,10,0
高行馨苑,3室2厅, 117.16,59748,700,1,0
华高新苑,5室3厅, 273.93,48188,1320,2,0
华高苑,3室2厅, 121.09,53680,650,4,0
绿地崴廉公寓,2室2厅, 98.02,61212,600,49,2
华高二村,3室1厅, 87.75,47294,415,14,1
紫翠苑,3室2厅, 126.22,47537,600,29,1
碧云左岸,独栋别墅, 6室,76395,2500,33,4
绿地崴廉公寓,2室2厅, 98.02,61212,600,49,2
绿地崴廉公寓,2室2厅, 93.49,60970,570,17,2
迎亭公寓,3室2厅, 107.06,47637,510,29,1
华高二村,2室1厅, 81.38,45466,370,78,4
华高苑,5室3厅, 199.07,39183,780,34,0
高行银杏苑,1室1厅, 55.03,51790,285,8,0
东源名都,1室1厅, 54.71,56663,310,18,32
幸福小镇(公寓),3室2厅, 128,52344,670,27,39
高行银杏苑,2室1厅, 71.55,48917,350,54,36
铂庭俱进家园,2室2厅, 90.51,59662,540,2,0
金高路220弄,2室1厅, 73.33,45003,330,4,0
绿地崴廉公寓,2室2厅, 96.26,62228,599,0,0
东源名都,2室2厅, 83.05,59001,490,61,21
绿地崴廉公寓,3室2厅, 114.45,56794,650,78,79
幸福小镇(公寓),3室3厅, 89.76,66845,600,2,0
华高二村,2室1厅, 78.06,46119,360,3,1
宜嘉苑,2室2厅, 104.08,56688,590,1,0
绿地崴廉公寓,2室2厅, 100.29,58830,590,12,19
铂庭俱进家园,2室2厅, 88.46,59915,530,2,0
新高苑(一至三期),2室2厅, 83.38,49173,410,6,5
幸福小镇(公寓),3室2厅, 118,52543,620,22,21
东源名都,2室1厅, 75.96,57267,435,61,23
幸福小镇(公寓),2室2厅, 77.35,58695,454,51,30
东源名都,1室1厅, 55.81,59130,330,0,0
东源名都,2室2厅, 83,59037,490,3,0
紫翠苑,2室2厅, 77.34,50427,390,0,0
幸福小镇(公寓),4室2厅, 157.93,50656,800,27,14
华高庭园,2室2厅, 96.41,52900,510,2,8
华高一村,2室2厅, 80.01,47495,380,12,11
春江花悦园,3室2厅, 116.62,60025,700,9,7
华高苑,2室2厅, 95,51579,490,27,18
绿地崴廉公寓,1室1厅, 63.38,61534,390,27,20
紫翠苑,2室2厅, 83,48193,400,87,18
幸福小镇(公寓),3室2厅, 137.96,62337,860,19,14
华高一村,2室1厅, 74.94,48706,365,69,18
幸福小镇(公寓),2室1厅, 86,59303,510,6,1
紫翠苑,2室2厅, 83,49398,410,5,1
新高苑(一至三期),2室2厅, 90.36,49801,450,29,15
华高二村,2室2厅, 82.99,45789,380,16,13
紫翠苑,2室2厅, 83.77,47153,395,11,8
高行街西弄,3室1厅, 102,41177,420,23,5
宜嘉苑,2室2厅, 104.14,56655,590,4,2
华高苑,2室2厅, 106.51,47414,505,45,16
华高一村,2室1厅, 72.53,51703,375,6,14
新高苑(一至三期),3室2厅, 117.36,47717,560,2,11
华高苑,2室2厅, 94.77,51705,490,29,10
东源名都,2室2厅, 103.8,53950,560,3,0
铂庭俱进家园,2室2厅, 90.24,59841,540,0,0
东源名都,1室1厅, 54.71,55749,305,21,20
东源名都,2室2厅, 83.05,61409,510,58,11
华高一村,2室1厅, 66.46,51159,340,13,7
高行馨苑,3室2厅, 116.59,48890,570,5,8
华高一村,3室1厅, 87.75,47864,420,31,7
新高苑(一至三期),3室2厅, 120.99,46120,558,21,6
新高苑(一至三期),2室1厅, 86,50000,430,13,7
华高一村,1室1厅, 45.34,56242,255,29,15
绿地崴廉公寓,3室2厅, 144.9,57972,840,2,2
铂庭俱进家园,2室2厅, 88,56819,500,10,2
绿地崴廉公寓,2室2厅, 88,59660,525,4,4
汇园,2室2厅, 96.3,62306,600,13,4
新高苑(一至三期),2室2厅, 96.84,49567,480,9,3
幸福小镇(公寓),2室2厅, 96.79,52899,512,29,1
幸福小镇(公寓),3室3厅, 97.36,66763,650,25,7
铂庭俱进家园,2室2厅, 88,59091,520,11,7
东源名都,2室2厅, 103.87,55840,580,39,1
迎亭公寓,2室2厅, 89.7,51283,460,0,1
紫翠苑,1室1厅, 55.48,52272,290,4,2
幸福小镇(公寓),2室2厅, 96.79,53208,515,10,3
华高一村,2室1厅, 80.95,47561,385,10,6
幸福小镇(公寓),3室2厅, 137.9,46411,640,21,6
华高苑,2室2厅, 106.51,51639,550,1,1
紫翠苑,3室2厅, 126,47620,600,2,2
华高二村,2室2厅, 83.8,52506,440,5,1
绿地崴廉公寓,2室2厅, 96.83,57834,560,1,3
新高苑(一至三期),1室1厅, 50.55,51830,262,9,5
新高苑(一至三期),2室1厅, 63.76,49405,315,17,5
华高苑,4室2厅, 197.97,39400,780,83,3
华高二村,2室1厅, 72.02,49987,360,12,5
高行银杏苑,1室1厅, 55.03,50882,280,10,4
华高新苑,3室2厅, 147,48300,710,4,2
华高新苑,5室3厅, 219.88,48663,1070,5,2
华高新苑,2室2厅, 105,53334,560,1,1
新高苑(一至三期),3室2厅, 125.73,44540,560,15,2
幸福小镇(公寓),1室1厅, 58.85,57775,340,36,6
华高二村,2室1厅, 70.75,49470,350,6,4
高行家园,2室2厅, 79,55064,435,20,7
华高一村,1室1厅, 47.08,53102,250,83,10
绿地崴廉公寓,4室2厅, 242,53720,1300,30,5
高行家园,3室2厅, 98.15,61131,600,6,0
幸福小镇(公寓),2室2厅, 86,58140,500,15,2
铂庭俱进家园,2室2厅, 90.51,61320,555,8,2
铂庭俱进家园,3室2厅, 106.6,65667,700,3,3
春江花悦园,3室2厅, 129.27,57245,740,18,1
高行馨苑,1室1厅, 56.42,53173,300,11,2
华高二村,2室1厅, 75.79,45521,345,11,1
华高苑,2室1厅, 94.77,52654,499,1,1
东源名都,2室2厅, 111.3,53010,590,2,1
绿地崴廉公寓,2室2厅, 98.29,57789,568,10,3
东源名都,3室2厅, 143,58742,840,12,2
华高苑,3室2厅, 123.17,51149,630,1,3
金高路220弄,2室1厅, 73,49316,360,0,1
新高苑(一至三期),2室2厅, 90.36,49801,450,4,2
绿地崴廉公寓,2室2厅, 90.63,59032,535,8,1
新高苑(一至三期),3室2厅, 125.7,45347,570,14,2
高行家园,2室2厅, 81.91,59212,485,10,4
宜嘉苑,4室3厅, 94.5,66667,630,53,7
高行馨苑,3室2厅, 116.84,55632,650,11,2
新高苑(一至三期),1室1厅, 50.55,51435,260,40,4
高行馨苑,3室2厅, 125,45200,565,12,5
高行家园,3室2厅, 97.51,53841,525,31,5
紫翠苑,3室2厅, 126.22,45160,570,37,2
华高一村,2室1厅, 77.27,46590,360,23,4
华高二村,2室2厅, 78.17,49252,385,0,0
华高新苑,5室3厅, 202.2,42038,850,40,3
高行馨苑,3室2厅, 116.84,49641,580,2,0
东源名都,2室2厅, 113.36,59104,670,5,0
绿地崴廉公寓,2室2厅, 94,60639,570,4,0
春江花悦园,2室2厅, 77.34,63357,490,0,0
幸福小镇(公寓),2室2厅, 98,54082,530,11,0
幸福小镇(公寓),2室2厅, 77.66,57945,450,3,0
华高二村,2室2厅, 72.61,50958,370,0,0
幸福小镇(公寓),3室2厅, 132.19,52955,700,2,0
幸福小镇(公寓),2室2厅, 98.72,53688,530,8,2
华高苑,4室2厅, 195.73,40873,800,14,2
华高新苑,4室3厅, 248.32,48325,1200,4,3
华高二村,2室2厅, 85.76,51306,440,20,1
东源丽晶,独栋别墅, 4室,84279,2200,1,3
幸福小镇(公寓),1室1厅, 53.3,59100,315,4,0
华高苑,4室2厅, 196.23,45865,900,6,0
碧云左岸,联排别墅, 3室,67726,1450,20,0
高行银杏苑,1室1厅, 51.06,53859,275,5,4
新高苑(一至三期),2室2厅, 83.38,49173,410,45,72
幸福小镇(公寓),3室2厅, 135.09,50337,680,30,4
华高一村,2室2厅, 77.27,50473,390,0,0
高行馨苑,3室2厅, 116.84,56916,665,0,0
华高一村,2室1厅, 74.75,48161,360,2,2
华高庭园,2室2厅, 90.22,54312,490,3,0
华高一村,2室1厅, 77.8,46273,360,36,38
高行银杏苑,2室1厅, 71.81,50829,365,3,0
东源丽晶,独栋别墅, 4室,78334,2350,21,11
华高一村,2室2厅, 92.72,44220,410,23,14
新高苑(一至三期),2室2厅, 83.38,49989,416.8,25,17
幸福小镇(公寓),2室2厅, 85.64,56049,480,46,14
高行银杏苑,3室2厅, 95.59,52203,499,20,15
幸福小镇(公寓),1室1厅, 58.85,57775,340,0,0
东源名都,1室1厅, 54.52,55943,305,5,2
华高二村,2室1厅, 75.79,49479,375,24,1
东力新村,2室1厅, 63.53,51944,330,34,6
新高苑(一至三期),3室2厅, 120.88,47982,580,20,9
高行银杏苑,3室2厅, 95.59,53353,510,19,3
华高二村,1室1厅, 54.08,51776,280,27,4
华高一村,1室1厅, 57.74,48494,280,1,6
高行银杏苑,2室1厅, 71.95,51147,368,10,4
华高苑,3室2厅, 121,53306,645,1,2
宜嘉苑,3室2厅, 102.5,60488,620,7,1
新高苑(一至三期),6室3厅, 199.6,45091,900,45,2
高行馨苑,3室2厅, 116.84,53065,620,35,0
幸福小镇(公寓),2室2厅, 75.46,57647,435,22,0
绿地崴廉公寓,2室2厅, 87.4,61785,540,2,1
东源名都,2室2厅, 83.05,57797,480,8,1
幸福小镇(公寓),3室2厅, 117.84,52190,615,5,2
新高苑(一至三期),1室1厅, 49.64,50363,250,3,2
绿地崴廉公寓,3室2厅, 215.91,46316,1000,0,0
东源名都,2室2厅, 102,58824,600,4,0
幸福小镇(公寓),1室1厅, 54.52,64197,350,2,0
春江花悦园,2室2厅, 93.49,62039,580,1,0
东源名都,1室1厅, 55.81,55546,310,0,0
华高二村,1室1厅, 43.14,60269,260,2,0
华高一村,2室2厅, 80.95,46325,375,0,0
幸福小镇(公寓),1室1厅, 54.44,64291,350,1,0
华高一村,2室2厅, 80.95,46943,380,0,0
东力新村,2室2厅, 73.01,44926,328,3,0
新高苑(一至三期),3室2厅, 119.18,46988,560,0,0
迎亭公寓,3室2厅, 93.29,46629,435,7,2
高行银杏苑,1室1厅, 55.03,50882,280,7,0
迎亭公寓,2室2厅, 88.36,50929,450,0,0
东力新村,2室1厅, 63,47302,298,2,3
东力新村,2室1厅, 63,47302,298,2,3
新高苑(一至三期),2室2厅, 89.51,49939,447,1,1
东源丽晶,独栋别墅, 4室,81733,2400,1,0
华高苑,2室2厅, 106.51,49761,530,5,0
