CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
东方花园二期,3室2厅, 101.11,75166,760,69,102
华宝花园,3室2厅, 99.93,54539,545,31,60
万科城花新园,3室2厅, 129.73,62284,808,66,33
广海花园,4室2厅, 118.64,45516,540,45,32
东方花园三期,4室2厅, 158.89,51609,820,129,43
万科城市花园,1室1厅, 51,52942,270,168,30
万科城市花园,2室2厅, 72.71,51575,375,149,70
东方花园三期,3室2厅, 132.05,70807,935,29,46
东方花园(一期),3室2厅, 92.46,64353,595,42,29
黎明花园,1室1厅, 41.3,52059,215,43,39
万科城花新园,3室2厅, 87.18,69397,605,86,26
水清年华花园,1室1厅, 59.51,61839,368,22,20
万科城市花园,2室2厅, 65,55385,360,94,27
水清年华花园,2室2厅, 73.38,59962,440,76,32
华莘花园,2室2厅, 79.98,50013,400,16,16
蒲汇新村,2室1厅, 65.56,63759,418,38,23
万科朗润园,2室2厅, 91.86,67495,620,62,23
宝仪花苑,2室1厅, 77.64,61824,480,5,7
皇都花园(公寓),5室2厅, 219,68494,1500,16,17
白雪公主,3室2厅, 116.22,58510,680,14,13
万兆家园,2室2厅, 82.13,61488,505,6,4
碧林湾(公寓),2室1厅, 80,67250,538,6,5
黎明花园,2室1厅, 52.64,45593,240,86,12
皇都花园(公寓),3室2厅, 143.53,68627,985,42,19
万泰花园,2室1厅, 65.76,53985,355,10,12
汇宝公寓,2室2厅, 89,53933,480,202,16
万科城市花园,3室2厅, 104.28,46510,485,73,17
黎明花园,2室1厅, 64.36,48944,315,48,19
万科城市花园,2室2厅, 72.26,56048,405,48,17
黎明花园,2室1厅, 52.64,45593,240,86,12
秀枫翠谷,3室2厅, 95,61579,585,24,11
黎明花园,2室1厅, 60.5,50414,305,8,5
茂盛花苑,3室1厅, 68.89,43548,300,2,5
嘉景苑(公寓),4室2厅, 168.57,71188,1200,10,7
蓼花汀花园(公寓),3室1厅, 118,67797,800,7,4
白雪公主,2室2厅, 95.32,58225,555,63,20
万科城市花园,2室2厅, 70.39,51854,365,73,50
万兆家园,2室2厅, 76.03,52611,400,37,6
富丽公寓(西区),2室2厅, 86.51,52018,450,16,2
园艺新村,2室1厅, 62.22,54645,340,39,10
白雪公主,2室2厅, 96.1,57233,550,59,15
万科城市花园,2室2厅, 89.33,50376,450,32,10
白雪公主,3室2厅, 117,62394,730,26,15
万科城市花园,2室2厅, 72.71,51575,375,130,15
广海花园,2室1厅, 60.95,57425,350,13,12
宝仪花苑,3室1厅, 79.15,62540,495,50,11
金美苑,2室1厅, 72.02,40267,290,31,10
广海花园,2室1厅, 60.95,55784,340,16,8
三佳花苑,2室2厅, 71.25,72983,520,16,10
万科城市花园,4室2厅, 101.16,45967,465,272,49
东方花园二期,3室2厅, 133.07,72143,960,14,4
牡丹公寓,3室1厅, 86.44,49168,425,19,7
皇都花园(公寓),5室2厅, 219.2,72081,1580,16,8
东方花园(一期),2室2厅, 77.49,59105,458,5,4
万兆家园,3室2厅, 93.52,56459,528,35,15
广海花园,3室2厅, 105,57143,600,21,8
碧林湾(公寓),4室2厅, 128.18,81917,1050,26,10
园艺新村,2室2厅, 74.64,53591,400,23,6
