CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金丰小区,3室2厅, 73.89,43985,325,27,14
金色西郊城,2室2厅, 112.32,38284,430,30,6
紫薇新村,2室1厅, 66.13,42341,280,56,16
美邻苑,3室1厅, 94.8,44304,420,26,14
诸新三村,2室1厅, 64.44,41124,265,38,9
金丰小区,2室1厅, 66.4,41416,275,25,6
金色西郊城,3室2厅, 122.63,41997,515,46,9
九方家园,3室2厅, 120.59,43951,530,24,6
西郊河畔家园,4室2厅, 91,49451,450,42,7
爱博三村,3室2厅, 120.71,50121,605,42,10
上海香港花园,2室1厅, 68.89,44274,305,28,8
华漕新村,2室1厅, 65.21,39565,258,20,3
美邻苑,2室2厅, 86.26,49270,425,4,4
紫薇新村,2室1厅, 59.97,46691,280,11,8
诸新一村,独栋别墅, 6室,39670,1000,10,2
紫堤苑,3室2厅, 106.52,44124,470,3,0
虹桥晶邸,1室1厅, 50.22,44405,223,79,2
爱博二村,2室2厅, 82.68,48380,400,40,1
华漕新村,2室1厅, 79.71,37888,302,48,3
金丰小区,3室1厅, 75.97,40543,308,42,4
紫堤苑,3室2厅, 98.65,45616,450,16,3
九方家园,1室1厅, 53.24,49775,265,3,1
美邻苑,2室1厅, 71.38,46232,330,10,2
金丰小区,3室1厅, 75.97,41464,315,15,2
华漕新村,3室1厅, 87.43,35229,308,20,1
虹桥晶邸,2室1厅, 93.52,34325,321,82,2
紫薇新村,1室1厅, 49.35,48633,240,0,1
华漕新村,3室1厅, 86.85,37997,330,9,0
西郊河畔家园,3室2厅, 115.44,47644,550,12,0
华漕新村,3室1厅, 86.85,37997,330,9,0
西郊河畔家园,3室2厅, 115.44,47644,550,12,0
九方家园,3室2厅, 120.37,43201,520,14,0
紫堤坊,2室2厅, 86.55,42750,370,2,0
西郊九韵城,2室2厅, 74.12,47221,350,1,0
虹桥晶邸,1室1厅, 50.22,40821,205,164,20
西郊九韵城,1室1厅, 56.7,45856,260,22,3
金色西郊城,3室2厅, 128.34,42466,545,7,1
金色西郊城,3室2厅, 109.85,41421,455,45,30
金丰小区,1室1厅, 48.75,44103,215,6,2
金丰小区,1室1厅, 49.33,43179,213,3,1
西郊庄园,独栋别墅, 5室,106171,3300,61,61
金色西郊城,2室2厅, 96.17,41594,400,34,34
富力虹桥十号,3室2厅, 96.71,72382,700,78,59
西郊庄园,独栋别墅, 6室,89230,4800,25,46
西郊九韵城,2室1厅, 72.05,47884,345,20,16
爱博二村,2室2厅, 80.7,53284,430,22,27
西郊河畔家园,3室2厅, 117.9,44954,530,25,15
西郊景平苑,1室1厅, 52.89,49159,260,13,11
恒基旭辉中心(公寓),3室2厅, 92,70109,645,23,22
富力虹桥十号,3室2厅, 96.45,70503,680,25,15
金色西郊城,2室2厅, 93.12,40808,380,40,15
西郊庄园马德里洋房,1室2厅, 90,75556,680,3,5
凯德林茵湖畔(别墅),联排别墅, 4室,64234,1700,17,14
万博欣园,2室2厅, 95.38,44035,420,8,14
紫堤苑,3室2厅, 102.24,41080,420,27,8
美邻苑,2室1厅, 76.02,47356,360,6,11
万博欣园,2室2厅, 90.33,45943,415,4,14
万博家园,2室2厅, 88.06,43153,380,27,8
爱博一村,1室1厅, 60.61,54777,332,3,0
爱博五村,3室1厅, 82.24,49611,408,10,7
金色西郊城,3室2厅, 120.64,41280,498,6,7
万博欣园,2室2厅, 95.38,44035,420,10,17
九方家园,2室2厅, 82.78,45905,380,16,8
爱博四村,2室2厅, 85,45883,390,10,4
金球怡云花园,联排别墅, 5室,61409,2500,4,1
紫薇新村,2室1厅, 66,46970,310,96,15
西郊庄园,独栋别墅, 7室,146603,8600,37,11
万博家园,2室2厅, 90.88,44565,405,0,5
金色西郊城,3室2厅, 132.02,39994,528,19,5
上海香港花园,2室1厅, 68.89,45000,310,17,3
金色西郊城,2室2厅, 95.78,39675,380,15,4
华漕新村,2室2厅, 66.63,39022,260,80,3
万科时一区,2室2厅, 78,80770,630,16,4
金色西郊城,3室2厅, 127.41,42383,540,3,2
爱博四村,1室1厅, 59.95,50042,300,11,10
诸新一村,独栋别墅, 6室,23071,1500,39,5
瑞生花园,独栋别墅, 4室,58643,2000,44,10
诸新三村,2室1厅, 59.98,43348,260,27,2
诸新三村,2室1厅, 61.99,42749,265,1,2
金丰小区,1室1厅, 49.25,44264,218,6,3
万科时一区,2室2厅, 78.14,79985,625,15,2
西郊九韵城,3室2厅, 93.36,46059,430,34,2
紫薇新村,2室1厅, 76.45,39896,305,20,2
紫薇新村,2室1厅, 66.7,41980,280,1,1
金色西郊城,3室2厅, 128.17,42912,550,2,3
爱博四村,1室1厅, 57.9,48360,280,90,4
金色西郊城,2室2厅, 104,40866,425,12,5
西郊九韵城,2室2厅, 69.38,48285,335,21,5
