CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
古美七村,2室1厅, 76.76,59276,455,44,40
古美小区,2室1厅, 52.89,57667,305,45,53
新梅公寓,3室2厅, 119.92,48783,585,74,36
万源城朗郡,3室2厅, 151.4,85866,1300,50,29
东兰小区,2室1厅, 66.1,51438,340,61,30
万源城逸郡,2室2厅, 100.36,84696,850,18,13
平阳三街坊,2室2厅, 70.2,68377,480,49,36
南方城,2室2厅, 108.94,73435,800,28,31
虹莘新村,2室1厅, 74.3,50472,375,39,20
平吉二村,1室1厅, 51,49608,253,55,23
金汇豪庭,4室2厅, 217,66821,1450,35,25
蔚蓝城市花园,3室2厅, 124.43,69116,860,31,42
南方城,2室1厅, 73.38,76997,565,34,23
新梅广场,3室2厅, 124.87,52055,650,52,20
海上新村,2室1厅, 76.14,56213,428,19,11
中友嘉园,1室1厅, 56.69,71442,405,92,22
古美十村,2室2厅, 83.51,56880,475,50,30
阳光美景城,2室2厅, 96.74,70292,680,67,33
平吉一村,2室1厅, 69.23,51568,357,31,38
平南一二村,2室1厅, 70.5,59291,418,28,61
鸿发家园,3室2厅, 106.53,57261,610,93,35
蓝色港湾(公寓),2室2厅, 86.38,61357,530,61,25
华一新城,2室1厅, 80,74375,595,13,21
新梅花苑,2室1厅, 58.87,55207,325,38,24
阳光美景城,3室2厅, 134.81,66019,890,38,31
平南一二村,1室1厅, 45.94,66391,305,11,30
南方新村,2室1厅, 58.39,63368,370,16,28
新梅公寓,2室2厅, 108.53,56022,608,22,20
东方御花园,3室2厅, 131.31,55213,725,68,27
东方御花园,3室2厅, 131.31,55213,725,68,27
东兰雅苑,3室2厅, 110.04,61796,680,55,26
阳光美景城,3室2厅, 120.22,66545,800,37,25
康健丽都,2室2厅, 91.89,70737,650,36,20
古美西路420弄,2室1厅, 72.94,56211,410,21,26
海上新村,1室1厅, 43.26,60102,260,12,10
古美十村,2室2厅, 71.55,56604,405,55,11
新时代花园,2室2厅, 83.25,66067,550,83,18
古美小区,2室1厅, 51.03,57810,295,46,17
东苑半岛花园(公寓),3室2厅, 112.6,66608,750,37,23
平阳新村四街坊,2室1厅, 60.32,53051,320,38,17
中友嘉园,3室2厅, 84.41,81744,690,114,24
东苑怡景园,3室2厅, 96.59,57978,560,312,24
康健丽都,2室2厅, 94.44,69886,660,17,11
新时代花园,3室2厅, 116.79,62506,730,107,19
平阳一村,3室1厅, 88.59,46281,410,69,16
同济融创玫瑰公馆,2室2厅, 92,70653,650,52,16
南方城,2室2厅, 108.94,71600,780,19,12
古美西路420弄,2室1厅, 74.03,56734,420,70,19
南方新村,1室1厅, 47.43,65360,310,60,14
东苑绿世界花园(二期),2室2厅, 116.22,59801,695,45,16
古美西路420弄,2室1厅, 72.92,57598,420,24,19
中友嘉园,1室1厅, 62.07,69277,430,23,19
古美小区,2室1厅, 67.75,55351,375,44,22
东苑古龙城(公寓),3室2厅, 145.19,67498,980,20,21
新园大楼,2室2厅, 88.75,52958,470,19,16
南方城,2室1厅, 96.85,82602,800,18,7
平南一二村,2室1厅, 61.43,56976,350,14,5
古美七村,2室1厅, 67.47,54099,365,25,9
古美公寓,2室1厅, 100.98,61201,618,12,8
古美一村,2室1厅, 59.98,51518,309,54,11
新梅花苑,1室1厅, 46.55,51558,240,17,10
平阳三村,2室1厅, 66.38,51221,340,26,11
新梅广场,3室2厅, 138.51,48011,665,31,10
新时代景庭,4室3厅, 249.03,80232,1998,9,12
蓝色港湾(公寓),2室2厅, 95,62632,595,17,11
华梅花苑,1室1厅, 55.41,59557,330,6,13
古美西路420弄,2室1厅, 75.44,56999,430,20,13
平阳绿家园,2室2厅, 86.87,65040,565,7,10
新梅公寓,2室2厅, 92.17,57503,530,4,11
古美公寓,2室1厅, 100.98,61201,618,12,8
东苑半岛花园(公寓),3室2厅, 117.38,72415,850,28,11
望族新城,3室2厅, 136.1,77150,1050,10,17
欧风花都,3室2厅, 122.02,63924,780,65,16
金汇豪庭,4室2厅, 238,69328,1650,18,14
东兰世茗雅苑,2室2厅, 96.07,63704,612,14,12
新时代花园,3室3厅, 138.41,56355,780,60,9
海上新村,2室1厅, 61.81,53066,328,40,13
古美西路420弄,2室1厅, 71.44,54592,390,13,14
蓝色港湾(公寓),2室2厅, 99.81,58111,580,21,10
新时代富嘉花园,2室2厅, 107.54,73276,788,21,12
海上新村,2室1厅, 64.84,47810,310,62,17
莘光苑,2室1厅, 75.86,50752,385,31,14
欧风花都,3室2厅, 123.04,66483,818,1,2
新园大楼,1室2厅, 69.29,57729,400,5,8
蓝色港湾(公寓),2室2厅, 94.28,62792,592,4,8
平阳三村,2室1厅, 65.87,48581,320,29,10
海上新村,1室1厅, 44.39,59699,265,27,7
古美西路420弄,2室1厅, 74.03,56059,415,0,10
蓝色港湾(公寓),2室2厅, 118.89,60561,720,24,10
康健丽都,3室2厅, 138.28,70871,980,15,6
华一新城,3室2厅, 92.11,64054,590,36,9
平阳三村,2室1厅, 65.87,48581,320,29,10
古美西路316弄,1室1厅, 54.5,54129,295,9,7
平阳绿家园,2室1厅, 91,62638,570,4,7
古美西路420弄,2室1厅, 74.03,56059,415,0,10
蓝色港湾(公寓),2室2厅, 118.89,60561,720,24,10
古美西路420弄,3室1厅, 88.4,56562,500,8,14
平阳三村,2室1厅, 65.87,48581,320,53,13
海上新村,1室1厅, 44.39,59699,265,27,7
古美小区,2室2厅, 70.73,53726,380,107,9
蓝色港湾(公寓),3室2厅, 136.1,59516,810,44,8
平阳新村四街坊,2室1厅, 76.71,55404,425,26,11
蓝色港湾(公寓),4室2厅, 169.39,43982,745,60,8
祜欣公寓,3室2厅, 132.59,69387,920,12,8
古美西路420弄,2室1厅, 52.66,59818,315,20,5
新时代富嘉花园,3室2厅, 158.7,72464,1150,12,8
东兰兴城(东兰新村),2室2厅, 91.64,54562,500,16,7
古美小区,2室1厅, 64.94,60056,390,6,6
平吉一村,2室1厅, 76.85,46845,360,41,2
新时代花园,3室2厅, 121.18,57766,700,71,2
海上新村,1室1厅, 44.39,59699,265,5,1
古美西路420弄,3室1厅, 88.4,56562,500,22,3
古美四村,2室1厅, 73.17,53301,390,6,3
东苑佳佳花园,2室1厅, 76.83,55317,425,35,7
新梅花苑,2室1厅, 61.4,52118,320,58,4
新园大楼,2室1厅, 88.75,48451,430,10,3
南方新村,3室1厅, 91.27,52592,480,70,5
古美小区,2室1厅, 58.4,56850,332,14,4
东兰世茗雅苑,3室2厅, 131.87,63700,840,16,3
东苑佳佳花园,2室1厅, 76.83,55317,425,35,7
新梅花苑,2室1厅, 61.4,52118,320,58,4
新园大楼,2室1厅, 88.75,48451,430,10,3
南方新村,3室1厅, 91.27,52592,480,70,5
南方新村,3室1厅, 92.7,53399,495,35,5
南方新村,1室1厅, 49.53,64608,320,7,4
古美八村,3室1厅, 76.2,54462,415,17,5
东兰兴城(惠兰苑),2室1厅, 91.15,66923,610,5,5
古美三村,1室1厅, 54.01,55546,300,15,3
古美八村,2室1厅, 62.33,59362,370,0,3
欧风花都,4室2厅, 138.56,61923,858,36,5
万源城E1,3室2厅, 128.49,73936,950,63,7
古美小区,1室1厅, 35.2,66762,235,7,2
平阳绿家园,2室2厅, 92.17,58588,540,30,6
古美一村,2室1厅, 58.41,54786,320,59,3
鸿发家园,2室2厅, 110.03,59984,660,6,1
平阳三街坊,3室1厅, 87.65,58186,510,20,4
平吉二村,2室1厅, 72.23,47072,340,30,3
东兰世茗雅苑,2室2厅, 92.88,66215,615,13,5
古美小区,2室1厅, 63.87,57148,365,6,6
康健丽都,2室2厅, 97.76,73650,720,14,2
东苑绿世界花园(一期),3室2厅, 124.9,58447,730,38,6
莲花公寓(闵行),5室2厅, 186.67,53571,1000,7,5
古美三村,2室1厅, 62.7,56619,355,11,7
平阳三村,2室1厅, 66.38,56493,375,4,6
平阳苑,2室2厅, 90.31,74743,675,7,4
古美小区,3室1厅, 82.54,56337,465,10,8
古龙苑,3室2厅, 132.6,48040,637,65,7
蓝色港湾(公寓),3室2厅, 149.82,58070,870,30,1
平阳三街坊,2室1厅, 75.4,63661,480,26,1
江南星城,2室2厅, 93.72,70423,660,19,3
古美西路420弄,2室1厅, 77.43,58118,450,37,1
莲浦花苑,3室2厅, 130,58924,766,9,2
古美小区,1室1厅, 46.13,60265,278,3,1
新时代花园,3室2厅, 129.6,65587,850,4,2
平吉二村,2室2厅, 85.85,57077,490,3,1
平南一二村,2室1厅, 68.93,56580,390,20,3
鸿发家园,2室2厅, 85.43,64147,548,16,3
春江锦庐,2室2厅, 98.01,59688,585,12,4
蓝色港湾(公寓),3室2厅, 149.82,58070,870,30,1
平阳三街坊,2室1厅, 75.4,63661,480,26,1
古美小区,2室1厅, 57.66,57753,333,43,2
虹莘新村,1室1厅, 55.7,50270,280,62,4
莲浦花苑,4室2厅, 146.22,54713,800,6,1
新梅公寓,3室2厅, 131.4,52512,690,64,2
新时代景庭,3室2厅, 125,75200,940,12,5
春意苑,2室2厅, 103.91,64961,675,2,3
东苑绿世界花园(一期),3室2厅, 125.19,55117,690,32,4
东兰兴城(东兰新村),2室1厅, 74.77,57510,430,12,4
古美八村,1室1厅, 44.82,54664,245,11,10
新梅花苑,1室1厅, 42.21,53305,225,0,6
新梅公寓,2室2厅, 110.66,54221,600,18,0
虹莘家园,3室2厅, 95.5,58639,560,10,0
望族新城,2室2厅, 106.84,72071,770,3,0
平阳一村,2室2厅, 69.01,54340,375,12,0
华梅花苑,3室2厅, 151.83,60924,925,0,0
莲浦花苑,4室3厅, 164.55,48618,800,16,0
古美一村,2室1厅, 58.41,57354,335,4,0
古美三村,2室1厅, 73.76,51519,380,8,0
景和茗苑,2室2厅, 101.47,67015,680,5,0
东苑佳佳花园,2室2厅, 76.86,50092,385,12,0
华梅花苑,3室2厅, 151.83,60924,925,0,0
平阳一村,2室2厅, 69.01,54340,375,12,0
古美西路316弄,1室1厅, 54.52,58695,320,1,0
万源城尚郡,3室2厅, 89.08,85317,760,32,29
南方城,1室1厅, 57.92,81147,470,29,47
望族新苑,2室2厅, 90.25,58505,528,67,38
欧风花都,2室2厅, 111.34,64667,720,41,49
新时代富嘉花园,2室2厅, 99.66,78267,780,23,35
海上新村,1室1厅, 44.39,59473,264,6,0
平南一二村,2室1厅, 65.13,66022,430,0,0
古美一村,1室1厅, 49.96,59048,295,4,0
平阳新村四街坊,1室1厅, 52.57,51361,270,49,29
古美三村,1室1厅, 53.69,53083,285,31,30
南方新村,2室1厅, 75.12,57908,435,45,56
平南三四村,2室1厅, 68.28,57118,390,19,29
南方新村,2室1厅, 83.61,58486,489,13,31
虹莘新村,2室2厅, 74.89,50608,379,14,22
古美西路420弄,2室1厅, 74.03,54708,405,44,54
平阳三街坊,2室1厅, 75.03,62109,466,27,25
半岛豪门(公寓),4室2厅, 170.34,57532,980,48,20
平阳绿家园,3室2厅, 114.76,59952,688,22,34
同济融创玫瑰公馆,2室1厅, 64.07,63213,405,50,19
古美小区,1室1厅, 34.56,59318,205,27,24
蔚蓝城市花园,3室2厅, 115.25,67246,775,73,52
万源城尚郡,3室2厅, 90.47,85333,772,22,41
新时代景庭,3室2厅, 123.45,71284,880,86,56
春江锦庐,2室2厅, 89.5,59777,535,83,26
古美十村,2室2厅, 88.91,56237,500,9,1
江南星城,2室2厅, 85.82,67584,580,46,45
江南星城,2室2厅, 85.82,67584,580,46,45
平南三四村,2室1厅, 61.62,59884,369,32,19
金汇豪庭,4室2厅, 238.51,67084,1600,21,25
平阳绿家园,2室2厅, 95.05,60495,575,12,22
华一新城,3室2厅, 114.17,59561,680,45,24
新梅花苑,2室1厅, 58.87,50960,300,12,17
东兰世茗雅苑,3室2厅, 109.51,65291,715,38,26
金汇豪庭,4室2厅, 217.36,71771,1560,22,26
东苑绿世界花园(二期),2室2厅, 111.32,55696,620,63,32
虹莘新村,2室1厅, 77.53,49014,380,58,31
万源城尚郡,3室2厅, 87.79,84862,745,57,56
晶杰苑,3室2厅, 120.06,70798,850,48,30
新梅花苑,2室1厅, 54,56482,305,64,26
蓝色港湾(公寓),2室2厅, 94.28,60989,575,125,57
古美三村,2室1厅, 73.76,55586,410,29,41
古美八村,2室1厅, 57.41,57133,328,29,27
东苑古龙城(公寓),2室2厅, 77.32,70487,545,89,28
江南星城,3室2厅, 115.86,67323,780,38,24
新梅花苑,1室2厅, 61.49,48464,298,40,25
古美三村,3室1厅, 80.4,56593,455,53,39
南方新村,2室1厅, 61.18,60478,370,58,36
古美小区,1室1厅, 35.2,61080,215,26,34
古美西路420弄,2室2厅, 68.7,56769,390,14,22
阳光美景城,3室2厅, 139.62,60880,850,53,18
古美小区,2室1厅, 59.4,57240,340,40,53
平吉一村,2室1厅, 70.57,51722,365,25,24
莲花公寓(闵行),2室2厅, 82.13,62097,510,72,22
莲花公寓(闵行),2室2厅, 86.74,59950,520,23,35
莲花公寓(闵行),2室1厅, 79.88,63220,505,26,23
蓝色港湾(公寓),3室2厅, 110.86,63053,699,42,25
新时代富嘉花园,4室2厅, 163.89,79322,1300,37,26
新梅花苑,2室1厅, 58.87,50960,300,28,40
平阳绿家园,2室2厅, 91.27,63548,580,14,21
莲花公寓(闵行),3室2厅, 174.05,41942,730,54,24
虹莘新村,3室1厅, 89,55057,490,53,10
龙祥嘉园(公寓),2室2厅, 100.81,71422,720,32,15
阳光美景城,2室2厅, 92.05,68442,630,31,17
阳光乾城苑(公寓),3室2厅, 137.58,65417,900,33,14
古美西路420弄,2室1厅, 74.03,54708,405,4,20
鸿发家园,4室3厅, 187.86,57490,1080,16,21
古美小区,1室1厅, 46.33,55040,255,15,22
南方新村,2室1厅, 55.71,68211,380,12,42
新时代花园,2室2厅, 90.18,64316,580,62,18
蔚蓝城市花园,3室2厅, 112.23,74847,840,5,20
东苑古龙城(公寓),3室2厅, 146.93,75547,1110,18,18
平南一二村,1室1厅, 48.43,65043,315,9,11
海上新村,2室1厅, 61.32,52186,320,140,22
万源城E1,2室2厅, 94.06,74421,700,40,12
新梅花苑,1室1厅, 42.71,56193,240,29,18
万源城尚郡,2室2厅, 72.34,89163,645,38,21
东苑古龙城(公寓),2室2厅, 111.96,74134,830,60,21
江南星城,2室2厅, 95.48,67030,640,59,19
鸿发家园,2室2厅, 104.05,58626,610,11,19
同盛豪园,4室2厅, 157.99,69625,1100,16,6
古美一村,2室1厅, 66.97,55996,375,2,3
平阳新村四街坊,2室1厅, 65.29,56058,366,19,17
新梅花苑,2室1厅, 54,57408,310,26,14
平阳绿家园,2室2厅, 100.59,60643,610,7,17
平阳一村,3室1厅, 89.5,52514,470,2,16
新时代花园,2室2厅, 82.97,66290,550,35,17
新梅花苑,2室2厅, 76.77,47545,365,127,7
东兰世茗雅苑,3室2厅, 123.53,60714,750,29,25
平南三四村,2室1厅, 67.26,62445,420,17,15
东苑半岛花园(公寓),3室2厅, 121.86,69753,850,37,21
东苑半岛花园(公寓),3室2厅, 118.64,68274,810,29,19
同盛豪园,3室2厅, 162.37,67747,1100,13,18
万源城朗郡,2室2厅, 117.28,78445,920,53,8
宝城大厦,3室2厅, 161.43,40266,650,29,3
东苑怡景园,1室1厅, 58.07,61134,355,38,13
春江锦庐,4室2厅, 136.05,51452,700,124,8
和润家园(公寓),2室2厅, 103.68,59800,620,47,14
平南三四村,2室1厅, 61.62,57612,355,25,13
古美小区,1室1厅, 40.2,60946,245,25,10
虹莘新村,3室1厅, 87.4,51488,450,40,10
平阳一村,2室1厅, 68.92,51509,355,24,9
虹莘新村,3室1厅, 87.4,53776,470,38,10
古美小区,1室1厅, 43.2,62500,270,11,12
新时代花园,2室2厅, 83.07,69219,575,54,14
海上新村,2室1厅, 76.14,52535,400,25,14
古美四村,3室1厅, 74.54,57688,430,14,16
古美西路316弄,2室1厅, 73.42,52439,385,26,15
金汇豪庭,4室3厅, 224.64,66774,1500,21,13
古美五村,2室1厅, 60.13,61201,368,20,10
古美西路420弄,1室1厅, 52.3,59274,310,11,12
新梅公寓,4室2厅, 162.41,40023,650,141,5
新梅广场,2室2厅, 114.18,53425,610,31,17
海上新村,2室2厅, 61.81,50154,310,22,4
古美四村,2室1厅, 72.86,51057,372,9,8
古美七村,2室2厅, 86.96,60948,530,18,4
古美七村,2室1厅, 76.76,54065,415,12,9
南方新村,1室1厅, 51.77,58915,305,2,12
华梅花苑,2室2厅, 96.77,57353,555,17,12
古美小区,3室1厅, 73.55,56425,415,64,7
新梅花苑,1室1厅, 46.7,48823,228,15,9
古美八村,1室1厅, 44.82,57564,258,17,7
平吉二村,2室1厅, 72.23,49841,360,51,9
蓝色港湾(公寓),2室2厅, 94.05,63584,598,9,5
古美西路316弄,2室1厅, 77.29,56800,439,8,9
东方御花园,2室2厅, 104.1,62440,650,23,8
东苑佳佳花园,2室1厅, 75.29,57113,430,10,9
莲花公寓(闵行),3室2厅, 144.1,58987,850,45,8
东苑半岛花园(公寓),3室2厅, 143.02,79430,1136,4,5
成亿家园,3室2厅, 128.22,61613,790,14,8
平南三四村,1室0厅, 40,67500,270,37,12
平吉一村,2室1厅, 71.87,50091,360,19,12
华梅花苑,3室2厅, 118.26,63420,750,9,7
万源城逸郡,3室2厅, 141.58,74164,1050,58,11
景和茗苑,3室2厅, 133.67,63590,850,5,7
同济融创玫瑰公馆,1室1厅, 64.57,68144,440,47,5
新时代富嘉花园,3室2厅, 139.9,72910,1020,12,12
东苑半岛花园(公寓),3室2厅, 143.02,76913,1100,5,8
平阳新村四街坊,2室2厅, 75.22,53178,400,16,5
万源城朗郡,3室2厅, 147.23,95090,1400,32,7
欧风花都,2室2厅, 99,66162,655,21,6
平阳绿家园,2室2厅, 95.07,63112,600,21,8
古美五村,2室1厅, 60.93,59905,365,50,11
新梅公寓,2室2厅, 109.52,55515,608,12,9
同济融创玫瑰公馆,2室1厅, 65.63,68567,450,33,7
和润家园(公寓),3室2厅, 119.34,58489,698,23,9
万源城朗郡,2室2厅, 115.12,69493,800,19,8
万源城朗郡,2室2厅, 115.12,69493,800,19,8
新梅花苑,2室1厅, 68.81,50865,350,31,6
东兰路37弄,2室2厅, 60.87,62429,380,12,9
蓝色港湾(公寓),3室2厅, 118.02,57618,680,8,6
新梅花苑,1室2厅, 61.49,50415,310,44,12
古美八村,2室1厅, 58.6,57168,335,17,2
南方新村,3室1厅, 92.71,55550,515,21,5
东兰兴城(惠兰苑),2室2厅, 96.35,64349,620,3,3
