CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
龙吴路5599弄,2室1厅, 76.55,33312,255,16,18
龙吴路5599弄,2室1厅, 81.28,32604,265,110,24
万科阳光苑,2室1厅, 78.37,48488,380,26,8
枫桦景苑,5室2厅, 142.16,41503,590,21,4
通海二小区,2室2厅, 95.77,33205,318,6,8
吴泾新村,3室1厅, 103.74,26991,280,105,20
现代苑,2室2厅, 95.6,37134,355,32,15
龙吴路5599弄,2室1厅, 80.36,32977,265,27,17
双柏小区,2室1厅, 55.29,37620,208,12,13
永德小区,2室0厅, 55.13,37185,205,8,9
双柏小区,1室1厅, 42.42,37719,160,54,14
龙吴路5599弄,2室1厅, 61.07,36025,220,25,10
双柏小区,2室1厅, 56.49,37175,210,15,14
双柏小区,2室1厅, 55.29,39791,220,39,16
枫桦景苑,4室3厅, 165.61,40457,670,20,18
龙吴路5599弄,2室1厅, 60.89,38595,235,11,8
虹梅新苑,3室1厅, 88.27,43050,380,19,8
万科阳光苑,3室2厅, 93,42474,395,29,8
吴泾新村,3室1厅, 90.49,32048,290,45,9
万科阳光苑,3室1厅, 90.62,43037,390,18,8
万科阳光苑,2室2厅, 91.78,43583,400,8,10
龙吴路5599弄,2室1厅, 81.7,36720,300,34,7
龙吴路5599弄,2室1厅, 81.28,39125,318,4,4
双柏小区,2室1厅, 48.66,41102,200,27,7
双柏小区,1室1厅, 39.14,40879,160,78,8
永德小区,2室0厅, 50.61,37542,190,8,10
氯碱小区,2室1厅, 61,38525,235,3,8
氯碱小区,2室1厅, 57.5,37392,215,26,9
氯碱小区,2室1厅, 56.69,38808,220,1,4
氯碱小区,2室1厅, 56.69,38808,220,1,4
万科阳光苑,2室2厅, 88.75,43944,390,13,9
虹梅新苑,3室2厅, 137.63,33423,460,31,2
永德小区,2室1厅, 48.58,40140,195,27,5
枫桦景苑,4室2厅, 168.29,39219,660,12,5
氯碱小区,2室1厅, 51.8,37066,192,6,4
紫晶南园,2室2厅, 107.28,37752,405,21,5
氯碱小区,2室1厅, 68.59,39365,270,7,3
双柏小区,2室1厅, 53.6,37314,200,4,2
紫晶南园,1室2厅, 63.09,44382,280,12,1
紫晶南园,3室2厅, 106,43397,460,0,1
枫桦景苑,2室2厅, 86.17,42359,365,6,3
通海路360弄,1室1厅, 52.36,37434,196,2,1
龙吴路5599弄,2室1厅, 82.11,38973,320,7,3
万科阳光苑,2室2厅, 88.55,46302,410,18,1
龙吴路5599弄,2室1厅, 68.03,44981,306,3,2
龙吴路5599弄,2室1厅, 60.81,38645,235,31,1
万科阳光苑,3室2厅, 89,44383,395,19,3
氯碱小区,2室1厅, 66.46,34608,230,13,1
龙吴路5599弄,2室1厅, 62,41936,260,15,2
通海一小区,2室1厅, 80.08,37463,300,15,3
永德小区,2室0厅, 50.59,38941,197,6,2
龙吴路5599弄,2室1厅, 76.2,34121,260,9,2
氯碱小区,2室1厅, 51.81,35708,185,5,3
氯碱小区,2室1厅, 61.63,36509,225,4,3
万科阳光苑,3室1厅, 86.97,45993,400,6,2
通海二小区,3室2厅, 96.06,39559,380,0,1
虹梅新苑,3室2厅, 84.02,57725,485,12,1
双柏小区,2室1厅, 55.65,37736,210,6,2
通海二小区,2室1厅, 74.84,39017,292,5,1
虹梅新苑,3室2厅, 84.02,57725,485,12,1
氯碱小区,2室1厅, 66.46,34608,230,13,1
万科阳光苑,3室2厅, 89,44383,395,19,3
氯碱小区,3室1厅, 90.97,39024,355,4,0
紫晶南园,3室2厅, 105.45,44571,470,5,0
龙吴路5599弄,2室2厅, 70.6,38952,275,24,0
紫晶南园,2室2厅, 92.95,39269,365,7,0
氯碱小区,2室1厅, 66.88,38876,260,8,0
通海路360弄,1室1厅, 51.98,39439,205,1,0
通海一小区,2室1厅, 73.4,34742,255,11,0
氯碱小区,1室1厅, 37.73,38696,146,18,4
虹梅景苑一街坊,2室2厅, 93.94,40452,380,45,81
龙吴路5599弄,1室1厅, 61,36886,225,4,1
永德小区,2室0厅, 53.42,33321,178,31,28
嘉怡水岸(公寓),2室2厅, 94.17,46194,435,12,27
万科阳光苑,2室2厅, 98.83,41486,410,4,21
虹梅新苑,3室2厅, 129.68,40870,530,27,20
紫晶南园,2室2厅, 92.95,38193,355,50,18
紫晶南园,3室2厅, 130,41539,540,22,21
龙吴路5599弄,2室1厅, 81.47,33755,275,16,21
万科阳光苑,1室1厅, 65.07,45336,295,8,15
万科阳光苑,2室2厅, 79.44,43430,345,27,40
虹梅新苑,3室2厅, 134.54,36421,490,30,18
万科阳光苑,3室1厅, 89,43821,390,5,11
紫竹半岛花园,4室3厅, 84,97620,820,18,28
虹梅新苑,1室2厅, 62.3,44142,275,24,25
嘉怡水岸(公寓),2室2厅, 93.58,44348,415,0,11
嘉怡水岸(公寓),2室2厅, 118.43,37575,445,19,8
嘉怡水岸(公寓),4室2厅, 254.88,27464,700,74,18
紫竹半岛花园,1室2厅, 64.61,61137,395,24,22
嘉怡水岸(公寓),2室2厅, 93,49463,460,9,16
紫晶南园,1室2厅, 63.09,41211,260,29,18
虹梅新苑,3室2厅, 128.79,41541,535,16,3
嘉怡水岸(公寓),1室2厅, 76.81,48171,370,6,2
万科阳光苑,5室2厅, 161.99,32101,520,22,8
万科阳光苑,1室1厅, 53.22,52424,279,16,13
嘉怡水岸(公寓),3室2厅, 118.69,40021,475,33,12
虹梅景苑一街坊,3室2厅, 125.01,41437,518,6,11
龙吴路5599弄,2室1厅, 81.28,34449,280,41,9
紫晶南园,1室2厅, 63.09,41528,262,5,4
虹梅新苑,2室2厅, 84.87,49488,420,3,0
万科阳光苑,1室1厅, 65.21,44472,290,22,5
嘉怡水岸(公寓),2室2厅, 107.09,43702,468,27,9
虹梅新苑,1室1厅, 55.55,45905,255,37,16
万科阳光苑,3室1厅, 89.78,44554,400,24,6
永德小区,1室1厅, 37.05,44535,165,7,6
龙吴路5599弄,2室1厅, 61,38525,235,3,4
虹梅新苑,2室2厅, 92.4,41667,385,14,9
嘉怡水岸(公寓),2室2厅, 90.16,44144,398,52,14
万科阳光苑,3室1厅, 89,44944,400,20,8
虹梅新苑,2室2厅, 111.57,28682,320,27,15
吴泾新村,2室1厅, 70.77,27555,195,23,11
万科阳光苑,1室1厅, 58.36,49692,290,18,4
虹梅新苑,3室2厅, 127,43308,550,3,4
虹梅新苑,2室2厅, 94,42554,400,7,5
虹梅新苑,3室2厅, 129.66,40105,520,10,4
紫晶南园,4室2厅, 117,42736,500,11,4
吴泾新村,2室1厅, 68,30883,210,5,3
万科阳光苑,2室2厅, 90.05,41977,378,5,4
通海二小区,2室1厅, 74.84,37414,280,1,3
永德小区,1室0厅, 47.34,37390,177,1,1
虹梅新苑,3室2厅, 134.6,38633,520,20,3
虹梅新苑,3室2厅, 129.58,39744,515,6,4
双柏小区,3室0厅, 59.8,38462,230,6,4
龙吴路5599弄,2室1厅, 81.7,36720,300,1,5
紫晶南园,2室2厅, 101.87,38579,393,16,6
氯碱小区,1室1厅, 40.43,44522,180,0,2
虹梅新苑,2室2厅, 99.2,40323,400,9,9
双柏小区,2室1厅, 59.15,38885,230,15,6
吴泾新村,2室1厅, 72.58,27556,200,70,5
龙吴路5599弄,2室1厅, 80.15,34311,275,13,7
通海二小区,2室1厅, 74.84,37414,280,1,3
龙吴路5599弄,2室1厅, 60.63,41234,250,15,12
龙吴路5599弄,1室1厅, 61,36066,220,11,14
紫竹半岛花园,1室2厅, 64.88,61653,400,2,1
紫晶南园,3室2厅, 130.7,38256,500,8,2
虹梅新苑,3室2厅, 99.99,40005,400,11,2
龙吴路5599弄,2室1厅, 73.96,41915,310,3,4
虹梅景苑一街坊,2室2厅, 93.48,41186,385,41,4
虹梅新苑,2室2厅, 111.57,29399,328,21,2
永德小区,1室1厅, 47.3,43552,206,0,3
通海二小区,3室2厅, 96.06,36436,350,6,1
嘉怡水岸(公寓),2室2厅, 93.13,48320,450,34,4
万科阳光苑,3室1厅, 91.64,44195,405,5,2
万科阳光苑,2室2厅, 150.93,33128,500,43,1
氯碱小区,2室1厅, 57.05,36460,208,3,1
枫桦景苑,4室2厅, 149.69,38079,570,5,3
虹梅景苑一街坊,1室2厅, 68.74,42188,290,13,3
永德小区,1室1厅, 42.09,39202,165,3,1
龙吴路5599弄,2室1厅, 81.28,36910,300,4,2
龙吴路5599弄,2室1厅, 73.96,41915,310,3,4
现代苑,2室2厅, 94.56,40715,385,5,0
虹梅新苑,2室2厅, 92.29,41175,380,15,0
永德小区,2室1厅, 68.19,41062,280,9,0
通海二小区,2室2厅, 98.8,39474,390,8,0
嘉怡水岸(公寓),2室2厅, 93.12,47251,440,1,0
虹梅新苑,3室2厅, 128.29,41313,530,10,0
虹梅新苑,4室2厅, 86,58140,500,23,0
锦川公寓,2室2厅, 94.04,37750,355,0,0
吴泾新村,2室1厅, 73.4,30654,225,2,0
吴泾新村,2室1厅, 56.91,36901,210,13,0
枫桦景苑,5室2厅, 157.84,33896,535,15,2
龙吴路5599弄,3室2厅, 118.49,32071,380,20,1
龙吴路5599弄,2室1厅, 82.11,35319,290,17,2
紫晶南园,2室2厅, 92.95,45186,420,30,1
虹梅新苑,5室2厅, 182.51,33971,620,23,2
龙吴路5599弄,2室1厅, 80.36,36088,290,38,0
景浦公寓,6室3厅, 178.51,33612,600,34,0
氯碱小区,2室1厅, 64.69,40192,260,23,0
万科阳光苑,2室2厅, 89.85,43406,390,7,7
紫竹半岛花园,4室2厅, 90.5,82873,750,2,3
万科阳光苑,1室1厅, 53,53774,285,2,2
永德小区,1室1厅, 35.75,44756,160,3,1
紫竹半岛花园,3室2厅, 95.37,63962,610,32,11
氯碱小区,1室0厅, 37.73,39757,150,13,2
永德小区,1室0厅, 39,42308,165,7,0
龙吴路5599弄,2室2厅, 70.69,38903,275,2,1
万科阳光苑,3室1厅, 90.6,42495,385,34,31
虹梅新苑,2室2厅, 92.78,39341,365,101,28
紫竹半岛花园,1室2厅, 65,59693,388,4,13
紫竹半岛花园,1室2厅, 65,59693,388,4,13
通海二小区,2室2厅, 85.7,37923,325,1,0
虹梅景苑四街坊,2室2厅, 93.1,38454,358,23,17
紫晶南园,1室2厅, 63.7,41131,262,31,25
紫晶南园,1室2厅, 63.98,39857,255,6,3
嘉怡水岸(公寓),2室2厅, 93.58,44348,415,8,21
龙吴路5599弄,2室1厅, 60.89,37774,230,5,21
紫竹半岛花园,2室2厅, 89.73,61295,550,50,18
嘉怡水岸(公寓),3室2厅, 93.13,48320,450,0,0
龙吴路5599弄,2室1厅, 60,40000,240,2,0
氯碱小区,1室1厅, 43.46,40267,175,0,0
永德小区,2室0厅, 45.47,40027,182,17,16
双柏小区,2室1厅, 57.41,37450,215,12,13
龙吴路5599弄,1室1厅, 60.63,39585,240,3,14
嘉怡水岸(公寓),3室2厅, 145,48276,700,10,21
龙吴路5599弄,1室1厅, 60.75,37038,225,18,15
虹梅新苑,2室2厅, 86,43605,375,12,18
紫晶南园,3室2厅, 114.44,37575,430,65,24
永德小区,1室1厅, 39,42308,165,6,16
虹梅新苑,1室2厅, 61.27,43252,265,28,20
