CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
高兴花园,2室1厅, 54.59,54589,298,17,25
中城绿苑,2室2厅, 87.47,61507,538,23,22
蔷薇新村,2室2厅, 91,36264,330,48,25
华唐苑,3室2厅, 79.19,48744,386,47,18
上海春城,2室2厅, 91.63,62207,570,30,21
春申景城湖畔林语,4室2厅, 108.35,97832,1060,13,20
上海春城,2室2厅, 64.67,71904,465,32,18
高兴花园,2室1厅, 70,49715,348,12,16
春馨苑,2室2厅, 81.34,47333,385,27,15
春申景城湖滨晨韵,4室2厅, 169.37,74394,1260,12,11
上海春城,3室1厅, 110.52,62433,690,2,1
春申景城湖滨晨韵,2室2厅, 106.23,66084,702,19,16
春申景城湖滨晨韵,2室2厅, 67.17,70717,475,29,14
春申景城湖畔林语,5室2厅, 190.74,77069,1470,18,16
绿地春申花园,3室2厅, 101.48,69768,708,11,11
春申景城MIDTOWN,2室2厅, 109.89,74621,820,9,16
上海春城,4室3厅, 176.66,55474,980,27,15
高兴花园,2室1厅, 67.59,46309,313,28,42
银河新都,1室1厅, 54.26,51604,280,12,12
高兴花园,2室1厅, 64,50782,325,19,8
上海春城,3室2厅, 124.09,58668,728,10,9
上海春城,2室2厅, 94.59,63432,600,21,7
森安苑,2室1厅, 73.56,43502,320,13,6
蔷薇新村,2室1厅, 51.8,40541,210,21,6
薇馨家园,2室2厅, 83.07,43337,360,11,7
中城绿苑,2室2厅, 85.96,62239,535,18,6
蔷薇八村,2室1厅, 73.17,40318,295,18,12
绿地春申花园,2室2厅, 94.57,63446,600,16,6
春馨苑,2室1厅, 65.67,45683,300,86,4
高兴花园,2室1厅, 70.02,48272,338,23,7
绿地春申花园,2室2厅, 94.57,63446,600,16,6
春馨苑,2室1厅, 65.67,45683,300,86,4
蔷薇新村,2室2厅, 74,39190,290,16,2
上海春城,3室1厅, 110.52,61528,680,13,2
春申景城湖滨晨韵,2室2厅, 97.42,71854,700,8,3
华唐苑,2室2厅, 101,41882,423,21,3
常兴家园,2室2厅, 64.82,56310,365,8,6
春馨苑,2室2厅, 65.67,49490,325,55,4
银河新都,2室1厅, 73.76,52197,385,9,7
高兴花园,2室2厅, 76.9,46815,360,8,3
上海春城,3室2厅, 124.09,57217,710,30,7
源梦苑,2室2厅, 84,46429,390,5,1
蔷薇新村,2室2厅, 72.35,41466,300,7,1
都市宜家苑,3室2厅, 130.38,49088,640,33,1
蔷薇新村,2室2厅, 90.86,41273,375,8,2
普乐二村,1室1厅, 41.4,51208,212,72,1
森安苑,2室2厅, 73.61,43473,320,8,4
华唐苑,3室2厅, 95.59,42369,405,18,1
万科燕南园,联排别墅, 3室,69535,1400,7,3
都市宜家苑,2室2厅, 85.17,51075,435,15,1
普乐三村,1室1厅, 49.44,47937,237,33,1
普乐三村,1室1厅, 43.97,52309,230,2,2
虹景苑,3室2厅, 131.97,45087,595,22,1
绿地春申花园,3室2厅, 130.49,62841,820,1,1
蔷薇新村,2室2厅, 75.49,41066,310,14,2
莲花新村,3室2厅, 86.98,48287,420,9,4
银河新都,2室2厅, 76.53,53574,410,28,2
普乐三村,1室2厅, 56.67,45527,258,5,1
蔷薇新村,3室1厅, 90.65,43023,390,6,1
莲花新村,3室1厅, 86.26,50082,432,20,0
蔷薇新村,2室2厅, 87.95,39796,350,28,0
