CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
罗阳七村,2室1厅, 69.4,51874,360,68,47
朱行四村,2室1厅, 54.13,49880,270,23,14
未名园,2室2厅, 88.2,59524,525,25,15
梅陇二村,2室1厅, 57.24,50664,290,41,15
望族苑,3室2厅, 144.91,55069,798,18,12
益文路79弄,3室1厅, 80.47,50951,410,7,5
朱梅小区,2室2厅, 81.5,57669,470,24,21
罗阳一村,2室1厅, 75.94,47143,358,15,10
罗阳四村,2室1厅, 51.99,53665,279,11,10
罗阳一村,3室1厅, 84.97,50018,425,17,16
梅陇二村,2室1厅, 86.9,51784,450,5,1
益文路79弄,1室1厅, 52.62,50362,265,5,4
上海阳城,3室2厅, 124.1,59630,740,35,11
中梅苑,2室2厅, 96.69,63089,610,9,9
罗阳七村,2室2厅, 84.88,48304,410,42,8
锦鸿公寓,2室2厅, 98.09,44857,440,27,8
莲花河畔景苑,2室2厅, 94.22,70049,660,17,10
上海阳城,2室2厅, 87.89,59734,525,32,16
罗阳二村,2室1厅, 73,44521,325,35,15
朱行新四村,2室1厅, 77.81,42412,330,6,0
罗阳四村,1室1厅, 44.21,52477,232,19,7
上海阳城,2室2厅, 93.67,62454,585,4,7
上中西路767弄,2室1厅, 72.94,50179,366,14,4
上海阳城,2室2厅, 94.26,59411,560,20,6
罗阳三村,2室1厅, 71.4,50421,360,13,5
上海阳城,3室2厅, 121.14,61912,750,13,12
罗阳七村,1室1厅, 51.99,54819,285,51,1
罗阳四村,2室0厅, 45.92,47910,220,36,1
罗阳三村,2室1厅, 71.14,54822,390,35,2
朱行四村,2室0厅, 43.88,53556,235,3,3
罗阳四村,2室0厅, 45.92,47910,220,36,1
鸿福新村,1室1厅, 49.61,46362,230,8,1
罗阳七村,3室1厅, 88.52,54226,480,10,1
世纪苑,3室2厅, 136,66177,900,22,2
罗阳四村,2室1厅, 58.84,47587,280,8,4
梅陇二村,2室0厅, 54.02,57387,310,9,6
