CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
欣佳宝邸,2室2厅, 77.92,38502,300,2,0
浦江世博家园十五街坊,3室2厅, 100.2,44412,445,5,0
虹浦新城南区,2室1厅, 75.46,33131,250,260,31
金硕河畔景园东区,2室1厅, 71.87,37986,273,11,3
浦江世博家园九街坊,2室2厅, 77.44,43905,340,53,36
欣佳宝邸,2室2厅, 78.31,35756,280,32,17
闵浦新苑六村,1室1厅, 60.71,38297,232.5,94,25
世博家园十一街坊,2室1厅, 77.12,44736,345,20,12
水语人家南苑,2室2厅, 74.53,41594,310,12,11
鹤坡路84弄,2室1厅, 66.19,34749,230,33,10
浦江丽都,3室2厅, 95.12,33642,320,33,8
瑞和新苑浦涛路400弄,2室1厅, 73.02,39031,285,237,8
浦江世博家园十街坊,2室1厅, 85.85,50670,435,24,21
浦江智汇园,2室2厅, 91.04,52725,480,67,20
汇颂南苑,2室2厅, 77.54,34821,270,86,20
浦江宝邸北区,3室2厅, 97.85,36281,355,8,2
浦江世博家园十五街坊,2室1厅, 76,47369,360,19,6
瑞和新苑浦涛路400弄,2室1厅, 75.89,35578,270,19,1
汇颂南苑,2室1厅, 76,35527,270,28,9
景舒苑七村,2室2厅, 79.64,43320,345,17,8
欣佳宝邸,2室1厅, 78.49,37585,295,27,11
新浦江城(江桦路400弄),2室2厅, 102.67,48700,500,111,5
世博家园十一街坊,2室1厅, 80.72,45838,370,9,0
水语人家北苑,2室1厅, 77.12,38901,300,22,0
三宏公寓,3室2厅, 117.42,28105,330,37,0
浦江世博家园八街坊,3室2厅, 99.07,45928,455,24,5
瑞和新苑江航路60弄,2室2厅, 74.02,37828,280,69,16
浦江世博家园五街坊,2室1厅, 63.28,51360,325,162,6
浦江智汇园,2室2厅, 91.27,52592,480,11,10
瑞和新苑浦涛路400弄,2室2厅, 76,37500,285,23,6
浦江世博家园七街坊,2室2厅, 85.85,50670,435,8,8
新浦江城(浦驰路1335弄),3室1厅, 97.75,63428,620,35,7
瑞和新苑浦涛路400弄,3室2厅, 93.04,36544,340,40,6
浦江智汇园,2室2厅, 91.27,52592,480,11,10
花苑二村,2室2厅, 89.14,32309,288,15,6
水语人家北苑,2室1厅, 77.12,38253,295,9,7
浦江世博家园十五街坊,2室2厅, 75.93,47413,360,21,3
水语人家南苑,2室1厅, 72.49,41386,300,5,10
景江苑A区,2室2厅, 97.1,37900,368,45,6
景江苑C区,2室2厅, 96.53,41231,398,24,5
水语人家南苑,3室1厅, 97.53,40501,395,12,9
浦江智汇园,2室2厅, 91.07,48974,446,29,7
浦江世博家园九街坊,2室2厅, 76.17,45950,350,23,6
浦江世博家园十五街坊,1室1厅, 58.49,49582,290,21,7
新汇绿苑,2室2厅, 75.71,37644,285,7,2
瑞和新苑浦涛路399弄,2室2厅, 72.87,36778,268,11,4
瑞和新苑江航路60弄,2室2厅, 75,38000,285,8,2
浦江宝邸北区,1室1厅, 59.08,35546,210,7,2
浦江智汇园,3室2厅, 91.75,52317,480,61,4
瑞和新苑江航路60弄,2室2厅, 74.02,39179,290,0,1
浦江世博家园二街坊,2室2厅, 92.29,44426,410,72,1
浦江世博家园二街坊,2室2厅, 93,45162,420,23,2
景舒苑三村,2室2厅, 78.28,40879,320,16,2
浦航新城博雅苑,2室2厅, 69.3,38962,270,9,1
景江苑D区,2室2厅, 90.48,38683,350,18,1
谈家港花苑一村,3室1厅, 93.74,34137,320,30,3
浦江智汇园,2室1厅, 81,54321,440,11,2
浦江世博家园八街坊,2室1厅, 75.3,47809,360,21,3
景江苑C区,2室2厅, 90.45,42013,380,14,0
聚缘北庭,2室1厅, 73.98,36497,270,15,0
浦江世博家园十二街坊,1室2厅, 64.07,48385,310,5,0
景江苑C区,2室2厅, 90.45,42013,380,14,0
景江苑C区,1室2厅, 64.93,43124,280,8,0
谈家港花苑一村,2室1厅, 87.62,34239,300,19,0
鹤坡路83弄,3室1厅, 93.42,32114,300,22,0
谈家港花苑一村,3室2厅, 127.45,31385,400,2,0
瑞和新苑江航路60弄,2室2厅, 75.89,37555,285,5,0
浦润苑,2室2厅, 88.87,43660,388,7,0
浦江世博家园八街坊,2室1厅, 75.99,48165,366,18,0
欣佳宝邸,2室1厅, 77,38312,295,15,0
瑞和华苑北区,2室2厅, 84,33929,285,5,0
瑞和新苑江航路60弄,1室1厅, 54.73,40198,220,28,0
瑞和新苑浦涛路399弄,2室2厅, 76.4,38613,295,9,0
闵浦新苑六村,2室1厅, 72,36806,265,31,0
聚缘南庭,3室2厅, 96,36459,350,5,7
浦江颐城(公寓),4室2厅, 228.03,47363,1080,50,95
新浦江城(浦申路1288弄),3室2厅, 130.85,59611,780,44,41
瑞和新苑浦涛路400弄,1室1厅, 54.96,40030,220,11,1
浦江世博家园七街坊,2室2厅, 80.59,47153,380,3,5
欣佳宝邸,2室2厅, 78.14,37113,290,4,0
一品漫城(二期),2室2厅, 90.64,66196,600,6,2
浦江世博家园十街坊,2室2厅, 85.85,50088,430,3,1
景舒苑五村东区,2室1厅, 70.1,46363,325,7,1
浦江宝邸西区,1室1厅, 61.86,37990,235,1,1
水语人家北苑,1室1厅, 55.24,41275,228,20,26
汇秀景苑一街坊,2室1厅, 77.15,33701,260,21,23
新浦江城(江桦路200弄),2室1厅, 79.24,59314,470,46,49
水语人家南苑,2室1厅, 72.49,40006,290,52,89
金硕河畔景园南区,2室2厅, 78.53,35656,280,14,43
金硕河畔景园南区,2室2厅, 78.53,35656,280,14,43
景舒苑六村,2室2厅, 97.45,48230,470,0,0
浦江馨都,2室2厅, 74.77,42798,320,0,0
浦润苑,2室2厅, 88.32,41894,370,0,0
水语人家南苑,2室1厅, 73.18,36896,270,5,0
金硕河畔景园东区,2室2厅, 76.43,45794,350,2,0
新浦江城(江栀路500弄),4室2厅, 195.06,61007,1190,56,33
水语人家南苑,1室1厅, 55.51,38732,215,1,0
水语人家南苑,2室1厅, 76.4,37959,290,4,3
浦江馨都,3室2厅, 95.54,39774,380,27,24
虹浦新城南区,2室1厅, 75.61,37033,280,36,23
浦江宝邸北区,2室2厅, 78.39,33168,260,13,18
浦润苑,2室2厅, 87.75,40114,352,24,74
一品漫城(一期)(公寓),3室2厅, 140.61,46228,650,164,30
欣佳宝邸,2室2厅, 78.31,38948,305,28,25
浦江馨都,1室2厅, 57,39474,225,23,30
浦润苑,1室1厅, 63.1,37243,235,42,32
浦润苑,3室2厅, 107.98,38897,420,11,27
浦润苑,2室2厅, 88.87,39384,350,21,37
汇秀景苑三街坊,2室1厅, 76.73,33886,260,27,23
浦江颐城(公寓),2室2厅, 88.41,63342,560,88,30
水语人家北苑,2室1厅, 74,39865,295,40,26
浦江智汇园,3室1厅, 92.67,53416,495,78,51
浦江世博家园七街坊,1室2厅, 61.62,47063,290,10,5
欣佳宝邸,1室1厅, 56.76,38760,220,1,0
浦江宝邸北区,2室2厅, 82.45,36386,300,1,0
浦江世博家园七街坊,2室2厅, 80.72,45838,370,3,0
金硕河畔景园南区,2室1厅, 78.17,40297,315,1,0
虹浦新城南区,1室2厅, 55.22,39841,220,4,1
闵浦新苑四村,2室2厅, 91.35,35031,320,2,0
浦江丽都,2室2厅, 71.82,38987,280,5,16
