CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金榜世家,2室1厅, 81.34,43030,350,46,42
夏朵园,2室2厅, 102.57,34611,355,40,36
金榜世家,2室2厅, 94.69,45412,430,7,27
夏朵园,2室1厅, 106,31085,329.5,18,23
红旗四街坊,2室1厅, 51.69,38306,198,131,24
夏朵园,2室2厅, 90.75,34711,315,30,23
合生城邦四街坊,2室2厅, 101.23,41490,420,44,46
丽都城假日景苑,2室1厅, 81.54,48566,396,88,62
电机一二村,2室0厅, 47.78,33487,160,55,22
丽都城假日景苑,2室2厅, 85.66,50199,430,15,12
沧源小区,2室1厅, 64.05,41374,265,83,28
紫藤新园,2室2厅, 88.81,38059,338,50,13
东川路2817弄,2室2厅, 69.47,35268,245,95,12
红旗三村,2室1厅, 58.9,31410,185,111,12
好第坊(公寓),3室2厅, 98.11,43421,426,6,6
东江小区,2室0厅, 47.96,41285,198,1,8
凤庆小区,2室1厅, 54.8,34672,190,50,11
东江小区,2室1厅, 51.07,37204,190,8,15
红旗五村,2室1厅, 57.71,32924,190,213,9
好第坊(公寓),3室2厅, 133.88,42949,575,14,23
夏朵园,3室2厅, 116.22,33988,395,32,20
沧源小区,2室1厅, 57.38,40956,235,66,19
丽都城假日景苑,2室1厅, 81.41,48889,398,12,16
红旗五村,2室1厅, 54.4,36581,199,49,15
红旗四街坊,2室1厅, 54.09,34942,189,60,16
红旗五村,1室1厅, 42,36905,155,146,17
金平小区,2室2厅, 86.04,40679,350,15,16
红旗小区,2室1厅, 62.32,30488,190,258,6
合生城邦四街坊,2室2厅, 90.9,47965,436,16,6
天星苑,2室2厅, 90.39,33743,305,41,4
东江小区,2室1厅, 51.07,39162,200,20,16
金铭福邸,2室2厅, 104.6,42544,445,22,9
新华小区,2室1厅, 55.72,41278,230,10,1
夏朵园,2室2厅, 90.85,35774,325,24,14
南洋瑞都剑桥府邸(公寓),4室2厅, 174,40805,710,62,17
夏朵园,3室2厅, 103.23,33905,350,26,11
畅馨园,2室2厅, 105,44762,470,16,12
金榜雅苑,3室2厅, 122.99,40654,500,54,17
鹤北新村二街坊,2室1厅, 76.44,41863,320,12,10
飞碟苑,2室2厅, 82.27,40112,330,37,18
金铭福邸,3室2厅, 132.33,41563,550,13,9
红旗五村,2室1厅, 53.06,38636,205,42,16
合生城邦四街坊,2室2厅, 90.46,44219,400,40,16
红旗四街坊,2室1厅, 53.7,38176,205,25,9
南洋瑞都剑桥府邸(公寓),3室2厅, 122.76,45618,560,28,10
红旗四街坊,3室2厅, 94.27,33415,315,61,5
富仕名邸,2室2厅, 91.7,39259,360,16,5
三明花园,2室2厅, 86.49,41046,355,7,8
夏朵园,2室2厅, 87.77,36459,320,19,6
丽都城假日景苑,1室1厅, 63.65,48390,308,31,5
金平小区,2室1厅, 80.71,39649,320,9,8
三明花园,3室2厅, 105.23,40863,430,6,8
三明花园,2室2厅, 87.15,38440,335,18,8
凤庆小区,2室1厅, 53.23,37949,202,1,6
新闵小区,2室1厅, 60.79,40303,245,25,9
鹤北新村,2室1厅, 66.39,42176,280,28,6
高华小区,2室0厅, 51.24,39033,200,4,13
丽都城假日景苑,3室2厅, 137.79,45359,625,8,9
金铭福邸,3室2厅, 149.45,43493,650,9,5
三明花园,3室2厅, 105.23,40863,430,6,8
