CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
春申玫瑰苑,3室2厅, 114.17,61137,698,34,49
黎安二村,2室1厅, 77.21,40151,310,37,28
春申玫瑰苑,3室2厅, 114.32,63681,728,13,21
上海康城,2室2厅, 100.89,36674,370,106,22
莘松七村,2室1厅, 53.41,50178,268,14,46
上海康城,3室2厅, 139.66,37950,530,36,31
西环四村,2室1厅, 73.42,49033,360,7,16
新梅莘苑,2室2厅, 92,67392,620,18,22
水清三村,2室2厅, 93.15,54751,510,55,26
上海康城,2室2厅, 89.99,40005,360,73,26
上海康城,3室2厅, 116.7,40275,470,8,0
圣陶沙花园(别墅),联排别墅, 4室,73595,1420,10,4
万科假日风景(公寓),2室2厅, 93.84,66070,620,40,21
万科假日风景(公寓),3室2厅, 133.75,68038,910,29,24
新梅莘苑,3室2厅, 123.65,60656,750,44,33
莘松五村,2室1厅, 45.43,70218,319,11,20
莘南花苑二村,2室1厅, 67.96,52973,360,15,16
紫欣公寓,3室2厅, 138.87,51127,710,5,8
西湖苑,1室1厅, 35.42,52513,186,20,15
黎安四村,3室1厅, 86.51,40458,350,19,14
水清苑,2室1厅, 67.26,43117,290,10,1
好世鹿鸣苑,3室2厅, 139.23,69669,970,61,4
名都新城,2室2厅, 111.04,59439,660,37,3
阳明国际花苑,2室2厅, 93.86,57000,535,36,7
江南名邸,2室2厅, 90.28,64577,583,14,7
上海康城,2室2厅, 97,41031,398,41,20
报春三村,2室1厅, 62.69,45143,283,83,19
三春汇秀苑,2室2厅, 102.26,49873,510,16,20
莘南花苑二村,3室1厅, 103.35,53218,550,13,12
沁春园三村,3室2厅, 121.76,49278,600,54,25
春申府邸,2室2厅, 87.11,53955,470,54,18
万科假日风景(公寓),3室2厅, 142.39,55131,785,34,16
黎安一村,1室1厅, 54.74,44758,245,46,23
莘南花苑一村,3室2厅, 114.59,49743,570,25,13
黎安二村,2室2厅, 72.46,60034,435,1,6
东湖花园,3室2厅, 116.16,43045,500,13,4
沁春园一村,2室1厅, 70.67,45281,320,37,6
金铭新水岸,2室1厅, 84,55953,470,21,8
宝安新苑,3室2厅, 128.72,44283,570,0,2
丽华公寓(公寓),3室2厅, 154.76,44586,690,22,1
上海康城,3室2厅, 136,38971,530,5,2
阳明国际花苑,2室2厅, 100.92,56481,570,35,8
星丰苑,2室1厅, 66.23,43787,290,59,11
都市星城,2室2厅, 92.22,68315,630,38,8
上海康城,2室2厅, 104.52,43054,450,37,15
新空间家园,3室2厅, 114.91,60744,698,24,11
莘城苑,2室1厅, 81.62,40432,330,20,17
当代艺墅,双拼别墅, 4室,72531,2350,15,16
莘城公寓,2室2厅, 98.48,54732,539,14,11
阳明国际花苑,3室2厅, 132.43,52708,698,10,12
星丰苑,1室1厅, 51.23,48800,250,42,10
星丰苑,2室1厅, 66.23,43787,290,122,18
富林苑(二期),2室2厅, 90.2,50555,456,9,13
香树丽舍,3室2厅, 116.2,60241,700,27,8
名都新城,2室2厅, 111.04,55836,620,47,12
都市星城,2室2厅, 107.67,65014,700,15,7
金城绿苑(公寓),2室2厅, 95.44,55533,530,12,9
黎安三村,2室1厅, 57.49,50444,290,29,10
莘松九村,3室1厅, 82.48,66077,545,9,9
金城绿苑(公寓),2室2厅, 95.44,55533,530,12,9
上海康城,2室2厅, 90.59,38636,350,40,13
万科假日风景(公寓),4室2厅, 152.59,64225,980,18,5
春申玫瑰苑,5室2厅, 219.72,40734,895,15,2
上海康城,4室2厅, 149.08,38906,580,36,5
春申丽园,3室2厅, 131.47,60471,795,13,7
绿茵苑(闵行),6室2厅, 261.35,36733,960,63,8
报春二村,2室1厅, 66.8,41917,280,15,8
水清苑,2室1厅, 64.43,46563,300,7,7
沁春园一村,2室1厅, 70.53,52460,370,6,7
阳明国际花苑,2室2厅, 95,57895,550,17,16
上海康城,5室2厅, 147.6,37263,550,29,9
莘南花苑一村,3室1厅, 105.42,52173,550,28,4
闵富大厦,4室2厅, 173.65,40887,710,18,7
沁春园一村,2室1厅, 63.38,50490,320,19,13
上海康城,3室2厅, 117.9,37151,438,107,13
沁春园一村,3室1厅, 81.98,46963,385,44,6
三春汇秀苑,2室2厅, 116.78,47954,560,8,7
绿梅二村,2室1厅, 66.16,44589,295,2,6
绿梅二村,3室1厅, 81.55,45371,370,10,4
万科假日风景(公寓),2室2厅, 98.56,62906,620,28,7
上海康城,3室2厅, 130,35385,460,56,9
富林苑(三期),2室2厅, 95.44,53961,515,9,7
名都新城,3室2厅, 132.06,62851,830,4,2
新空间家园,3室2厅, 94.57,65349,618,25,4
名都新城,3室2厅, 125.61,58515,735,52,1
春申府邸,2室2厅, 94.23,52001,490,39,6
