CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金汇名人苑三街坊,4室2厅, 156.5,46007,720,99,34
锦绣江南(一期),6室2厅, 133.5,71162,950,38,21
锦绣江南(四期),4室2厅, 168.25,74295,1250,19,30
锦绣江南(四期),2室2厅, 121.14,71818,870,17,20
锦绣江南(四期),3室2厅, 139.93,70750,990,30,21
锦绣江南(一期),3室2厅, 136.43,69633,950,14,22
锦绣江南(四期),4室2厅, 168.25,77266,1300,24,13
锦绣江南(四期),4室2厅, 158.45,75734,1200,17,11
金坤花园,1室0厅, 34.56,63369,219,62,8
金汇福邸,3室2厅, 115.95,63821,740,28,12
锦绣江南(四期),3室2厅, 118.38,76027,900,24,3
锦绣江南(一期),5室2厅, 134.68,66826,900,63,5
金汇名人苑三街坊,4室2厅, 153.74,55289,850,17,5
锦绣江南(四期),5室3厅, 136.56,98858,1350,31,2
虹桥金斯花园,4室2厅, 209.94,61923,1300,17,3
宝虹公寓,4室3厅, 189.31,52824,1000,13,1
锦绣江南(四期),3室2厅, 138.72,72088,1000,38,4
金汇华光城,3室2厅, 116.7,68124,795,28,3
金汇鸿锦苑,2室2厅, 118.11,58844,695,46,2
金汇名人苑三街坊,3室2厅, 136.34,49876,680,42,2
臻果国际,1室1厅, 57.88,75156,435,5,1
金汇华光城,3室2厅, 105.32,69313,730,19,2
金汇花园三街坊先锋公寓,2室1厅, 68,66177,450,20,1
金汇花园一街坊,3室2厅, 107.28,53132,570,33,0
宝虹公寓,5室3厅, 226.02,52208,1180,8,0
虹井小区,3室1厅, 73.8,56234,415,23,0
锦绣江南(四期),3室2厅, 140.26,71297,1000,36,0
风度国际,2室2厅, 117.83,72987,860,13,0
风度国际,4室2厅, 152.02,73675,1120,38,149
金坤花园,1室0厅, 34.56,65105,225,16,1
金虹桥井亭苑,3室2厅, 104.24,69072,720,80,32
锦绣江南(一期),3室2厅, 105.96,68894,730,80,49
宝虹公寓,3室2厅, 133.59,62131,830,58,44
金汇华光城,3室2厅, 143.84,61180,880,38,25
臻果国际,1室1厅, 57.51,72684,418,24,8
虹桥金斯花园,4室2厅, 215.78,60247,1300,52,23
东航机组公寓,3室2厅, 141.03,49990,705,33,2
锦绣江南三期(公寓),4室2厅, 220,79546,1750,21,11
金汇名人苑三街坊,3室2厅, 156.48,49847,780,19,10
锦绣江南(一期),4室2厅, 141.01,67372,950,55,17
锦绣江南(四期),3室2厅, 140.74,82422,1160,12,11
锦绣江南(四期),2室2厅, 118.48,72587,860,17,12
金汇花园一街坊,2室2厅, 81.63,61007,498,37,8
金汇华光城,3室2厅, 134.67,61633,830,19,12
虹井小区,2室1厅, 74.69,56233,420,15,2
风度国际,2室2厅, 116.8,76028,888,8,4
金汇福邸,3室2厅, 132.03,56806,750,6,2
锦绣江南(四期),2室2厅, 120.47,70142,845,55,4
金汇花园四街坊,2室2厅, 105.51,49759,525,125,12
锦绣江南(四期),4室2厅, 118.46,97080,1150,52,1
金坤花园,3室2厅, 139,61152,850,13,1
锦绣江南(一期),3室2厅, 116.68,73706,860,11,4
风度国际,3室2厅, 143.24,73304,1050,33,2
锦绣江南(四期),2室2厅, 118.6,75886,900,5,3
金汇花园一街坊,2室2厅, 84.88,64798,550,8,1
金汇鸿锦苑,2室2厅, 116.73,63395,740,22,7
锦绣江南(二期),3室2厅, 132.85,74972,996,21,7
锦绣江南(一期),3室2厅, 133.63,62861,840,22,7
南洋绿都公寓,3室2厅, 108.35,59991,650,38,4
金汇花园三街坊先锋公寓,2室1厅, 67.9,63329,430,13,0
虹井小区,1室1厅, 45.86,55605,255,23,0
