CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
恒盛苑,4室2厅, 212.55,70572,1500,25,6
虹兴苑,2室1厅, 75,62667,470,66,7
虹桥花苑,3室2厅, 161.76,66148,1070,55,20
流晶逸彩,2室2厅, 86.3,67208,580,71,21
虹桥花苑,3室2厅, 147.1,60504,890,64,13
振宏小区,2室1厅, 65,62308,405,27,9
华光花园,3室2厅, 140.84,53252,750,27,11
张家宅小区,2室2厅, 74.12,65435,485,106,12
古北新城,2室2厅, 99.57,66286,660,91,9
海申花园,2室2厅, 90.07,56623,510,56,2
华光花园,3室2厅, 136.66,60735,830,30,8
虹梅路2669弄,2室1厅, 60.21,54809,330,116,7
名都城(公寓),3室2厅, 156.66,62556,980,13,15
东航明珠公寓,2室2厅, 96.05,57262,550,76,7
虹鹿花苑,2室2厅, 67.54,60705,410,50,6
吴中路970弄,2室1厅, 58.68,59646,350,14,3
名都古北,4室2厅, 229.76,86177,1980,8,3
金虹桥东苑怡和园,3室2厅, 135.39,66475,900,15,3
东航明珠公寓,3室2厅, 121.72,63260,770,12,3
古北首席,2室1厅, 71.77,90568,650,27,7
虹鹿花苑,2室1厅, 49.51,57565,285,51,3
海联花苑,2室1厅, 58.42,65903,385,30,1
环镇西路39、41弄,2室0厅, 49.05,61163,300,8,2
虹桥明珠公寓,3室2厅, 127.56,55974,714,67,3
海联花苑,2室1厅, 83.93,65174,547,29,4
海申花园,4室2厅, 176.31,53883,950,18,1
古北首席,3室1厅, 87.8,91117,800,15,4
虹鹿花苑,1室1厅, 44.08,58984,260,36,1
振宏小区,3室1厅, 80.01,69992,560,15,4
环镇西路39、41弄,2室0厅, 49.05,61163,300,8,2
振宏小区,2室2厅, 67.77,65664,445,0,0
红春一公寓,2室1厅, 65.78,66130,435,25,0
华光花园,2室2厅, 115.86,57829,670,6,0
海联花苑,2室2厅, 83.4,63550,530,55,0
金虹桥东苑怡和园,5室2厅, 201.47,68497,1380,35,0
恒盛苑,3室2厅, 138.36,86731,1200,15,0
名都城(公寓),2室2厅, 107.27,72714,780,3,5
金虹桥东苑怡和园,1室1厅, 48.84,65521,320,22,3
海申花园,2室2厅, 90.07,57733,520,96,41
古北首席,2室2厅, 74.05,91695,679,34,28
海申花园,3室1厅, 120.94,60774,735,101,45
海叶公寓,2室2厅, 93.55,68413,640,53,24
名都城(公寓),3室2厅, 136.81,67247,920,62,36
光大花园,4室2厅, 170.94,52651,900,42,20
虹桥花苑,3室2厅, 147.1,60504,890,144,35
名都城(公寓),3室2厅, 157.19,61391,965,45,39
金虹大厦,3室2厅, 141.45,50548,715,81,25
流晶逸彩,3室2厅, 104.55,61215,640,54,19
古北新城,2室2厅, 99.41,57339,570,14,1
金虹桥东苑怡和园,1室1厅, 48.84,61426,300,1,4
振虹苑,3室2厅, 97.96,71458,700,70,9
海申花园,2室1厅, 77.75,56592,440,163,16
明申花园(公寓),3室3厅, 236.81,71788,1700,112,21
奥玎宫廷别墅,联排别墅, 5室,57933,2200,108,25
虹梅路2759弄,1室1厅, 38.9,60412,235,8,1
流晶逸彩,3室2厅, 126,59524,750,13,1
海联花苑,3室2厅, 135.8,68336,928,54,10
流晶逸彩,2室2厅, 105,59048,620,27,11
虹鹿花苑,2室2厅, 68.03,61003,415,10,13
虹鹿花苑,2室2厅, 68.03,61003,415,10,13
流晶逸彩,2室2厅, 105,59048,620,27,11
万源新城,2室2厅, 80.96,71641,580,28,12
虹鹿花苑,1室1厅, 53.67,55711,299,46,4
古北新城,2室1厅, 70.51,76585,540,88,17
振宏小区,3室1厅, 77.25,63172,488,31,4
名都城(公寓),3室2厅, 157.28,62310,980,12,5
古北新城,3室2厅, 137.76,68090,938,60,8
上虹新村,2室1厅, 72.93,57590,420,36,8
古北新城,1室1厅, 51.53,77625,400,29,6
上虹新村,3室1厅, 88.31,49825,440,88,5
名都城(公寓),3室2厅, 156.74,60483,948,4,9
苹果园(别墅),双拼别墅, 4室,101810,1800,44,12
富宏花园(别墅),联排别墅, 5室,93704,1500,32,14
古北大成公馆,3室2厅, 164.8,110437,1820,12,5
金虹桥东苑怡和园,2室2厅, 97,74227,720,15,1
环镇西路6弄,2室1厅, 60.41,56283,340,11,3
古北新城,2室2厅, 108.24,72986,790,91,4
华光花园,4室2厅, 162.13,54895,890,19,3
华光花园,2室2厅, 117.7,57775,680,24,5
吴中路830弄,1室1厅, 37.8,61376,232,10,8
虹梅路2669弄,1室1厅, 47.85,64786,310,8,2
明申花园(公寓),4室2厅, 318.94,53302,1700,31,1
上虹新村,1室1厅, 54.15,59096,320,43,5
华光花园,4室2厅, 159.22,45221,720,191,6
流晶逸彩,3室2厅, 126.39,55385,700,24,1
海联花苑,2室2厅, 88.04,66448,585,23,2
吴中路1001弄,2室1厅, 64.58,51100,330,9,1
旅专小区,2室1厅, 54.18,64600,350,12,1
