CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
静安新城十一区,2室1厅, 66,53031,350,27,45
静安新城四区,2室1厅, 64.32,58303,375,74,41
静安新城四区,2室1厅, 61.38,55393,340,41,34
静安新城十一区,2室1厅, 66.5,53384,355,21,20
大上海国际花园七区,2室2厅, 103.26,59075,610,44,22
静安新城十二区,3室1厅, 100.82,49594,500,13,1
静安新城四区,2室1厅, 73.68,61075,450,18,14
九歌茗园,2室2厅, 93.2,70279,655,73,20
静安新城十二区,1室1厅, 56.25,56000,315,38,3
静安新城一区,2室2厅, 68.56,56885,390,43,10
静安新城十一区,2室1厅, 66.16,53658,355,9,15
静安新城十一区,2室1厅, 66.06,53437,353,31,16
九歌上郡,2室2厅, 101.19,75107,760,0,5
静安新城三区,2室1厅, 65.23,63622,415,6,5
红明一村,3室1厅, 71.87,61222,440,11,8
静安新城七区,3室2厅, 138.19,68746,950,10,7
静安花苑(二),2室2厅, 89.2,68386,610,14,3
九歌茗园,1室1厅, 64.55,77150,498,36,6
静安新城一区,1室1厅, 48.75,62565,305,57,0
九歌上郡,1室1厅, 62.88,76336,480,61,2
静安新城十一区,2室1厅, 66.06,52983,350,10,2
静安新城四区,3室1厅, 139.08,48174,670,44,1
红明二村,2室1厅, 60.32,59682,360,7,2
静安新城四区,3室1厅, 82,54879,450,61,3
大上海国际花园四区,4室2厅, 125.36,54244,680,14,2
静安新城二区,2室1厅, 90.5,68288,618,8,0
九歌上郡,2室2厅, 105.82,70876,750,93,0
静安新城四区,2室2厅, 81.74,59947,490,13,0
静安新城三区,2室1厅, 60.51,51232,310,365,69
九歌上郡,3室2厅, 133.14,78865,1050,26,49
静安新城五区,2室1厅, 65.97,62908,415,24,47
静安新城五区,3室1厅, 85.82,62340,535,85,52
大上海国际花园二区,3室2厅, 100.18,57896,580,104,39
静安新城一区,1室1厅, 45.52,60414,275,31,15
静安新城九区,1室1厅, 51.3,56531,290,77,29
静安新城七区,2室2厅, 74.69,70960,530,123,48
九歌上郡,1室2厅, 81.39,73474,598,18,34
九歌上郡,2室2厅, 102.23,76299,780,8,25
静安新城二区,3室2厅, 101.56,47263,480,78,20
