CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
银都新村(1至7区),2室1厅, 65.44,42024,275,80,49
好世凤凰城,2室2厅, 101.96,51491,525,69,54
南郊别墅(别墅),独栋别墅, 4室,43677,2000,22,48
好世凤凰城,2室2厅, 94.4,55085,520,51,60
金都花好悦园,2室1厅, 71.12,43589,310,106,23
好世樱园,联排别墅, 3室,52271,1150,11,29
好世樱园,联排别墅, 4室,56945,1230,11,40
金塔新村,3室1厅, 72.26,32107,232,57,21
绿地新干线,2室1厅, 72.58,41334,300,69,28
荣顺苑,2室2厅, 88.52,42364,375,118,46
都市雅筑,2室2厅, 88.55,41220,365,17,25
颛溪十村,3室1厅, 77.62,38650,300,5,1
清馨苑,2室2厅, 81.41,47292,385,37,17
众众德尚世嘉,2室2厅, 78.21,55620,435,72,17
贵峰苑,2室1厅, 60.68,46968,285,36,23
剑桥馨苑,3室2厅, 98.09,54033,530,51,24
绿地新干线,2室1厅, 64.47,44672,288,27,25
爱庐世纪新苑,1室1厅, 61.53,45507,280,40,19
银春小区,2室1厅, 63.06,38059,240,2,17
天恒名城,3室2厅, 131.96,43953,580,60,25
银春小区,3室1厅, 78.53,38202,300,43,13
颛溪八村,2室1厅, 63.01,45231,285,13,13
银春小区,3室1厅, 78.53,38839,305,92,20
天恒名城,4室2厅, 179,46369,830,28,24
银春小区,3室2厅, 85.8,38462,330,42,17
爱庐世纪新苑,2室2厅, 82.69,39304,325,15,4
金都花好悦园,3室1厅, 87.55,42148,369,21,4
日月华城,2室2厅, 84.12,41370,348,57,17
银都新村(1至7区),2室1厅, 56.53,45640,258,66,6
绿地新干线,2室2厅, 79.1,42984,340,6,6
绿地新干线,2室1厅, 59.95,46706,280,84,9
君莲新城广润苑,2室2厅, 85.49,46790,400,21,14
绿地新干线,2室2厅, 72.58,42023,305,21,8
金都花好悦园,3室2厅, 119.28,47368,565,17,13
绿地新干线,2室2厅, 75.7,43594,330,17,12
荣顺苑,3室2厅, 110,46000,506,17,11
银春小区,2室1厅, 66.01,40146,265,13,11
贵峰苑,2室2厅, 77.72,47350,368,21,9
花语墅别墅,双拼别墅, 4室,50817,1350,11,12
金塔新村,3室2厅, 118.96,29254,348,41,10
申良花园,4室2厅, 154.85,30998,480,55,17
银都新村(1至7区),3室1厅, 75.7,46236,350,32,9
